timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769472881.2215068,RECEIVED,2d5e4c1f-cdcf-4320-b943-ebaebc418ea2,43ff1994-3da2-4f8e-be19-61641e6ddb79,c1,c5,27,p2,?,surb={'id': 'aa8ae1bc-db08-4db7-a12c-1859042edc22', 'route': ['p2', 'e3', 'i9', 'x7', 'p1', 'c1']}
1769472881.4145672,SENT,3a9007f4-cb3f-4ff6-8c04-000c11aef6fe,15dddb4d-5208-4fa0-82c7-3f8a1e818623,c5,c3,3380,?,p2,
1769472881.4147396,CREATED,a7a4f7df-c646-4756-b5a0-ae14be2448f1,3ac3ee48-2aa4-48c4-b0ed-4aaae11dd326,c5,c3,26,?,?,surb={'id': 'd4bd7b84-f436-43f8-89af-c725113ea2c4', 'route': ['p3', 'e9', 'i6', 'x2', 'p2', 'c5']}
1769472881.7967024,SENT,601f1691-e118-43b2-b490-fa8698e0ddf5,8050c5d6-07b1-41d3-a9a2-9b49e4a0e4b2,c5,DROP,2016,?,p2,
1769472881.796922,CREATED,c14ed890-b852-46fd-8622-7b2eb4b272fc,f92753a1-6283-47d7-87eb-be5e33e31ce0,c5,DROP,26,?,?,
1769472881.8384185,RECEIVED,06d989c9-052b-443c-84f8-ef4cc3310a0f,f5be8136-66e2-4c11-9340-0d0c05b5ca93,c1,c5,26,p2,?,surb={'id': '253c1d74-d0c3-4d2a-812c-f8dda7d9eb42', 'route': ['p2', 'e2', 'i5', 'x4', 'p1', 'c1']}
1769472882.2844224,RECEIVED,2c929ea7-166a-446d-b2e4-d89abef39984,2dac0fc3-fc98-4bc0-8454-aa61233a193c,c1,c5,27,p2,?,surb={'id': '86e55d45-2fce-4b46-bca0-980c9766764e', 'route': ['p2', 'e7', 'i8', 'x7', 'p1', 'c1']}
1769472883.134145,SENT,668685f1-4e64-4d4e-bbfb-4e53d29eb1f9,e30a75d7-8a51-4690-91e0-3511a69d021a,c5,c3,3400,?,p2,
1769472883.1343002,CREATED,589b6b74-033d-41fc-a342-fc4d1ae5e81a,8cbf2566-94e2-4e79-8b2d-c1047f5696c8,c5,c3,27,?,?,surb={'id': '86511d91-4819-478d-b720-f7ee7053b1f4', 'route': ['p3', 'e5', 'i1', 'x5', 'p2', 'c5']}
1769472883.1651843,RECEIVED,6aa2efe5-3b43-4cad-b84c-d791d1a32af8,c9430d25-606a-49e8-8312-5c0206521af2,c1,c5,27,p2,?,surb={'id': '9d216c9c-c617-48e8-82f6-13152a04868b', 'route': ['p2', 'e12', 'i10', 'x7', 'p1', 'c1']}
1769472883.3189769,SENT,6c8cabd2-1c93-432a-aa14-deabcb3ce9ca,3e1ec363-ee6a-4778-b4f8-c63a763dc67a,c5,c3,3404,?,p2,
1769472883.3191504,CREATED,ed8e1cf3-0fcd-4710-b4df-dbec5c20c20b,14aa8f2d-8022-481e-b93e-8daef92dd0e6,c5,c3,27,?,?,surb={'id': 'a9ef290f-d78d-49f5-8432-0b9b56d13d76', 'route': ['p3', 'e9', 'i11', 'x7', 'p2', 'c5']}
1769472883.543513,RECEIVED,0911d8f5-671b-4582-b99c-26e3e810f32a,87dd33cc-32ee-4934-b852-7e546c14f28f,c1,c5,27,p2,?,surb={'id': '89a21166-09bc-4467-aadd-5aa06c115ede', 'route': ['p2', 'e7', 'i11', 'x2', 'p1', 'c1']}
1769472883.5642595,RECEIVED,1d406e25-a690-45b1-9033-f6a1da941ae4,c447f434-6cc1-4097-99d3-6dc7d3ac444b,c1,c5,27,p2,?,surb={'id': '7d24878b-2b1f-4569-8589-160b75fc53d7', 'route': ['p2', 'e7', 'i8', 'x6', 'p1', 'c1']}
1769472883.8819022,SENT,8aa4473d-bdd4-48ab-942b-2a4017181886,92a6ab45-1f97-4269-8227-98d0c1cebabd,c5,c3,3376,?,p2,
1769472883.8827155,CREATED,8aacfdfe-e5a0-42f6-8861-3202e1746974,a30d8dd5-f84a-4431-9b1c-256ffd521e27,c5,c3,27,?,?,surb={'id': '63aeb556-6039-4a19-9655-5fb15c0fbd09', 'route': ['p3', 'e6', 'i1', 'x2', 'p2', 'c5']}
1769472884.052591,SENT,9b1beaf1-ff92-477f-8be8-12329c3d0ed2,4ebd724f-aa85-4522-97bf-c78afd96f84c,c5,c3,3361,?,p2,
1769472884.052738,CREATED,899f2e78-92ee-44f2-863c-453f0e86cea3,d5b87245-592e-41f5-a666-329e55c9b0af,c5,c3,26,?,?,surb={'id': '998984a5-51a5-41b9-b730-f11d524d9a05', 'route': ['p3', 'e12', 'i10', 'x6', 'p2', 'c5']}
1769472884.1241806,RECEIVED,d288a703-88ea-404e-8488-61458932700e,39243a21-d871-4d7f-bf5c-801c00744a2d,c1,c5,27,p2,?,surb={'id': '05187700-39a7-434d-9bcf-38e98223917d', 'route': ['p2', 'e8', 'i7', 'x5', 'p1', 'c1']}
1769472884.2821243,RECEIVED,c2022454-2ff5-4995-b474-b1bf14bbbe17,26861fbb-6e10-4616-9729-9314fb79e25e,c1,c5,27,p2,?,surb={'id': '7a447d84-465a-4774-9868-b14439e5e154', 'route': ['p2', 'e11', 'i11', 'x9', 'p1', 'c1']}
1769472884.7958927,SENT,726296d7-24cc-49eb-96c4-b1c99bfcaa0d,a6e1da48-985f-44fd-8e2b-d3f5239a7559,c5,c3,3373,?,p2,
1769472884.7960424,CREATED,a362a278-9d36-49bc-80dd-5f29fb8126e0,0c51810f-6ce2-4b0d-8be2-d1354a1a0c1c,c5,c3,26,?,?,surb={'id': '1bbb5dc3-78bc-4521-9946-8423eb5eca6a', 'route': ['p3', 'e6', 'i4', 'x3', 'p2', 'c5']}
1769472884.9027557,SENT,a2f88dfe-a038-4d0f-869d-2a22ba553949,c85acc43-06c6-4998-b789-9d92fe646e8e,c5,c3,3372,?,p2,
1769472884.9029033,CREATED,6013aac9-7850-4c5d-9558-8fc78f1ac0f8,6fb1b962-8e73-48b1-95b6-7bf68de1149b,c5,c3,26,?,?,surb={'id': '88a37113-bf0a-4ec4-8cd9-3d50ec0ce6ce', 'route': ['p3', 'e8', 'i6', 'x2', 'p2', 'c5']}
1769472885.0239015,SENT,4b42a249-2314-46ca-8e20-7a707b9a428d,ccb18f19-d041-4586-9ecf-564de15d34d3,c5,c3,3372,?,p2,
1769472885.0240726,CREATED,6d1d330f-a055-43df-99a9-f8adb107de1b,6f6f5c0b-996c-4b75-a7b2-a64d26fec100,c5,c3,26,?,?,surb={'id': 'c9a96c49-c32f-458d-8c9c-3d90ea227764', 'route': ['p3', 'e5', 'i9', 'x4', 'p2', 'c5']}
1769472885.1088817,SENT,aedc8450-dabf-4167-8ee3-3ba0976d5b1c,71117c6f-4dec-4ce8-aa2c-4e2363cc090a,c5,c3,3407,?,p2,
1769472885.1090295,CREATED,42c4b6fc-087e-4ca9-8a06-d2651d5d300c,e5ce0cf4-6dde-4914-bebe-97fd30578a75,c5,c3,27,?,?,surb={'id': 'c85551e4-c0c3-4625-9b6d-8c3cc38da99b', 'route': ['p3', 'e9', 'i4', 'x10', 'p2', 'c5']}
1769472885.162896,RECEIVED,f502b387-fea3-4b6f-8a47-2144a003e560,bd3dd443-1635-4ad1-8ca8-749477e43069,c1,c5,27,p2,?,surb={'id': '657c9001-7e5d-46ea-aa84-2bd67cc0126d', 'route': ['p2', 'e12', 'i4', 'x4', 'p1', 'c1']}
1769472885.3414435,RECEIVED,ca4e7d93-ee06-4f77-9ee4-30ca33b41ec9,cb355a1a-a082-4e94-bef2-356cc451f797,c1,c5,26,p2,?,surb={'id': 'a808953f-4fc2-44a4-816c-5c1c63a1115e', 'route': ['p2', 'e12', 'i8', 'x2', 'p1', 'c1']}
1769472885.6681085,SENT,ef33865d-320f-4901-8f8a-e7afee5fbba5,0144b79b-e2d2-4c8d-9d32-6b305802b088,c5,c3,3384,?,p2,
1769472885.6682634,CREATED,6414d3d3-69f1-4f3f-ab8c-7cb2137d31b6,18841bbb-1d4c-447e-8fdc-de789e9a3d32,c5,c3,27,?,?,surb={'id': 'f6d01dc8-1dce-4279-a25e-69cf14d2b7f8', 'route': ['p3', 'e11', 'i8', 'x6', 'p2', 'c5']}
1769472886.1514404,SENT,52375c57-5701-45fc-82c5-d5f9fd056a85,41b6f2e8-f46b-48f1-bd91-c6a0cbbea412,c5,c3,3399,?,p2,
1769472886.1515856,CREATED,c451c0cc-3c26-49b7-8ce6-4b76a4f26aaa,11023c3c-af0c-44e2-a7d7-defdbeca81c5,c5,c3,27,?,?,surb={'id': '52bd0153-39f4-4de6-b187-ca44569b74b8', 'route': ['p3', 'e12', 'i7', 'x10', 'p2', 'c5']}
1769472886.2586207,RECEIVED,48c9ece6-8446-4761-9e39-51b7b8a48d0f,2ce6001d-e8ce-4423-9c4e-7753df9f809c,c1,c5,27,p2,?,surb={'id': '270b99c2-dd97-4afd-8c24-4de9be4c6ace', 'route': ['p2', 'e8', 'i1', 'x11', 'p1', 'c1']}
1769472886.5147712,RECEIVED,a4db5a72-da58-4884-8635-da2e318298ac,7927efa2-02de-4354-b400-b72a27277052,c1,c5,27,p2,?,surb={'id': 'e1fa1f84-6e45-441d-8da7-cb18127cdc2d', 'route': ['p2', 'e11', 'i4', 'x11', 'p1', 'c1']}
1769472886.538594,SENT,f72f4c43-cbe8-42ac-b62a-cf5de8f60eee,c501512d-b2f9-48e8-b0ca-683239e2aafe,c5,c3,3391,?,p2,
1769472886.538745,CREATED,439abe01-5963-4761-8c14-6b4a5e5545b9,1db42e4e-ec63-4493-a87c-4a50fc3d6aad,c5,c3,27,?,?,surb={'id': 'd34028cf-cdcb-41a8-9735-357df243846c', 'route': ['p3', 'e5', 'i11', 'x3', 'p2', 'c5']}
1769472886.7084947,RECEIVED,3ae36367-c561-41d4-b1a1-d5dc3d4d68d4,843c5a98-70a4-497d-908c-672751b7926c,c1,c5,27,p2,?,surb={'id': '47a62d9d-100b-46d7-b1b3-4d23ee7a0274', 'route': ['p2', 'e5', 'i6', 'x4', 'p1', 'c1']}
1769472886.7559319,RECEIVED,f2122bdf-280c-485b-a4dd-4c130325c994,436e1ad3-535a-4e67-bc7b-cab92a6cf0e7,c1,c5,26,p2,?,surb={'id': '6ba189ef-585c-40e1-b6f5-a0a345df323d', 'route': ['p2', 'e1', 'i5', 'x2', 'p1', 'c1']}
1769472887.1819499,RECEIVED,9ccb7ed3-d9ed-4312-b452-15705e05e408,966a7e1c-de09-4934-9b2a-aa0a03528305,c1,c5,27,p2,?,surb={'id': '796d5787-8c2c-44e5-a462-40f9567627c9', 'route': ['p2', 'e5', 'i7', 'x4', 'p1', 'c1']}
1769472887.6192245,RECEIVED,8f76ca1d-8f1e-4ec4-8d25-d07abf1b40ec,042c7c3a-9fa4-45a9-a0e4-cf781ff8d776,c1,c5,27,p2,?,surb={'id': 'c7e230c1-2284-4680-9d2e-3e6fda5125b2', 'route': ['p2', 'e6', 'i1', 'x6', 'p1', 'c1']}
1769472887.8114357,SENT,3eb36fa5-bd8d-4d32-86a9-4e85409282fd,7721406d-9709-4b0e-819d-0db0e7db1967,c5,c3,3379,?,p2,
1769472887.8115714,CREATED,de1e0e84-c4cb-42d2-96ab-d34678c898fa,571b94b1-3a1b-41a4-83df-a59c8368a6bb,c5,c3,26,?,?,surb={'id': '8a988bd6-3604-4138-9719-0ed3ec65c003', 'route': ['p3', 'e8', 'i9', 'x6', 'p2', 'c5']}
1769472888.370572,SENT,56abedf5-e4ea-405f-8cb9-0ef4c06e59fa,c31efd60-22b5-4362-aa6f-f24e7122654f,c5,c3,3360,?,p2,
1769472888.370716,CREATED,42b9fbd8-b1f8-4e13-b3c8-f911ce9c70d5,fb677d68-134a-45a0-9927-c9354296f8fb,c5,c3,27,?,?,surb={'id': 'f0909d05-d70e-4bd8-844b-2546bbdfb84f', 'route': ['p3', 'e8', 'i2', 'x5', 'p2', 'c5']}
1769472888.4868598,SENT,a7b8174a-69f7-4d31-8966-76549acd597e,f9169d8a-eb2e-4916-a6a6-e38d9fc45052,c5,c3,3392,?,p2,
1769472888.4870083,CREATED,9455ed0a-c8f5-40f7-b527-6a1e47eb9897,10891e9a-d736-4c4e-8d64-9564548fae5e,c5,c3,27,?,?,surb={'id': '37a39ef4-4fd5-402a-8252-b3b38a5e6b7d', 'route': ['p3', 'e8', 'i10', 'x7', 'p2', 'c5']}
1769472888.5021467,SENT,ae605475-c238-400b-9532-397e460b352e,2a710ff3-e781-4249-8ed3-853be8816c94,c5,c3,3360,?,p2,
1769472888.5022993,CREATED,be04f026-7197-4b4c-8b29-e5cf4e6d7173,e474db87-097c-423a-93bc-3022f4e6b8bf,c5,c3,27,?,?,surb={'id': 'f39fcc23-5c77-4513-b738-fb95e0fdf760', 'route': ['p3', 'e5', 'i9', 'x3', 'p2', 'c5']}
1769472888.6403058,SENT,ed8296d8-9267-4dcc-ae8e-361d432ff11a,ffdfdae6-4c6f-4c0f-8f28-a6a546e5befc,c5,c3,3396,?,p2,
1769472888.6404865,CREATED,35284069-bb82-40e5-9929-e379593628da,f4f9159c-3e2a-48cd-979f-42db6bde7039,c5,c3,27,?,?,surb={'id': '120e81ae-158d-40a1-83af-279b9720a53f', 'route': ['p3', 'e10', 'i1', 'x2', 'p2', 'c5']}
1769472888.723021,SENT,eb9e810e-aad9-4154-bb90-bfeb8b1b05a1,9cb5a67b-f21d-4ae1-9ce1-05e34dd723cb,c5,c3,3360,?,p2,
1769472888.7231977,CREATED,1cb4b564-0788-4377-a0a6-86458ee1b23d,04e01b0b-a551-45da-b611-285cde41e545,c5,c3,27,?,?,surb={'id': '8d6cadf6-d0bf-4379-bc0d-c72d719f8d7b', 'route': ['p3', 'e1', 'i5', 'x3', 'p2', 'c5']}
1769472888.9346452,RECEIVED,eeae342a-ff2d-40ce-9e23-ea0d9add1e33,88be4246-619f-4ce7-9168-12d2e8bbfbc3,c1,c5,27,p2,?,surb={'id': 'bc95c2da-fcd1-48e9-ae72-e0f2636e1542', 'route': ['p2', 'e5', 'i11', 'x5', 'p1', 'c1']}
1769472889.3581686,RECEIVED,42d8af41-a742-4be7-8517-bf2c033e7a7a,ee6296f6-53b6-4dab-87b4-18e0b77d7bab,c1,c5,27,p2,?,surb={'id': '8659c9b3-41de-4b2f-a153-7fd7ea68541e', 'route': ['p2', 'e8', 'i10', 'x9', 'p1', 'c1']}
1769472889.7546568,RECEIVED,632a1fe0-93a8-4437-81a0-80b254d72540,9937420b-ec11-456f-bbb5-2f0e7ba32fc5,c1,c5,27,p2,?,surb={'id': '85e2980e-5add-4f81-87a3-63bad0791695', 'route': ['p2', 'e10', 'i12', 'x7', 'p1', 'c1']}
