timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747917.072712,SENT,7e5de3bc-fb08-409a-b8ee-08a547e04394,d1869fbe-b0d6-479b-97d7-5ba0f75cfc5a,c2,c1,3399,?,p2,
1769747917.0728579,CREATED,925fed26-b2aa-423f-a12a-2366faeca229,a092bcdd-c85b-4909-9cc1-c49e001c8fb3,c2,c1,27,?,?,surb={'id': 'd44330a2-54fb-481d-a79f-8ee17dfa7cbc', 'route': ['p1', 'e9', 'i10', 'x12', 'p2', 'c2']}
1769747917.3461592,SENT,58e0a8b4-a1bd-4837-babd-fa5e25ace538,dfd5d57e-70ff-4211-9db3-b3034975fbaf,c2,c1,3392,?,p2,
1769747917.3463135,CREATED,3e1633a1-3ccd-49f3-adb0-692212807a78,a092bcdd-c85b-4909-9cc1-c49e001c8fb3,c2,c1,27,?,?,surb={'id': 'd44330a2-54fb-481d-a79f-8ee17dfa7cbc', 'route': ['p1', 'e9', 'i10', 'x12', 'p2', 'c2']}
1769747917.4731572,SENT,599fa9ec-9602-464e-a358-9b6c51c8fd50,e8cf88c8-8e8e-4d67-8776-a3f0afbaee8a,c2,c1,3384,?,p2,
1769747917.47331,CREATED,b62bc300-a915-4ce4-9c1a-d51d18d65ebf,5ad030e2-df85-44c0-a53e-028a9c06b31e,c2,c1,26,?,?,surb={'id': '47e3844a-228f-416c-99bd-988ff6a91811', 'route': ['p1', 'e7', 'i9', 'x1', 'p2', 'c2']}
1769747917.9086668,SENT,770d7624-b755-4cff-a4dc-94761204549c,bc3326f2-e6e5-4f54-9b35-4fd14672bee0,c2,c1,3367,?,p2,
1769747917.908801,CREATED,c13b1ea4-2788-4601-b058-8d573e49bab6,5ad030e2-df85-44c0-a53e-028a9c06b31e,c2,c1,26,?,?,surb={'id': '47e3844a-228f-416c-99bd-988ff6a91811', 'route': ['p1', 'e7', 'i9', 'x1', 'p2', 'c2']}
1769747918.4998512,SENT,0d33eb1e-abe3-4eb0-9c5b-58056ce34e3a,a0f1bfc9-3f1e-4c6f-af30-ba5e1a62f258,c2,c1,3399,?,p2,
1769747918.499988,CREATED,86a84851-c6b7-44d7-9e9a-8a4b2d99f2d2,787a40ee-0ac6-462d-b729-1b3e3176800c,c2,c1,26,?,?,surb={'id': 'b741f15f-5a80-42d0-bc20-a799267c3844', 'route': ['p1', 'e11', 'i2', 'x12', 'p2', 'c2']}
1769747918.941614,SENT,cd19e7e3-b43d-4f5e-9dff-7f28de88d594,c1ca9d07-d9f0-488b-960e-02a36526794f,c2,c1,3365,?,p2,
1769747918.94175,CREATED,bb9709f5-82e8-44ad-8384-36318585db25,787a40ee-0ac6-462d-b729-1b3e3176800c,c2,c1,26,?,?,surb={'id': 'b741f15f-5a80-42d0-bc20-a799267c3844', 'route': ['p1', 'e11', 'i2', 'x12', 'p2', 'c2']}
