timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747920.024826,CREATED,a8bb1fe6-d98a-4d6f-9a50-998d4de35f8c,11e3e262-41b2-4481-9748-a5866e6dec94,c1,c5,27,?,?,surb={'id': 'b8dd2389-d09c-4040-90c6-0792fb80f94c', 'route': ['p2', 'e7', 'i8', 'x2', 'p1', 'c1']}
1769747920.1770124,SENT,61f61db0-3e27-454f-a227-bc9aa563ebe0,8b5341fb-5c2a-457e-9a86-325482ab8aa0,c1,c5,3394,?,p1,
1769747920.1771822,CREATED,457c249e-2f92-4b3f-b1e4-8e33e4bd37b9,11e3e262-41b2-4481-9748-a5866e6dec94,c1,c5,27,?,?,surb={'id': 'b8dd2389-d09c-4040-90c6-0792fb80f94c', 'route': ['p2', 'e7', 'i8', 'x2', 'p1', 'c1']}
1769747920.220667,SENT,2032e4d0-bdef-47db-8173-869e392eeca9,05b07104-f413-42b6-8d2e-9675b6622bc8,c1,c5,3375,?,p1,
1769747920.2207968,CREATED,6eba8345-be93-4b7a-bd57-ead10c583962,b2987493-8f08-4faf-a9dc-6753cb4fe3f1,c1,c5,27,?,?,surb={'id': '66b70eaf-0a14-48cc-bedd-d25225b9f4ce', 'route': ['p2', 'e5', 'i3', 'x8', 'p1', 'c1']}
1769747920.3766701,RECEIVED,8ea39b1c-765a-4b0a-a2e8-f49757ea2fba,a9c0394b-ec5c-4924-b5cf-17beed458a7b,c3,c1,27,p1,?,surb={'id': '2cba38f4-e53a-48e8-a5a3-b4baada5e6df', 'route': ['p1', 'e12', 'i3', 'x10', 'p3', 'c3']}
1769747920.4138472,SENT,3780236e-fc5d-4954-80e7-72d8453692b8,1300c962-9887-4cba-aab7-0c3bea0312e7,c1,c5,3389,?,p1,
1769747920.413969,CREATED,3707acca-fc8c-49c2-861b-225eb99afba9,b2987493-8f08-4faf-a9dc-6753cb4fe3f1,c1,c5,27,?,?,surb={'id': '66b70eaf-0a14-48cc-bedd-d25225b9f4ce', 'route': ['p2', 'e5', 'i3', 'x8', 'p1', 'c1']}
1769747920.4228802,RECEIVED,21ebd054-74f6-4e71-943d-0c3e80e0be31,a13defd0-f504-47aa-a406-e7119339e0b5,c2,c1,27,p1,?,surb={'id': '020467af-23d9-4713-94cd-0dcc59b16f39', 'route': ['p1', 'e8', 'i7', 'x9', 'p2', 'c2']}
1769747920.4725823,SENT,8ac49bc1-93d4-408c-83b6-64e981ceb948,e248bb91-80c6-4c02-a8c2-b3d94c346906,c1,c5,3376,?,p1,
1769747920.472738,CREATED,87c0e74a-bf15-4fe5-935b-64d5a0e3e1de,ed4b417a-6f83-480f-9356-8ac059072481,c1,c5,27,?,?,surb={'id': 'e6c762a9-26bf-4c9a-b4c2-9eaf194381a6', 'route': ['p2', 'e8', 'i3', 'x1', 'p1', 'c1']}
1769747920.4836726,RECEIVED,489e507f-e505-43e7-855b-aded5242a386,91ba30d0-f3df-4a91-8c23-45b76743de50,c3,c1,26,p1,?,surb={'id': '5bf628b7-422b-4a85-b4c7-8ba6d65a3f73', 'route': ['p1', 'e4', 'i1', 'x1', 'p3', 'c3']}
