timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747920.6810741,RECEIVED,37135edb-9696-4025-8223-43b4a8662ef6,d21e3214-6b71-4658-a78d-2bfd2c8fdaec,c4,c3,26,p3,?,surb={'id': '1c779604-6fc0-4480-98aa-890d926f4bb5', 'route': ['p3', 'e5', 'i7', 'x1', 'p1', 'c4']}
1769747920.776689,SENT,e11a35df-2f26-42c6-8b5c-ce92493b7143,095310dd-ae9c-467c-9b5d-94c3e246e608,c3,c1,3359,?,p3,
1769747920.7768297,CREATED,93c7a8a9-c829-4929-b6fc-66777da266ff,a3144f9c-e372-4a40-beb7-e998c5d71433,c3,c1,27,?,?,surb={'id': 'bfb41fde-d6e0-4a3e-ac8f-ad05aa88f7d3', 'route': ['p1', 'e8', 'i2', 'x8', 'p3', 'c3']}
1769747921.0137794,SENT,0a5082bf-1e05-4d5b-b018-d996ddd50c43,c0cc4c4a-70e4-4cc8-9e55-24f6a2b0b472,c3,c1,3376,?,p3,
1769747921.0139117,CREATED,16d8d560-aa86-470e-9a2e-9c078b6d11ab,a3144f9c-e372-4a40-beb7-e998c5d71433,c3,c1,27,?,?,surb={'id': 'bfb41fde-d6e0-4a3e-ac8f-ad05aa88f7d3', 'route': ['p1', 'e8', 'i2', 'x8', 'p3', 'c3']}
1769747921.1476138,RECEIVED,bb1577dc-adda-4fb9-afc4-680884053d96,f7823915-a9fd-4258-9f10-0f27459e1ff7,c4,c3,27,p3,?,surb={'id': 'a9ec08ae-9ea0-4dfa-aa95-3d943842e97a', 'route': ['p3', 'e10', 'i10', 'x8', 'p1', 'c4']}
1769747921.5793102,RECEIVED,55c647cb-dbfb-4aad-8530-00c4c60b8171,ee31dcd0-4028-45de-91d5-11d8d91ff23b,c4,c3,26,p3,?,surb={'id': 'cb5ac131-3af6-4677-8402-38f0633f88e6', 'route': ['p3', 'e3', 'i2', 'x4', 'p1', 'c4']}
1769747921.5823886,RECEIVED,95fbe1e4-c64a-4bbc-99de-7747f7cdf810,56da7b83-ef32-4f41-8d07-1640d5d77412,c4,c3,27,p3,?,surb={'id': '30f2831f-4330-453f-8514-918660ffb1c0', 'route': ['p3', 'e8', 'i4', 'x1', 'p1', 'c4']}
1769747922.0172813,SENT,3ee69070-cb80-4808-b321-e84302d91425,e055d602-5929-47cd-b766-d127c209a4e8,c3,c1,3392,?,p3,
1769747922.01929,CREATED,36ae7936-d6eb-48d8-8ac0-20dd28dfde26,8a8b58c8-52db-484e-9787-136d9755d7b0,c3,c1,27,?,?,surb={'id': 'd8e602c2-78d9-4dde-a12d-c64cefc2baf9', 'route': ['p1', 'e10', 'i2', 'x11', 'p3', 'c3']}
1769747922.2470682,SENT,ab5528f4-6846-440b-b03c-cf66ae7f4758,83b936ed-c4ed-4e05-8db8-41bf335eb98b,c3,c1,3400,?,p3,
1769747922.2472036,CREATED,7689f26f-f98c-4bd7-9f0d-0205d8591b24,8a8b58c8-52db-484e-9787-136d9755d7b0,c3,c1,27,?,?,surb={'id': 'd8e602c2-78d9-4dde-a12d-c64cefc2baf9', 'route': ['p1', 'e10', 'i2', 'x11', 'p3', 'c3']}
1769747922.5789564,RECEIVED,c3c49a59-727d-4642-8cb5-2d5d47b01e32,d21e3214-6b71-4658-a78d-2bfd2c8fdaec,c4,c3,26,p3,?,surb={'id': '1c779604-6fc0-4480-98aa-890d926f4bb5', 'route': ['p3', 'e5', 'i7', 'x1', 'p1', 'c4']}
1769747922.6873896,RECEIVED,dfad140a-1f44-4a12-9dec-efd6d4b8e34c,ab3c1437-7e0c-481d-9bdb-14d8f8e4a1a0,c4,c3,27,p3,?,surb={'id': '3deae7de-bbf4-4751-9083-c5def894cf3a', 'route': ['p3', 'e11', 'i6', 'x8', 'p1', 'c4']}
1769747922.7086518,SENT,a035ea16-717d-4046-9407-1f64d434b0b7,7c305bd9-3b7a-4482-832c-5295c2baf7e5,c3,c1,3378,?,p3,
1769747922.708786,CREATED,c635a7ec-35ed-4210-9c0e-c7c97fb2d9d1,787dd085-45ea-4680-9f3a-d4071c8b7e25,c3,c1,27,?,?,surb={'id': '15e1b658-7a05-4e25-bb0e-eff5472f5cbe', 'route': ['p1', 'e2', 'i10', 'x8', 'p3', 'c3']}
1769747923.0062635,RECEIVED,c9aa1836-a5e3-4f28-b087-bb39928aa5c3,d604eba3-86c0-4b2b-b844-53fc9fbc0803,c4,c3,27,p3,?,surb={'id': '36712419-da80-43de-8050-f636673435da', 'route': ['p3', 'e2', 'i8', 'x3', 'p1', 'c4']}
1769747923.0294964,SENT,2861e6e1-37ac-4960-aa5f-f5917c769a83,86e0352d-c6c9-43f7-b26b-b828139f06d3,c3,c1,3361,?,p3,
1769747923.0296276,CREATED,6af45655-da5f-4c6c-b3ba-54a38eb9558f,787dd085-45ea-4680-9f3a-d4071c8b7e25,c3,c1,27,?,?,surb={'id': '15e1b658-7a05-4e25-bb0e-eff5472f5cbe', 'route': ['p1', 'e2', 'i10', 'x8', 'p3', 'c3']}
1769747923.4265938,RECEIVED,fd4bb0d3-5070-4bf5-b222-ba7d23c2f841,d604eba3-86c0-4b2b-b844-53fc9fbc0803,c4,c3,27,p3,?,surb={'id': '36712419-da80-43de-8050-f636673435da', 'route': ['p3', 'e2', 'i8', 'x3', 'p1', 'c4']}
1769747923.4367385,SENT,2a1bdef6-c45c-4ddf-9f3e-c65bed79d01f,602f9a6f-b2ba-4789-9a74-bc1b54ab59d0,c3,c1,3376,?,p3,
1769747923.4368727,CREATED,520f5758-6cd6-4b38-8296-ad2242e724d3,fe822cf4-d96a-4eab-8da3-0badba2a7926,c3,c1,27,?,?,surb={'id': '3fb4ac5e-d550-4aba-9321-5f8390cfbaa9', 'route': ['p1', 'e2', 'i7', 'x1', 'p3', 'c3']}
1769747923.5958188,SENT,931c1932-38da-4219-8c47-6e9f3837e52d,34109392-62ac-4585-92da-fe8813fab212,c3,c1,3375,?,p3,
1769747923.5959523,CREATED,a325dcfb-ea1b-4821-969e-480f7b26dee1,fe822cf4-d96a-4eab-8da3-0badba2a7926,c3,c1,27,?,?,surb={'id': '3fb4ac5e-d550-4aba-9321-5f8390cfbaa9', 'route': ['p1', 'e2', 'i7', 'x1', 'p3', 'c3']}
1769747923.856248,SENT,048448fa-12ba-491c-8127-bf7b20d7679a,9ad41dc4-5d12-440c-bb95-0a933927d6bb,c3,c1,3399,?,p3,
1769747923.856412,CREATED,a32e06b2-e2eb-4033-afad-fbf91c9b2490,dc8e849a-63af-4aa5-b72f-1d676a195e53,c3,c1,27,?,?,surb={'id': '3f63cb91-2ed3-480b-967c-616bf6924975', 'route': ['p1', 'e8', 'i10', 'x6', 'p3', 'c3']}
