timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769468554.1538794,SENT,cf69a840-9bcc-43f0-ae1b-889ca875949e,03a4bd76-76c3-4fd7-8954-531914c1fa98,c3,c1,3376,?,p3,
1769468554.1540372,CREATED,52e041d9-549e-478e-9962-3d20ac18f7dd,04280142-b474-4102-8963-f37530741802,c3,c1,27,?,?,surb={'id': '10acfac4-0834-4e19-b2e5-87212fefa78e', 'route': ['p1', 'e12', 'i8', 'x6', 'p3', 'c3']}
1769468554.4011917,SENT,2d3c6c63-184f-4f85-9cd7-0f841306a1c4,30d6efd0-a71d-4d87-b230-4332b758ed68,c3,c1,3379,?,p3,
1769468554.401323,CREATED,685192b7-f8c1-4628-bc33-55ca24cc559f,143aabd7-3e7c-4206-be67-ebf4eb0d331b,c3,c1,27,?,?,surb={'id': '53b2d82d-36d3-4652-a422-1210aa9c8667', 'route': ['p1', 'e11', 'i2', 'x3', 'p3', 'c3']}
1769468554.6211753,SENT,74b8a4d9-e018-4a3d-9503-990ece9c27e2,a306eddd-94f7-46f1-92ec-51c1d97bf5d5,c3,DROP,2026,?,p3,
1769468554.6213162,CREATED,934c34d4-a5be-4d8e-9e3b-be17dad2976b,8d082b44-96c0-45fb-b814-44a09677832e,c3,DROP,27,?,?,
1769468554.661179,SENT,1294ee86-d007-45d5-8b48-86eb047288c7,9da04989-c7f2-42b0-a990-4748be86cc7c,c3,DROP,2011,?,p3,
1769468554.6613116,CREATED,6109d558-523e-4497-9db3-21538e9ee216,9a14633c-57fb-4c3d-849d-9c31bc6bcbf7,c3,DROP,26,?,?,
1769468555.1158118,SENT,a013ab9e-1473-43cf-8e95-1f7ace5494e2,7eccbf97-9d4a-4c54-b5c7-124c3e332d43,c3,c1,3376,?,p3,
1769468555.115944,CREATED,a4142cc0-56c2-483c-be1c-98472dec8291,7e369e50-062e-4012-8edd-8783d87d32ef,c3,c1,27,?,?,surb={'id': '8f80438a-a992-4681-a465-a709796e3029', 'route': ['p1', 'e6', 'i3', 'x3', 'p3', 'c3']}
1769468555.8273268,SENT,ac22bfa6-7fb0-41cb-9f49-f3c7e7608c12,2714c47c-15ae-47e2-9a11-3c6b6ddd039a,c3,c1,3383,?,p3,
1769468555.827485,CREATED,8c953a38-1137-4b2f-9068-a1a5aed4dd0a,a4518104-0682-4ee9-a5a5-ae14ff237077,c3,c1,26,?,?,surb={'id': '775dddfb-b6b5-43bd-9afc-a4bbc5757326', 'route': ['p1', 'e1', 'i9', 'x8', 'p3', 'c3']}
1769468556.0077736,RECEIVED,0ef13cbd-b110-4b52-a661-0aa5dfc53f51,a83f835a-2811-44d9-8f59-f21f8906310d,c4,c3,27,p3,?,surb={'id': '37a12e5f-3bd3-4d12-8b6a-72f3596a7364', 'route': ['p3', 'e3', 'i12', 'x10', 'p1', 'c4']}
1769468556.0454893,RECEIVED,2416bb84-babd-43ab-b814-f156eab8a672,6cc1e71a-a602-4404-a613-570655072aa2,c2,c3,27,p3,?,surb={'id': '7e29dc9b-4c8c-482e-9e4c-56040ab31e12', 'route': ['p3', 'e7', 'i4', 'x1', 'p2', 'c2']}
