timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769468558.2861207,RECEIVED,685192b7-f8c1-4628-bc33-55ca24cc559f,143aabd7-3e7c-4206-be67-ebf4eb0d331b,c3,c1,27,p1,?,surb={'id': '53b2d82d-36d3-4652-a422-1210aa9c8667', 'route': ['p1', 'e11', 'i2', 'x3', 'p3', 'c3']}
1769468558.3129306,SENT,69d1300a-6ea6-4bc5-9b52-d2e4100928d0,731da832-ed56-49bf-8746-89c268e9c45c,c1,c4,3396,?,p1,
1769468558.3131077,CREATED,73832889-7369-4c4e-ae50-348b066977e9,070dc268-00f0-4afc-a095-d6525453d25a,c1,c4,27,?,?,surb={'id': '0ee0e5b0-54a0-4ec2-ab88-53cb14c3e667', 'route': ['p1', 'e8', 'i12', 'x12', 'p1', 'c1']}
1769468558.5201006,SENT,7843ef5f-e95a-4b32-91b1-ca57d523f71c,4936fe42-db25-4a22-965d-f3396b86d603,c1,c4,3389,?,p1,
1769468558.520279,CREATED,3d10554b-2404-49a7-b2c1-e681382b5246,e8c395c0-0fe4-4658-a320-a173dd34d2cc,c1,c4,26,?,?,surb={'id': '77d637ab-656f-476e-b428-4065cc9fa2be', 'route': ['p1', 'e10', 'i9', 'x5', 'p1', 'c1']}
1769468558.577413,SENT,fe1d1322-462d-4047-904a-b9bf8351b158,99f5f160-a47d-4427-a79d-dea6e9e8fe55,c1,c4,3387,?,p1,
1769468558.57756,CREATED,80b96116-0fd9-4c24-9704-abd322af9d84,28bae687-42d2-46e6-96de-8edc7644a254,c1,c4,27,?,?,surb={'id': '164ddb2e-3e4c-49e5-9137-9787f69125e3', 'route': ['p1', 'e10', 'i11', 'x7', 'p1', 'c1']}
1769468559.1559703,SENT,3c4167ad-0c21-4769-be98-34a8b02b3ec5,edb276ee-3e0b-4628-bda9-caee3acd2e5c,c1,c4,3409,?,p1,
1769468559.15615,CREATED,0cb34711-e720-4272-b82d-104569391154,b0b81ac4-6438-485e-960d-edaaa8135d97,c1,c4,27,?,?,surb={'id': 'd1561236-d5a1-4e3a-9fc1-cf64e0129cbd', 'route': ['p1', 'e11', 'i12', 'x12', 'p1', 'c1']}
1769468559.2807274,SENT,b3f84fcb-5257-4cba-b4f8-4008a7263c21,67070110-adaa-45e4-83b8-ddfac3b3e0c6,c1,c4,3395,?,p1,
1769468559.280881,CREATED,fbbbb566-b918-463f-bc6c-291c14dab3a8,be65ed9b-983d-4c46-a0a0-453a199d67db,c1,c4,27,?,?,surb={'id': '6a520fc9-6e1a-4918-944f-961bb8969bee', 'route': ['p1', 'e11', 'i8', 'x10', 'p1', 'c1']}
1769468559.3109777,SENT,35a5f043-c2ab-4e64-9208-ced6326b457b,236be663-07e0-4426-bf75-3056d387b09e,c1,c4,3383,?,p1,
1769468559.3111677,CREATED,032c5342-c3bd-4952-b619-942b48d8e231,c1e6611b-05f4-44c0-95de-72ac01ac83a4,c1,c4,27,?,?,surb={'id': '0ca480a1-d948-4b7d-b9e7-3487955a85f2', 'route': ['p1', 'e2', 'i9', 'x4', 'p1', 'c1']}
1769468559.3526552,SENT,d3c2e077-b4cf-4f3f-8403-e5fb34f5022d,5a51d8d0-d22e-4bee-8d18-572735460286,c1,c4,3379,?,p1,
1769468559.3528013,CREATED,e5459161-a19d-4055-aa0d-ef08cd16ada6,27c7ce3c-402f-4a70-8554-7d1233d300ff,c1,c4,27,?,?,surb={'id': '429a363c-b63b-4e44-9dcd-d532843dd5a6', 'route': ['p1', 'e1', 'i7', 'x8', 'p1', 'c1']}
1769468559.4379282,SENT,b21bb3b2-5eb0-48ca-b307-096806929588,7652981e-ccdd-481f-91cb-94e7f4d10b33,c1,c4,3395,?,p1,
1769468559.4386642,CREATED,927f70e8-2fa8-4007-a4a3-479657dac053,b33ecce2-b6cd-4b0c-999a-65c48284d87b,c1,c4,27,?,?,surb={'id': 'fb62c869-6bc0-44d6-9a6e-93a1512391c6', 'route': ['p1', 'e11', 'i11', 'x6', 'p1', 'c1']}
1769468559.6145024,SENT,e897c5f1-938b-4b4d-9fbb-c7cc25577b00,6ffc9cd5-4440-4ac6-aa90-66a958fa0d0d,c1,c4,3400,?,p1,
1769468559.6146512,CREATED,72a22e91-e91e-41b5-87a5-69221c09cde2,405cc10e-f5b5-49a4-9b29-5ee7f38b5195,c1,c4,27,?,?,surb={'id': 'd2ce42f7-7aac-4efb-876b-c60b9bba53e0', 'route': ['p1', 'e4', 'i4', 'x11', 'p1', 'c1']}
1769468559.6972942,SENT,160523f8-9621-4b0b-85dc-c82e283dc56c,b83440f4-0838-41ec-9b5a-db39e93b9c22,c1,c4,3359,?,p1,
1769468559.6974447,CREATED,c284e6b3-16e0-4360-b88d-924472ec8fb8,c4171cff-f167-440c-a164-07b8923fc099,c1,c4,27,?,?,surb={'id': 'cfe94e29-4ebd-437c-99c7-525daa39ab80', 'route': ['p1', 'e7', 'i10', 'x2', 'p1', 'c1']}
1769468559.889904,RECEIVED,fa491c1f-1388-4211-96c5-89e2f7ba76ea,33cf801c-f8b4-4438-9590-4ac8db4160d2,c3,c1,27,p1,?,surb={'id': '069a8843-cb2d-491d-8eef-2c999dc4dc34', 'route': ['p1', 'e10', 'i2', 'x12', 'p3', 'c3']}
1769468559.9234047,RECEIVED,ef6479e4-50d2-472d-95aa-3efb993c2a2c,777f6ccd-c8f7-4c63-b478-2bf0b0e3252b,c3,c1,26,p1,?,surb={'id': 'd0554ddd-cbe7-4c13-a378-30afd715fce3', 'route': ['p1', 'e1', 'i7', 'x10', 'p3', 'c3']}
1769468560.286729,SENT,e2058e4b-16a9-46d0-9248-f2bb0ff8a180,bdae1153-9dc4-4668-b28a-81d9f2ea7ac4,c1,c4,3395,?,p1,
1769468560.2868776,CREATED,1e6d4c9d-10f1-49d4-bdaa-236f69ebbad8,817bb149-eeef-4b02-a98e-2ca95fce9b22,c1,c4,27,?,?,surb={'id': '5b8ff906-3fc2-46be-b912-43735d58aea0', 'route': ['p1', 'e10', 'i9', 'x1', 'p1', 'c1']}
1769468560.6548567,RECEIVED,1fecf357-52b1-442a-a35e-d53272e399b3,abd904db-9799-415f-ba51-16650b73b7e2,c3,c1,27,p1,?,surb={'id': '12b1d7ef-a64b-43fb-9b74-e551a7d62170', 'route': ['p1', 'e9', 'i3', 'x7', 'p3', 'c3']}
1769468560.7356865,SENT,58b56fe9-f42a-4a21-aa0e-744dea5168e6,4504eee9-9fb6-492a-b2be-5e12b28acf6b,c1,c4,3396,?,p1,
1769468560.735827,CREATED,1328a6ce-5b90-4816-a60a-4c606b2d0b86,4f65fe8e-78f7-47f3-a333-5335fe192ead,c1,c4,27,?,?,surb={'id': 'c0085bda-95b9-411f-b325-b8a8047c0c57', 'route': ['p1', 'e7', 'i10', 'x2', 'p1', 'c1']}
1769468560.850722,RECEIVED,146c59d9-71b5-4d8c-a320-9ca8bae073fd,253a0410-8dca-44d4-8684-0a6e59710b91,c3,c1,27,p1,?,surb={'id': '1208b9f3-6460-40c2-8ca5-80dffac0334e', 'route': ['p1', 'e4', 'i4', 'x1', 'p3', 'c3']}
