timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769468554.391656,SENT,1bda682f-fb98-499c-8b6b-ac05b7e881d9,7b9157e2-15a8-48c8-b1c5-3d42cc6b879d,c4,c3,3408,?,p1,
1769468554.3918135,CREATED,0ef13cbd-b110-4b52-a661-0aa5dfc53f51,a83f835a-2811-44d9-8f59-f21f8906310d,c4,c3,27,?,?,surb={'id': '37a12e5f-3bd3-4d12-8b6a-72f3596a7364', 'route': ['p3', 'e3', 'i12', 'x10', 'p1', 'c4']}
1769468554.7304795,SENT,30c3aa73-02ba-4be0-bc15-01c8001496ed,1c23fd69-9fe1-4891-8cde-ba3a884f572e,c4,c3,3374,?,p1,
1769468554.730629,CREATED,24f3f653-f381-4118-9f3a-2f4382bc2a95,2e736055-a8dc-4b88-8aed-72fd1523bee1,c4,c3,26,?,?,surb={'id': 'df0b8c9e-084d-43d5-b3f4-baf59be3cb5f', 'route': ['p3', 'e3', 'i3', 'x1', 'p1', 'c4']}
1769468555.1664248,SENT,98b9086e-1055-4565-a14a-ad377f427c3d,8c8ea268-70c4-4b1e-9748-12f73ed9e1cb,c4,DROP,2031,?,p1,
1769468555.1665604,CREATED,22f1bffa-2726-4963-a3a7-c4dec57f664f,4288b1cd-3c9b-4ea2-98c7-21d8793304c2,c4,DROP,27,?,?,
1769468555.885395,SENT,1ebb6cfe-ff59-44d7-a645-8947f55528a9,00157dbc-d403-4b94-9399-ea4a329bd2a7,c4,c3,3364,?,p1,
1769468555.885543,CREATED,accea324-7d4c-4481-9130-223e5c873ae2,eee11f29-fd53-4d79-896c-d8894cd9dc9a,c4,c3,27,?,?,surb={'id': 'd6aeb7be-3fe1-450c-a925-94bed92cc069', 'route': ['p3', 'e10', 'i8', 'x6', 'p1', 'c4']}
1769468556.3315933,RECEIVED,c2c4459e-7c62-4e8b-8eef-129d81d9259f,020a60f6-af85-49b6-97a2-f098f4c92596,c1,c4,25,p1,?,surb={'id': '87932335-9c63-4088-8549-00a88ed73f4f', 'route': ['p1', 'e7', 'i11', 'x5', 'p1', 'c1']}
1769468556.4196436,SENT,b785f3e7-0863-4edc-9ae8-f8581103ee08,0dfed42b-0858-42ce-b4b9-68c5eb1fd475,c4,c3,3360,?,p1,
1769468556.4197898,CREATED,2faabcc8-7f3a-46fc-8494-082b774b71c0,ded1d1b6-26dd-4e5d-83a4-c8a4c3a19c73,c4,c3,27,?,?,surb={'id': 'be6d6518-ebf2-42fd-896a-20c21066a71f', 'route': ['p3', 'e3', 'i5', 'x7', 'p1', 'c4']}
1769468556.4929123,SENT,b2f98968-af30-4d27-a4a3-301dc60771b3,61028acf-1e92-45db-8808-27a8ac3c090e,c4,c3,3388,?,p1,
1769468556.493088,CREATED,9bbff185-a640-4aa9-b3af-437675d2187e,e1dd7ff5-b9e1-4556-a5bf-e78ff7f866fb,c4,c3,27,?,?,surb={'id': '08ebb48a-4989-4299-924d-eb0bbf978889', 'route': ['p3', 'e3', 'i3', 'x10', 'p1', 'c4']}
1769468556.5163658,RECEIVED,3ea99cb4-fcd1-4ddf-ba12-984b2eaf6b3a,b30785b7-7860-458c-8cbb-4df206464ca6,c1,c4,26,p1,?,surb={'id': 'e6b4f2e9-ef51-4fa1-a8d2-2f669e8a9d1d', 'route': ['p1', 'e11', 'i5', 'x10', 'p1', 'c1']}
1769468556.898862,SENT,713389fe-496e-4fb1-8472-920183b6f27b,68af337c-7d7a-4baf-a1a4-06a379f96a39,c4,c3,3371,?,p1,
1769468556.8990114,CREATED,fa5ac1e6-5d9f-4547-9802-3e9a6db0dbd5,bfd6e744-602c-4115-a2d3-9fe1c5d4f894,c4,c3,27,?,?,surb={'id': '2d5a5bc0-199a-4e8e-be5f-a8152fda833b', 'route': ['p3', 'e1', 'i8', 'x2', 'p1', 'c4']}
1769468557.2648396,SENT,ff3a5787-afba-49bf-8ce5-3d4ccc418067,bbcf83f4-9d2d-4de5-b5a9-4dec23188dc1,c4,c3,3400,?,p1,
1769468557.265003,CREATED,fb0db9df-1f21-49ea-99c3-aa154d48dfff,6e7154aa-3cbd-46d7-b9ad-55ef950f0f99,c4,c3,26,?,?,surb={'id': 'a09b8c17-b62c-4a39-85ea-d3d562d7d513', 'route': ['p3', 'e5', 'i10', 'x9', 'p1', 'c4']}
1769468558.1882622,SENT,135e0dc8-f212-45d3-8963-10b901c0e81a,2ee57140-f518-4b46-b714-7289b53c1f7c,c4,c3,3400,?,p1,
1769468558.1884122,CREATED,da6f4a6e-b3a0-4e39-9231-f592876c4400,e8fed640-9bd9-424e-8219-1b72494f85c5,c4,c3,27,?,?,surb={'id': '912d01ef-4a08-411c-b3b5-776d9148ecfb', 'route': ['p3', 'e11', 'i10', 'x12', 'p1', 'c4']}
1769468558.2792437,RECEIVED,3e23e736-950e-4e9e-a7d6-4b4e3e3c6ce4,4936985f-3278-42d2-b1d9-fa3dee28aa8d,c1,c4,26,p1,?,surb={'id': 'fc3eead0-0c5f-4dcf-9070-b6981c27db11', 'route': ['p1', 'e4', 'i4', 'x4', 'p1', 'c1']}
1769468558.5136685,SENT,945515b8-8fa9-4a8f-86fb-a6ad9f7b1d65,ebc23990-2a08-483e-acfe-df227884ec7c,c4,c3,3388,?,p1,
1769468558.513816,CREATED,3c2f018a-f063-4fd9-b6b6-f5678ef1f8f3,fefe6e8e-d371-4f46-91b1-3f6ca7deddfe,c4,c3,27,?,?,surb={'id': 'b66fbd16-84c7-47cb-b09f-41f39f200403', 'route': ['p3', 'e9', 'i5', 'x12', 'p1', 'c4']}
1769468558.6814957,SENT,92adbfe2-b65b-4dc6-86a7-5b79758538c9,c7a4fcf9-d0e6-4e68-9283-92cd8c99452b,c4,c3,3384,?,p1,
1769468558.6816425,CREATED,ee9f4954-7688-423f-b11a-6656cfd42c39,bc84a638-3a71-418f-bd3d-c064ffcf1297,c4,c3,27,?,?,surb={'id': '810dcf29-5d22-48f5-819d-d0ec9b4dc645', 'route': ['p3', 'e1', 'i6', 'x11', 'p1', 'c4']}
1769468558.7583518,SENT,f9309c0d-8bf5-46fd-b6cc-aa01bfc6e323,dec3a062-ae21-4143-94da-0c66538d48b1,c4,c3,3388,?,p1,
1769468558.7585034,CREATED,4b7af317-7ddb-40cc-a5c5-d034ca4e51c6,f94b727e-b75a-4f73-b9f5-10c4e0736558,c4,c3,27,?,?,surb={'id': 'bf8f4469-66ab-4e1e-86bf-fdd2e9c7a762', 'route': ['p3', 'e5', 'i8', 'x11', 'p1', 'c4']}
1769468558.8272047,SENT,9fea8140-fa61-4a37-ac6f-f70d4c2f6102,4140d881-e0c1-4ff3-8f7a-606ba91d8dc5,c4,c3,3376,?,p1,
1769468558.8273377,CREATED,7e9ef0e8-e4ca-46e6-90f2-7aef19410b0c,927f617b-03e0-44e6-a938-68fc91ed7df0,c4,c3,26,?,?,surb={'id': '8a52aa18-7efe-4491-96b9-5af0877ade0b', 'route': ['p3', 'e10', 'i12', 'x4', 'p1', 'c4']}
1769468558.8698354,RECEIVED,73832889-7369-4c4e-ae50-348b066977e9,070dc268-00f0-4afc-a095-d6525453d25a,c1,c4,27,p1,?,surb={'id': '0ee0e5b0-54a0-4ec2-ab88-53cb14c3e667', 'route': ['p1', 'e8', 'i12', 'x12', 'p1', 'c1']}
1769468558.9325988,SENT,4a7dc158-b7b1-437f-a4d8-442656a84cca,7ff49048-5dd4-47d4-8410-2bd2c96bd040,c4,c3,3363,?,p1,
1769468558.9327517,CREATED,efdf1967-0cd5-43d7-81f4-1e774b6eb72c,9536e5e7-d164-4aa2-9d26-3a9ad2f58be8,c4,c3,27,?,?,surb={'id': 'fa6a7e71-5d47-484b-9382-33ff5ab21831', 'route': ['p3', 'e3', 'i4', 'x3', 'p1', 'c4']}
1769468559.064202,RECEIVED,a676f6c9-3c83-412d-80e1-710b9f1de027,4a38df08-1246-4260-a0b1-4b8f42413ba7,c1,c4,27,p1,?,surb={'id': '7996c43a-bfe5-40d9-bf17-ef07958ef4ac', 'route': ['p1', 'e11', 'i4', 'x8', 'p1', 'c1']}
1769468559.19631,SENT,ce633e8f-5730-44a4-838c-506c52e367ea,453e9db0-1b96-46ca-970a-98b39806d62d,c4,c3,3408,?,p1,
1769468559.1964836,CREATED,cd9d5f85-a3af-4d6e-8ce5-1a01b3cb030d,481feb9c-a742-4247-8b08-23202bd63119,c4,c3,27,?,?,surb={'id': '1ebf0eda-90bc-4e85-b561-141391e86ff1', 'route': ['p3', 'e2', 'i1', 'x12', 'p1', 'c4']}
1769468559.8033776,SENT,6fd1e185-4b85-401e-9f62-644fe3e41204,6afef5f1-9cf4-434e-903a-46f10fc74d70,c4,c3,3391,?,p1,
1769468559.8035371,CREATED,2719a8bf-09fd-459d-b861-90dd36fb0600,861ef8e3-dc1b-4498-95fc-661269877db0,c4,c3,27,?,?,surb={'id': '602b9970-7bfc-40fd-9e47-8dc2a7ae5442', 'route': ['p3', 'e9', 'i6', 'x11', 'p1', 'c4']}
1769468559.98832,RECEIVED,17869003-e9f4-4886-bb95-c464ff7215fd,fc672d7b-b16a-482c-a771-64932838ea79,c1,c4,27,p1,?,surb={'id': '8f814cc1-e64d-41c6-84e9-29dc68877e2f', 'route': ['p1', 'e10', 'i11', 'x2', 'p1', 'c1']}
1769468560.3673403,RECEIVED,e368c3a0-4bed-4edd-8971-1b545e804ad1,2563d41d-1c4d-48ae-bba1-a77b00db88f8,c1,c4,27,p1,?,surb={'id': '6359a632-660d-40e5-adb8-46730d137b6b', 'route': ['p1', 'e12', 'i7', 'x2', 'p1', 'c1']}
1769468560.7698345,SENT,44084d08-b31d-4769-998a-b4ecef7502a4,16bc63fc-7aa5-4cbd-babf-8241564932b5,c4,c3,3364,?,p1,
1769468560.7700086,CREATED,d319cebb-7476-4e8c-9ac5-b43051af66d8,d65ca729-e807-48ce-bc6f-f7f4e636ba1c,c4,c3,26,?,?,surb={'id': '91ad2e9c-1adc-498d-badb-b5c0972e2ff3', 'route': ['p3', 'e12', 'i3', 'x3', 'p1', 'c4']}
1769468560.809424,RECEIVED,abdd0665-e0c9-4ca8-96cc-2685b7f33fd0,e64dc9e8-d15d-4267-a168-6c1f8c398540,c1,c4,26,p1,?,surb={'id': 'b66e4183-4484-4b3c-93b4-c23d6c0c57a4', 'route': ['p1', 'e1', 'i10', 'x4', 'p1', 'c1']}
1769468561.2533717,RECEIVED,fbbbb566-b918-463f-bc6c-291c14dab3a8,be65ed9b-983d-4c46-a0a0-453a199d67db,c1,c4,27,p1,?,surb={'id': '6a520fc9-6e1a-4918-944f-961bb8969bee', 'route': ['p1', 'e11', 'i8', 'x10', 'p1', 'c1']}
1769468561.4933383,SENT,2bc2f06f-4c05-4aa5-bd20-68ef081bb440,ec7d5db0-1e39-4938-b12d-fc6128f73cbd,c4,c3,3382,?,p1,
1769468561.4934862,CREATED,1f0b81ef-cc8b-4d23-a050-7d617a233137,362a3026-d567-458f-8dc3-c7482e49442d,c4,c3,27,?,?,surb={'id': 'bf78eb4b-2bc6-4e8c-8c1d-15eefa3e5474', 'route': ['p3', 'e3', 'i7', 'x10', 'p1', 'c4']}
1769468561.6278589,RECEIVED,0cb34711-e720-4272-b82d-104569391154,b0b81ac4-6438-485e-960d-edaaa8135d97,c1,c4,27,p1,?,surb={'id': 'd1561236-d5a1-4e3a-9fc1-cf64e0129cbd', 'route': ['p1', 'e11', 'i12', 'x12', 'p1', 'c1']}
1769468561.8553076,RECEIVED,032c5342-c3bd-4952-b619-942b48d8e231,c1e6611b-05f4-44c0-95de-72ac01ac83a4,c1,c4,27,p1,?,surb={'id': '0ca480a1-d948-4b7d-b9e7-3487955a85f2', 'route': ['p1', 'e2', 'i9', 'x4', 'p1', 'c1']}
1769468562.1090112,SENT,4863262c-633c-40aa-a98f-d57dd4c43006,b823f4eb-90e2-42fa-a3b5-0f7a5a68b9a5,c4,c3,3381,?,p1,
