timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453753.2347977,RECEIVED,e68601b9-73ad-4ac1-b9c1-1a47a6eb688b,a3c5690c-54a9-40e1-9074-13c13fcdbebe,c2,c4,27,p1,?,surb={'id': 'b914ac76-a9cd-4a62-ab9c-23a496a98062', 'route': ['p1', 'e11', 'i12', 'x3', 'p2', 'c2']}
1769453753.248432,RECEIVED,6cf87480-9629-4c10-b5b0-d50731d34a85,10dec68c-90eb-41e7-9751-86d8e2ebdebc,c2,c4,27,p1,?,surb={'id': '661e1ac9-b831-410e-84a6-963bfd8ebab8', 'route': ['p1', 'e2', 'i7', 'x7', 'p2', 'c2']}
1769453753.278704,SENT,44165a43-1a37-40b3-9d14-2d5b00b7109f,a1869613-097d-42ae-9115-bab5b49a3f1b,c4,c1,3376,?,p1,
1769453753.2788498,CREATED,885bf8c6-4126-4cfe-aee0-279135f2c0cf,db1631d4-f3e4-4d8b-bd3d-1515bdfe17e0,c4,c1,27,?,?,surb={'id': '3c69e27f-800a-4945-a6b2-a5fe396bb8d6', 'route': ['p1', 'e5', 'i6', 'x6', 'p1', 'c4']}
1769453753.4789793,RECEIVED,2fadd8bd-c699-4a94-99c7-c8793fa77b6b,ef928309-20e3-4abc-bb5e-ecf0bca5a0fb,c2,c4,27,p1,?,surb={'id': '8624ca3b-bc06-4535-8e0d-c50e7f3e4067', 'route': ['p1', 'e8', 'i3', 'x5', 'p2', 'c2']}
1769453753.555685,RECEIVED,7a9141cd-4939-462f-b16b-04807f28e9f7,666f7b1f-4ac4-4cd3-9caf-a5bef1eab288,c2,c4,26,p1,?,surb={'id': '031c1d28-05d6-440c-81a1-1c527cfd9bbb', 'route': ['p1', 'e4', 'i10', 'x7', 'p2', 'c2']}
1769453753.5802312,SENT,98d683bd-fd2c-4148-9f46-1eeb39b2ca73,d93bade0-2259-4ad2-bb5a-e979167dfce1,c4,c1,3385,?,p1,
1769453753.5803921,CREATED,0247867f-7898-4c66-8870-1b33685438f7,d8e45998-de45-4100-bd38-8161d77aa865,c4,c1,27,?,?,surb={'id': '91febb1f-868f-482b-85fb-195b4a736870', 'route': ['p1', 'e5', 'i6', 'x2', 'p1', 'c4']}
1769453753.8135145,SENT,0d3eaf23-1ac3-4f9b-b371-9dc7a27100be,129b0155-4884-44c2-8815-045884259131,c4,c1,3367,?,p1,
1769453753.8136528,CREATED,cde4235d-1742-4f33-9041-5ab3446bdf8f,ec0cb9fd-06aa-4a0b-add6-e515fda93bfa,c4,c1,26,?,?,surb={'id': 'ad359a8f-6664-43bd-acc8-846c593c8e27', 'route': ['p1', 'e9', 'i10', 'x7', 'p1', 'c4']}
1769453754.0769188,RECEIVED,3ebb8f38-5f93-4bd6-9534-780be9c58cba,e862ec5c-56f3-4bb0-bb46-c4e75e185e13,c2,c4,27,p1,?,surb={'id': '0a751b18-3ee1-485c-9ed6-e80fcf3cac75', 'route': ['p1', 'e11', 'i3', 'x9', 'p2', 'c2']}
1769453754.103568,RECEIVED,79b38c79-535a-4a3f-af78-c32fffa3df4b,189958d5-6c18-41e1-a1f2-6825b1dea599,c2,c4,26,p1,?,surb={'id': '4887b8fb-36da-4d63-89f2-5e82ac226268', 'route': ['p1', 'e11', 'i9', 'x7', 'p2', 'c2']}
1769453754.3424847,RECEIVED,33fcc89a-dad8-4baf-83d2-102b52c3b934,7e43b059-eff4-4b53-9f55-e7d209934a4e,c2,c4,27,p1,?,surb={'id': '054c4681-abe0-411d-9ec7-79dda955c728', 'route': ['p1', 'e12', 'i11', 'x9', 'p2', 'c2']}
1769453754.3752677,SENT,f78cac85-9c30-4333-8462-950c78a898e9,a2282780-958c-4a29-af52-9b9100ca4818,c4,c1,3383,?,p1,
1769453754.3754194,CREATED,a8d37b9b-6607-43a3-ac1e-3668b71ae9a9,c8cf5f2a-5574-421d-a66d-7ad3ef46138b,c4,c1,27,?,?,surb={'id': '4a769fdd-4527-41bc-9ea4-08dcc5da0f85', 'route': ['p1', 'e1', 'i6', 'x10', 'p1', 'c4']}
1769453754.6562238,SENT,0ded6ea6-5a6a-440d-9ed0-7adddfd480f7,31e9211c-65d2-4ffb-ac6e-682a2b7c5993,c4,c1,3380,?,p1,
1769453754.6563656,CREATED,6a15112e-bcdc-4288-9e9c-f33f0c0b0bfc,fc64332b-fae7-450e-aa7a-8db547f08516,c4,c1,27,?,?,surb={'id': '19c1744a-ac90-4ceb-b7e6-6a2ab969e98e', 'route': ['p1', 'e5', 'i3', 'x11', 'p1', 'c4']}
1769453754.8108099,SENT,f2f86950-4b47-4f25-8bfc-8dbe2a7a23f9,1c73bbe7-8ee1-4d28-b931-1a93ba8a3593,c4,c1,3401,?,p1,
1769453754.8109603,CREATED,f8d2d582-a51c-419c-832a-ff29d1c11db4,69a828c5-d303-4853-b959-1ec782278eb0,c4,c1,26,?,?,surb={'id': '12b4ad8e-9653-4417-b5d3-c1befeb21cef', 'route': ['p1', 'e10', 'i7', 'x8', 'p1', 'c4']}
1769453754.890284,SENT,70ba1bbc-46a7-49a5-9750-38ef1db2656d,cdee261b-9b56-431e-8cae-c9c8dd34d57f,c4,c1,3385,?,p1,
1769453754.8904436,CREATED,98133390-4b1d-4e2b-85ad-7b389f3726e2,135b0ff0-dad2-4ec2-b7e5-764422a7ca78,c4,c1,26,?,?,surb={'id': '8fd62075-a78d-455d-8e4c-9c615f040d5c', 'route': ['p1', 'e7', 'i1', 'x1', 'p1', 'c4']}
1769453754.9215899,SENT,a1157f6a-af6b-4cc7-ac8a-daf007bd2596,800f0c0e-eab1-4c0c-b299-60400bdbba90,c4,c1,3409,?,p1,
1769453754.9217424,CREATED,e986ae9c-a578-431c-96b7-e43bfe7fc339,6adcfe82-adc5-495a-bf15-282f320c58b6,c4,c1,27,?,?,surb={'id': '8538e37a-fe73-4a31-a682-8e5a929516dd', 'route': ['p1', 'e1', 'i5', 'x11', 'p1', 'c4']}
1769453755.9758382,SENT,c5e3bee4-ef8e-43cc-ba28-bc0a86434a8d,1546c89f-c0fc-48fe-bc49-fa08889856da,c4,c1,3388,?,p1,
1769453755.9759839,CREATED,355c38b3-4d8c-4166-b8e6-2ffd39e4083d,f6162c39-ccfd-4460-89ba-089214f83160,c4,c1,27,?,?,surb={'id': '73fe7bff-0b0e-4706-ad55-82085fe41c50', 'route': ['p1', 'e12', 'i2', 'x6', 'p1', 'c4']}
1769453756.0302312,SENT,496eaaa8-338c-4ebd-8182-e0cd2f8437f9,f357a942-beab-4c7e-9ff7-9e7883c52a9d,c4,c1,3381,?,p1,
1769453756.0303776,CREATED,7c4d479f-f982-4255-af57-d7c774bec1ca,d9b1e615-54f2-41b4-a91c-1a08ebb0d393,c4,c1,27,?,?,surb={'id': '5755b24e-0b0e-4118-be9a-0a658b104920', 'route': ['p1', 'e4', 'i12', 'x7', 'p1', 'c4']}
1769453756.2744436,SENT,8fe9c470-3b39-4cf6-9064-a714a42abf7f,7ffe83bf-3bf1-4f70-8887-5160ec16d9c0,c4,c1,3392,?,p1,
1769453756.2745755,CREATED,7f60316f-568b-4843-a525-1887dbfb77e8,90d14e70-5abb-471c-a15e-49f59590942f,c4,c1,27,?,?,surb={'id': 'f217a123-1a7a-415e-ac3a-97ea7768b754', 'route': ['p1', 'e1', 'i2', 'x12', 'p1', 'c4']}
1769453756.5414178,SENT,c4c80596-91cf-430f-bab1-2fdb81ab0776,19eba15a-7358-4747-b5df-78520d8435f0,c4,c1,3380,?,p1,
1769453756.5415654,CREATED,37e3722b-619d-42a4-a951-ca13a20e65cd,d7c5a3a5-a51c-4f7f-83c1-8ee55cbc533c,c4,c1,27,?,?,surb={'id': 'ce891172-0240-4d3d-9c12-e2cfdd60429d', 'route': ['p1', 'e1', 'i10', 'x8', 'p1', 'c4']}
1769453756.6144636,RECEIVED,e0d27c6a-d8cd-4203-ac54-6092e3d9c8e7,6b086c50-012a-4035-a9e2-1eb81cf04206,c2,c4,27,p1,?,surb={'id': '0efe2ae5-955a-4069-8fd2-83c0dd5b7724', 'route': ['p1', 'e8', 'i1', 'x5', 'p2', 'c2']}
1769453756.7677996,SENT,074ef49e-1e29-4958-bdc3-408e36d2a6ed,0dbb51b9-1799-4486-be9b-2ce5185ee185,c4,c1,3366,?,p1,
1769453756.7679462,CREATED,3ee7ca16-354d-4fc3-887b-e06135d492ba,7d29cef7-bd8c-430a-acba-6b66bc111344,c4,c1,26,?,?,surb={'id': '93c25af1-39e4-4f11-9d6c-6eacb6b2c92e', 'route': ['p1', 'e8', 'i7', 'x12', 'p1', 'c4']}
1769453756.8224106,SENT,bb8a45d4-aa5f-4ddd-a957-d63cc26f0a3b,721a85c5-1150-4c18-aa99-b188b3569287,c4,c1,3371,?,p1,
1769453756.8225515,CREATED,4d26f57c-3598-4a5f-9055-887e32877607,0b027463-0ab8-4937-b7f8-9e4486d62641,c4,c1,27,?,?,surb={'id': '7b61426b-6003-495c-a3da-9fd913c9c3d8', 'route': ['p1', 'e5', 'i7', 'x1', 'p1', 'c4']}
1769453756.9529111,RECEIVED,18d9f154-abae-4a06-9cf7-681ba51f4583,cc732f6e-7c58-440f-bf97-02af1fba11c9,c2,c4,26,p1,?,surb={'id': '96012322-e832-4de5-a80c-c576df51ec86', 'route': ['p1', 'e1', 'i7', 'x10', 'p2', 'c2']}
1769453757.5664692,RECEIVED,df0f8bc1-dc72-4ab9-8f9c-e235527ea71e,ea1f6986-1002-4116-91ce-1ecfc9a94897,c2,c4,27,p1,?,surb={'id': '737f47e1-c84c-4cbc-ad66-17af85c7c7d3', 'route': ['p1', 'e11', 'i8', 'x9', 'p2', 'c2']}
1769453757.696858,SENT,9f2bff1c-dd88-48a9-adc3-6d6f0e295671,1e7be647-6b42-4c89-b81c-9f333293ccc3,c4,c1,3374,?,p1,
1769453757.696948,CREATED,3b2c33e6-6712-4f21-af9a-6e43e8d5c1d9,d2ef7b79-3621-4c90-8117-a9a5f9d2fc85,c4,c1,27,?,?,surb={'id': '95d3bdf7-0a8a-41ca-bce7-4f53042446de', 'route': ['p1', 'e7', 'i7', 'x11', 'p1', 'c4']}
