timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453755.360586,SENT,e64bb367-00a6-4af5-a679-47e39e4aa584,fa6a37d4-bba5-49f7-88af-3a3c97510617,c2,c4,3383,?,p2,
1769453755.3607404,CREATED,e0d27c6a-d8cd-4203-ac54-6092e3d9c8e7,6b086c50-012a-4035-a9e2-1eb81cf04206,c2,c4,27,?,?,surb={'id': '0efe2ae5-955a-4069-8fd2-83c0dd5b7724', 'route': ['p1', 'e8', 'i1', 'x5', 'p2', 'c2']}
1769453755.475869,RECEIVED,80807c17-0620-4aba-827b-2f468dca1c22,7687c16a-68d3-4b72-85e6-2fa6cecfa40c,c3,c2,26,p2,?,surb={'id': '287aef04-2037-41da-9a79-673a49ea1965', 'route': ['p2', 'e6', 'i9', 'x3', 'p3', 'c3']}
1769453755.632189,RECEIVED,9fcc6824-bcb0-46ff-b4cf-db913d221639,467dc40a-6c4f-4ec8-8d75-7cd2611aa594,c3,c2,24,p2,?,surb={'id': 'bbf16918-d7aa-4360-a6bb-c63ff6428040', 'route': ['p2', 'e5', 'i1', 'x5', 'p3', 'c3']}
1769453755.6745727,SENT,6a894bca-823d-4060-921b-ad2a472dc523,45513cc7-fb23-4950-8e4e-e2479cb9c566,c2,c4,3392,?,p2,
1769453755.674724,CREATED,01bcbf2f-787c-49ae-80f5-38fbdd7b21b6,d872c81f-d054-4912-9627-6630a685832a,c2,c4,27,?,?,surb={'id': 'b06c71b1-b388-467c-a637-000710036921', 'route': ['p1', 'e1', 'i4', 'x12', 'p2', 'c2']}
1769453755.7362013,RECEIVED,7d88a1bc-7f7d-4215-b96e-736cdb73e0d9,1b59cee8-3c3b-4bc0-b912-a0d9d80629e0,c5,c2,26,p2,?,surb={'id': '404617dc-379e-48f9-8618-0d0f9c2487bd', 'route': ['p2', 'e8', 'i12', 'x3', 'p2', 'c5']}
1769453755.7380338,SENT,c5172ad1-3d0c-4aeb-b130-319d1e2c2b52,e14e4a2c-1bd3-47ae-aac9-efbeef7c84d2,c2,c4,3390,?,p2,
1769453755.7382271,CREATED,e3f8498c-3c93-4b02-844f-f7bc2b43131f,dd4b0d96-d472-441f-8591-c38cea907671,c2,c4,27,?,?,surb={'id': 'd6bdea44-dcb1-43f0-95a9-2c9979685c17', 'route': ['p1', 'e11', 'i3', 'x11', 'p2', 'c2']}
1769453755.9514637,SENT,6853daf6-a320-4812-8e25-7475a7310ac9,bffb9940-bcb6-4d92-981c-1cd055c4aa65,c2,c4,3392,?,p2,
1769453755.95161,CREATED,df0f8bc1-dc72-4ab9-8f9c-e235527ea71e,ea1f6986-1002-4116-91ce-1ecfc9a94897,c2,c4,27,?,?,surb={'id': '737f47e1-c84c-4cbc-ad66-17af85c7c7d3', 'route': ['p1', 'e11', 'i8', 'x9', 'p2', 'c2']}
1769453755.9632666,RECEIVED,b68870ac-a2f9-47fb-b599-6d1ca41822d2,41fd16a4-6d13-4d65-9d96-7dab07301fd8,c3,c2,27,p2,?,surb={'id': 'becad946-aabd-497f-a296-ed7f86c39391', 'route': ['p2', 'e10', 'i8', 'x1', 'p3', 'c3']}
1769453756.0008514,SENT,e64b835c-d27c-4036-b830-6533462a062e,0c645938-0032-42e7-8549-b6fd37339b74,c2,c4,3392,?,p2,
1769453756.0009997,CREATED,3dc3e721-c31a-45c4-b57c-7e22f44585ad,ecf01ac9-07ce-4877-832c-c1b7dd28e257,c2,c4,27,?,?,surb={'id': 'feaf0c25-9a15-49a6-b976-e4871083381e', 'route': ['p1', 'e6', 'i12', 'x12', 'p2', 'c2']}
1769453756.033639,SENT,535f149d-fe7a-49ad-93b3-7402b2f18977,a6817718-0475-4d50-9fe0-199752fac38d,c2,c4,3387,?,p2,
1769453756.0337756,CREATED,3ad84407-dd4c-4ce6-8f17-00870ae74bf7,484aa6e9-8d25-4663-b764-c85b1842fc29,c2,c4,27,?,?,surb={'id': 'd35e8202-a31d-45aa-8463-90e2a32c6b0b', 'route': ['p1', 'e1', 'i5', 'x8', 'p2', 'c2']}
1769453756.180088,SENT,af85263f-e3f1-4578-8b4a-a34775e08cff,9c2f11ac-16ba-4f87-b18e-1d324096fec9,c2,c4,3388,?,p2,
1769453756.180281,CREATED,ab7bc46a-9582-4f4e-8b14-d0e3b8ddfce4,dc5b4bed-071f-4ad0-b6bd-f3cfff4c69dd,c2,c4,26,?,?,surb={'id': '86ea7c63-d769-4b66-949a-01a2b540fc93', 'route': ['p1', 'e3', 'i11', 'x6', 'p2', 'c2']}
1769453756.1934218,RECEIVED,ab39d16a-5e05-4748-ae33-1f2085b8743a,3d3f5fca-c276-4eeb-ab6a-ff2ac31f447a,c5,c2,27,p2,?,surb={'id': 'db47e786-1484-4646-ace2-9b7495486734', 'route': ['p2', 'e9', 'i6', 'x12', 'p2', 'c5']}
1769453756.199836,RECEIVED,2fb75eae-828c-4ac5-9e91-691bada78e17,2d59fded-7b7c-4e94-8c74-384b91937dd3,c1,c2,27,p2,?,surb={'id': '6cfbdad0-f5d3-4a07-bf97-b42d9f8c33b3', 'route': ['p2', 'e8', 'i4', 'x7', 'p1', 'c1']}
1769453756.371077,RECEIVED,11238520-5a64-4f7e-aebb-ebda69148d84,207c9bb0-a0b3-4f8f-9afe-b8585c88921b,c3,c2,27,p2,?,surb={'id': 'd4ff076f-d33d-49ce-bbd4-c3c3cbbc6173', 'route': ['p2', 'e11', 'i6', 'x5', 'p3', 'c3']}
1769453756.535749,RECEIVED,b184b967-003e-4442-8c46-d297feaa3f6e,fce8737f-3042-4147-9049-96ea120a59d9,c5,c2,27,p2,?,surb={'id': '6e0c4934-33ab-4bec-9c4b-0bd66d417a77', 'route': ['p2', 'e10', 'i6', 'x7', 'p2', 'c5']}
