timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453885.8151166,RECEIVED,79fa1cc4-d183-4c18-9d18-edbff5e58174,389ab1ac-bb43-4b3f-8f29-b905102a0023,c5,c2,27,p2,?,surb={'id': 'bb565d18-102a-401b-b4da-243d70d3d672', 'route': ['p2', 'e4', 'i11', 'x12', 'p2', 'c5']}
1769453885.826776,RECEIVED,46a32bb0-1cab-4d66-8014-e0ed45fff61f,70c07c27-7fdf-46a0-8051-9509b9005d6c,c5,c2,27,p2,?,surb={'id': 'aef3fa52-221e-4998-a646-d0d340fca416', 'route': ['p2', 'e5', 'i7', 'x10', 'p2', 'c5']}
1769453885.9048126,RECEIVED,4e6902b9-20f9-4eb2-8756-25aa71689509,621e1146-2da9-4f08-8db1-3d06331d6ecd,c5,c2,27,p2,?,surb={'id': 'caedffa4-9f70-4136-bd8c-309240da8f60', 'route': ['p2', 'e8', 'i9', 'x3', 'p2', 'c5']}
1769453886.0731208,RECEIVED,a02b81b1-557b-4de5-bc3a-895b9c2ba39b,690bb7e0-cd6a-404d-9033-3499aa362524,c1,c2,27,p2,?,surb={'id': '76992ca0-e39b-46e4-a02a-ec14d1aea002', 'route': ['p2', 'e10', 'i9', 'x11', 'p1', 'c1']}
1769453886.145975,RECEIVED,f91088fd-a3f8-4de0-9117-de11aa3e3e7a,93384b8c-2a53-4fe8-afda-756c4db071b8,c1,c2,27,p2,?,surb={'id': '33bd1696-9e08-4901-8ca9-1bc0e7100d9f', 'route': ['p2', 'e6', 'i3', 'x7', 'p1', 'c1']}
1769453886.2514412,SENT,e12f7089-0d4d-4f57-8764-553cb686399f,57bb83a9-1868-46e9-a16f-fd5a16b3e566,c2,c4,3384,?,p2,
1769453886.2515912,CREATED,9ed2910b-fcb8-4975-a0bb-98047b9bcbb3,d3790a86-b767-4f62-9f75-7046349922ce,c2,c4,27,?,?,surb={'id': 'b7024aa2-b6fd-4b53-9d6a-393ebc06606a', 'route': ['p1', 'e3', 'i9', 'x7', 'p2', 'c2']}
1769453886.2703161,RECEIVED,7040e1c7-2b20-4181-8ba5-bccc37f9962a,887797e7-4278-40a0-83ca-c2284ce85a34,c5,c2,27,p2,?,surb={'id': 'c83d5bd7-32cc-49fc-b90d-ee3f5362c05d', 'route': ['p2', 'e3', 'i8', 'x6', 'p2', 'c5']}
1769453886.4036362,SENT,f69e4d84-8e73-472c-a947-65d2d342dadb,1f8bbe61-5f03-4846-a2f3-020d0e82b86a,c2,c4,3399,?,p2,
1769453886.4038365,CREATED,ed108bf7-a8a5-47e0-a80a-85f395fd0131,744cc937-e37a-4e04-ab87-69932b451195,c2,c4,27,?,?,surb={'id': 'c3e877bb-2d69-4998-8707-6786fa5b8b2a', 'route': ['p1', 'e9', 'i9', 'x6', 'p2', 'c2']}
1769453886.692472,RECEIVED,3364637c-5776-4782-8a6d-04a1da78fc42,2809242c-c804-4cd6-99f8-09ac6e093c05,c5,c2,27,p2,?,surb={'id': 'aa74cf1d-4037-4839-bec6-7317095dbe1d', 'route': ['p2', 'e1', 'i12', 'x11', 'p2', 'c5']}
1769453886.712811,SENT,82667dfb-6068-4a5c-a842-593d96b4b360,cff61abf-3fbc-4d51-96d9-403a733a0e9d,c2,c4,3362,?,p2,
1769453886.7129571,CREATED,39143945-8e35-4cfe-8647-b69c86455342,16c008dd-bee2-4c92-a767-6235ac5e22ba,c2,c4,27,?,?,surb={'id': '84d2a439-3763-4a05-ba21-70bcea023965', 'route': ['p1', 'e9', 'i7', 'x5', 'p2', 'c2']}
1769453886.8329148,RECEIVED,ae735930-0db6-4658-8973-5f90c74c584f,cfd41aa0-b228-4921-bc9d-4c781e2e788f,c1,c2,27,p2,?,surb={'id': '19559ac2-0c3f-4954-a96a-bca0b378474e', 'route': ['p2', 'e10', 'i2', 'x7', 'p1', 'c1']}
1769453886.874233,RECEIVED,1fe89a0f-0297-40a1-a7d1-aa23945b7632,f56b1a2c-118a-4e89-8224-abc81288b1de,c1,c2,27,p2,?,surb={'id': '826d3f4c-1e58-465d-8029-8f5b1ea596dc', 'route': ['p2', 'e5', 'i10', 'x1', 'p1', 'c1']}
1769453886.8972912,RECEIVED,845e2e74-ccf4-40e0-a253-f25e7b2eabff,dbba6bb4-9731-49fe-a516-f833fe300606,c5,c2,27,p2,?,surb={'id': 'e72f5e45-f88b-4f43-b6f3-a1e476c9381a', 'route': ['p2', 'e8', 'i6', 'x4', 'p2', 'c5']}
1769453887.035366,RECEIVED,9c9704d6-fe35-4cda-afe1-46e720e99f79,54c6c81e-1300-449c-b19e-8d6e996cfad3,c3,c2,27,p2,?,surb={'id': 'a60f63d2-6ffe-49bd-99d9-cf7e37eee9cc', 'route': ['p2', 'e8', 'i12', 'x10', 'p3', 'c3']}
1769453887.076115,SENT,eb1b30af-bbff-45e0-872a-75b1b095e9a7,3f0223d6-e53a-4fbc-9c90-6803f43e90d9,c2,c4,3376,?,p2,
1769453887.0762818,CREATED,f4cd2e0b-0ebb-47af-a91f-02161e3f3bd6,f873c519-ace8-4aa7-8d7e-5485b583fb09,c2,c4,27,?,?,surb={'id': '26d4b239-c76d-4e0b-a6bc-d27c8ebe8e00', 'route': ['p1', 'e1', 'i8', 'x2', 'p2', 'c2']}
1769453887.2083166,RECEIVED,e7ca690d-c9a1-42f4-abeb-5d4df70fea20,6c36630a-db1d-404b-a399-3997daf6d1ad,c5,c2,27,p2,?,surb={'id': '067c9dbd-d361-419d-8ed5-27e0a939d5c9', 'route': ['p2', 'e1', 'i9', 'x11', 'p2', 'c5']}
1769453887.2468815,RECEIVED,a302fde1-352b-43a2-8c0f-eb24412a0f14,79cd8aa2-c541-4766-b5ed-16d70d7aed22,c3,c2,26,p2,?,surb={'id': '625f0bc1-ecce-4f00-8124-88dd0d56c1e5', 'route': ['p2', 'e2', 'i3', 'x12', 'p3', 'c3']}
1769453887.2756188,RECEIVED,cde120bc-dfb0-47cc-989b-a4a95db2ec07,7ec1701d-6c1b-45a8-b612-ff9f285fcbb2,c5,c2,26,p2,?,surb={'id': '7b813cff-73ed-493c-aa77-fc741bfd9e1e', 'route': ['p2', 'e3', 'i8', 'x11', 'p2', 'c5']}
1769453887.3098931,RECEIVED,1109ac39-789a-419d-9b8c-129b2e436f42,8880dec0-3e5d-405a-a893-1ce5c9f8c043,c5,c2,27,p2,?,surb={'id': '2b5bd19d-864a-4f9c-97c3-a306ec35b389', 'route': ['p2', 'e11', 'i8', 'x7', 'p2', 'c5']}
1769453887.395328,RECEIVED,dc4674d8-0a61-4be4-8ae7-f4e1bf7a2bf8,2552a4db-8004-4250-ad11-c444334647ba,c3,c2,27,p2,?,surb={'id': '3ada1032-9529-4d80-8263-7adf15bd2eee', 'route': ['p2', 'e12', 'i8', 'x10', 'p3', 'c3']}
1769453887.3963993,SENT,14e01b5e-386b-4479-8763-845c1f68312d,57bbe754-a992-4ddb-8b33-8863a467f2dd,c2,c4,3387,?,p2,
1769453887.3965468,CREATED,af016292-f7b4-4d99-883b-4a17852f5842,00888f12-51bf-4719-a76f-305be3981131,c2,c4,27,?,?,surb={'id': '2fb79c58-19ba-4545-b397-87079a8542c4', 'route': ['p1', 'e11', 'i9', 'x12', 'p2', 'c2']}
1769453887.4244509,RECEIVED,0b1ab70d-bfa6-4f87-b40b-984fdd6d0c22,0139f875-2d6b-4158-b627-23578b838c71,c1,c2,27,p2,?,surb={'id': 'e6a276a0-5f02-4642-97b9-22022d347faf', 'route': ['p2', 'e10', 'i11', 'x2', 'p1', 'c1']}
1769453887.5753925,RECEIVED,00f41fdc-186c-4fdc-a3ee-c8ad9d316812,de022613-6f5a-41e9-91be-c6fd825b8045,c5,c2,27,p2,?,surb={'id': '305607ac-298e-4754-8b2f-379ac689ad7d', 'route': ['p2', 'e1', 'i2', 'x6', 'p2', 'c5']}
1769453887.605172,SENT,b6be949d-1de7-4f06-8d61-f08159358d2b,4af44f06-24ad-4f49-a6da-bf9de98f2dc1,c2,c4,3384,?,p2,
1769453887.6053214,CREATED,4470a807-5e00-4511-a60c-4e588e4d3dab,78b61ba9-5276-4c21-9b53-49d850c92102,c2,c4,27,?,?,surb={'id': '79bae185-ee9f-43cf-84a7-c01cf862ae2d', 'route': ['p1', 'e10', 'i3', 'x2', 'p2', 'c2']}
1769453887.6561418,RECEIVED,eda7dbb1-4326-4307-a451-5001a7c01580,f29fdfca-b860-4b62-a801-6a6557e23865,c1,c2,26,p2,?,surb={'id': '82c912da-7c9e-4677-9a27-4a99984e1dee', 'route': ['p2', 'e7', 'i8', 'x1', 'p1', 'c1']}
1769453887.6983893,RECEIVED,39ceb4af-5ee6-436a-98ff-4488ca450e8b,f210f643-e512-46d0-b200-01fd9077a705,c1,c2,27,p2,?,surb={'id': '057f4f76-fc6c-4aaa-ac2e-b913a9e5763d', 'route': ['p2', 'e9', 'i1', 'x9', 'p1', 'c1']}
1769453887.7434895,RECEIVED,cedf64dd-a329-45ad-8616-9f130d200793,bb208074-a059-4765-9e82-fe975b111ca9,c1,c2,27,p2,?,surb={'id': '6bb52557-df6d-4238-9fe3-25f975df8b07', 'route': ['p2', 'e12', 'i1', 'x12', 'p1', 'c1']}
1769453888.1905448,SENT,0a8f5fe7-4976-43c7-8a63-d2a1ab5e3db3,b04683e5-e776-4306-a2ba-f3db2ab92234,c2,c4,3376,?,p2,
1769453888.190688,CREATED,6b5711ec-33d8-4cc4-817d-c0beeadd9ad4,41f94aa7-89e5-43f9-b0f7-f6d116c5856e,c2,c4,26,?,?,surb={'id': '1445e165-81d6-4dd1-93a8-e11eb29cfc02', 'route': ['p1', 'e11', 'i11', 'x5', 'p2', 'c2']}
1769453888.2980108,RECEIVED,f4152139-d9c7-4b0e-9f93-fa236d6b9cc4,ffd5a1d0-aaa9-4588-9f1c-62d415d945e0,c5,c2,26,p2,?,surb={'id': '0448cd04-5eb8-4bea-8649-fb8156386e9f', 'route': ['p2', 'e9', 'i4', 'x1', 'p2', 'c5']}
1769453888.3411074,SENT,9e6d41ce-a328-4761-b311-1025307748ae,a201941c-ae92-4291-a797-b7ecfc58f0aa,c2,c4,3359,?,p2,
1769453888.3412583,CREATED,44fb31ea-f7e5-4364-bbf0-a99de63b2faa,ad0b69f8-a513-4a52-be8a-a4b367d716ee,c2,c4,27,?,?,surb={'id': 'a9a49165-e221-4b4c-b9ab-69f6a12a3c37', 'route': ['p1', 'e8', 'i9', 'x5', 'p2', 'c2']}
1769453888.491232,RECEIVED,c29a5508-f038-4bef-91b1-dad802541f5e,13a2f8a2-a48b-487b-bc9c-3217f7951ad2,c5,c2,27,p2,?,surb={'id': '0e6c9da2-f5e2-467d-b410-db93b5e4adb1', 'route': ['p2', 'e8', 'i9', 'x11', 'p2', 'c5']}
1769453888.6318033,RECEIVED,b37bebdd-8807-460f-8b35-b357f99bafb3,ad8b7019-bb59-489c-905b-40782c5a4c43,c1,c2,27,p2,?,surb={'id': '35b784d6-9464-4629-975c-b5b1ce895603', 'route': ['p2', 'e2', 'i11', 'x7', 'p1', 'c1']}
1769453888.6542287,RECEIVED,8171aca3-fc48-47f2-adde-e399040e36d1,40e5dbe7-01a7-4b94-9867-784a9194dcac,c1,c2,27,p2,?,surb={'id': 'aa057d21-fc15-49d6-b99d-9ca184f51e07', 'route': ['p2', 'e5', 'i8', 'x12', 'p1', 'c1']}
1769453888.7890644,SENT,41680611-01f2-407e-9618-c470972024a8,2a2dda6c-3fbc-4311-99f6-21b58a24c0e2,c2,c4,3388,?,p2,
1769453888.78917,CREATED,12afd260-e69a-4519-9a61-ee8fd8a92de6,09084a01-0254-40de-9d1d-b20365645aca,c2,c4,27,?,?,surb={'id': '839c0c69-530b-42fb-b20a-d486ae530672', 'route': ['p1', 'e7', 'i1', 'x6', 'p2', 'c2']}
1769453888.881436,SENT,37925d24-8f2a-408d-93af-d0f17ec2ba0f,338e5dab-471f-481c-beed-1caa1f7f6dce,c2,c4,3359,?,p2,
1769453888.8815365,CREATED,86da2ac4-dc34-41f1-a827-7bc6d4fbde4f,00a9e68c-4ade-4451-884b-e9ea970d6407,c2,c4,27,?,?,surb={'id': '19e76d2b-5f3d-4b29-8810-9628f6f7ac1f', 'route': ['p1', 'e5', 'i2', 'x2', 'p2', 'c2']}
1769453888.944431,SENT,6ed9c959-1c5e-4da7-994a-3f63845bc8df,5ffe42e6-f084-4d23-95f2-cb527b808724,c2,c4,3381,?,p2,
1769453888.9445333,CREATED,f8f512b7-10bb-4295-a0c3-f52628c96ff8,88bdbfec-e4ce-4b12-b503-b10253b20481,c2,c4,27,?,?,surb={'id': '9a1b27cb-23d7-4728-882b-1b7b9cb6790f', 'route': ['p1', 'e6', 'i5', 'x1', 'p2', 'c2']}
1769453889.0631113,SENT,98dca94e-642b-49ee-98e8-264393fe7a2c,8354cd7d-bd43-4beb-a5ec-3b03ab6eb1c4,c2,c4,3400,?,p2,
1769453889.0632777,CREATED,ba1c5c5b-c8ea-408c-b2ef-0c4d35a53be9,d69b6e57-e4d1-43f5-b257-8672f240f7e7,c2,c4,26,?,?,surb={'id': '46fa43a7-c1ac-4d5f-954f-fc5aee224c8e', 'route': ['p1', 'e7', 'i12', 'x5', 'p2', 'c2']}
1769453889.181946,SENT,97d2322b-3677-4044-80b6-056a6c034461,102ec42f-934d-4c58-988f-46f4f9ffb5a8,c2,c4,3390,?,p2,
1769453889.1821225,CREATED,b135c1fb-bed8-4418-a7e6-7d9700a5cb38,5ce03644-8e82-4956-b5a1-0536224ba5ef,c2,c4,27,?,?,surb={'id': '3cf843da-f5cd-4303-b590-f91a823d6350', 'route': ['p1', 'e3', 'i8', 'x8', 'p2', 'c2']}
1769453889.3255644,RECEIVED,43d71af5-742b-4769-b6a6-fa71f21c916d,bb07dc21-54a2-4689-b80e-2003aa14ab00,c3,c2,27,p2,?,surb={'id': 'c7d12e6f-ed4b-4d8c-b297-972065e9d4f0', 'route': ['p2', 'e12', 'i1', 'x7', 'p3', 'c3']}
1769453889.3328078,SENT,dde3627b-ae30-411d-a996-0f6bb57d7d99,8482a9f9-dd25-4cf8-a36c-1b8a913eb181,c2,c4,3371,?,p2,
1769453889.3329577,CREATED,4f53d565-6b6f-4146-82af-23dcd117f9b0,2466d18a-de97-451a-acb1-818734947de4,c2,c4,27,?,?,surb={'id': 'e0b9d000-0177-443c-94f9-1c88a6b6cc44', 'route': ['p1', 'e7', 'i5', 'x6', 'p2', 'c2']}
1769453889.3481827,RECEIVED,15441936-decf-4ea9-bd8e-7f2f2966152a,2c0daafe-b51a-4adc-9089-09f90b3f0705,c5,c2,27,p2,?,surb={'id': '55deb3b4-fdbb-4089-94ea-3df1b7c9deac', 'route': ['p2', 'e10', 'i9', 'x9', 'p2', 'c5']}
1769453889.4442585,SENT,9042215a-cd81-4a4a-9bd6-c6245b0dde1d,45a71e0a-97e8-44a5-8432-628058a40dcf,c2,c4,3370,?,p2,
1769453889.4444077,CREATED,e000183b-1c8d-4cea-91d1-be552d1a7383,32d8a54d-2e45-4312-b5a3-2f5cc986ada5,c2,c4,27,?,?,surb={'id': 'e572e114-be8e-4197-bd8f-7d2e5b3e4595', 'route': ['p1', 'e3', 'i10', 'x2', 'p2', 'c2']}
1769453889.5095613,RECEIVED,b8122c76-4cfd-443e-967d-4ef4011093ef,4f105fe9-4fa2-4052-867f-d410c6f3f6bc,c5,c2,27,p2,?,surb={'id': '9844e35c-0978-445d-9159-b61332082009', 'route': ['p2', 'e3', 'i3', 'x12', 'p2', 'c5']}
1769453889.5914247,RECEIVED,e306304d-df6c-4188-82f4-adddf974d34a,dc6d6caf-f0e1-40a3-9ad6-e5c88f4290b3,c1,c2,27,p2,?,surb={'id': '73c33a71-78a4-4379-9cc6-0fbed9e949d1', 'route': ['p2', 'e10', 'i9', 'x4', 'p1', 'c1']}
1769453889.6275275,RECEIVED,9d5b7ef1-dc97-4395-8669-06d94fa9f776,e73f9fed-6818-40c9-8bec-2dd89c85ea44,c3,c2,26,p2,?,surb={'id': '6069ac69-4b6d-4377-86d6-f0d4191f5ddc', 'route': ['p2', 'e3', 'i10', 'x12', 'p3', 'c3']}
1769453889.6899085,RECEIVED,2b92e445-33fa-49be-a420-7798cdde456f,38bc38bc-3205-4027-8b79-b256496fffb4,c5,c2,26,p2,?,surb={'id': 'c509049c-2c29-4c9f-973f-46e887611acc', 'route': ['p2', 'e1', 'i7', 'x3', 'p2', 'c5']}
1769453889.8079007,SENT,6d937bdf-7151-40cf-aa02-706864431680,ecd51525-8ef6-4243-8030-2aae382d6424,c2,c4,3392,?,p2,
1769453889.8081324,CREATED,8b116675-628e-4acf-8cf6-b155cf987013,df3db955-3f98-48f6-bce9-b34ecabd3cb9,c2,c4,27,?,?,surb={'id': '129753bc-d0d9-4250-b607-563bdd0cdf1c', 'route': ['p1', 'e10', 'i4', 'x4', 'p2', 'c2']}
1769453889.8453429,RECEIVED,c371a206-718b-4d67-afd3-cf67e4a79e51,0de7d8e1-a0d7-4162-ab14-49c610a2b3af,c3,c2,27,p2,?,surb={'id': 'a29ee6a8-15df-4d22-ac7d-bf4d8b72771b', 'route': ['p2', 'e11', 'i3', 'x10', 'p3', 'c3']}
1769453889.9481661,RECEIVED,d34b0625-9e18-4f96-9724-7ff3de62e6d4,745b775a-7b60-49a3-9904-c5d0d340a591,c5,c2,27,p2,?,surb={'id': '15e91311-b633-4d46-8784-2270f157bee7', 'route': ['p2', 'e8', 'i11', 'x2', 'p2', 'c5']}
1769453890.323715,SENT,ec9eb56e-10c1-449d-a9a5-ac89c0e99584,3596e496-8263-4a29-b832-3401d1d40cd7,c2,c4,3383,?,p2,
1769453890.3238115,CREATED,aeeaf06c-6f69-499e-a87c-2c330242746b,bba923ba-1ba6-423c-aca9-0ade9205c9a7,c2,c4,27,?,?,surb={'id': '5d437bde-c809-4930-897a-cb6fd3a64dd7', 'route': ['p1', 'e5', 'i2', 'x2', 'p2', 'c2']}
1769453890.43237,RECEIVED,4994239d-0d86-403c-b8f7-b99d1f4bf4c4,e89dbb5b-5282-4d00-849a-09469df2789c,c1,c2,27,p2,?,surb={'id': '4ed5405b-d8cf-4966-ba92-d1c6d59521c9', 'route': ['p2', 'e2', 'i7', 'x2', 'p1', 'c1']}
1769453890.57403,RECEIVED,6814b446-8abe-4155-86b3-7cb7ef745ea8,67301c2a-e905-4a06-89f2-116e5e6ceb39,c1,c2,27,p2,?,surb={'id': 'c36be632-1b88-48c8-b1b9-74cf0ba14baa', 'route': ['p2', 'e7', 'i8', 'x7', 'p1', 'c1']}
1769453890.6758988,RECEIVED,3941b9ed-953d-47ae-9706-b80eb1b22a21,61bc33e4-9590-4f22-902a-6984bcd9b5ec,c5,c2,26,p2,?,surb={'id': '1600ff04-5236-4e34-96f0-8267a0d42436', 'route': ['p2', 'e3', 'i10', 'x5', 'p2', 'c5']}
1769453890.785163,SENT,60178ee6-2952-4022-82f8-8ea1684cc275,dc2f9b7e-1d85-4f11-94ac-406b06500130,c2,c4,3384,?,p2,
1769453890.7853048,CREATED,c4fa1cbd-827d-41f2-8093-9ec32ecb3752,6b7eece9-74c9-4f0b-a76c-b2af357eccac,c2,c4,25,?,?,surb={'id': '309a4a91-cde1-47f4-9261-e7344d1e66d6', 'route': ['p1', 'e5', 'i12', 'x9', 'p2', 'c2']}
1769453890.8683164,RECEIVED,b8586a35-5cae-47fd-b11c-ff61bc07459a,a22945b3-a851-46dd-b631-16b74ffff511,c5,c2,26,p2,?,surb={'id': '1c2d65c2-e988-4361-bf13-be81f975f853', 'route': ['p2', 'e2', 'i6', 'x4', 'p2', 'c5']}
1769453890.9252288,SENT,255717cc-19ae-456a-8093-f417a61f43ef,8e29b81c-6bb4-41c6-bd73-316174213616,c2,c4,3376,?,p2,
1769453890.9253776,CREATED,86fdab75-e84c-4244-b1c3-ee9ddbf821c1,93fb04fe-cce2-4d33-b903-095d604e43a1,c2,c4,27,?,?,surb={'id': '18551d2a-9e7c-46da-9dab-1c3559e50616', 'route': ['p1', 'e5', 'i8', 'x12', 'p2', 'c2']}
1769453891.057553,RECEIVED,c794e851-23ca-4cfd-a492-8cf6c356d5b9,c7fc0265-5328-42be-b133-dd8848f1d738,c5,c2,27,p2,?,surb={'id': '8470f0f4-2278-4c07-b0b0-02a1fe108764', 'route': ['p2', 'e8', 'i9', 'x6', 'p2', 'c5']}
1769453891.1603897,RECEIVED,d2b242f3-7e3a-4a23-b9d6-6eaeaad35a6a,82ba36dc-0a2d-4142-826e-dbe6ab07ec8f,c3,c2,26,p2,?,surb={'id': '9ec7db90-fb22-42b9-a297-dcd670103f33', 'route': ['p2', 'e6', 'i4', 'x6', 'p3', 'c3']}
1769453891.285391,SENT,c27c36b7-3861-4871-becd-fa6db858f03e,5d021b30-e8ea-401a-9f40-754595d0d139,c2,c4,3383,?,p2,
1769453891.2854939,CREATED,0dd14fa8-5cda-4d67-bf04-163a56864b07,b82f16f3-7ce9-4ef6-938a-70f925efecd4,c2,c4,26,?,?,surb={'id': 'c15d5461-7e85-425a-b8be-005e18f2696c', 'route': ['p1', 'e11', 'i3', 'x4', 'p2', 'c2']}
1769453891.3059373,RECEIVED,344969ed-576f-43e2-883e-15607784424a,1dbb3aa9-6890-49f9-8de0-091eceeee65c,c5,c2,26,p2,?,surb={'id': '1c458bc6-ca1b-4acd-b4b1-d6e795c050ed', 'route': ['p2', 'e9', 'i1', 'x4', 'p2', 'c5']}
1769453891.6107533,RECEIVED,7016cc94-2578-4c91-a390-6efe6e7053ff,8ba771f6-192d-4872-9c3c-22a3a3d11476,c1,c2,25,p2,?,surb={'id': '91a29b27-6b31-427e-bb73-fef487d2bcd2', 'route': ['p2', 'e6', 'i1', 'x7', 'p1', 'c1']}
1769453891.725623,SENT,21068273-178b-462d-8c86-86c44ce35e65,50fc21c5-0ce3-4968-8904-54a836365f5c,c2,c4,3384,?,p2,
1769453891.7257583,CREATED,a0f90418-9b89-40f8-a860-6b15cb414052,e3e6e9bf-1ab6-4812-98fe-85e38027f6fb,c2,c4,27,?,?,surb={'id': 'b4bfbbdd-a6c0-4872-b321-16d56ed23542', 'route': ['p1', 'e8', 'i8', 'x8', 'p2', 'c2']}
1769453891.7433128,RECEIVED,a4dd523b-a1c5-4c04-9c7f-63608f65c8d2,b30ad0e7-f2d6-4a21-b5ad-0cb69512a499,c5,c2,27,p2,?,surb={'id': '26863c40-b87f-4847-823e-a772300fe635', 'route': ['p2', 'e8', 'i10', 'x1', 'p2', 'c5']}
1769453891.7773294,RECEIVED,f05e8c06-175d-4396-b093-dd69afc09410,15364fe8-efbe-423c-90b1-9ec7e7cd629a,c1,c2,27,p2,?,surb={'id': '1ccd7dc1-161b-40ab-b08b-4a18b2e2832b', 'route': ['p2', 'e1', 'i10', 'x6', 'p1', 'c1']}
1769453891.8771293,RECEIVED,42990b16-a33f-4091-8d53-0d9bed91b370,820fa2a3-5d45-4a64-9e80-76f9a5e45cc3,c1,c2,27,p2,?,surb={'id': '2e5c181d-19f3-4072-9888-6434eb33d688', 'route': ['p2', 'e9', 'i7', 'x3', 'p1', 'c1']}
1769453891.971668,SENT,fa1a08bc-0fc3-4ebb-8fbf-ea915d085614,5fb1e5ab-a70d-450c-9c12-7caf45165640,c2,c4,3359,?,p2,
1769453891.9717383,CREATED,4a6f9a7d-ff92-4154-9af5-dad749b633c0,3a29a7e9-9467-41b3-8efa-97051d4bc26f,c2,c4,25,?,?,surb={'id': '67096415-f45a-4034-8734-1dc3ca9ef833', 'route': ['p1', 'e5', 'i5', 'x1', 'p2', 'c2']}
1769453892.021685,RECEIVED,7ec05df6-9ba9-4a69-994e-854173ce5799,ca97156f-38d4-45cb-9130-00084137b952,c1,c2,27,p2,?,surb={'id': '550930c8-2382-4710-9e6a-9f8006571e27', 'route': ['p2', 'e6', 'i2', 'x6', 'p1', 'c1']}
1769453892.0544934,RECEIVED,2b4d1ad2-0a8d-438c-8c8a-90340c279f6e,355cb0e6-8a5a-45af-a473-85c0746ad0e8,c3,c2,27,p2,?,surb={'id': '5374d49b-dadf-4a54-a757-f7aa5269e34a', 'route': ['p2', 'e6', 'i2', 'x8', 'p3', 'c3']}
1769453892.2073739,RECEIVED,d459df07-7846-4c98-9192-0334ab86dd7a,fbff149f-ccc4-4bea-bff9-2dbc0e797380,c3,c2,26,p2,?,surb={'id': '8ca67448-ec79-4b07-a5ae-9ac3a822f87f', 'route': ['p2', 'e4', 'i9', 'x3', 'p3', 'c3']}
1769453892.2164998,RECEIVED,52bf476c-b545-49ec-82dd-b99f3521e0a3,8cea2c7b-1d4e-4128-9a45-f49fc3baff93,c5,c2,27,p2,?,surb={'id': '6ce157ee-160b-4462-9938-fc0e5a73abb6', 'route': ['p2', 'e5', 'i11', 'x8', 'p2', 'c5']}
1769453892.3206239,SENT,2095c487-ad14-4767-b992-686e4ea4fde9,a04c2273-8665-4b5e-abaa-f04339099412,c2,c4,3380,?,p2,
1769453892.3207667,CREATED,cb607df4-e1b1-40a0-a269-a53e5141d946,e1bed9da-3eae-4d1f-8c3f-1780bc85c238,c2,c4,26,?,?,surb={'id': '9f3eba7a-4ff3-4d62-978b-3fdf79130785', 'route': ['p1', 'e8', 'i6', 'x4', 'p2', 'c2']}
1769453892.4346068,RECEIVED,6c4de8b0-d61b-4ee8-93df-009a8b362be5,08c3dc7a-6625-444c-9837-ea0a9bbd96c2,c5,c2,27,p2,?,surb={'id': '1363b76f-7511-4e19-86fc-44dd3cfab8b0', 'route': ['p2', 'e7', 'i11', 'x1', 'p2', 'c5']}
1769453892.4638922,RECEIVED,cb6c2a0d-a9f5-4ca6-9f23-c74496506467,ef91822a-fdf9-4cda-8de8-3eb50dbcba9a,c5,c2,27,p2,?,surb={'id': 'cff4770d-54de-4f1f-803a-4c3bb706fe52', 'route': ['p2', 'e10', 'i7', 'x1', 'p2', 'c5']}
1769453892.471463,RECEIVED,0df46fbc-d780-44d3-ac0f-7ee3b1a5aa32,c5e83559-f7d1-4e02-ba6e-b3df0f3e95e7,c1,c2,27,p2,?,surb={'id': 'eaa5ad84-ff27-491f-a619-cc21d790e35a', 'route': ['p2', 'e7', 'i3', 'x7', 'p1', 'c1']}
1769453892.5212944,RECEIVED,305b3010-89d3-413b-aa02-834714e762dd,5f592c34-a8c3-4bd5-8e8c-d01e072ff686,c5,c2,27,p2,?,surb={'id': 'f3594bc6-bfef-48b6-905e-5faeabea47af', 'route': ['p2', 'e6', 'i10', 'x5', 'p2', 'c5']}
1769453892.544339,RECEIVED,a3ca6309-84d4-4551-bd9b-fab1df37d02e,9c79ea3a-b26b-4f6c-85ef-c26f04aca9be,c5,c2,27,p2,?,surb={'id': 'd82db1da-5bd9-4e76-bb1f-9db9d679d3a7', 'route': ['p2', 'e6', 'i10', 'x2', 'p2', 'c5']}
1769453892.5853941,RECEIVED,3c798f60-02e7-4e62-bc05-7102daeeb292,a7303bfc-8270-48ad-a719-228d3a684d04,c3,c2,26,p2,?,surb={'id': '79931d5d-362c-4955-977b-31df68ddd33c', 'route': ['p2', 'e7', 'i3', 'x1', 'p3', 'c3']}
1769453892.729234,RECEIVED,e6e6057e-609b-427e-a0e9-c72c9bf0d339,aa76bca6-9085-439e-8371-3612d6a901f1,c3,c2,27,p2,?,surb={'id': 'bb0f1f89-0ef6-4c6f-8610-2e5bbd3ff95f', 'route': ['p2', 'e10', 'i7', 'x3', 'p3', 'c3']}
1769453892.8288798,RECEIVED,d0990dba-1ff9-4ac4-8963-49e7216ac756,8327a086-c361-4350-8ef1-187a0ad2c7db,c1,c2,27,p2,?,surb={'id': '36ae294c-1a91-42b9-9e52-4d293555bb69', 'route': ['p2', 'e8', 'i3', 'x6', 'p1', 'c1']}
