timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453749.0925543,SENT,5bd315cb-10a1-4da8-b2e1-7f5deb2ddb6c,02e25c0b-dd58-47f3-bb18-82198f020487,c1,c2,3392,?,p1,
1769453749.092715,CREATED,1901e35b-7cc0-4582-8d96-2dc9401a7ee2,0224350b-3777-47c4-ba44-24b140549830,c1,c2,27,?,?,surb={'id': '373c2b9c-fa85-4bed-b1f8-c4baabdf967d', 'route': ['p2', 'e11', 'i10', 'x12', 'p1', 'c1']}
1769453749.3195431,SENT,b01dab4f-1298-4642-b5ac-2c4bd2ef8a21,84ccbd28-d221-4e77-937b-a0f8323a490f,c1,c2,3365,?,p1,
1769453749.3196914,CREATED,621fc8ac-2c80-46b7-94db-24661a2f6bd5,e486ecf3-3f71-4916-b815-94687ea04140,c1,c2,27,?,?,surb={'id': 'ad98a988-1a00-4517-9ec1-d883fa314696', 'route': ['p2', 'e4', 'i8', 'x3', 'p1', 'c1']}
1769453749.877256,SENT,b04cf726-ad7a-491d-85f7-518216d7e8c9,f35a145d-3554-4220-a807-5006747f2552,c1,c2,3382,?,p1,
1769453749.8774018,CREATED,8fa334b8-1ba8-4a59-b847-ca25573b72de,1b9ccf5c-cc90-446c-8e31-4323bed62e8d,c1,c2,27,?,?,surb={'id': '73daf22e-46c6-4891-9a2c-463f8162c445', 'route': ['p2', 'e1', 'i9', 'x2', 'p1', 'c1']}
1769453750.5031846,SENT,c6b10e73-276f-4238-a0a6-448af116c107,5ccf6d4a-3dc0-46f6-9e92-2306701adce4,c1,c2,3363,?,p1,
1769453750.5034032,CREATED,c22642ac-46be-4035-a820-5c7032e91a7b,5c08ff24-5f0a-4947-bdb3-9bb5dda02046,c1,c2,27,?,?,surb={'id': '8217914c-a1ff-4a8c-8227-909360e1f5c2', 'route': ['p2', 'e6', 'i4', 'x8', 'p1', 'c1']}
1769453750.6852496,SENT,73097793-5d72-4f51-b84a-16a2cd10f0a6,4b7153f1-0b8b-4903-927c-e50ac8f131f4,c1,c2,3360,?,p1,
1769453750.6853962,CREATED,88afbb3a-e689-4513-a056-d9a46ad09dc1,b8ea47fa-d40b-49dd-be6d-ecd4d47a03d2,c1,c2,26,?,?,surb={'id': 'c3bda44a-20cf-421c-bcd2-655580a26749', 'route': ['p2', 'e10', 'i2', 'x11', 'p1', 'c1']}
1769453750.7645836,SENT,bb21ac37-348b-4a3e-a934-d3d17687301e,ced42d8d-0e37-415a-a4ff-163faa73fdb6,c1,c2,3383,?,p1,
1769453750.7647586,CREATED,b6535d11-10c5-4e0f-940b-0ea92ffe9626,fdc44a8b-f777-421c-a232-e1a7beb37b71,c1,c2,27,?,?,surb={'id': '85722bad-d5f3-49a0-b09f-1d7ceb2948ad', 'route': ['p2', 'e12', 'i10', 'x9', 'p1', 'c1']}
1769453750.994563,SENT,145804cc-6337-4521-ab04-ca1c8656388d,c761463f-fd4a-42ac-8878-bbf9cb810285,c1,c2,3400,?,p1,
1769453750.9947166,CREATED,1072e42c-06c3-4d58-b61f-bdfca0bc25b2,4cabf264-7a1d-4ace-a8a5-ac712c4b13f1,c1,c2,27,?,?,surb={'id': '61e73a79-221d-480d-bafb-cb4496b9a554', 'route': ['p2', 'e10', 'i12', 'x4', 'p1', 'c1']}
1769453751.0021782,SENT,3dcb8dc9-921c-4143-8b24-c620a8ef34c5,30b88cea-0d97-458f-920f-b3a01a370aec,c1,c2,3354,?,p1,
1769453751.0023263,CREATED,e056358e-8ec3-4a84-adcc-55e0c6efd476,bfa745bb-c96e-441a-90e8-0ea6d31e978f,c1,c2,24,?,?,surb={'id': 'cb7dfe01-77dc-4875-8c6b-0b8ff1bab9a2', 'route': ['p2', 'e6', 'i5', 'x2', 'p1', 'c1']}
1769453751.052437,SENT,f781103a-9994-4863-94e8-96b97e7293dd,24f7d218-cc17-4da6-8281-82649a710ced,c1,c2,3384,?,p1,
1769453751.0525808,CREATED,7699b560-7799-4fa0-9ae7-05e4431082bd,1104c672-dec8-4c10-a444-eadd92985c58,c1,c2,27,?,?,surb={'id': 'fd652b6a-7518-41d5-baa1-ccaf79f2026f', 'route': ['p2', 'e9', 'i3', 'x12', 'p1', 'c1']}
1769453751.3060877,SENT,bdb84d24-cdc2-4db2-ab8d-7461fd600755,7a8db491-3fb9-48a8-87aa-52bdc871a0e2,c1,c2,3398,?,p1,
