timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769394420.5143616,SENT,4698923d-ca94-4a4c-a16c-5436c3cc07e0,f13d0455-0bf6-41de-8d3f-ef9573b53413,c2,c5,3371,?,p2,
1769394420.5145197,CREATED,8e641d11-d5db-453d-8f41-109c198f2819,0c433807-9e1e-4aca-a543-e81c31030b2c,c2,c5,27,?,?,surb={'id': '7bf7d4ba-5204-4724-ace0-887fa1366f46', 'route': ['p2', 'e8', 'i5', 'x9', 'p2', 'c2']}
1769394420.654825,SENT,0867bcfd-8348-4110-a8b6-923a0f41be23,b6f6279a-c2e6-47e9-b35e-2ba58b679f22,c2,c5,3395,?,p2,
1769394420.654962,CREATED,34b5e8ad-fa1b-4b41-afa7-3d33f6748361,88c453e2-b64e-422d-a677-fc8eabf64f98,c2,c5,27,?,?,surb={'id': '0f502bbd-1d5e-475f-8f6f-aee255aa015c', 'route': ['p2', 'e6', 'i1', 'x11', 'p2', 'c2']}
1769394421.3826668,SENT,2a0367b8-36b2-4a10-b9d7-6a2174b4a06f,f9317707-77b5-44ee-86fc-86cbc9f9fafe,c2,c5,3379,?,p2,
1769394421.3828156,CREATED,b6705fd6-e77f-41aa-af1a-a13e2ea5d457,25238d53-2719-4a29-9dcd-8afce2fdec47,c2,c5,27,?,?,surb={'id': '3da16938-7cda-49d4-8f7a-1b7a2fb569c9', 'route': ['p2', 'e1', 'i10', 'x7', 'p2', 'c2']}
1769394421.4502783,SENT,7755eb1b-be0a-4171-a997-765377cb54f7,61f07fcd-3bd5-4d75-a5fb-93e183539e0a,c2,c5,3401,?,p2,
1769394421.4504235,CREATED,90f4f1b1-4aa1-4f2c-a3c3-7fb3ada6dafb,3502dec6-9322-4760-9011-3ec3eea52550,c2,c5,27,?,?,surb={'id': 'abda1df4-022f-466e-8bb9-ae7341d7dcd3', 'route': ['p2', 'e11', 'i6', 'x4', 'p2', 'c2']}
1769394421.982319,SENT,1a6ecce1-1a0a-47d8-92e8-cd291052698b,3376cf17-f05a-4a14-a8b2-a4de99f3bc8d,c2,c5,3388,?,p2,
1769394421.982466,CREATED,16c6b1ae-408e-4851-baf4-60db507af605,e51bc159-f095-4446-80ed-f7026b527bf1,c2,c5,26,?,?,surb={'id': '959eb01f-1142-45b8-82d7-3af749013a6a', 'route': ['p2', 'e8', 'i6', 'x12', 'p2', 'c2']}
1769394422.1365278,SENT,95096964-88be-495a-9119-e680fa781a38,e58f5a14-7202-4ee4-8832-d55ac2ba9444,c2,DROP,2023,?,p2,
1769394422.1366563,CREATED,2f05137e-58ea-455e-a363-80e62e6fecab,9f93cf80-f68b-40dc-b5c6-8c89911d8b61,c2,DROP,27,?,?,
1769394422.5404892,SENT,cf26ea49-efa0-4293-a722-88ce812e4770,375acb3d-e6c5-4539-9f84-33bb53370c63,c2,c5,3388,?,p2,
1769394422.5406404,CREATED,21a523b6-ecd3-4bb4-81fc-e58c68970367,d013f0d0-afb6-4271-aa9d-4fe0ba2dd21e,c2,c5,27,?,?,surb={'id': '2c1aeb29-1f7f-4069-ae67-e06fb04b68a0', 'route': ['p2', 'e6', 'i10', 'x3', 'p2', 'c2']}
1769394422.5721405,SENT,2a89cdc6-5b98-4606-bf05-e0b7b9c11042,2bac6088-6369-4df5-8f52-25220d1fcdca,c2,DROP,2015,?,p2,
