timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769394423.5881913,SENT,468d9f20-6865-444b-b6c5-9e1a514f70d2,d0490ca0-1ed4-43e1-b02a-0f1f52ece519,c4,c2,3379,?,p1,
1769394423.588348,CREATED,2993931d-14d6-4bc0-b1ad-baaa729bd227,84721b02-b166-4c63-a7f4-ebdce2dff48e,c4,c2,26,?,?,surb={'id': '732a1fbd-647a-4a62-92cb-089532d5e863', 'route': ['p2', 'e9', 'i11', 'x2', 'p1', 'c4']}
1769394423.608866,RECEIVED,36cbd6b6-8b96-486b-9411-61cda20431d4,0ba092eb-b095-410a-8086-0663f252766b,c5,c4,26,p1,?,surb={'id': 'ab891b93-8c57-4bf9-a52c-d82d5868e975', 'route': ['p1', 'e2', 'i9', 'x6', 'p2', 'c5']}
1769394423.6494107,SENT,1e02eb79-d6d8-4c3c-93f8-3d383bb1f9b1,7a39f7bd-4afc-4730-8951-45f6f68c0bc7,c4,DROP,2020,?,p1,
1769394423.6495726,CREATED,a218aa92-3b19-4f5a-8f1f-785f29c15ca2,53a96f5b-852b-4333-b4ee-9ba535fca1ce,c4,DROP,27,?,?,
1769394424.3855765,RECEIVED,5bedc48a-147e-48f8-be8b-4aa904b7cd2f,870e994e-d77d-4416-a876-f2cddc0a5f22,c5,c4,27,p1,?,surb={'id': 'd266e0e9-a285-4ef8-87ef-ce6021d2deb4', 'route': ['p1', 'e6', 'i4', 'x11', 'p2', 'c5']}
1769394424.5395505,RECEIVED,4c11aa38-723c-49b6-861a-3fd59278f30e,ec466791-ccfb-4844-b728-60489ee94cc2,c5,c4,27,p1,?,surb={'id': '78cad71d-322c-4fbe-947a-9fef8ee384d2', 'route': ['p1', 'e2', 'i3', 'x11', 'p2', 'c5']}
1769394424.7012014,RECEIVED,21ea120c-05ef-44c6-8934-fd386e861619,5d57e778-03eb-495a-95d5-d517374118b7,c5,c4,27,p1,?,surb={'id': '16db704f-0ecf-4862-bb97-5511a17ca4cc', 'route': ['p1', 'e10', 'i2', 'x1', 'p2', 'c5']}
1769394424.7904797,RECEIVED,0b7da706-9952-4d29-8a5e-8a15e2bbf5c7,9dacfce8-5f19-4bf4-9f79-b3b86682d852,c5,c4,27,p1,?,surb={'id': '67c4641f-dacb-4204-a636-a420717d4aa8', 'route': ['p1', 'e3', 'i10', 'x3', 'p2', 'c5']}
1769394424.917468,SENT,fefc1e29-288b-4744-a7d1-738489648fac,0cdc0443-3f2a-42a2-97c4-68626e9aa472,c4,c2,3393,?,p1,
1769394424.9176164,CREATED,47054f7f-ddb5-4c5e-93b5-e3e438df32d9,dfbbe9a8-e203-4b3d-afbc-9a10a902a32a,c4,c2,27,?,?,surb={'id': '3bc8b1aa-ef94-4d4b-88e8-905783cf5b9f', 'route': ['p2', 'e6', 'i10', 'x3', 'p1', 'c4']}
1769394425.6738994,SENT,b14a6e31-1456-4bed-bdb8-24b551978c1b,6ee3557d-2656-4d22-b005-7bb9a8dc21c6,c4,c2,3359,?,p1,
1769394425.6740706,CREATED,25ec5550-a9f8-4668-8774-aab8c1ddfa5c,f69f715e-fe9c-49ff-8bc6-11d8123614ba,c4,c2,27,?,?,surb={'id': 'd2e7ac4e-39eb-4d7a-b40a-aadebc67f309', 'route': ['p2', 'e12', 'i10', 'x2', 'p1', 'c4']}
1769394425.9177752,RECEIVED,d5138a64-84b8-4b66-aac9-3db5ae4c558d,5c28ef80-88a5-4aa8-9039-b113f87a635f,c5,c4,26,p1,?,surb={'id': '8a151581-5611-4af3-9f24-c1fd596b1b82', 'route': ['p1', 'e6', 'i9', 'x2', 'p2', 'c5']}
1769394426.0786297,SENT,49d9a89b-359f-4f05-ba55-2c29311c8d86,1140f1aa-6ec1-4bd5-82ff-68b72aa1d900,c4,c2,3384,?,p1,
1769394426.0788372,CREATED,646f7609-f7b5-4e3e-a7fa-5d601ad371e7,e28a57c4-e3a4-4191-9f75-7bc4094dc72f,c4,c2,27,?,?,surb={'id': 'f491d4ca-fbff-48fe-9236-05b60d5fc050', 'route': ['p2', 'e3', 'i4', 'x4', 'p1', 'c4']}
1769394426.097186,RECEIVED,14ef7429-cf70-4481-a2ee-d3f1c64836db,80c34655-ec17-495d-9188-0bd009704a4c,c5,c4,27,p1,?,surb={'id': 'abef82f2-1cab-45cd-9556-e9f6c91c49cc', 'route': ['p1', 'e8', 'i7', 'x12', 'p2', 'c5']}
1769394426.373976,RECEIVED,9eb3d221-adc0-454f-8471-6d2ba5032d41,74e5f804-e035-4c29-8590-4461612b10d5,c5,c4,27,p1,?,surb={'id': '09f5b924-437e-4a70-beb5-059bbbdde1ed', 'route': ['p1', 'e10', 'i4', 'x11', 'p2', 'c5']}
1769394426.8136501,SENT,8613b383-d97d-4df4-b4b9-c42695075a6b,0356e823-5d8f-484f-ad28-0d075898a31a,c4,c2,3376,?,p1,
1769394426.8138008,CREATED,54c266d7-866e-43fb-8c9c-125c318db1eb,408da4f6-3513-4e4e-8bbd-91cc972d9e1f,c4,c2,27,?,?,surb={'id': 'd994c3b1-1910-4920-9c5b-62aa7349793c', 'route': ['p2', 'e2', 'i1', 'x10', 'p1', 'c4']}
1769394426.8512487,SENT,755f4ae4-ba80-4b37-8495-638a2321d2dc,32afa702-317d-49dc-a856-2ff4d70cc898,c4,c2,3376,?,p1,
1769394426.8513954,CREATED,5eed3917-76dd-4578-9a52-ab859f7d3502,9ae460c6-6bd2-4102-a3ef-abffc7f5088c,c4,c2,27,?,?,surb={'id': 'f304256d-3d97-48f4-b2d9-6e5be429c07d', 'route': ['p2', 'e8', 'i9', 'x3', 'p1', 'c4']}
1769394426.921147,RECEIVED,f57b8157-46bd-4f81-ad56-28585fd0373f,790c7ee3-0d10-4388-a2cb-2d5e98ee0c1f,c5,c4,27,p1,?,surb={'id': '1d94a6b9-b480-4deb-8685-9289928c7634', 'route': ['p1', 'e12', 'i7', 'x9', 'p2', 'c5']}
1769394427.1829717,SENT,7870c178-e870-4ae8-b44a-cdfa3483a5de,29d63dcd-605d-452b-b910-8b5afbd21720,c4,c2,3379,?,p1,
1769394427.1831539,CREATED,a7e5cd8d-066f-4b48-9c77-26b19faa74ad,f57b3fbf-4c06-485a-9c22-adbe7ab2433d,c4,c2,27,?,?,surb={'id': 'b7e66aa3-4510-4838-92dc-b9306a82f813', 'route': ['p2', 'e6', 'i6', 'x11', 'p1', 'c4']}
1769394427.4382536,SENT,c4d6c060-eb2f-454c-bfb0-ee142ef2e483,372b8bbf-e74d-4d3d-8914-f0fe13a5ea8f,c4,c2,3392,?,p1,
1769394427.4384232,CREATED,a5723016-06ca-4c1c-bd24-09310c096ef4,09056d57-4acd-4beb-a492-5802317a8d97,c4,c2,27,?,?,surb={'id': 'aefd10a1-5abb-4c9c-af0b-11cb68b1df3a', 'route': ['p2', 'e11', 'i10', 'x7', 'p1', 'c4']}
