timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495079.7733986,SENT,3e200fe0-837a-4eb2-a02d-4c7da16178d0,4a636477-bd28-46cd-b4d9-7733c780af4d,c2,c3,3380,?,p2,
1769495079.7735593,CREATED,ab76ff46-7edc-4bbf-9f8f-f1d2ae9353bc,a2c408b6-40f7-47e5-85a8-99cf0476f36c,c2,c3,26,?,?,surb={'id': 'e3ca24b9-e850-4762-a465-a3c39ac5c6bd', 'route': ['p3', 'e7', 'i9', 'x5', 'p2', 'c2']}
1769495081.3224788,RECEIVED,1f96fd07-0266-4ac0-8a44-81b70a5e32b7,e52275e2-d3a1-4dd3-b8e1-bda22ed76f25,c5,c2,27,p2,?,surb={'id': '6eeb8bcf-beec-48d5-a5c1-93165c5d9429', 'route': ['p2', 'e8', 'i11', 'x12', 'p2', 'c5']}
1769495081.3347454,SENT,3dab9fe8-c5ff-4d0f-a9bd-d5ecb96b7948,d162c5b7-a71a-4ed7-9895-62c853cc3f49,c2,c3,3375,?,p2,
1769495081.3348691,CREATED,926366fc-77ab-4dc1-aa55-c98bfd8c091f,7ea2aad4-0cd1-414c-b7a9-05e3d7a2c697,c2,c3,27,?,?,surb={'id': 'e5f7bf69-2452-4bae-a217-bdd86e0f5223', 'route': ['p3', 'e2', 'i8', 'x12', 'p2', 'c2']}
1769495081.7966015,SENT,3fe96ae6-ef67-47cb-996c-1b84a4752b99,4bb7d291-9966-4aee-997f-16a85609d7b5,c2,c3,3361,?,p2,
1769495081.796748,CREATED,e3a2c793-9dc5-400e-bf84-d3e136312d79,40ff10d8-eed1-4336-b578-3336937af84f,c2,c3,27,?,?,surb={'id': 'b06dc5d9-f129-4218-98fa-499452b258cc', 'route': ['p3', 'e1', 'i8', 'x4', 'p2', 'c2']}
1769495082.0237074,SENT,68fd40c5-5626-474b-9769-966d3f6abbe1,1f14dfa9-0e54-49ed-a0e7-39211b9ddb9f,c2,c3,3359,?,p2,
1769495082.0238469,CREATED,e8a1706d-f371-4358-b09f-28afe6a55ba6,30aea092-e125-4afe-8108-8052204a91b0,c2,c3,27,?,?,surb={'id': '369fecb3-0390-4c8b-9619-773e8dfe1a81', 'route': ['p3', 'e2', 'i8', 'x4', 'p2', 'c2']}
1769495082.1969504,SENT,f073fa21-ecc1-45d4-8717-df345f0dde8f,fb046cc7-24f7-4b83-bf4c-81378b24bf89,c2,c3,3376,?,p2,
1769495082.1971304,CREATED,52721e39-ad30-428f-9a24-082a30065811,d173a53a-f4a1-46b2-99c8-7da8ed958836,c2,c3,27,?,?,surb={'id': '55e40ea3-9554-49bd-ab87-21b6b27b06ca', 'route': ['p3', 'e11', 'i5', 'x6', 'p2', 'c2']}
1769495082.7484624,SENT,d25ea622-49eb-4506-be45-1bfe8ed823d5,28213275-1123-470e-bf62-93c136406b64,c2,c3,3394,?,p2,
