timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495085.2077768,SENT,8853e7e7-1fa6-4a96-9547-8408c2fae291,8db861cf-2fb2-4535-aaeb-b85bfd9f4ebb,c3,c4,3376,?,p3,
1769495085.2079277,CREATED,93744022-edda-421f-9af6-62d891c39ef8,2a9a2b77-401f-4436-88fb-d97f9d2a9fe4,c3,c4,27,?,?,surb={'id': '4f9096e6-262e-4c42-b4d9-f12f2a502e5a', 'route': ['p1', 'e5', 'i5', 'x8', 'p3', 'c3']}
1769495085.3882854,RECEIVED,aa3a8b6e-05ab-4ad8-b870-3900a560e7c5,4366acdd-616b-4fb4-9dc2-a3452fea772e,c2,c3,27,p3,?,surb={'id': '1d5b1eda-955f-4e93-a7d6-4abb8dfb67b4', 'route': ['p3', 'e10', 'i8', 'x3', 'p2', 'c2']}
1769495085.7944608,RECEIVED,894d5b60-2421-4e7e-9e89-91dbf258a01d,3a93b91f-8e8d-4018-929e-1d84c1d328b4,c4,c3,27,p3,?,surb={'id': 'ffa6375f-2b1f-4cad-9836-70c0493e5fdb', 'route': ['p3', 'e9', 'i6', 'x1', 'p1', 'c4']}
1769495085.92979,RECEIVED,f2e505bf-605d-4c6e-b142-3dbccde6980c,d054fd67-f701-4233-a239-013a89a983a6,c4,c3,27,p3,?,surb={'id': '003d0006-e81a-4001-b7b9-5cc9a4cbce2e', 'route': ['p3', 'e11', 'i11', 'x7', 'p1', 'c4']}
1769495086.0005498,RECEIVED,a9d68974-2ba0-4d78-8517-c2eb722844c7,ec253f2f-7815-419f-89ef-03e20883b0a8,c2,c3,26,p3,?,surb={'id': '84630814-16cf-4f78-9618-6d3f5fe18e92', 'route': ['p3', 'e1', 'i3', 'x11', 'p2', 'c2']}
1769495086.0209403,RECEIVED,a181d852-2ae9-418d-b09c-96047d4e49d8,4f85d3ac-2bfd-4cb3-befc-49e76b7c792f,c4,c3,27,p3,?,surb={'id': '5bbd0a09-fb02-407f-abc8-09e1fdb8bc86', 'route': ['p3', 'e1', 'i11', 'x8', 'p1', 'c4']}
1769495086.0833387,RECEIVED,e982eb29-95b9-492c-ab03-84af8a812b00,79bd0a05-36a5-4cd0-a3f0-09a87dfd4c21,c4,c3,27,p3,?,surb={'id': 'c41f0290-4b13-4cb3-9678-2e52b574cc39', 'route': ['p3', 'e11', 'i10', 'x7', 'p1', 'c4']}
1769495086.5254927,RECEIVED,17c0ebfe-2232-4739-a2df-1e92955c2b33,72a17d70-66da-4474-8c0e-23356b50db86,c2,c3,27,p3,?,surb={'id': '33498554-84a0-4ae2-8751-4512fe2745c1', 'route': ['p3', 'e8', 'i10', 'x12', 'p2', 'c2']}
1769495086.7286525,SENT,56d15711-41a0-400c-8577-2adc29e2f99d,cfaa51ff-1026-4572-999e-94bfcf41c6ef,c3,c4,3388,?,p3,
1769495086.7287924,CREATED,6c2714ce-ad5f-417f-9a49-fdd9dd7da798,4574e36a-677e-45e6-9008-141e7f49fd01,c3,c4,26,?,?,surb={'id': '1095c8b7-6e54-4ae6-81be-a7b0fa3e8132', 'route': ['p1', 'e7', 'i1', 'x5', 'p3', 'c3']}
1769495086.9320836,SENT,7c0f3b35-8a05-469f-ab7a-2018a31e4d50,796581fe-5632-415d-b5a0-d278af2e65f9,c3,c4,3408,?,p3,
1769495086.932235,CREATED,37058cfc-7299-468a-9fc6-f1a52bc314aa,3e6c3d75-3f9d-4703-9231-b808c3f18a14,c3,c4,27,?,?,surb={'id': 'bb2432fb-2ee1-43d8-b282-129e605b5035', 'route': ['p1', 'e2', 'i9', 'x12', 'p3', 'c3']}
1769495086.963456,RECEIVED,399833e0-8a4f-4b6c-9bb0-ff4b58deaf04,fe361483-33bd-4172-a008-6d39368e70e0,c4,c3,27,p3,?,surb={'id': '59f4058f-c8b6-49a1-acda-02af60339462', 'route': ['p3', 'e1', 'i11', 'x6', 'p1', 'c4']}
1769495087.141029,SENT,be8beb8f-1e9f-4e8e-9dac-d64cfd8c029b,603f1450-6759-4221-a0a9-3d5e7d4c64cb,c3,c4,3390,?,p3,
1769495087.1412337,CREATED,c83c6b73-38ba-47d4-a282-f455b231a7a0,0703b085-52bd-4f4d-97e3-b6a1dd494490,c3,c4,27,?,?,surb={'id': '79b772a2-129d-46e5-b7c9-ce585f415471', 'route': ['p1', 'e12', 'i7', 'x3', 'p3', 'c3']}
1769495087.2621405,RECEIVED,4dfbb8e2-89de-42f6-b880-570fcacd8e78,39660e95-dd9d-43c7-a334-618e8d0d4533,c4,c3,27,p3,?,surb={'id': 'fb814519-6aae-409a-8159-6e058488b7a7', 'route': ['p3', 'e4', 'i3', 'x7', 'p1', 'c4']}
1769495087.2974415,RECEIVED,ad2c29bc-33e3-4c48-92d4-bce4a4c4420e,071312ee-f6fb-4522-a340-9b8a3e217cb6,c4,c3,26,p3,?,surb={'id': 'baa351ae-5217-4fd0-8768-d50c6d25c186', 'route': ['p3', 'e1', 'i10', 'x8', 'p1', 'c4']}
1769495087.5745203,RECEIVED,3213af56-fbf4-4199-87f0-816312e11f92,03426822-021a-40f8-91c6-292bbb4b78e7,c2,c3,26,p3,?,surb={'id': '44c59110-2d1b-4314-9f9c-d14e7e1ecd6d', 'route': ['p3', 'e10', 'i3', 'x3', 'p2', 'c2']}
1769495087.615992,RECEIVED,4c8efe2c-78bc-48d2-b787-4358ac5608fc,d92891fd-8874-4ec9-b0f3-b72bbc31d66b,c2,c3,27,p3,?,surb={'id': '19ef97a7-96e2-4b77-9fd2-9c5f3659d228', 'route': ['p3', 'e9', 'i8', 'x5', 'p2', 'c2']}
1769495087.629375,RECEIVED,57c9278c-6625-46f6-8b6f-d04ab33f75f0,f6ed4033-0db5-42ea-b72d-0688b864095f,c4,c3,27,p3,?,surb={'id': 'd785e9b3-9194-4fc1-95ca-b26fec6b6b48', 'route': ['p3', 'e5', 'i11', 'x5', 'p1', 'c4']}
1769495087.7362988,RECEIVED,b90ee30d-3449-44aa-b44b-2b63a7d0d418,7c1ade70-70ac-4dd0-8206-abd010d02489,c2,c3,26,p3,?,surb={'id': 'd9db5e48-699f-428f-8ba0-440c55f8b29a', 'route': ['p3', 'e4', 'i5', 'x7', 'p2', 'c2']}
1769495087.9276013,RECEIVED,10df439b-66f8-4e05-b1eb-a2104714fe60,785cd3c3-3c79-4005-9c91-0d3fc2580687,c2,c3,27,p3,?,surb={'id': '412da06d-f2b3-46df-ba7e-e602fbff8671', 'route': ['p3', 'e9', 'i5', 'x7', 'p2', 'c2']}
1769495087.9485717,SENT,4dfb60d0-7706-423d-b0ec-30b6a49778bf,5edf2622-6f08-4220-87f4-80d42f50e41a,c3,c4,3403,?,p3,
1769495087.9487052,CREATED,dcf9d6ca-732d-4b22-b2d3-191b06b66060,eababafb-7a84-4428-a4f0-b7e898a20757,c3,c4,27,?,?,surb={'id': '5d453220-f18c-408c-acea-2fe858ffe04f', 'route': ['p1', 'e8', 'i11', 'x4', 'p3', 'c3']}
1769495088.0837016,SENT,20bffaba-d440-457f-9c7c-d15c875e31bb,25f2091a-52b5-4a1c-8405-3ca785f5a102,c3,c4,3388,?,p3,
1769495088.0838528,CREATED,1566b44e-ed7d-43e1-8556-8da47a060e76,103f1f5a-4df3-477a-9df8-c1365b5a4ba7,c3,c4,27,?,?,surb={'id': 'b3d6787f-09aa-4932-9fc5-11f4f2b9c842', 'route': ['p1', 'e6', 'i7', 'x7', 'p3', 'c3']}
