timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495223.647874,RECEIVED,2cae4907-bb84-42c6-ab2f-1a2b83e01fb9,f74d1f8e-dbf9-4cbe-ad15-c7e524612fde,c4,c3,26,p3,?,surb={'id': '60d9347d-7330-47a4-b94f-ae23d205377d', 'route': ['p3', 'e8', 'i12', 'x5', 'p1', 'c4']}
1769495223.728826,SENT,28ec92b7-2457-4103-a7de-4a516982c419,b320cff4-4b95-4203-89e8-2c156b508dfd,c3,c4,3360,?,p3,
1769495223.7289147,CREATED,1c97e49a-a284-451b-ab4b-2a32abda6194,6de0c0b1-76d1-48b2-9f4d-d2a96b0f0657,c3,c4,27,?,?,surb={'id': '2989bd17-57a6-478e-96ae-0f6680b4d1d2', 'route': ['p1', 'e1', 'i6', 'x12', 'p3', 'c3']}
1769495223.7605426,RECEIVED,879f9242-b29c-409d-9bb5-85f4ae7c9aa8,c53e7952-c6db-4da4-8284-4207ce0815a6,c2,c3,26,p3,?,surb={'id': 'ace7d92d-36e0-49e0-9f86-2ef3ccd33c84', 'route': ['p3', 'e2', 'i9', 'x4', 'p2', 'c2']}
1769495223.8237896,RECEIVED,f6f600cf-cb5e-4738-be30-598990aca29a,631e3394-5ed6-48e0-b1dd-6491cc9e1196,c2,c3,27,p3,?,surb={'id': '51647761-9d63-474b-90ca-997f2b7fa93f', 'route': ['p3', 'e7', 'i12', 'x1', 'p2', 'c2']}
1769495223.967168,RECEIVED,a9aa8560-784a-4223-a094-82ef7099f3d6,1f0d1799-b55b-4a40-80db-e4bbddc97367,c2,c3,27,p3,?,surb={'id': '850398de-41f2-4879-b105-ca767e827ec3', 'route': ['p3', 'e9', 'i9', 'x12', 'p2', 'c2']}
1769495223.987635,RECEIVED,4ac496b3-e2ee-4965-8878-c9db38b41461,5e87328c-cfac-4824-9abb-ea3269ce8de0,c4,c3,26,p3,?,surb={'id': 'cd847855-c004-4e32-9d0b-39fe3a4fbe19', 'route': ['p3', 'e8', 'i9', 'x7', 'p1', 'c4']}
1769495224.1024218,RECEIVED,1a736ee1-c185-4f75-934e-1f91ac5c0f14,44c8deae-779e-4799-96d2-b1b6728b5076,c2,c3,27,p3,?,surb={'id': '221ce2a4-cf8b-4408-a6b3-439e6099d16e', 'route': ['p3', 'e8', 'i1', 'x10', 'p2', 'c2']}
1769495224.1630754,SENT,19c8e0d9-737c-459a-86a2-c4dc412eb861,b43b47a4-a0d1-48b2-9271-c29e00681939,c3,c4,3384,?,p3,
1769495224.1632097,CREATED,9e52ac03-b5aa-43c3-92e4-2776a10516f8,1a50d887-2472-4a05-870e-ea1730b37c6d,c3,c4,27,?,?,surb={'id': '857b5b3e-7779-420b-97c5-f660c8dc5d84', 'route': ['p1', 'e9', 'i6', 'x4', 'p3', 'c3']}
1769495224.2782025,RECEIVED,41e7c9d3-c1af-4121-97c8-e962d764112e,4e512c52-4c98-4a25-9244-980ef8d785dc,c4,c3,27,p3,?,surb={'id': '68ba4a58-13bb-4ece-b3bc-7ad928c12c27', 'route': ['p3', 'e5', 'i2', 'x5', 'p1', 'c4']}
1769495224.3879673,RECEIVED,0f590f77-db4e-45f3-a5c8-4078b3f6198c,27ae1f07-9f9d-4514-bb42-a934f9b281ef,c4,c3,27,p3,?,surb={'id': '2d56ec10-d7c4-497d-b860-f3265358c810', 'route': ['p3', 'e6', 'i8', 'x7', 'p1', 'c4']}
1769495224.408149,SENT,220832e3-84b5-4bc2-803e-3cec7e714a91,ed01547c-ba63-4073-ba12-c02790a8bf13,c3,c4,3373,?,p3,
1769495224.4082966,CREATED,1c9443f0-e1ea-47b5-86b9-9e51c7e701a1,bb65e634-ade4-4206-8776-2b222cf5c591,c3,c4,27,?,?,surb={'id': 'b50e940b-91de-465a-a38c-994c4dae34ee', 'route': ['p1', 'e5', 'i8', 'x1', 'p3', 'c3']}
1769495224.4215183,SENT,cb9ff557-f3b4-43a5-8eed-6cdeda557643,3dd0ce38-1534-4c91-8bfb-7c36e2412f52,c3,c4,3376,?,p3,
1769495224.421669,CREATED,25ac72e6-2610-4eff-a50b-b02063e0ca1e,abd53cf2-2b80-4dd3-895e-64301b623b40,c3,c4,27,?,?,surb={'id': '31853de8-72a9-4b75-b044-8432ad2a099f', 'route': ['p1', 'e5', 'i8', 'x7', 'p3', 'c3']}
1769495224.4412963,RECEIVED,50ae920e-8c4b-46eb-9c64-7fb6bd7fb5b4,811adb10-c2fe-479e-a352-ddb89d58cc92,c4,c3,27,p3,?,surb={'id': '7e718258-639f-4ed9-823a-04006a8d1359', 'route': ['p3', 'e12', 'i9', 'x4', 'p1', 'c4']}
1769495224.5747921,RECEIVED,efae54b3-5426-4fcb-81f3-895dac292096,ec62bc36-48a9-4609-b387-c952292e24bf,c2,c3,27,p3,?,surb={'id': 'c024ed4e-05be-4d76-9743-56123b34f524', 'route': ['p3', 'e12', 'i11', 'x9', 'p2', 'c2']}
1769495224.6431594,RECEIVED,c73702f2-4a44-4df0-a3fb-b69a1c0fce49,43d20de2-66b6-4514-b574-8ba1d76c8856,c2,c3,27,p3,?,surb={'id': 'c2392ae0-209d-4710-a891-79d942c1db34', 'route': ['p3', 'e12', 'i5', 'x5', 'p2', 'c2']}
1769495224.6513655,SENT,e5894366-c008-4ae3-9f3c-688ce3af55b7,c1b14c64-300f-4883-a560-9eef9db184b1,c3,c4,3378,?,p3,
1769495224.6514657,CREATED,0dc24bdc-9acd-4629-a935-2d515ff43cb9,58c6aa7d-8793-4b28-8175-7932deb39868,c3,c4,27,?,?,surb={'id': '3361090b-cb59-4075-a0b8-9bff6707cecc', 'route': ['p1', 'e11', 'i6', 'x3', 'p3', 'c3']}
1769495224.696284,RECEIVED,5e4744c8-1561-4174-bddb-8010254afa4e,c38e2663-7faa-4295-965b-13a26827ec2d,c2,c3,26,p3,?,surb={'id': '4acf8f41-9231-4e2a-b971-d2bb8b18335f', 'route': ['p3', 'e10', 'i2', 'x6', 'p2', 'c2']}
1769495224.9389644,RECEIVED,34b81c98-e8e9-42a3-87bf-c2950d51f61a,055b259b-5451-4016-8f89-61ec1769a74e,c2,c3,27,p3,?,surb={'id': '5145ad58-afbe-4cec-a26a-3bad42b7fadf', 'route': ['p3', 'e11', 'i10', 'x6', 'p2', 'c2']}
1769495224.971668,RECEIVED,984addf2-f0d4-4d53-838f-ef0aff7cfd97,16e3351c-3a40-4e79-863c-4494ec09f914,c4,c3,27,p3,?,surb={'id': '6cb7174e-19f2-4836-896e-594398786c37', 'route': ['p3', 'e7', 'i12', 'x5', 'p1', 'c4']}
1769495225.0814211,RECEIVED,4ab1d5f8-4a68-4b20-a1ff-5dbdf5a3a72b,74306c3f-0071-4057-8a58-143a17c49191,c4,c3,27,p3,?,surb={'id': '4f6e55a1-eb50-47a8-85e4-7ad6870d1d53', 'route': ['p3', 'e4', 'i5', 'x2', 'p1', 'c4']}
1769495225.1233156,RECEIVED,c4f03324-35bd-4a2d-a474-10a90aed8d38,eb66b973-1e84-4f10-870e-a788a7c693a7,c4,c3,27,p3,?,surb={'id': 'be702989-3c67-4f60-9fd8-093f35f28aee', 'route': ['p3', 'e9', 'i6', 'x3', 'p1', 'c4']}
1769495225.1597347,SENT,71c560f6-5637-4554-b28d-86a8af9f34d8,cac73173-eae7-4e9b-92f8-cd0845b3a800,c3,c4,3383,?,p3,
1769495225.1598337,CREATED,b138c994-ddfc-4e34-9fc2-a64478cb0b90,1c8cbfe7-549f-4310-82c2-1fec2580dc82,c3,c4,26,?,?,surb={'id': 'f366d3c5-469d-4347-ac1a-8ce36a3cb6bd', 'route': ['p1', 'e4', 'i11', 'x12', 'p3', 'c3']}
1769495225.1903007,RECEIVED,7d8fae46-a34b-438b-94b6-ae24cda5d565,519da2c2-7b04-4258-933f-306e11cf3798,c2,c3,26,p3,?,surb={'id': 'e8f030e8-feac-49e1-bf4c-58e2f6fbbee0', 'route': ['p3', 'e3', 'i3', 'x5', 'p2', 'c2']}
1769495225.2338254,RECEIVED,11389556-0b5e-4dfa-8ab9-10f4992c6313,8dd1bd66-b938-4d61-8c59-67dfa4576f12,c2,c3,27,p3,?,surb={'id': '90a61634-938b-4dfb-bbe2-b1c065d5986d', 'route': ['p3', 'e7', 'i12', 'x2', 'p2', 'c2']}
1769495225.341825,SENT,ef09c0dc-42c5-4f31-899f-4d6df112456f,dbfa41c9-2756-4c3e-b73f-ec68a124d679,c3,c4,3360,?,p3,
1769495225.34189,CREATED,173f2ecf-bc9c-45eb-b4c9-935f78950700,80667bd6-c2ad-45d8-b8cc-b64e5d8086b8,c3,c4,27,?,?,surb={'id': '22e420dc-e993-468a-a1f5-ee92b9235fef', 'route': ['p1', 'e1', 'i10', 'x1', 'p3', 'c3']}
1769495225.5622907,SENT,87deed07-e460-453c-ba41-dfd770c97acb,639453e7-7351-4382-94d2-32df65da0991,c3,c4,3381,?,p3,
1769495225.5623558,CREATED,222fa6da-7570-4896-99f7-1ba56023523e,1948ba29-d18d-470c-8316-34a621c0a512,c3,c4,27,?,?,surb={'id': '11a9faea-3bf2-45d9-ade3-8022963fd459', 'route': ['p1', 'e1', 'i3', 'x9', 'p3', 'c3']}
1769495225.9769044,RECEIVED,568b12bd-bd91-432a-8590-c041b86fb642,1dc53f6c-7ee0-40f3-a35a-059599a32b87,c2,c3,27,p3,?,surb={'id': 'ce7349c3-c62f-4466-9437-9a658dfc8220', 'route': ['p3', 'e9', 'i5', 'x4', 'p2', 'c2']}
1769495226.4561515,RECEIVED,dc9dfc62-88d7-4004-a177-445f4026ee3e,f0906669-ebab-41a2-96d0-af270d7f8024,c4,c3,27,p3,?,surb={'id': 'edd5859d-8439-40d4-92e2-d2c8dc917cae', 'route': ['p3', 'e9', 'i4', 'x9', 'p1', 'c4']}
1769495226.5852818,SENT,b77b0513-2589-4990-a566-1cb68e6d0208,539c1f54-c122-413c-a3ec-9658b32af3bf,c3,c4,3368,?,p3,
1769495226.585378,CREATED,847ce947-938b-4095-9dba-777b61140416,55fe9519-7cf4-4339-965b-611df91a01d9,c3,c4,26,?,?,surb={'id': 'b6160532-bfad-42a7-b11d-c4e32492d1da', 'route': ['p1', 'e3', 'i2', 'x5', 'p3', 'c3']}
1769495226.7928112,SENT,e87ec1ca-e6d4-4d65-a422-faadae039db4,6180cd18-1344-47d1-931d-a125b9ba11a0,c3,c4,3400,?,p3,
1769495226.7929099,CREATED,2f77d3f6-d102-4123-88d7-15a9ea4eefbf,a84826ba-9a96-49ce-9f23-8273d135e306,c3,c4,27,?,?,surb={'id': '6d6f0270-9aba-4daf-b90a-a5c3d4732fcf', 'route': ['p1', 'e12', 'i6', 'x10', 'p3', 'c3']}
1769495226.8233533,RECEIVED,c72407d5-0b2e-4783-9e9a-ce042fc4fc85,b380df10-9290-414e-b12c-d262f7838e4e,c4,c3,27,p3,?,surb={'id': '864bf40c-7d76-4a2a-9f91-447edf48f23c', 'route': ['p3', 'e9', 'i1', 'x9', 'p1', 'c4']}
1769495226.8397858,RECEIVED,dc72bbb2-0bfd-4903-8665-eb8c3ab36d0f,0fe8f79f-1201-4981-826f-5590d275ef6a,c4,c3,26,p3,?,surb={'id': 'b970e94b-5b68-4834-97a6-c852373c15ad', 'route': ['p3', 'e7', 'i2', 'x1', 'p1', 'c4']}
1769495226.8842647,SENT,9d2a1a20-a559-4cca-a70b-eb871545ae7d,ee8e6c49-fb1d-4481-94b6-1b42c43c216e,c3,c4,3359,?,p3,
1769495226.8843489,CREATED,4fac12c6-6a40-41ca-b407-91d39442633e,b36a750a-9f2e-4da9-b3cb-32b1afb6f24d,c3,c4,27,?,?,surb={'id': 'a3638da1-f0fe-48ae-8b13-f8edd6d2fcfd', 'route': ['p1', 'e4', 'i2', 'x11', 'p3', 'c3']}
1769495227.0813472,SENT,f49a722a-1315-474e-82d5-8ae698d312c3,c3219635-802b-4da8-a9b5-d51e2bdcecf2,c3,c4,3399,?,p3,
1769495227.0814953,CREATED,c70cb12d-d63f-49c8-a839-2b042c812392,68e933f6-8151-4745-a965-c40e4b889377,c3,c4,27,?,?,surb={'id': '5bd0db6d-8134-46c9-a154-2cf8e2b30d39', 'route': ['p1', 'e12', 'i12', 'x3', 'p3', 'c3']}
1769495227.165895,SENT,5f13ce02-268e-4605-aef6-47bfc9fe2465,c3d76244-ba96-4006-a428-990f56825dea,c3,c4,3355,?,p3,
1769495227.166076,CREATED,5230a115-f885-4632-8586-bb3cea0ca62e,84af7810-8288-4ac4-9d4c-b41183abf2da,c3,c4,25,?,?,surb={'id': '20b9bf58-9b8c-457b-ab3b-28c4776dbe55', 'route': ['p1', 'e8', 'i6', 'x10', 'p3', 'c3']}
1769495227.2581124,SENT,f173bd25-7ce9-407d-a8ee-0302dd6e486f,02614839-330c-40c2-9b87-dce74b7cbaa2,c3,c4,3397,?,p3,
1769495227.2582977,CREATED,bc92459a-e40a-4eb8-a9ae-69cda5dfa6a0,b22588cf-2cc1-4e39-911d-89a70e0348a3,c3,c4,27,?,?,surb={'id': '95dc0e3f-3ad3-482f-b0f8-501f5aca7172', 'route': ['p1', 'e2', 'i9', 'x10', 'p3', 'c3']}
1769495227.300748,SENT,2a6d3bd9-873f-41a8-a8eb-418d94246f27,f2961f0b-77ab-4730-b4d3-fbceae5e0e21,c3,c4,3382,?,p3,
1769495227.3009138,CREATED,6e3a54ec-f137-40bf-8942-9a51d8adaef5,b7da826e-29ca-4b0b-b330-04660c5fd971,c3,c4,27,?,?,surb={'id': 'd857999f-bb9a-4c6a-af05-cfb6d56cc509', 'route': ['p1', 'e7', 'i12', 'x7', 'p3', 'c3']}
1769495227.3522332,RECEIVED,4dc8ad9f-a480-4b0f-87f2-350bf1bb26e4,44fa2ddf-b30c-4a3d-a8ff-0b7248aa6fdb,c2,c3,27,p3,?,surb={'id': '61e7b6ad-b302-4d8f-9dd0-c4b21b4ceda6', 'route': ['p3', 'e2', 'i6', 'x10', 'p2', 'c2']}
1769495227.4778335,RECEIVED,2e239875-44a3-4b4b-aa06-88410c325bfe,80b33d40-16cd-4593-a8c2-0a560004a9eb,c4,c3,27,p3,?,surb={'id': '877ee940-734d-40ed-bfee-16605dd61b96', 'route': ['p3', 'e1', 'i6', 'x7', 'p1', 'c4']}
1769495227.4971867,RECEIVED,6066ce79-e10f-438c-b227-30650d09eb4c,64975b4b-0367-4758-a919-baab6b908d86,c4,c3,27,p3,?,surb={'id': 'a0429347-f260-488b-855c-a2b59695f0db', 'route': ['p3', 'e4', 'i12', 'x3', 'p1', 'c4']}
1769495227.6295774,RECEIVED,7392f4fb-7be8-47c0-a785-82aec7fe8722,dd52b833-604a-4377-930a-450762ef5f50,c2,c3,26,p3,?,surb={'id': '74eb363c-8208-47e8-9b91-d53dd8e59bb2', 'route': ['p3', 'e9', 'i10', 'x4', 'p2', 'c2']}
1769495227.7473514,SENT,cf5f05c2-3264-407c-9ca6-7057d2f71186,c9edcbb1-c1fb-4b8b-a943-96647d9ade43,c3,c4,3371,?,p3,
1769495227.7474515,CREATED,0a478198-cabf-4cd2-b901-d0565f6aa083,e16a5f70-6de1-46e7-8faa-99b8bfd5e8fd,c3,c4,25,?,?,surb={'id': 'fda349eb-6419-402e-8189-05350ba875df', 'route': ['p1', 'e4', 'i1', 'x4', 'p3', 'c3']}
1769495227.98577,RECEIVED,b29cb927-3d8b-4ee0-986c-436df78342b6,2d600d74-cb43-4078-ad5e-a505c04c8dde,c4,c3,27,p3,?,surb={'id': 'b21f350d-db9b-48ab-a78a-6311ed455889', 'route': ['p3', 'e5', 'i3', 'x2', 'p1', 'c4']}
1769495228.1410124,RECEIVED,202dc1f8-0375-487f-a9c9-4cf015eb8d09,af9e4dc8-273a-4aa7-beec-26a863dafed4,c2,c3,27,p3,?,surb={'id': 'eb829211-97bd-408e-842f-1e2be065fab2', 'route': ['p3', 'e1', 'i4', 'x9', 'p2', 'c2']}
1769495228.2577548,RECEIVED,1bb02dd5-6fa8-4953-bc4c-c0eb46de890c,16d35f2a-a35f-4ae5-8529-e70746dda76e,c4,c3,27,p3,?,surb={'id': '80563f2c-4a06-4f22-957f-0e39191f3024', 'route': ['p3', 'e2', 'i5', 'x3', 'p1', 'c4']}
1769495228.2876813,RECEIVED,c043133c-4dfc-4a4f-af5a-d25e0dffb2cd,63fe6581-51b3-47f5-8cd1-0219dafc57b7,c2,c3,27,p3,?,surb={'id': 'dbd816ad-095d-4374-8ce2-14106bc12665', 'route': ['p3', 'e7', 'i7', 'x2', 'p2', 'c2']}
1769495228.3693192,SENT,78de3e3b-543e-4210-a412-963599280b21,715c3b64-1345-4a60-8784-8357d7a8bf3b,c3,c4,3387,?,p3,
1769495228.369454,CREATED,22d2b5ef-6750-4b96-afd7-16195798a8a6,743475e3-ea54-4096-b9b0-450e3d9b35b6,c3,c4,27,?,?,surb={'id': '0a5e38fe-7b9c-4cc2-84cc-57f39021e437', 'route': ['p1', 'e8', 'i5', 'x3', 'p3', 'c3']}
1769495228.5018191,RECEIVED,41c763ae-01d8-43e6-9360-63ffc7fcb9cc,1e1ffefa-d4ae-44a6-9238-4c944df2fccc,c2,c3,27,p3,?,surb={'id': '265009f7-b8d5-4045-9a1b-ec3d70375da5', 'route': ['p3', 'e12', 'i12', 'x5', 'p2', 'c2']}
1769495228.680107,RECEIVED,4484413f-714a-4c3f-9c15-f2410be1c74f,81edf5bc-7598-4f98-a724-be1de8bc9490,c2,c3,27,p3,?,surb={'id': 'b93e3391-0a18-403b-b0c4-dd82271a3d37', 'route': ['p3', 'e7', 'i9', 'x6', 'p2', 'c2']}
1769495228.800992,RECEIVED,e96864aa-28dd-4657-8935-73883569b901,a226d2fa-acf6-45fb-aeb1-398aff0bfa73,c2,c3,27,p3,?,surb={'id': '2f5ab782-6a6d-4a2e-8fcc-df2a471e2330', 'route': ['p3', 'e9', 'i9', 'x4', 'p2', 'c2']}
1769495228.9257407,RECEIVED,9c80be5b-4a0f-40b4-becd-ab6055ecaa0c,9677941f-dd15-4427-8f72-dba0bf73fe98,c4,c3,26,p3,?,surb={'id': '30ebbb62-f74c-43f1-b748-e139e8a1c526', 'route': ['p3', 'e8', 'i3', 'x6', 'p1', 'c4']}
1769495229.028273,RECEIVED,dc486b5b-3b3d-42c1-8d7d-8300255ba100,092d076b-ef2d-4d72-aee6-fb55496c99b8,c4,c3,25,p3,?,surb={'id': '61fd1b7d-b34c-4a27-8612-c70c5ed4ab2a', 'route': ['p3', 'e1', 'i11', 'x3', 'p1', 'c4']}
1769495229.2338889,SENT,d00ef4a6-d9ac-46a0-ae26-b64ea51b2904,3698ed4f-cc87-4c6c-9bc1-db18abe3926e,c3,c4,3379,?,p3,
1769495229.2340362,CREATED,2bcbe130-cf44-4f52-9f93-3ed61f631f6c,521c9057-93a3-470a-9d15-c07af1267583,c3,c4,27,?,?,surb={'id': '6c4e5ba5-b35a-4497-ac67-2b111c587cc9', 'route': ['p1', 'e8', 'i4', 'x6', 'p3', 'c3']}
1769495229.2613976,RECEIVED,860b94f9-c4a7-4d07-bb1c-e9285724b7a5,b54318d1-da1c-4650-8c1e-33aafe0db65e,c4,c3,27,p3,?,surb={'id': '0829e625-6229-47bc-8ec9-6dbd85254e2a', 'route': ['p3', 'e6', 'i5', 'x9', 'p1', 'c4']}
1769495229.664129,RECEIVED,6712d69a-8136-4d0a-bc1f-9b75a23bd2e1,ac170c3f-94ad-4a37-b7d4-ee2ebb05cd05,c2,c3,26,p3,?,surb={'id': 'e667e4f5-bbe5-4d11-a2d3-678eb706dfa0', 'route': ['p3', 'e7', 'i8', 'x9', 'p2', 'c2']}
1769495229.8514667,RECEIVED,0532228e-820d-4452-88dc-cced62c00a8d,61e81d72-993a-490b-8525-224726beec65,c4,c3,27,p3,?,surb={'id': '0417d221-1046-4d8a-993b-ab0e07b4f2e0', 'route': ['p3', 'e6', 'i4', 'x4', 'p1', 'c4']}
1769495229.9100156,RECEIVED,5f40897b-a61e-43b5-a9df-0025256ed4ea,77e719d9-c3b9-4394-8ee0-f2c3c84e490a,c4,c3,27,p3,?,surb={'id': '500d489f-abd9-48cf-884e-dba06763de10', 'route': ['p3', 'e9', 'i1', 'x8', 'p1', 'c4']}
1769495229.9221842,RECEIVED,73294c61-4aa7-4bcb-a82e-3ed9da2fd37a,e7c1bdb3-d6c4-4f53-a823-93656a5668a1,c4,c3,27,p3,?,surb={'id': 'e9314f8d-b5af-4cba-a36c-2e88e26139da', 'route': ['p3', 'e8', 'i5', 'x2', 'p1', 'c4']}
1769495230.0074956,RECEIVED,793ceba2-88e4-4580-9c33-c14cf43641d1,ff359b59-af9b-4afe-a930-90b2783db0a9,c4,c3,26,p3,?,surb={'id': '62e49ca8-6ffa-4e45-bc05-ce4364cd05aa', 'route': ['p3', 'e12', 'i9', 'x9', 'p1', 'c4']}
1769495230.0522792,RECEIVED,5882f21a-64d0-441c-8f6c-0a3281cad46f,1553c15f-70e3-4a77-89eb-5e4a56a00fa6,c2,c3,27,p3,?,surb={'id': 'e762b067-ca6b-4b18-af38-4784ed61f924', 'route': ['p3', 'e8', 'i2', 'x6', 'p2', 'c2']}
1769495230.1084366,SENT,34a3e3ec-6702-4a71-a335-14835c713ced,8bc81881-cff7-41b4-bf55-1b973224d9b8,c3,c4,3375,?,p3,
1769495230.108572,CREATED,e97cc81d-7027-4b70-aeb3-f9e52bf85b01,03cd4cd2-de55-46d5-b69b-fb9e7acd9da3,c3,c4,27,?,?,surb={'id': '774012c7-ad7f-4e33-8c8d-9b8353bb0b0b', 'route': ['p1', 'e6', 'i1', 'x6', 'p3', 'c3']}
1769495230.129309,SENT,466b43ab-24a7-487c-bd49-4ef29e7d3888,04befef5-75f9-4bc2-8429-5ff0e4cae66c,c3,c4,3389,?,p3,
1769495230.1294448,CREATED,ce21b429-8b1b-42ce-b0db-d01d1773667c,9a0a19a3-c2fd-4108-aa64-5fffcd4ba2b4,c3,c4,27,?,?,surb={'id': 'f291ced9-2b54-4d9c-adad-cec4054e17b5', 'route': ['p1', 'e1', 'i10', 'x10', 'p3', 'c3']}
1769495230.1552577,RECEIVED,b549add7-3bd7-4894-9f9c-77e9e2250246,c139cf71-096f-421e-8b18-8d063bb572bd,c4,c3,27,p3,?,surb={'id': '08e711f4-5a25-4ee1-b2c9-fd563785f480', 'route': ['p3', 'e4', 'i5', 'x4', 'p1', 'c4']}
1769495230.1836932,SENT,e6d69a15-2105-4398-9b88-cd9f2e33ceee,f045d3c6-ea01-4d7c-a683-b2e5b6d9ea3b,c3,c4,3376,?,p3,
1769495230.1837864,CREATED,4a5e5ff8-d682-4194-bc6a-aa93cdf23b42,929e106c-60e9-4ca6-9384-5e88440dc58d,c3,c4,26,?,?,surb={'id': '223aa3c1-5c42-4680-83a5-1d7d2bc7a40d', 'route': ['p1', 'e4', 'i11', 'x10', 'p3', 'c3']}
1769495230.40591,RECEIVED,0255467d-a44c-4308-a806-d9e7e2ee8ba5,f675ce93-7323-418e-a660-b47e61df8bf2,c4,c3,27,p3,?,surb={'id': 'ef63d763-2095-4d32-a2c5-d568eb503a20', 'route': ['p3', 'e11', 'i12', 'x3', 'p1', 'c4']}
1769495230.5451021,RECEIVED,37d83b2e-7636-440e-9cec-768244d6cd90,ede89dda-b4f9-4e5d-a57a-cd9535c501af,c2,c3,27,p3,?,surb={'id': '1c2ed300-f19c-41b4-8cea-e0ab97003934', 'route': ['p3', 'e10', 'i4', 'x6', 'p2', 'c2']}
1769495230.558646,RECEIVED,3babb2e2-8374-4175-963e-4b47a0d07c25,ab0a264e-92bc-48dd-906a-a208b26717c1,c2,c3,26,p3,?,surb={'id': '427dd099-9b33-4004-a151-c95704572d3a', 'route': ['p3', 'e2', 'i5', 'x8', 'p2', 'c2']}
1769495230.5603545,RECEIVED,e68be328-53cb-44f7-a333-9e1803c0ccec,cb077778-65f5-4457-95ec-da8bd43ea969,c4,c3,27,p3,?,surb={'id': 'f979d80c-7c92-4247-94f6-20a6280a7e24', 'route': ['p3', 'e3', 'i10', 'x1', 'p1', 'c4']}
1769495230.6202002,SENT,c022d2b0-2f4d-447f-9224-fd6a44e18bd8,b8038ce4-cfdf-4ef1-bd06-614f012bd743,c3,c4,3372,?,p3,
1769495230.6202714,CREATED,e6b4ffbc-99a9-49de-944c-e644dfd7c8ab,abe7408f-a418-4e49-8184-6d1ef946b1f4,c3,c4,26,?,?,surb={'id': '6da636b9-dfb5-4e1b-bddf-e5ef5695d386', 'route': ['p1', 'e1', 'i10', 'x3', 'p3', 'c3']}
1769495230.6547282,RECEIVED,2ac52d2d-36c8-41d3-91ef-0113f5e39a80,5fc3e44c-c8be-4ea8-b3f0-0ab662798cdf,c2,c3,27,p3,?,surb={'id': '17189abe-bca2-4784-a255-384766ddc267', 'route': ['p3', 'e6', 'i3', 'x11', 'p2', 'c2']}
1769495230.9307795,SENT,3fe175d4-8497-499d-b2a8-4983ce4394db,86271ae8-a508-4d4e-b09b-cde041e4d7dc,c3,c4,3376,?,p3,
1769495230.9308882,CREATED,4739516a-78e4-4b59-9cf7-2915cb0d567e,78035abe-5452-4e7a-b3b8-b6ea92a4d564,c3,c4,27,?,?,surb={'id': '3370b5ae-4e83-4bb1-b27c-4617cf07e562', 'route': ['p1', 'e9', 'i1', 'x6', 'p3', 'c3']}
1769495231.0028186,RECEIVED,3b39ed28-3ddc-43ca-8740-619e4328e12f,1003e79d-7016-40f4-94ef-dc1b6001145a,c4,c3,27,p3,?,surb={'id': '9564f983-d170-49c2-8574-a5cf16573b5d', 'route': ['p3', 'e11', 'i11', 'x1', 'p1', 'c4']}
1769495231.0834255,RECEIVED,d77c0e2c-21e8-4799-b595-28c59d6e20eb,86952af6-5d4f-4120-b9e6-08f05050bcda,c2,c3,27,p3,?,surb={'id': 'e9831e3c-3650-4211-b32e-6e1f9971cdbb', 'route': ['p3', 'e11', 'i1', 'x1', 'p2', 'c2']}
1769495231.2424645,SENT,ee88fc55-e81c-4a66-ace8-e4f21b094054,acd5ad15-2981-4a33-885b-2906c6e73dfc,c3,c4,3376,?,p3,
1769495231.242549,CREATED,d5a601af-0fbb-41bb-b73b-3584a02a5b68,b886ed37-3c65-4c9c-8c63-9516c3301681,c3,c4,27,?,?,surb={'id': 'a5e5174e-d05e-4f22-952f-246a07d59841', 'route': ['p1', 'e8', 'i9', 'x12', 'p3', 'c3']}
1769495231.4026597,SENT,7efdcf8d-879f-4cda-b5eb-07fee9e13f91,fc9f25f9-2387-4978-9556-ab28d3554e7a,c3,c4,3363,?,p3,
1769495231.4027953,CREATED,941888df-dea0-45c6-bdd1-54f64973812b,e121c8c0-b8c6-47c9-a27b-15eb173f2327,c3,c4,26,?,?,surb={'id': 'a078f252-6fb9-4d3c-ad73-fe2963f1029b', 'route': ['p1', 'e1', 'i7', 'x8', 'p3', 'c3']}
1769495231.4883173,SENT,bc464f82-7a90-456f-8b4a-99d73f108446,55687a88-386e-4443-b3df-3c68f9e125f6,c3,c4,3400,?,p3,
1769495231.4884617,CREATED,8d1f71de-26be-4152-b1f5-48781c8b80d9,d12d526a-57c8-4eb9-93d4-6b24293706f0,c3,c4,27,?,?,surb={'id': '67d962cd-5b27-4b09-97c2-23cea2f39dcd', 'route': ['p1', 'e10', 'i6', 'x9', 'p3', 'c3']}
1769495231.5123274,RECEIVED,5af7931e-9a92-4866-ac25-93e1d2c97735,bf124c0b-8ea8-4ce9-bb67-959265470dfd,c4,c3,27,p3,?,surb={'id': '3a7e4161-37b3-418b-949f-1e8d34a626f7', 'route': ['p3', 'e6', 'i10', 'x12', 'p1', 'c4']}
