timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769730646.1883523,SENT,d514305b-533a-42df-b950-f56f38e06f42,b7c7844f-dc1f-42d1-8af0-89daf4af9b6c,c3,c5,3380,?,p3,
1769730646.1885107,CREATED,48f2bdf1-a37b-4e1b-9cdc-3a6c4fe218eb,29c5ea5d-f152-45d6-a04f-ef740ade50a7,c3,c5,27,?,?,surb={'id': '54dcba75-0884-49a4-8fe5-d35865f68bbd', 'route': ['p2', 'e12', 'i10', 'x9', 'p3', 'c3']}
1769730646.7262623,SENT,cd2dd784-9ebc-4d95-bafd-29043927f749,2392fa7d-83ae-45d0-8029-a5e9f03f280e,c3,c5,3371,?,p3,
1769730646.726396,CREATED,f94da2f3-c00f-4f1f-8b30-94bb488e64ef,1c0358e6-ddac-4aae-ae9f-bceb2efb2ed6,c3,c5,27,?,?,surb={'id': '15d32678-36e2-483e-90ee-e21cd5d7b59a', 'route': ['p2', 'e9', 'i4', 'x9', 'p3', 'c3']}
1769730646.86959,SENT,ede9a49a-96f6-4a29-ac72-c906b319a10b,b28a93b3-3dab-4bfe-8a54-824bc0addae3,c3,c5,3384,?,p3,
1769730646.8697383,CREATED,b2da9c08-9358-4701-b089-e570b8a4d7f1,52a5b804-9532-4a0f-ba0c-e477c3267707,c3,c5,27,?,?,surb={'id': '1cda5c2f-be88-49de-986c-3b7b9d564227', 'route': ['p2', 'e7', 'i5', 'x5', 'p3', 'c3']}
1769730646.8967655,SENT,be495377-2a0f-4d0e-9482-e1fd9bb81714,bb5882ee-192e-41ee-badb-fc1fe690d56c,c3,c5,3383,?,p3,
1769730646.8969126,CREATED,10e7be8a-fb63-48a1-af31-48c98f54aa44,84c882b5-159d-4f4d-803b-d9c03b87681f,c3,c5,27,?,?,surb={'id': '9f836bfb-c4b3-469e-926c-b96fd4bab71a', 'route': ['p2', 'e4', 'i5', 'x2', 'p3', 'c3']}
1769730647.5047011,SENT,917fb60f-ce03-4ba9-a7ff-35c2f0af6170,bd72037a-6b48-4191-9d37-00a94a28eae9,c3,c5,3400,?,p3,
1769730647.5048523,CREATED,05079b9d-7612-4be2-8045-eca4d2b27adb,c4384fab-fb7e-48a0-a856-97d2c5d81fad,c3,c5,27,?,?,surb={'id': '52572034-9d4c-4750-8e4f-115e4ead6b29', 'route': ['p2', 'e5', 'i2', 'x5', 'p3', 'c3']}
1769730647.5934896,SENT,c9d41cb8-d678-4868-8305-adf38bcd917c,9ea09355-2055-4190-967b-2634be2c0f68,c3,c5,3383,?,p3,
1769730647.5936406,CREATED,6eac7ae2-736b-4d1b-ad2a-71b66fbef05d,66fd3b26-d5d0-44d2-9644-bd02c124f320,c3,c5,26,?,?,surb={'id': 'e088a6b7-344e-4701-afc1-1b27439b8e3a', 'route': ['p2', 'e7', 'i10', 'x11', 'p3', 'c3']}
1769730647.83517,SENT,051efcd0-57ac-4456-9403-b7047848b8c6,cdf8a752-200e-4e8d-9997-7ec6564bafcb,c3,DROP,2022,?,p3,
1769730647.835323,CREATED,08d53bad-7e1e-423b-97b2-1b586b104f64,e30a5014-f93a-4c5e-9cf6-dee4d10dd717,c3,DROP,26,?,?,
1769730648.0905066,SENT,57af2613-6f6c-44d0-94bb-a6521003c8e6,7c02320d-8e3f-4153-ba83-d2c2ac965db9,c3,c5,3383,?,p3,
1769730648.0906413,CREATED,a815b26e-e2ac-4301-904b-e8d69661fda8,88edf610-9394-434a-9b88-99e80373f324,c3,c5,27,?,?,surb={'id': '291fd149-b8e1-489a-841b-829f068725af', 'route': ['p2', 'e12', 'i9', 'x6', 'p3', 'c3']}
1769730648.205896,SENT,e8010aeb-e12e-4838-b429-a2fc9e96287d,a998eb13-96d3-4061-8999-e31a825dd4b4,c3,c5,3394,?,p3,
1769730648.2060876,CREATED,7d171280-eda2-4d8e-a9f8-8a7770eb8190,285eafe0-be76-4757-a4c0-fec986e09a30,c3,c5,27,?,?,surb={'id': 'd7b2e6e0-6005-4a15-bf42-6d86a26d4002', 'route': ['p2', 'e11', 'i11', 'x8', 'p3', 'c3']}
1769730648.330058,SENT,40b5201b-2982-41e4-9263-0814ddd472a8,708086e0-05ae-427d-82e5-bc7cac7bc943,c3,c5,3383,?,p3,
1769730648.330195,CREATED,0f789455-985e-4eda-a1af-81531d0183b6,6791a556-7e9f-4d5f-a8e3-cd83363c9430,c3,c5,27,?,?,surb={'id': 'fe335eb0-0fa7-4476-8c2f-cfc94ec0d969', 'route': ['p2', 'e3', 'i4', 'x5', 'p3', 'c3']}
1769730648.5142863,RECEIVED,73bcb0cb-e7f2-4d44-93cc-d510b539f8e0,0685754f-e870-40e9-9a12-b770ad6b43ca,c5,c3,26,p3,?,surb={'id': 'f395784f-f30f-455f-b926-4d8da93588ba', 'route': ['p3', 'e10', 'i9', 'x11', 'p2', 'c5']}
1769730648.6489444,SENT,63cc253a-3d85-4376-97d2-5e7a2f928d99,e82f8067-0a63-4735-87d0-abb9a1e619a7,c3,c5,3379,?,p3,
1769730648.6491108,CREATED,4a718939-2831-4c2f-8940-caaef43a5752,84e5bff5-90f2-4a10-9672-bcd0966bdaa8,c3,c5,26,?,?,surb={'id': 'ac38594c-bad5-4500-bd7c-16e996e7a8cb', 'route': ['p2', 'e12', 'i11', 'x12', 'p3', 'c3']}
1769730648.7875357,RECEIVED,2136e95f-2a67-42a9-8cba-f1047f01dc3b,42dbe138-bd2a-4801-873f-eb9dced1a006,c4,c3,27,p3,?,surb={'id': 'e09d6367-f6cd-43a5-8c94-6b29329fe0c5', 'route': ['p3', 'e7', 'i1', 'x5', 'p1', 'c4']}
