timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769730651.2180953,RECEIVED,4a718939-2831-4c2f-8940-caaef43a5752,84e5bff5-90f2-4a10-9672-bcd0966bdaa8,c3,c5,26,p2,?,surb={'id': 'ac38594c-bad5-4500-bd7c-16e996e7a8cb', 'route': ['p2', 'e12', 'i11', 'x12', 'p3', 'c3']}
1769730651.2519445,RECEIVED,0f789455-985e-4eda-a1af-81531d0183b6,6791a556-7e9f-4d5f-a8e3-cd83363c9430,c3,c5,27,p2,?,surb={'id': 'fe335eb0-0fa7-4476-8c2f-cfc94ec0d969', 'route': ['p2', 'e3', 'i4', 'x5', 'p3', 'c3']}
1769730651.3786585,SENT,10dc248a-4183-460f-b020-3f835717295c,7df34cc9-0c89-4f2e-b24f-272d04d92113,c5,c3,3375,?,p2,
1769730651.3787944,CREATED,f6ce3f7f-e07f-4ff1-8f74-196a6fa2c513,0fa648e0-b8e9-4e19-8e32-8d1df829cb1c,c5,c3,27,?,?,surb={'id': '29e78fee-baeb-4b59-a69f-fdd17dec8dcb', 'route': ['p3', 'e2', 'i11', 'x2', 'p2', 'c5']}
1769730651.4036243,SENT,76719524-8281-4d78-86af-12cc9fdc61fd,8be7807a-b180-4340-b654-196c23a5a4ed,c5,c3,3379,?,p2,
1769730651.403759,CREATED,50718964-2f19-4880-8358-51d974bfc3f2,bdcabc7f-2f11-4191-8980-613f62cd7cfa,c5,c3,27,?,?,surb={'id': 'c58b5264-453d-46e0-881a-666160f8e1d2', 'route': ['p3', 'e3', 'i6', 'x5', 'p2', 'c5']}
1769730651.66603,SENT,0cfa37cf-87dc-4120-83e6-d79ac24756e5,5b9e609c-6151-4ef5-a7c5-4c55f8b47d15,c5,c3,3408,?,p2,
1769730651.6662092,CREATED,adb0cc25-ae1f-4232-b289-8638df6c889d,f64cbfce-7fa9-49d3-b621-7e583474e2b5,c5,c3,27,?,?,surb={'id': 'e7f866aa-096a-4fb0-b589-d896fc06fe42', 'route': ['p3', 'e11', 'i7', 'x12', 'p2', 'c5']}
1769730651.835672,RECEIVED,4498a162-20a2-41ca-b2c1-f23bf3d22bca,e663cc4a-7e6b-4c71-914f-78dc69ef8b04,c3,c5,27,p2,?,surb={'id': 'eb3bf07b-e34f-42da-ae38-74f3b8e93fbc', 'route': ['p2', 'e2', 'i11', 'x10', 'p3', 'c3']}
1769730651.8570082,SENT,c3cd98d2-6fc9-4660-9d6c-2d1d2d316eb5,26892c1b-2639-4a30-8157-809107d0aee8,c5,c3,3375,?,p2,
1769730651.8571663,CREATED,86cdd716-6ebe-4e1e-afd5-b36cc320f008,fbbc22a4-ef13-48f2-bb17-23d5642fca1a,c5,c3,26,?,?,surb={'id': '927076ed-5057-42c9-b366-d55704ee0022', 'route': ['p3', 'e6', 'i11', 'x6', 'p2', 'c5']}
1769730652.0287282,RECEIVED,a815b26e-e2ac-4301-904b-e8d69661fda8,88edf610-9394-434a-9b88-99e80373f324,c3,c5,27,p2,?,surb={'id': '291fd149-b8e1-489a-841b-829f068725af', 'route': ['p2', 'e12', 'i9', 'x6', 'p3', 'c3']}
1769730652.1753263,RECEIVED,434476ae-f172-4489-94f7-93714bffde7e,ed9454e4-619d-4e33-a338-e99dd3fb177a,c3,c5,26,p2,?,surb={'id': 'a3b31bd1-d94e-44d0-9904-4d1cf50b3a09', 'route': ['p2', 'e8', 'i2', 'x9', 'p3', 'c3']}
1769730652.2736738,SENT,db084883-e68f-4f4f-bde8-82224eed4198,1ee0b4a4-0f4f-48f5-8827-451fa5a26aae,c5,c3,3397,?,p2,
1769730652.2738235,CREATED,f756a45e-4f27-4ae8-b91b-15ac330f1b8e,05934b2f-b68e-4eca-a0f4-bc83c4cff5bd,c5,c3,27,?,?,surb={'id': '0b15b27b-f841-479e-842e-e4dca1b1f49b', 'route': ['p3', 'e9', 'i8', 'x3', 'p2', 'c5']}
1769730652.425423,RECEIVED,096c9cf6-4c2d-4b3b-9ed9-c11475f627ed,87ec2c22-7177-4df8-bbb9-a9bcd828e13a,c3,c5,25,p2,?,surb={'id': 'b200bd5e-aed5-4042-82cb-8f05fe19a073', 'route': ['p2', 'e1', 'i3', 'x8', 'p3', 'c3']}
1769730652.444378,RECEIVED,0c385152-adc9-4aef-9a53-949c15ac3401,f0459132-cc26-4e26-9da8-61c6925e64d5,c3,c5,27,p2,?,surb={'id': '8af553b7-e4de-4050-a96e-7c357e1141d1', 'route': ['p2', 'e2', 'i1', 'x9', 'p3', 'c3']}
1769730652.7477665,RECEIVED,edf77c2e-f9dc-4e26-9427-c349177b46c4,9e36f59b-5171-4cc3-a441-f6c62b2517ab,c3,c5,26,p2,?,surb={'id': 'c1fc639c-5a15-4291-b084-4c5f3efcf06d', 'route': ['p2', 'e6', 'i1', 'x3', 'p3', 'c3']}
1769730652.9961321,SENT,a1bec07d-ffb1-45ac-a70a-ce47f71701bd,c6e606fb-9ef8-472a-a216-ebcb635e4f37,c5,c3,3379,?,p2,
1769730652.9962895,CREATED,972c0601-5f85-48e4-9fc0-f9174f562adf,20f2e9ff-8439-4e5f-9cde-76db0758c03f,c5,c3,27,?,?,surb={'id': '6b152078-64d2-42ac-b46c-31237d37dd02', 'route': ['p3', 'e6', 'i5', 'x9', 'p2', 'c5']}
1769730653.1149354,RECEIVED,3f414745-dabf-4ded-b525-ed9ad2f132f1,b9cfcd23-9baa-4c51-9757-669098998db3,c3,c5,26,p2,?,surb={'id': '2ee6251f-f74c-4ac9-8ace-201f878fa628', 'route': ['p2', 'e7', 'i8', 'x8', 'p3', 'c3']}
1769730653.2175612,RECEIVED,c320a932-296d-4c87-9bee-2ac6ad7574e1,5f4cafed-effa-4eff-b35a-6cb8b7dc1294,c3,c5,27,p2,?,surb={'id': '361fe345-c3ab-4dd3-aeea-0d2b3fa8c04b', 'route': ['p2', 'e3', 'i3', 'x1', 'p3', 'c3']}
1769730653.2779424,SENT,c430bcfb-3e6c-4f7a-85f1-4752bba71834,6f578a65-3e9e-4781-8c40-68949366e246,c5,c3,3392,?,p2,
1769730653.2780964,CREATED,60e9e038-8230-47d1-a366-76ded07b361c,1fba73f1-0eca-4250-aaeb-985716001129,c5,c3,26,?,?,surb={'id': '9befd56d-6748-4adf-a8fa-cae47ee2cc08', 'route': ['p3', 'e7', 'i12', 'x10', 'p2', 'c5']}
1769730653.2872245,RECEIVED,92d7245a-5143-42d5-baa4-8afe2202151a,0fcf5756-8840-440b-af54-45b644ef95f9,c3,c5,27,p2,?,surb={'id': '067905c4-af51-4a21-b50e-41050a5ff5ec', 'route': ['p2', 'e5', 'i4', 'x4', 'p3', 'c3']}
1769730653.349758,RECEIVED,67024b0a-a1d4-4d3c-97ce-fbcf58d950c7,499fee59-40d0-492f-b785-d6635e2a5631,c3,c5,27,p2,?,surb={'id': 'b9deebd9-a4a1-4791-b11a-6669ef142dba', 'route': ['p2', 'e1', 'i11', 'x12', 'p3', 'c3']}
1769730653.5832956,RECEIVED,bf99eb3f-7b4f-403c-8665-0b63cda2179f,538f1577-3325-4dd6-9e2e-71ec68e127e6,c3,c5,25,p2,?,surb={'id': '59e349a4-f5c9-43a9-a0aa-d429f52c31c5', 'route': ['p2', 'e3', 'i1', 'x7', 'p3', 'c3']}
1769730654.162611,SENT,66457d02-e161-4072-9ca2-7c3ed205fe79,32c7ce97-771e-4ad7-9df1-fd7904facd00,c5,c3,3376,?,p2,
1769730654.1627567,CREATED,58130dba-0064-4938-a1d4-620379451b13,8de61faa-39ad-43f6-abae-2bac54dfbe6a,c5,c3,27,?,?,surb={'id': 'a918573d-bf50-49d5-b10e-8c060ff20689', 'route': ['p3', 'e9', 'i8', 'x2', 'p2', 'c5']}
1769730654.4714746,RECEIVED,4cca5c75-5c7b-4762-9d1a-1f3a9ec6f843,284eb171-5c9d-4537-9950-05727729a3a4,c3,c5,26,p2,?,surb={'id': '6025d602-2201-492b-ac0c-d6a889209a89', 'route': ['p2', 'e3', 'i6', 'x11', 'p3', 'c3']}
1769730654.9274576,RECEIVED,17b558e5-4228-4e96-8c56-2f1f4b4f9e5d,d55a54de-5b10-4e13-801c-2248372b021f,c3,c5,27,p2,?,surb={'id': '6771a4bb-24b6-40f5-a479-6e667fbd42e8', 'route': ['p2', 'e11', 'i1', 'x12', 'p3', 'c3']}
1769730654.9934216,RECEIVED,48928e26-6b64-4558-91e9-18402fe76047,07cba292-9727-41dc-83bd-2589b2ff8b2f,c3,c5,27,p2,?,surb={'id': 'b167fc17-89b2-4860-8913-4d01cd3f2077', 'route': ['p2', 'e10', 'i7', 'x10', 'p3', 'c3']}
1769730655.1014175,SENT,b1ae83d3-4e46-4839-bbca-8122c988fa54,327c9ae3-a078-4cf8-8da0-bdcfc675a25a,c5,c3,3398,?,p2,
1769730655.101575,CREATED,2c445b90-a78f-4fbc-ba15-6fc313b56541,9aa1dc00-151a-4115-9e7e-3531382bdcc0,c5,c3,26,?,?,surb={'id': 'fd7a022b-70b5-49e0-b646-89b2cb10a337', 'route': ['p3', 'e8', 'i12', 'x5', 'p2', 'c5']}
1769730655.1545131,SENT,52c09f1b-53e0-404d-be90-776298158bd2,1028aeab-703b-465b-8b38-5ee1513c36cb,c5,c3,3371,?,p2,
1769730655.1546462,CREATED,c1608cc5-7ab3-4eff-a193-0936c088f644,859ae8dc-f098-4396-b933-243f891b4cc4,c5,c3,26,?,?,surb={'id': '9645999e-0265-41f3-85a2-826eb6c1a1dd', 'route': ['p3', 'e4', 'i6', 'x4', 'p2', 'c5']}
1769730655.504331,RECEIVED,3e2343e8-c935-407c-8cb6-ad7e3cb15784,07c38f4b-029e-476d-aec6-b4fdeca169ae,c3,c5,26,p2,?,surb={'id': 'b49033c8-96c4-46db-9a61-5a8f9e24afaf', 'route': ['p2', 'e9', 'i6', 'x7', 'p3', 'c3']}
1769730655.514892,SENT,bf47b479-9c24-4731-9286-96143facb782,c31d222a-95b1-4d06-8017-6b127f60446e,c5,c3,3377,?,p2,
1769730655.5160031,CREATED,aed5b472-bce7-48b7-83c2-852a7b0902fa,fcca08a0-f4c7-4154-aa3f-315faefbb310,c5,c3,27,?,?,surb={'id': '42db6e4e-2587-4959-9ffd-b636b9bad5f0', 'route': ['p3', 'e8', 'i11', 'x5', 'p2', 'c5']}
1769730655.6223278,SENT,c507060b-15f5-499b-8222-980edd9dfbb2,b69ae189-d4aa-4c93-9e85-f5b07e6023a6,c5,c3,3392,?,p2,
1769730655.6224647,CREATED,5dce5abf-39f5-46a1-b3f3-aad003dc770f,7482f916-162b-4c5a-b06a-803c273775d2,c5,c3,27,?,?,surb={'id': 'e40fec44-e37f-41d9-831f-0f51967fa975', 'route': ['p3', 'e12', 'i8', 'x5', 'p2', 'c5']}
1769730656.3949733,SENT,aa76129b-58eb-431c-ae5e-9f80d6574355,38d9035d-abb0-4a32-84aa-0732860764d9,c5,c3,3361,?,p2,
1769730656.395158,CREATED,a39719f3-1e01-4a16-8c4e-4420fab8f55d,11adc394-5dd2-42d6-8b0a-ba4e7bf4ea67,c5,c3,27,?,?,surb={'id': '73332262-1195-4326-9f38-603eabebb5a4', 'route': ['p3', 'e10', 'i2', 'x1', 'p2', 'c5']}
1769730656.404398,SENT,901d5ed7-2bd6-4583-957b-127ad4ff9475,a56ad92b-56f9-4c45-8500-e375ae1a7461,c5,c3,3356,?,p2,
1769730656.404544,CREATED,51dcc1ff-a040-424e-a667-2aa9a6e54e23,8c7ec2a1-ca7b-4eeb-9120-6fce34fcc75b,c5,c3,25,?,?,surb={'id': 'f6f922c6-3e29-436d-8bb7-87ff774898bb', 'route': ['p3', 'e3', 'i3', 'x4', 'p2', 'c5']}
1769730656.7396405,SENT,bf1fc79a-a5d5-4436-a06f-5c0649f3c05c,5fd6d9b3-c6cc-43d8-9173-c2801d5e3b01,c5,c3,3367,?,p2,
1769730656.7397847,CREATED,b2aba3ae-0ca8-4743-8a17-4404f46f9f21,7eb745ec-7d10-456a-89cc-54a0d6b6eb97,c5,c3,26,?,?,surb={'id': 'f9603bfe-5af2-46dd-9fce-25b81eebeaec', 'route': ['p3', 'e3', 'i4', 'x12', 'p2', 'c5']}
1769730656.768093,SENT,72ce8919-1f5d-4999-94e0-202aae6e5b27,8e6e53bf-d52a-4c70-98c0-7bfbd0a82cf3,c5,c3,3379,?,p2,
1769730656.768234,CREATED,c0ba203e-0bc7-4f33-8868-6d81b1514491,a493e0a0-282b-4fa4-93e6-f8d27bf6c5a2,c5,c3,26,?,?,surb={'id': '7de93a45-b62c-4cee-bee0-c09c499fe9b9', 'route': ['p3', 'e10', 'i5', 'x8', 'p2', 'c5']}
1769730656.9696906,SENT,cd681c7e-fe27-43ad-bbe3-76bc72ad2334,30d0051d-5f55-46ee-8369-e1cad6df659f,c5,c3,3383,?,p2,
1769730656.9698217,CREATED,2d3ebdb2-cbfd-4ae9-8b65-65763416baab,3face6b5-fb38-47ba-a087-e7105e24c944,c5,c3,27,?,?,surb={'id': 'f3c67012-cfb8-4e1c-a9d5-95262b824651', 'route': ['p3', 'e6', 'i9', 'x2', 'p2', 'c5']}
1769730657.0880842,RECEIVED,27ec09c8-c5a5-46dd-bd47-5c2873bb169e,1ef537b7-d1aa-4dce-aa3e-75066569ccdc,c3,c5,27,p2,?,surb={'id': '59068bb5-5f24-4550-9a48-cfb7c73320c1', 'route': ['p2', 'e4', 'i11', 'x4', 'p3', 'c3']}
1769730657.1792412,SENT,7366f476-8c15-46ee-a6cc-d5b3cf3f64b0,fe3f4f7b-afbc-4301-8891-39e76f6935ae,c5,c3,3371,?,p2,
1769730657.179299,CREATED,2615428f-02c1-49b6-8a01-f39c36f7b1b2,2ba69b80-3492-46b5-841b-f4871c05cef9,c5,c3,27,?,?,surb={'id': '5bb0d104-2281-49e5-b496-b880cda142d5', 'route': ['p3', 'e7', 'i9', 'x12', 'p2', 'c5']}
1769730657.3171794,RECEIVED,60d6bc1f-b9ed-41cc-b0cf-6528dec8a4e0,fd0f53cc-b27f-4f94-910d-df1f4c280381,c3,c5,27,p2,?,surb={'id': '79bd2418-ea50-41ef-bab6-7618fb11ccd4', 'route': ['p2', 'e6', 'i6', 'x4', 'p3', 'c3']}
1769730657.3530595,SENT,8f117fdb-45e7-4536-ace8-703e43604f7e,2d1ee702-f23d-479e-871a-71d06818c823,c5,c3,3399,?,p2,
1769730657.3532212,CREATED,c6c1ac88-f822-4a16-942b-a7f5a47da414,aada72c7-2376-4509-a9fd-d6b3789afd63,c5,c3,27,?,?,surb={'id': '77e2cce5-14d8-4b10-bea3-a809b22dba52', 'route': ['p3', 'e5', 'i12', 'x7', 'p2', 'c5']}
1769730657.4917362,SENT,52e2af86-7ed2-4513-a669-b240643df859,9af2e487-b500-4806-8d58-c6237d341342,c5,c3,3379,?,p2,
1769730657.4918616,CREATED,94d56ea7-bb73-4450-bdb0-1a1449bd6603,7873710d-2a2c-47cc-b103-2e831e26cfa9,c5,c3,27,?,?,surb={'id': '1f2d2249-2270-40b7-b093-5854b0b0b6f9', 'route': ['p3', 'e3', 'i9', 'x1', 'p2', 'c5']}
1769730657.693349,SENT,9221cab5-74c5-4612-9148-56329ebd529a,61a6ef98-f638-4822-af0b-ea8116e3c98d,c5,c3,3392,?,p2,
1769730657.6934824,CREATED,00a9a6fb-0aca-49f6-982e-dd7be1981997,96a8e883-9013-4496-acc2-c485f1cbfe2d,c5,c3,27,?,?,surb={'id': '31790c31-bdcd-4120-9e83-76a0996f0670', 'route': ['p3', 'e8', 'i8', 'x4', 'p2', 'c5']}
1769730657.7607205,RECEIVED,bcfe3562-3093-473d-977a-6bae6ca8689b,c42fc362-fb9e-422b-9bb7-ebbfa635c436,c3,c5,26,p2,?,surb={'id': '409d0e72-79ee-481d-af4b-5115f3a7201d', 'route': ['p2', 'e12', 'i2', 'x3', 'p3', 'c3']}
1769730658.1516511,RECEIVED,9872aede-75b6-4971-ba1b-8b3b0752a970,c0ea7aff-c8ca-4d9d-a9ba-a672036ef1d0,c3,c5,26,p2,?,surb={'id': 'c63ccc51-55fb-4f56-9616-1f2512b9245b', 'route': ['p2', 'e3', 'i2', 'x9', 'p3', 'c3']}
1769730658.180571,SENT,ab4cf10c-0986-4a55-8f37-ac967816c3b9,44c328a3-c121-4a2d-ba42-6536e91aea1c,c5,c3,3360,?,p2,
1769730658.1807191,CREATED,0f34287f-ae2a-415c-a5a1-21cbc7b69190,f70385c3-0716-4929-bc21-a04cca97e9e6,c5,c3,26,?,?,surb={'id': 'dce8e995-8677-4930-bbad-e4dc6c66205a', 'route': ['p3', 'e11', 'i2', 'x3', 'p2', 'c5']}
1769730658.3731503,RECEIVED,e10ec98c-0c83-4506-be27-081a385e26d0,7a5ee720-17bb-49d2-b660-0c88c9fcfd54,c3,c5,26,p2,?,surb={'id': '9cdcdca3-34f1-4db6-b88e-e3685974f31e', 'route': ['p2', 'e3', 'i1', 'x12', 'p3', 'c3']}
1769730658.4698315,SENT,10000af5-9c05-47b1-b0fd-37754708e025,ac57b3f8-49c6-4aff-8ca9-39003c875a90,c5,c3,3359,?,p2,
1769730658.4706619,CREATED,bb4312f8-ea92-46fa-9bfc-108bc3db4048,4d927263-92fb-42d0-ba94-39b23676eb57,c5,c3,27,?,?,surb={'id': '59ff9aea-f241-4138-8fd1-666f445af3d0', 'route': ['p3', 'e5', 'i2', 'x6', 'p2', 'c5']}
1769730658.4846709,SENT,b67a2e8d-cdf9-494a-a73b-99c5a2f2947a,f8669151-b20a-497f-bb5c-90de2af4f84c,c5,c3,3376,?,p2,
1769730658.4848192,CREATED,91046f23-619c-4fdd-ae9f-8ba07c95bf3c,0f632fe2-7bd0-4dd3-bb59-f4ebc608a0c1,c5,c3,26,?,?,surb={'id': 'a07037a1-c2f2-4b23-a998-3d6b39d30d4c', 'route': ['p3', 'e6', 'i11', 'x5', 'p2', 'c5']}
1769730658.5220714,SENT,96fd6338-f30d-4360-bb1f-6d04befec25c,f6213779-40cd-45ec-85a6-681fafd7608f,c5,c3,3381,?,p2,
1769730658.5222285,CREATED,85413099-1f4a-4ac4-b076-27161fc4b81e,2803ed8b-0547-4785-84f3-9f9b2cee10fa,c5,c3,27,?,?,surb={'id': '9c8731e2-098c-4742-9e71-8d14a9b06299', 'route': ['p3', 'e3', 'i1', 'x11', 'p2', 'c5']}
1769730658.6144223,SENT,26cc20da-6ee2-4e53-b715-792677413b25,db0b23c1-7994-4008-acc0-23add0155cd9,c5,c3,3393,?,p2,
1769730658.6145718,CREATED,a7b72986-e92d-4f9a-8bac-186904bd6d2e,48814f3c-614c-4f12-b5fe-7f80cc9bfbd3,c5,c3,27,?,?,surb={'id': '3087d8e9-9131-468e-bbc5-a39b66b2482c', 'route': ['p3', 'e2', 'i12', 'x9', 'p2', 'c5']}
1769730658.8680317,RECEIVED,702b330e-ca59-4bf2-9da7-e4366bc490d0,6b9cf5a0-87a1-49ba-ae7b-8737bf9cab76,c3,c5,27,p2,?,surb={'id': '0767400b-c20c-42b8-a43f-758b1cd1099b', 'route': ['p2', 'e8', 'i4', 'x4', 'p3', 'c3']}
