timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769730646.5625741,SENT,317f8d20-6ba6-41b7-b1ad-1a2f92712a18,fc9ac964-be94-4eed-bf41-7aaf766e2fb8,c1,c2,3359,?,p1,
1769730646.5627353,CREATED,f24d780c-9dcf-49d5-8d09-450128911f55,d452f0b0-8f18-4433-8be9-a6c70c91ca53,c1,c2,27,?,?,surb={'id': 'ca84a039-f206-4ab1-a36e-577be467025f', 'route': ['p2', 'e5', 'i5', 'x1', 'p1', 'c1']}
1769730646.817591,SENT,d7298716-43a4-4f5b-8847-ef774c943fc0,33442d6e-7efc-415c-9e09-252e0c32bcb7,c1,c2,3384,?,p1,
1769730646.817742,CREATED,0b06d5d4-5f2e-4a17-9623-ca484da11ce5,7af49c06-1203-4b19-82ef-e16dd2f5418d,c1,c2,27,?,?,surb={'id': 'e2657b28-98a5-48a0-8089-d7230e000738', 'route': ['p2', 'e7', 'i5', 'x12', 'p1', 'c1']}
1769730646.9627018,SENT,1a3a1ff9-c9b3-4008-aba0-6c703bd57fdb,c5268187-226f-4454-995f-4e025cbf2942,c1,c2,3371,?,p1,
1769730646.9628537,CREATED,1f4fba70-e736-4be1-bf67-779859b31d32,d655f09b-6f28-4702-b49b-85aeabdd8d56,c1,c2,25,?,?,surb={'id': '0e6fb25a-63b6-40fd-943a-31aec25901c4', 'route': ['p2', 'e12', 'i5', 'x7', 'p1', 'c1']}
1769730647.1549523,SENT,de7e4fe9-8971-4ea0-864e-d3f6358ebb67,f1d816ee-e8b5-4581-aa28-fd20124c496a,c1,c2,3400,?,p1,
1769730647.1554964,CREATED,c4baf3e8-992f-499e-a0f0-9a9169b9cf72,866dd6f1-7724-4cf2-9d52-72ee24eb6056,c1,c2,27,?,?,surb={'id': '2d2acb4d-09c1-4fdd-baed-cd8986fea4f2', 'route': ['p2', 'e2', 'i7', 'x6', 'p1', 'c1']}
1769730647.3778687,SENT,d487b003-5d0e-445a-91e7-4c92338269ca,ace9d4c7-9de8-4fc8-81a4-86cdeec17359,c1,c2,3356,?,p1,
1769730647.378017,CREATED,e07b0a31-3a5e-49ed-9100-23a0c6298414,39585871-0d1c-41de-9e3f-cc020bfbb0c3,c1,c2,25,?,?,surb={'id': 'a07e93bb-4601-45c4-b0dd-5fd64d954025', 'route': ['p2', 'e7', 'i4', 'x4', 'p1', 'c1']}
1769730647.5958598,SENT,4abd54e6-e606-4800-843c-b0ce8c76d13b,0a2f2fe0-9db0-4106-b2c7-6d8781bba0fb,c1,c2,3391,?,p1,
1769730647.5960093,CREATED,6b48c689-832b-45ff-b56f-91ce1f86afbf,3c5cdbca-d19c-4a4e-bd9c-ea9ecfad6d59,c1,c2,26,?,?,surb={'id': '0840c22c-1e76-4e17-849f-c8ad2f438abe', 'route': ['p2', 'e8', 'i12', 'x10', 'p1', 'c1']}
1769730647.6044571,SENT,795949f8-63d1-4830-8513-97428238398b,be1e14f0-060e-468a-a597-14f88bc586eb,c1,c2,3375,?,p1,
1769730647.604622,CREATED,f0112c87-9925-4a3c-b188-d76691021495,c5afb097-d8ab-4b9b-a967-4061bea3d6f9,c1,c2,27,?,?,surb={'id': 'd2f73baf-e4eb-4464-8ce4-2d7a47d6e2ed', 'route': ['p2', 'e8', 'i2', 'x5', 'p1', 'c1']}
1769730648.5186627,SENT,64473f03-895a-4641-8919-3c8cdacfeb2d,c9e95725-f6ec-4e31-ade5-cdddf3c8b0b1,c1,c2,3356,?,p1,
