timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769742366.026073,SENT,16b11fc3-263c-4a94-bd46-dfeea1199462,cc99d465-fb90-4204-aca7-ec4dd506a608,c1,c5,3371,?,p1,
1769742366.026235,CREATED,d27b052d-5257-4e79-ad72-bd44989e1fc5,c3ce421c-fe40-47ab-8300-c365cbee1f6d,c1,c5,27,?,?,surb={'id': '5ce93d2d-d574-4172-8a13-6f0921fa5672', 'route': ['p2', 'e3', 'i9', 'x3', 'p1', 'c1']}
1769742366.225534,SENT,7dee1b62-940b-4e7f-8f8f-ea38686aa0ac,fc51008d-e339-49e2-999c-24a668d28431,c1,DROP,2015,?,p1,
1769742366.225653,CREATED,d1a4e310-f678-4f07-9bec-d97eefd37b11,6003d5f5-a394-46ef-9f26-e2ac1c80d4b8,c1,DROP,25,?,?,
1769742366.48199,SENT,679dae93-0418-4ff3-80a9-1c6e14dac85f,ad5b9599-223e-4382-80aa-b77e404f0f9a,c1,DROP,2031,?,p1,
1769742366.4821835,CREATED,d5a863fd-28f5-40ce-ba36-3a91b9ce3502,0320e1cb-a495-4160-b4e9-3fd2d49a91b1,c1,DROP,27,?,?,
1769742367.14597,SENT,12533315-5a45-4c70-b339-f080231b8269,efe0f090-c745-4945-b471-1f6ded9b190e,c1,c5,3371,?,p1,
1769742367.1461506,CREATED,cde34464-aff9-498e-9566-805f64736f02,fd41945d-80fc-4796-aaac-02546124e617,c1,c5,27,?,?,surb={'id': 'e3f4c4ec-89a0-4f1b-96ed-29fedddf3be6', 'route': ['p2', 'e10', 'i4', 'x7', 'p1', 'c1']}
1769742367.2705927,SENT,fc850c81-e7cf-4bd5-98ee-805d7f616ec7,c3355094-f1a7-4091-9ffe-a9a0f103997e,c1,c5,3387,?,p1,
1769742367.270729,CREATED,63de74ec-519a-4303-b342-03da53f81d3b,a43fda70-d344-4919-b2cf-ec9080615c5b,c1,c5,26,?,?,surb={'id': '827f7bf6-5cc3-4d9d-be7a-bb0b817a55ef', 'route': ['p2', 'e4', 'i9', 'x12', 'p1', 'c1']}
1769742367.4077904,RECEIVED,d6a7ceec-68c7-4a3f-97c6-a6b587f350e5,acac54c0-6fa9-4801-a2a1-d5e83a46955e,c3,c1,26,p1,?,surb={'id': 'c9bf5320-4b90-4558-b5e3-60151c6da365', 'route': ['p1', 'e6', 'i2', 'x3', 'p3', 'c3']}
1769742367.4753723,RECEIVED,e75b9aa6-be75-47f6-818a-52fb6fc5d0df,bfe662cd-e55e-43d8-a8b5-f51883d82b62,c3,c1,27,p1,?,surb={'id': '21da2e2c-53c5-41fb-98ce-80c8b8892571', 'route': ['p1', 'e2', 'i8', 'x8', 'p3', 'c3']}
1769742368.125375,SENT,6d3769a3-985f-4c2b-a7f2-38522faa7b6a,8201ef83-3192-4f15-aa3b-4d74d42f20b7,c1,c5,3379,?,p1,
1769742368.1255178,CREATED,846362d0-6373-4ab9-a535-4a9f49310a54,c9fbe498-cfc6-4cfb-b1be-1333356c0a80,c1,c5,26,?,?,surb={'id': '01648637-e297-4e5a-8404-b7e5f6dba0db', 'route': ['p2', 'e10', 'i6', 'x4', 'p1', 'c1']}
1769742368.4016583,SENT,7fe03547-a9c5-43e3-bf38-72fe41fcc778,f6e0e772-dcaa-499a-8f37-48375f7522d6,c1,c5,3387,?,p1,
1769742368.40179,CREATED,839e1966-8241-470b-8662-2948aefce66b,80a12d85-f9ff-4aff-8c46-2ec163eae362,c1,c5,27,?,?,surb={'id': '9a1eb81f-4785-4986-aed8-7c41025ad9ce', 'route': ['p2', 'e11', 'i12', 'x3', 'p1', 'c1']}
1769742368.5027351,SENT,72bd6849-9bba-4847-9b40-f17249a89934,d1b7cfdf-41ea-49b3-8d38-c46f4aaa37fb,c1,c5,3395,?,p1,
