timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769742369.704165,CREATED,8867f6da-c53d-4cc8-aab8-2093a4f16065,90e54028-8efa-4d95-bb36-8cb36b9737bc,c5,c3,26,?,?,surb={'id': '4605d28d-05a7-4de2-8e97-2060ccfbb871', 'route': ['p3', 'e8', 'i9', 'x9', 'p2', 'c5']}
1769742369.8885095,SENT,da5ae593-2965-46ea-a19a-dd4ae90d05df,6542c36c-b848-441b-bd8e-0abc6990a519,c5,c3,3376,?,p2,
1769742369.8886433,CREATED,7bbf3be2-32dc-4a13-967b-9b34241eee84,411dfdfc-d3f2-4451-8512-d0f40eae64b4,c5,c3,27,?,?,surb={'id': 'e5568a06-1f15-4a55-b2bc-2a233bffc3e7', 'route': ['p3', 'e6', 'i1', 'x7', 'p2', 'c5']}
1769742369.9614558,RECEIVED,bedb648c-3dab-47d3-94ac-9e79d5166494,2a375ca9-86c1-445a-852a-f2f9846b0963,c2,c5,27,p2,?,surb={'id': 'a0a13225-47d0-42bc-956e-5136da922f02', 'route': ['p2', 'e1', 'i5', 'x3', 'p2', 'c2']}
1769742370.0337522,SENT,aed2ed48-c2f7-4b1b-b2dd-d480064ac5fe,68e0de96-8c71-49d5-b46a-94397b4375f7,c5,c3,3371,?,p2,
1769742370.0338829,CREATED,469ffa96-68d8-4cce-80b7-dcfe4f7c61b5,4fc530bd-0387-4428-a627-c20ab3cdcf8a,c5,c3,26,?,?,surb={'id': '9d6d7a89-86e0-4659-9f50-f682247b9189', 'route': ['p3', 'e8', 'i10', 'x3', 'p2', 'c5']}
1769742370.1490753,RECEIVED,63de74ec-519a-4303-b342-03da53f81d3b,a43fda70-d344-4919-b2cf-ec9080615c5b,c1,c5,26,p2,?,surb={'id': '827f7bf6-5cc3-4d9d-be7a-bb0b817a55ef', 'route': ['p2', 'e4', 'i9', 'x12', 'p1', 'c1']}
1769742370.25863,RECEIVED,73442071-9534-4c17-a5be-d9a2134eceb3,b4cad1f5-4e38-45bd-8112-17f9728df6e4,c2,c5,26,p2,?,surb={'id': '8ecdd61d-dd9a-4808-bd18-a8fe505c31f7', 'route': ['p2', 'e1', 'i2', 'x10', 'p2', 'c2']}
1769742370.3400786,RECEIVED,1a47281f-904a-4442-8b61-59a92acd1167,f55c494f-ddc4-4ec6-a893-308910640447,c2,c5,27,p2,?,surb={'id': 'f6947f78-c82e-4f3d-a356-77b38ad05fcf', 'route': ['p2', 'e6', 'i10', 'x8', 'p2', 'c2']}
1769742370.3845649,SENT,027552d8-8844-43e5-9087-95022f39450d,21156f49-ea4c-4774-a72e-b9621248404d,c5,c3,3387,?,p2,
1769742370.3847113,CREATED,98f50c80-5611-4756-9e3c-b7e6f7c3a203,455cfd54-2b9e-48a7-ae5d-3c84b145f051,c5,c3,27,?,?,surb={'id': '280a4ef8-c0b4-4141-b203-a3a9be390ae5', 'route': ['p3', 'e9', 'i4', 'x2', 'p2', 'c5']}
1769742370.4885092,RECEIVED,846362d0-6373-4ab9-a535-4a9f49310a54,c9fbe498-cfc6-4cfb-b1be-1333356c0a80,c1,c5,26,p2,?,surb={'id': '01648637-e297-4e5a-8404-b7e5f6dba0db', 'route': ['p2', 'e10', 'i6', 'x4', 'p1', 'c1']}
1769742370.7175632,SENT,6f98f953-ac7e-4260-b572-5be5cb0e4c38,d77cebdb-cf79-440b-8fec-df3c92946ac3,c5,c3,3396,?,p2,
1769742370.7180758,CREATED,429aaa7a-fae1-4a05-a748-58ae479387e4,74be364a-054c-4049-a692-a78d91cc80f7,c5,c3,27,?,?,surb={'id': 'd6ca6389-335c-4573-afcf-0155877c6aa1', 'route': ['p3', 'e2', 'i11', 'x12', 'p2', 'c5']}
1769742370.7448142,SENT,86718dd6-dfb1-4e0c-a918-d5629e2c6f09,babdc80d-0fcd-4475-a865-004572667db1,c5,c3,3391,?,p2,
1769742370.7449477,CREATED,c8ce9e0d-c77d-4767-9ca9-2dee26aa3a01,eb6a8f92-af55-4890-b7ab-e97475e43c2a,c5,c3,27,?,?,surb={'id': '437e173f-46db-4da5-bc0d-43d87685a3c0', 'route': ['p3', 'e2', 'i8', 'x5', 'p2', 'c5']}
1769742370.8922014,SENT,f6b84d09-7819-4b68-a206-87984f952e9f,37c841c2-ef11-4198-a5cc-0596b09ac3a0,c5,c3,3391,?,p2,
1769742370.8923488,CREATED,2f37b48e-4ca7-4c5d-8ca9-283031a945af,bbcb6c60-1436-4478-bf15-5bebb598b748,c5,c3,27,?,?,surb={'id': 'b4f966fa-829d-49ad-a484-e90c8a25c367', 'route': ['p3', 'e3', 'i9', 'x5', 'p2', 'c5']}
1769742371.2165163,RECEIVED,7ca200f8-ba7e-42ed-a65a-8047c2227345,3cb125c2-3aeb-4229-8d26-262e1484a3b0,c2,c5,27,p2,?,surb={'id': '138f5bdd-e2a6-45ab-9195-a2f43464e44f', 'route': ['p2', 'e11', 'i2', 'x8', 'p2', 'c2']}
1769742371.2494957,RECEIVED,dd2c2424-085a-46a2-9ef0-1bd1e45c38f2,36660a32-4ab1-4a9b-b7a3-420276949b75,c1,c5,26,p2,?,surb={'id': 'fe44d5fb-edbe-4c5c-b7a5-7ab347c72ea4', 'route': ['p2', 'e8', 'i11', 'x5', 'p1', 'c1']}
1769742371.4329972,RECEIVED,37239fed-03ac-4a9d-a6ef-b34db5eadd94,9616a0de-76c9-413d-998f-f2ad9b2f91a6,c2,c5,27,p2,?,surb={'id': '9b858475-d1db-42d5-8baf-0e367e30ed8e', 'route': ['p2', 'e4', 'i10', 'x6', 'p2', 'c2']}
1769742371.4962957,RECEIVED,35c61a4e-e308-457f-8641-7bb8c24fba7f,68dd3049-f8cb-474e-ae08-d2a1edd99456,c2,c5,27,p2,?,surb={'id': '1abfefae-dc58-455e-86d5-5c46287dedc0', 'route': ['p2', 'e3', 'i4', 'x10', 'p2', 'c2']}
1769742371.693734,RECEIVED,08444f54-a474-4f2d-86ab-62efbb0c9d4e,5b12e8d8-1f2f-4d75-ab0a-898423a4157b,c1,c5,27,p2,?,surb={'id': '7b522617-29db-43db-b9f8-20eb4415546e', 'route': ['p2', 'e7', 'i10', 'x5', 'p1', 'c1']}
1769742371.8392067,RECEIVED,839e1966-8241-470b-8662-2948aefce66b,80a12d85-f9ff-4aff-8c46-2ec163eae362,c1,c5,27,p2,?,surb={'id': '9a1eb81f-4785-4986-aed8-7c41025ad9ce', 'route': ['p2', 'e11', 'i12', 'x3', 'p1', 'c1']}
1769742372.1433606,SENT,9fcf7e4d-ec15-455b-908b-57376913254b,a265b56b-3d0c-4c08-9dca-fa3cf28c58db,c5,c3,3371,?,p2,
1769742372.143847,CREATED,180223c5-e785-4d41-afc0-381d3646ad2c,ca72f493-99f2-43bb-adcd-4236b84f69b0,c5,c3,27,?,?,surb={'id': '33800f53-7017-4747-950e-846ce5837798', 'route': ['p3', 'e2', 'i1', 'x2', 'p2', 'c5']}
1769742372.1648138,SENT,cfd7caed-cd4b-4138-9707-77f9256d0503,d4e29571-96d3-4245-988b-0d4f82fb1d38,c5,c3,3384,?,p2,
1769742372.1649663,CREATED,3cc00e96-a54e-440a-832d-7ebc42981e44,b7fd8956-39d9-4302-a051-7bce269cf494,c5,c3,27,?,?,surb={'id': 'f30be136-0c19-477c-9564-44b58c3d8da6', 'route': ['p3', 'e5', 'i1', 'x1', 'p2', 'c5']}
1769742372.4430215,RECEIVED,11339dd7-61c5-4eea-a3e4-8187c79fba5f,bc4199e3-316e-4cf3-a809-c63d6fd1d0fa,c2,c5,26,p2,?,surb={'id': '6c803461-590f-4712-aa3d-37d4a37a92c3', 'route': ['p2', 'e9', 'i1', 'x4', 'p2', 'c2']}
1769742372.4589183,RECEIVED,18aec86d-93c9-4f1e-b33b-b630287c98e0,d44d5ef4-cf30-44b2-9729-8d39c4bcba5f,c2,c5,26,p2,?,surb={'id': 'e08a7ef4-dcbb-4816-8f45-d03494eee1b1', 'route': ['p2', 'e11', 'i10', 'x6', 'p2', 'c2']}
1769742372.574407,RECEIVED,4464a06c-4071-487d-aa51-ef9108f02ca8,5b6069c5-60ac-4289-b9a4-02b024cd7cde,c2,c5,27,p2,?,surb={'id': '64130ac8-96bc-4d64-8b68-58a93ed05fc6', 'route': ['p2', 'e11', 'i12', 'x9', 'p2', 'c2']}
1769742372.8777833,RECEIVED,b8125955-cb8b-47e1-ae6f-e9be8b7dc004,d1962c51-f4ad-4509-95a9-ef66a577bf14,c2,c5,27,p2,?,surb={'id': '8a51d0d3-28ef-47a2-84f1-b5e0a2654940', 'route': ['p2', 'e6', 'i11', 'x2', 'p2', 'c2']}
1769742372.907779,SENT,112cdf6c-2bc9-4745-890c-b03fbe263cb4,15ba94de-2b7d-4bc5-8c1b-204f56dfa571,c5,c3,3360,?,p2,
1769742372.9079022,CREATED,7f220574-0489-46b0-ba3f-00971659efe4,19755b55-54f7-4444-8322-bccbc8dfe661,c5,c3,27,?,?,surb={'id': '653eeb74-2f79-4dfc-ad5e-fa1b32419a47', 'route': ['p3', 'e7', 'i7', 'x5', 'p2', 'c5']}
1769742372.980373,RECEIVED,7c8a31ec-534d-457d-a6b0-6f7f2fcb941e,b9585812-bfa1-4b17-8aac-55f67015626d,c1,c5,27,p2,?,surb={'id': '5bf60b36-efce-433f-bfa6-f42740bab57b', 'route': ['p2', 'e11', 'i11', 'x1', 'p1', 'c1']}
1769742373.2329113,SENT,29251d0e-14be-4b1d-8150-18f08f861f1d,c3f386ad-b788-4d5a-bc69-16885f83113a,c5,c3,3359,?,p2,
1769742373.2330709,CREATED,13722f42-cd41-4c8c-8abb-836439f07806,efe77e8c-d025-42fd-be8d-e44c96521b35,c5,c3,26,?,?,surb={'id': 'db07a4fa-8973-433b-9247-161c252ff662', 'route': ['p3', 'e9', 'i10', 'x4', 'p2', 'c5']}
1769742373.4106874,SENT,275e0795-b19c-459d-900b-ee4fed55f274,088153ec-56a7-464b-8189-8e512f6f3c3a,c5,c3,3360,?,p2,
1769742373.4108214,CREATED,46d36262-d6cc-49cf-9970-454f32aa158d,23a06017-c11f-4e4b-b726-b20b02d3054d,c5,c3,27,?,?,surb={'id': 'd32dd77d-9be4-42ae-b945-a02c5034edd3', 'route': ['p3', 'e11', 'i5', 'x8', 'p2', 'c5']}
