timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755934.7804935,SENT,65779e10-b0d9-4138-9c37-7923fd8eb4de,a4bd098c-68bd-472a-8dae-c14461984141,c4,DROP,2031,?,p1,
1769755934.7806175,CREATED,02bb5168-f054-44d9-b4ee-9d786b41cf97,15da2494-6d7e-427e-a0ab-084a3835a9b4,c4,DROP,26,?,?,
1769755935.875011,SENT,016e2d7b-4897-440d-971f-232373d07a0e,4ffa9242-2481-47b8-8054-9ba875c526f5,c4,DROP,2045,?,p1,
1769755935.8751543,CREATED,73b71af6-a419-4e15-982c-d3f8d5642722,5ba042d6-1083-476c-a75e-e90f227ab752,c4,DROP,27,?,?,
1769755936.0424588,SENT,ad514949-e992-46cd-9751-96844a0cdb17,b1be1607-1d90-474b-8203-a68961681978,c4,DROP,2015,?,p1,
1769755936.0425794,CREATED,57b7c443-670a-4908-8a64-5fb2bbe9b347,e3c40691-0c2f-4c9d-8fb3-9f4e4c1bdd6a,c4,DROP,26,?,?,
1769755936.1078382,SENT,7dd0012e-1feb-44ba-bf89-e71482c09ecb,ad2a6982-63d8-4561-a51c-b3c03cee9af0,c4,c2,3379,?,p1,
1769755936.1079886,CREATED,ade3c26d-0c99-4eb7-8490-805a5dc0e3d0,ac5cbee5-1016-49d1-bf82-f2f45e22b389,c4,c2,25,?,?,surb={'id': '9730544b-c729-4424-8cbf-a8e521de2c6b', 'route': ['p2', 'e1', 'i10', 'x2', 'p1', 'c4']}
1769755936.4968197,SENT,2980b796-149a-4f10-9817-05ba978ee0ab,02e6ac3b-ff5c-4ae7-b958-41f1cab12049,c4,DROP,2043,?,p1,
1769755936.4969406,CREATED,679aaf4c-f648-4ddc-bfe5-50a00dca0237,7e0643e1-f475-440d-9547-6f441907f5f0,c4,DROP,27,?,?,
1769755936.5424542,SENT,fa6bd2f1-4bc0-43fe-80bd-e309f07f68ae,de72cc6a-1254-4aee-a299-742ee2218390,c4,DROP,2031,?,p1,
1769755936.5425723,CREATED,7e27c015-561d-482e-ab05-5fbe67fe1f29,a3cf3171-0392-49a7-8a95-28754cedf029,c4,DROP,26,?,?,
1769755936.6908221,SENT,ca8a0d30-c77e-4f5e-83d4-e18eb58bca1c,6321da1b-bef7-4c3d-8d03-e713215b6eba,c4,c2,3392,?,p1,
1769755936.6909862,CREATED,cd3e133f-9d12-468a-b705-d763fbbc32ad,e4cc6cb6-accb-4c42-8082-d39aa5601517,c4,c2,27,?,?,surb={'id': 'f3650719-e0fb-4803-9d3f-ca1c1dbd01a4', 'route': ['p2', 'e11', 'i2', 'x3', 'p1', 'c4']}
1769755936.791222,SENT,551e65f9-0f3b-49d7-9392-c340a9aea35c,4a130d8f-75db-43d3-9e07-ec25cd803c8d,c4,DROP,2020,?,p1,
1769755936.7913406,CREATED,05d9f8d7-e127-4958-a583-90fe1aa5ed45,a0637836-5cef-4f45-a4a0-2736710e235d,c4,DROP,27,?,?,
1769755936.8746727,SENT,71eaa466-f080-4d5c-b02f-ec02db10928a,2cc69d8a-b543-48f9-af60-d43f55ade56d,c4,DROP,2019,?,p1,
1769755936.874792,CREATED,065dc773-88e6-4386-b05d-b6a995f1338d,59547d51-c34c-4991-af8e-745e29e91d5b,c4,DROP,27,?,?,
1769755936.9384375,SENT,f791df59-b8e8-4a4c-8c4a-a07d003a5c3c,d2c97eb9-817a-43a8-936d-02c2a5587c63,c4,c2,3392,?,p1,
1769755936.9385684,CREATED,90f35466-beca-42f7-af73-8f0d4010eb3f,d1c59cb2-63a3-4e9f-b674-a907fd2002c7,c4,c2,27,?,?,surb={'id': 'be66faf4-ffdd-4f49-a6ae-e04365e4c7c7', 'route': ['p2', 'e12', 'i3', 'x12', 'p1', 'c4']}
1769755936.9575422,RECEIVED,6777764a-8504-474e-9ebc-59edb7edfbf2,2919ac26-a1c6-4b71-aea1-a206f0db0019,c1,c4,27,p1,?,surb={'id': '613adabd-fae6-4245-a00e-24700b0a1a12', 'route': ['p1', 'e1', 'i8', 'x12', 'p1', 'c1']}
