timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755937.6347606,CREATED,77f51f24-c20c-49fc-a663-286d9d35e889,30ffbbf7-e650-4946-8958-cfae999de5b2,c2,c4,27,?,?,surb={'id': 'ff54de2f-7ab5-4d05-9729-2fb4b94a177e', 'route': ['p1', 'e3', 'i3', 'x2', 'p2', 'c2']}
1769755937.69147,SENT,f1cade11-11b8-4266-a132-00ee61614b1c,ab78c8cd-233d-4a1f-a109-def8d57bd8aa,c2,c4,3396,?,p2,
1769755937.6916265,CREATED,676277e9-6a81-47b4-8a79-91a717b2e810,6b688152-3d3b-497f-a3ca-d0d8dfab4100,c2,c4,27,?,?,surb={'id': '93a1da75-bd88-40e4-aa1a-4e599600091b', 'route': ['p1', 'e7', 'i10', 'x8', 'p2', 'c2']}
1769755938.2809577,SENT,759c872a-0b7d-4855-bbb9-e80288525809,f63077ac-04a7-491c-9bc0-8b066ab356af,c2,c4,3376,?,p2,
1769755938.2811325,CREATED,fdbafbfb-3628-4a6e-91d6-b74858d6d208,2fd3b890-bdbf-4cc1-9ac7-0b254014b13c,c2,c4,27,?,?,surb={'id': 'f2552655-45b6-4e68-8dce-76c2be7e528e', 'route': ['p1', 'e6', 'i6', 'x7', 'p2', 'c2']}
1769755938.4064233,RECEIVED,6917a6c9-d68c-4efa-96c2-fd38a4778d2c,5ce7ae8b-4946-426a-90f8-37dc891de8af,c3,c2,26,p2,?,surb={'id': 'c0ad076f-3cbb-4b87-9919-2d4c719bf02a', 'route': ['p2', 'e8', 'i1', 'x6', 'p3', 'c3']}
1769755938.508829,SENT,01dfbf68-790f-4595-8d9d-e0860b44a3dd,d17d89d7-2a98-423b-9495-4acf55c1fe3c,c2,c4,3380,?,p2,
1769755938.5089605,CREATED,07608b6b-c597-41a7-b0dc-bb1b102a0b79,5de82eae-5c47-4deb-bf78-a57906ea50b7,c2,c4,26,?,?,surb={'id': '50e150dc-4818-4269-93e6-b716c6f893b5', 'route': ['p1', 'e5', 'i7', 'x10', 'p2', 'c2']}
1769755938.6665568,RECEIVED,e1e9f0cd-8a25-46b2-aa86-58382a4d4da4,5ff25870-db51-42da-95f3-491b0e845aa6,c3,c2,26,p2,?,surb={'id': '1ba39db9-a8c1-46d8-af7e-3d5ffcb6faee', 'route': ['p2', 'e11', 'i1', 'x9', 'p3', 'c3']}
1769755938.7906334,SENT,b59eccbb-3cd9-41b6-99ff-2713862d3f4c,3358a59f-54cf-4802-b995-5ce6e38110f6,c2,c4,3392,?,p2,
