timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755939.6362987,SENT,095eec70-b92f-401d-b5b0-d8d79320f267,9f071ac4-01bd-4be0-9f16-b50fa7ef7002,c1,c4,3376,?,p1,
1769755939.6364284,CREATED,4c131522-0d1d-4024-bd68-a7553e24ab36,e053ea35-38f2-4996-929c-03d2dc8a33c6,c1,c4,27,?,?,surb={'id': '2c69bcb7-8348-4452-a049-ea1903f37d90', 'route': ['p1', 'e9', 'i11', 'x3', 'p1', 'c1']}
1769755939.6464713,RECEIVED,cc03a8d9-9e65-4666-abdd-cf45d4301908,1096d9dd-bd2d-4ab8-81fb-0eb83e1143e5,c5,c1,27,p1,?,surb={'id': '71f344a5-5208-45ae-b9ef-d1bbd2350d80', 'route': ['p1', 'e4', 'i6', 'x4', 'p2', 'c5']}
1769755939.9455826,RECEIVED,660c4671-ed65-435d-ae58-ba38980a5252,130128e5-b12b-4d61-990d-c600c244aaf9,c5,c1,26,p1,?,surb={'id': 'a3291792-17b9-48f8-8309-b359972d2217', 'route': ['p1', 'e1', 'i3', 'x5', 'p2', 'c5']}
1769755939.9585931,RECEIVED,bb44a2bc-358c-479b-9965-66bfb92b9f01,cd4cfe6d-9950-4f3b-8f8e-803f55d3e41c,c5,c1,27,p1,?,surb={'id': '7e851d29-6ea7-4899-842c-485d2ed67bc1', 'route': ['p1', 'e12', 'i7', 'x10', 'p2', 'c5']}
1769755940.0304863,SENT,6829ed49-b6f9-487f-a486-251e611b8364,50d8e1f4-5bc1-4b2d-a095-4387183750c9,c1,c4,3380,?,p1,
1769755940.030619,CREATED,2343689e-53ba-4d83-9e58-524561943b4b,6e0c2f2a-ca41-43fc-8f00-2ad4b7e3fe78,c1,c4,26,?,?,surb={'id': '364594f7-a308-4211-afcf-0070efcfdeb1', 'route': ['p1', 'e2', 'i11', 'x8', 'p1', 'c1']}
1769755940.0957708,SENT,b283d3dc-29e3-4940-ba52-6d5d81195b46,55b686a0-03fc-48ba-9f20-ec8c497fa339,c1,c4,3371,?,p1,
1769755940.0959165,CREATED,54db2517-1533-47d9-bc32-58685f99711a,fcccab1e-42ab-4576-9512-9c84949c9de1,c1,c4,26,?,?,surb={'id': 'e5fa23d8-691b-4b88-a7a2-d6ea88ad88dd', 'route': ['p1', 'e5', 'i7', 'x4', 'p1', 'c1']}
1769755940.2746017,RECEIVED,cb57f0ed-f7f9-4d59-823b-86d469c59385,da0c0ee0-0672-498a-8487-4968644949b9,c5,c1,26,p1,?,surb={'id': '98085784-e661-475a-87c2-b41454e98078', 'route': ['p1', 'e8', 'i2', 'x11', 'p2', 'c5']}
1769755940.3376338,SENT,07324ed7-aff9-4d16-9b7a-798d89e1333c,1469596c-cdd3-4312-8efa-0d58544ae148,c1,c4,3416,?,p1,
1769755940.3377628,CREATED,77b845ab-be3c-4798-8396-7fb2e9e75570,6782d93f-ceb2-40b4-9414-bb1b6420ff2f,c1,c4,27,?,?,surb={'id': 'c2c4e23f-6585-4a50-b37f-e179279475dc', 'route': ['p1', 'e12', 'i1', 'x4', 'p1', 'c1']}
1769755940.4582546,SENT,bd03d1c4-a78f-4597-a3c3-0b6640225e90,f42383b9-3305-4136-86b9-f7d813cfe6a8,c1,c4,3391,?,p1,
1769755940.458385,CREATED,0adce341-0885-41d1-ada3-a305a168ab17,4b734f96-ce2e-470a-af54-383e027290e5,c1,c4,27,?,?,surb={'id': 'a5d685d5-2425-43b0-bead-ec3fcd0b8731', 'route': ['p1', 'e1', 'i3', 'x7', 'p1', 'c1']}
1769755940.5597672,RECEIVED,47b66b7b-f5ac-4af9-bc90-6f4377e954ee,ac112754-37e0-4b9b-8502-1f4acefa5fa1,c5,c1,27,p1,?,surb={'id': 'bbbbc244-4c28-4d82-9de6-57fb536e95e4', 'route': ['p1', 'e1', 'i6', 'x6', 'p2', 'c5']}
1769755940.5918703,SENT,c1ac669c-f9ba-44e2-a503-7b8a209936e1,7d75435b-e4e5-434a-80ec-0d96c1cea36a,c1,c4,3389,?,p1,
1769755940.5920024,CREATED,c2af8e37-1a4e-47b3-b19f-f522927fca7b,b1431cc0-df19-4ee0-8cd0-dfe85e737b6f,c1,c4,27,?,?,surb={'id': '3633028a-097e-4334-bed6-8168d53c975c', 'route': ['p1', 'e8', 'i12', 'x8', 'p1', 'c1']}
1769755940.600565,SENT,b5ca2320-d4e5-4221-939d-320e8c9add34,b6163abd-34b5-4fdb-abec-090437c5997a,c1,c4,3389,?,p1,
1769755940.6006956,CREATED,5d8e06df-106f-4fb2-ad5c-98c034d77dd1,463df625-c0ef-4fb1-b0a3-26956e18e378,c1,c4,26,?,?,surb={'id': '90ac834f-24aa-4eb0-ba18-2071219b2901', 'route': ['p1', 'e10', 'i12', 'x4', 'p1', 'c1']}
1769755940.7415793,RECEIVED,bfe827d4-b54a-4da2-8be1-a80cb56aa340,5ff2d09f-8af6-4e1b-8bf7-0a5dc34487fe,c5,c1,26,p1,?,surb={'id': 'c3c1acd3-cbf8-4c2e-b881-5f0b59176d8c', 'route': ['p1', 'e3', 'i2', 'x2', 'p2', 'c5']}
