timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495703.1919947,CREATED,bc4618ad-65db-4ee5-83a7-fe0469b2b12d,fd3cc8cc-1779-4f0d-9c9f-0baae546da0e,c4,c3,26,?,?,surb={'id': '9e4f093d-0220-4dc6-b0ce-477f49487230', 'route': ['p3', 'e12', 'i2', 'x2', 'p1', 'c4']}
1769495703.24945,RECEIVED,070e3655-a7ea-4b93-8925-6c06270a03bf,1b6de2e2-41ba-45ba-b700-c18b1dbfeb4e,c3,c4,27,p1,?,surb={'id': '12e1cc89-c3b2-4603-b765-1f93c4ab615b', 'route': ['p1', 'e12', 'i12', 'x3', 'p3', 'c3']}
1769495703.6303988,RECEIVED,d111e137-1281-4fd1-be12-93ccb5b2e630,265459e6-d75a-4e08-b812-37a91cf6ccd7,c3,c4,25,p1,?,surb={'id': 'ffc35b95-3d46-474d-8cf6-51642ba1f300', 'route': ['p1', 'e3', 'i2', 'x9', 'p3', 'c3']}
1769495703.8192015,RECEIVED,4933c36c-fdb7-4164-8805-2e1293e9c7d4,3daa08d0-a839-4074-a9b8-610c744c12e6,c3,c4,27,p1,?,surb={'id': 'a999d2a9-384d-434c-b242-5ba4a514c20c', 'route': ['p1', 'e5', 'i12', 'x10', 'p3', 'c3']}
1769495703.8626924,SENT,28560bd3-66f9-43f2-8d83-5b714552ed1b,42857f3c-033d-47e1-9cc1-4ed437b0c4ae,c4,c3,3387,?,p1,
1769495703.8628442,CREATED,d81e5f48-4dea-4cb6-a8d2-0d3d93e681d6,3df950a6-2230-4d94-97de-006dc3d35c5f,c4,c3,27,?,?,surb={'id': 'a5d71b9d-71bf-443c-9321-31ba67d94631', 'route': ['p3', 'e5', 'i7', 'x8', 'p1', 'c4']}
1769495703.8726172,SENT,96572da9-c155-45fd-84a0-5fae98600440,62ac4b2c-682b-4bb6-b088-907996a14fff,c4,c3,3363,?,p1,
1769495703.8727689,CREATED,8d2c87d5-7417-4e0d-aa87-7cf0292f1839,4f861677-a302-4731-a939-bae7a06bab1a,c4,c3,27,?,?,surb={'id': '603b3cd0-b610-467b-8943-46c899645d78', 'route': ['p3', 'e5', 'i7', 'x7', 'p1', 'c4']}
1769495703.9497387,SENT,65baab49-3da7-4476-8a27-e51db5931124,f8332ea4-4310-4c34-a4ad-84ca2055a1a3,c4,c3,3368,?,p1,
1769495703.9498832,CREATED,5c2760c4-3ab9-49b9-9d94-f2ebd0137436,d36580e2-366d-4c2f-8454-ebc19432773b,c4,c3,27,?,?,surb={'id': '023f68b8-b3c5-4cd5-895b-794e70e7d1cd', 'route': ['p3', 'e3', 'i7', 'x5', 'p1', 'c4']}
1769495703.9577715,RECEIVED,1f06d627-7c1f-4ae4-83e3-2517461be24e,6892309b-95fa-4707-baf3-6710df4bcc90,c3,c4,25,p1,?,surb={'id': '6f33e6cb-091b-4ae4-8347-085f7ed3ffa8', 'route': ['p1', 'e3', 'i10', 'x11', 'p3', 'c3']}
1769495704.3147464,SENT,42e2077a-4995-413a-ba84-38b206a5244c,e0e0654f-747c-4a38-8f44-48eafd2ed324,c4,c3,3372,?,p1,
1769495704.3148963,CREATED,66c14cd4-240b-4524-9a24-aaf88725df67,d7711d73-8921-4dfd-97d0-aa7accc0b2e5,c4,c3,27,?,?,surb={'id': 'bc9d255d-d2f2-49a0-85d9-29e4644a167c', 'route': ['p3', 'e2', 'i7', 'x9', 'p1', 'c4']}
1769495704.4941907,SENT,8bda143b-1e59-42b4-b44a-9e6b7957c570,03759bb1-4eeb-4443-b9c4-b32af8327334,c4,c3,3374,?,p1,
1769495704.4943542,CREATED,9d311484-771d-4883-95fa-c17f6706c4da,a2603fcc-e39d-48d4-ac32-42bb8aa4f7e8,c4,c3,25,?,?,surb={'id': 'e1370bdf-7f10-43ae-88f9-158bc21ce586', 'route': ['p3', 'e6', 'i5', 'x2', 'p1', 'c4']}
1769495704.552032,SENT,0e39b57b-4dca-447c-a763-60e3be4fd9ab,b922dc80-42d1-4150-b532-d520a29c3ec7,c4,c3,3379,?,p1,
1769495704.5522275,CREATED,93cbae23-906e-4a7b-854e-27837b99fee6,a9cefe64-6b38-4130-813a-634ee3da7bae,c4,c3,27,?,?,surb={'id': '33fc265a-23b7-4661-bd23-4df5318e2f97', 'route': ['p3', 'e4', 'i2', 'x11', 'p1', 'c4']}
1769495704.587834,RECEIVED,dfeb6eec-050b-4f3c-aac9-d385f4360ffd,744da96a-16b0-49b8-96cf-bcd18b40bac0,c3,c4,27,p1,?,surb={'id': 'ce00e1da-1056-49d2-ad93-7f0bb4438907', 'route': ['p1', 'e7', 'i3', 'x7', 'p3', 'c3']}
1769495704.5944207,SENT,89b4efd4-14bf-4dc1-bd57-33288ba309e1,506a6007-d866-414b-9047-09f120500bab,c4,c3,3381,?,p1,
1769495704.594572,CREATED,9171c697-26be-4828-8316-edc313e524d4,d326b7e1-5e81-41e3-bb99-5c43fd9496c9,c4,c3,27,?,?,surb={'id': '40de4f9f-b6f5-4ddb-9c94-f07499e6d71c', 'route': ['p3', 'e8', 'i9', 'x9', 'p1', 'c4']}
1769495705.0351982,RECEIVED,0a8f5f80-df10-4efc-a7c8-1664ec392420,82128d5c-7fc8-4ea1-afd7-82b6043a2764,c3,c4,27,p1,?,surb={'id': 'e68fae78-9785-4289-a71a-dd7d0c255be2', 'route': ['p1', 'e4', 'i3', 'x5', 'p3', 'c3']}
1769495705.1707532,RECEIVED,f4fd882c-8e6e-4b01-8519-d7955a4e0701,c2b43bd4-b8e3-4863-ab77-a32c7ed7fbc8,c3,c4,27,p1,?,surb={'id': '3ffcba52-58af-452f-bb8a-231e448f6c21', 'route': ['p1', 'e8', 'i5', 'x5', 'p3', 'c3']}
1769495705.2134626,SENT,997407bf-45c4-44a3-a1c8-86bd5b9ecdf8,62441d20-b3e3-4789-a31c-4e31855fecab,c4,c3,3384,?,p1,
1769495705.2137034,CREATED,767c010b-43d2-4d51-918a-327170b112e4,9dcd6fb7-c59f-45ec-a90a-b3abf14dab4a,c4,c3,27,?,?,surb={'id': 'a4c30fb2-006c-47c8-b929-5f14a7ad060d', 'route': ['p3', 'e6', 'i8', 'x3', 'p1', 'c4']}
1769495705.2668452,RECEIVED,9273bcdb-f9df-4799-82a3-65041947ad07,b94d4354-4bbd-450d-80ba-b0e13143f4f9,c3,c4,26,p1,?,surb={'id': '9008bf71-3dc4-41d5-926e-51330fa398e3', 'route': ['p1', 'e9', 'i7', 'x10', 'p3', 'c3']}
1769495705.3845632,RECEIVED,a3e6d128-5103-4f7b-99c9-de72a6ba47bd,f2202a04-762e-4de6-bfba-919f239675db,c3,c4,26,p1,?,surb={'id': '2b69a38c-d8fa-4fa3-bbdd-8b70e04f2e44', 'route': ['p1', 'e4', 'i1', 'x5', 'p3', 'c3']}
1769495705.3991346,RECEIVED,2f055272-bef6-4735-8908-e3230b170e8d,099c9a65-9548-4885-a26f-527301618be3,c3,c4,27,p1,?,surb={'id': '37a7d255-24b8-42e3-aaa9-2681ac854ff4', 'route': ['p1', 'e1', 'i7', 'x10', 'p3', 'c3']}
1769495706.2132332,SENT,907969b7-7e45-4333-9084-ed85881e6998,fa5ad669-e832-429e-9488-2333dd81e033,c4,c3,3383,?,p1,
