timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495701.7730882,SENT,0fe95dec-7668-4e4f-a0fa-40bad53b4699,ea5e347e-7040-4724-afca-1aa9bad5b943,c1,c5,3372,?,p1,
1769495701.7732356,CREATED,b60c945d-f759-48df-a1a5-3932972a9d91,b44c6dd7-8be7-4a04-8097-c1a4414e4a9d,c1,c5,26,?,?,surb={'id': '9acfa829-3273-4934-abc7-a00393ce5175', 'route': ['p2', 'e4', 'i11', 'x7', 'p1', 'c1']}
1769495701.8355968,RECEIVED,fd164787-5175-4299-b890-4df7d8495af8,d1f3fc90-bd64-478e-bf56-9238c6fc507e,c2,c1,27,p1,?,surb={'id': 'd6e26e77-b0f6-4ecd-9a96-69131a52050a', 'route': ['p1', 'e11', 'i5', 'x8', 'p2', 'c2']}
1769495701.8944752,RECEIVED,c454db0a-6f4f-4e80-a36c-9dbc43fbb2a5,a63df4e7-1cc1-4b06-aa10-7b96139ea7ed,c5,c1,27,p1,?,surb={'id': '528b2004-3227-409a-9c5d-e74b6724ceef', 'route': ['p1', 'e2', 'i6', 'x1', 'p2', 'c5']}
1769495702.2076685,RECEIVED,fa7585f2-6c70-4953-983b-574bd695b7c0,800cb341-8aaa-48ec-960a-f736756b2c6a,c2,c1,27,p1,?,surb={'id': 'd1525dab-3f83-4e29-846f-5c03a018f090', 'route': ['p1', 'e5', 'i11', 'x8', 'p2', 'c2']}
1769495702.3202875,RECEIVED,d30f6358-fad7-4b9c-94c5-a6fb55f1fc33,df3d2b17-b3dd-4bfd-a76c-e812750c28cb,c2,c1,27,p1,?,surb={'id': '7b511e29-3d50-4f10-be0c-5e3be1c327c2', 'route': ['p1', 'e11', 'i6', 'x2', 'p2', 'c2']}
1769495702.4417543,RECEIVED,834c2302-4855-43d5-aea7-ca4944f89c89,15b110b2-10e5-48a4-9245-fca75ba5fb78,c2,c1,27,p1,?,surb={'id': 'c810a48a-8cfd-4575-a02b-f8a917b5fb67', 'route': ['p1', 'e8', 'i9', 'x5', 'p2', 'c2']}
1769495702.4507213,RECEIVED,fb59e974-d95e-4da4-9d77-767eb3bd6cbb,b95fe866-be29-4d43-8594-31a26a1f70e5,c5,c1,27,p1,?,surb={'id': '0e1d764f-78d3-4ba1-9f2b-81772d69db97', 'route': ['p1', 'e2', 'i12', 'x4', 'p2', 'c5']}
1769495702.5661557,SENT,40310a34-5866-4fa7-a819-abb7953e8d0a,12d5dfbd-fe02-438b-83cd-ae8cd212b1e4,c1,c5,3395,?,p1,
1769495702.5663145,CREATED,f51d58f2-2db9-4e89-acc6-e0eddcf6acbb,e1804f7c-c640-4651-a39e-8b5411cbdc17,c1,c5,27,?,?,surb={'id': 'bd203a7d-251b-48dd-939b-367fe1c9598c', 'route': ['p2', 'e2', 'i12', 'x3', 'p1', 'c1']}
1769495702.623936,RECEIVED,12ac5359-87a5-4d5d-b698-7d4d068eb3e4,846f66a0-a061-4975-9a3e-99e6644ccd15,c5,c1,27,p1,?,surb={'id': 'f9b68f2d-de73-46da-a36d-904c2a2b7996', 'route': ['p1', 'e6', 'i2', 'x10', 'p2', 'c5']}
1769495702.7090917,RECEIVED,fe9984ed-81b6-447e-94ad-3b3fc932ee51,0b795810-1783-456a-a285-d58af3c6c429,c2,c1,26,p1,?,surb={'id': 'a2bd4e4e-e8ab-4096-b840-15f197d66700', 'route': ['p1', 'e2', 'i5', 'x2', 'p2', 'c2']}
1769495702.87503,RECEIVED,84fb0def-05f4-4991-819a-d20614dd3f8b,b5a7ed15-e134-4cf6-a95c-2045d85e14a2,c2,c1,26,p1,?,surb={'id': '491d4831-59dc-4b51-9741-9ab84e1f3c17', 'route': ['p1', 'e7', 'i7', 'x8', 'p2', 'c2']}
1769495702.9394178,SENT,07e09c3a-4a48-464f-99e4-e00a15b93d5f,1335dd11-c003-49be-a3dd-5aec556c5319,c1,c5,3375,?,p1,
1769495702.9395714,CREATED,3508f825-aa2c-44f4-b729-eaf489fea627,afd23a21-357b-41f5-84a1-9e66206e280d,c1,c5,27,?,?,surb={'id': '9405a064-eada-4411-8030-d1628ad9aae8', 'route': ['p2', 'e10', 'i4', 'x1', 'p1', 'c1']}
1769495702.9592097,SENT,3adb8a11-aaf0-4825-add2-35675e46292e,16a4422c-7771-4d02-b616-dfb06d5b5bd1,c1,c5,3358,?,p1,
1769495702.9593618,CREATED,80d42039-bd1e-404c-8c93-ee70744dca83,25e6f3f7-f8c0-4c4e-afa6-7cf391558d8e,c1,c5,27,?,?,surb={'id': '936c0678-0c87-4d3c-a8c5-82234eb69491', 'route': ['p2', 'e6', 'i6', 'x4', 'p1', 'c1']}
1769495702.9962986,RECEIVED,ea312cc5-7bf4-4773-a1b6-11b8f16ba85f,56fc5704-a5c8-4ccd-87e3-29bfe1c3a53b,c5,c1,27,p1,?,surb={'id': 'fc35fdb6-4a0c-44d0-ac73-1c74d4217f52', 'route': ['p1', 'e9', 'i11', 'x3', 'p2', 'c5']}
1769495703.243869,SENT,5e6bfafd-77c6-46f0-8713-7dc671f5b228,6eebbe5f-05f3-40f6-b482-92d114b99f76,c1,c5,3388,?,p1,
1769495703.244016,CREATED,20a4be8b-f918-4ef7-a7f7-0d235c8b379e,7862547b-eb5b-4571-894e-9e94047f80f4,c1,c5,27,?,?,surb={'id': '2deea70c-1a29-4e70-bee0-98b8a56d7ab3', 'route': ['p2', 'e12', 'i10', 'x7', 'p1', 'c1']}
1769495703.3012977,SENT,6f80ea1d-3e0a-473f-81d0-6d905c83bb05,9937c477-f57d-4089-8504-d2ee1e4f4cb5,c1,c5,3392,?,p1,
1769495703.3014438,CREATED,7af97d61-c9df-4e9f-bf1b-e219b3f0478e,e3e69a7e-d541-406e-a3db-3f76553498ab,c1,c5,27,?,?,surb={'id': 'e0aa2f4b-4999-4138-a5a4-080d940be3c2', 'route': ['p2', 'e7', 'i2', 'x12', 'p1', 'c1']}
1769495703.386488,RECEIVED,950ba339-84c0-4cd2-a281-5db820118f44,734dd04a-b73a-4b88-a1dd-8ea2f5c2bafd,c2,c1,26,p1,?,surb={'id': '4dc72b3a-dd27-4942-a1ec-1dafdc9be96e', 'route': ['p1', 'e4', 'i8', 'x11', 'p2', 'c2']}
1769495703.4571793,SENT,464c56d4-21bd-4cf7-8404-23f3b1070aa6,eb245627-c50d-4d98-bfce-65f0e389b745,c1,c5,3357,?,p1,
1769495703.457327,CREATED,ccb30177-3067-4f6b-9c7e-82e431bd949e,7efbcbdf-3c09-4e40-9e03-c3a1a9b7cc81,c1,c5,27,?,?,surb={'id': '8d14eb5a-c704-499b-9870-efd04a447e0d', 'route': ['p2', 'e12', 'i2', 'x6', 'p1', 'c1']}
1769495703.4807775,SENT,d784f29a-efbe-47b5-8134-8aa38d98d7c6,7f413cba-b7bd-46fa-8680-aea282bce5c7,c1,c5,3384,?,p1,
1769495703.4809237,CREATED,4e659d60-2016-4253-affc-2b008f6441d6,aee91597-ea42-48cd-bb40-62ed32f017e7,c1,c5,27,?,?,surb={'id': '6fb03666-5793-4fe2-afd8-c5777f73581d', 'route': ['p2', 'e6', 'i9', 'x7', 'p1', 'c1']}
1769495703.7156756,SENT,67a3cee2-da54-468f-bbf8-69f9348836ce,6e13a2a2-e498-419a-a8aa-828002e13c94,c1,c5,3383,?,p1,
1769495703.7158267,CREATED,dbcd535c-4c03-40c4-bba5-ef4239ae3885,f299f6f0-de50-4c58-8b1c-c4d5384f834b,c1,c5,27,?,?,surb={'id': '9d480019-f878-463e-a8ff-7fc816762bf1', 'route': ['p2', 'e12', 'i9', 'x11', 'p1', 'c1']}
1769495703.7572029,RECEIVED,ba25655d-5ea2-4637-9432-9eff0d85eb93,a0961d78-789e-4094-86db-f6c7896a50d2,c5,c1,27,p1,?,surb={'id': 'e8f61476-049f-460e-be6b-fab7b0068454', 'route': ['p1', 'e6', 'i7', 'x9', 'p2', 'c5']}
1769495703.9293034,SENT,590b50a8-3d0a-4cb1-a71d-ecc5a983bed7,cea55897-b5d3-4a99-a8b1-282d10dc9121,c1,c5,3399,?,p1,
1769495703.9294558,CREATED,b453ba73-4f48-4e46-81a9-7cef3a2ce94e,da0f6a69-5f4c-4db9-b128-bb4a47ce2e87,c1,c5,27,?,?,surb={'id': '38cbf588-f5ec-4a0f-89db-a89350f67335', 'route': ['p2', 'e4', 'i11', 'x1', 'p1', 'c1']}
1769495703.9902825,RECEIVED,4dc91d4d-cd3c-4df7-b396-ed9fbb60bb4c,97073c82-7ba4-4244-be23-e1d3aa256660,c2,c1,27,p1,?,surb={'id': '78776bf5-d605-40d6-ba0f-f5caa7762f75', 'route': ['p1', 'e12', 'i4', 'x10', 'p2', 'c2']}
1769495704.0758548,SENT,08dcc6d8-1db2-425d-bce1-a0a107715755,1f6d5bca-ad51-470f-bfbe-11eb294e6516,c1,c5,3362,?,p1,
1769495704.0760264,CREATED,496e1cf9-af7e-4554-9bcd-df343a4f04fc,c21e382a-2308-4b44-9a10-ee7eabf4b485,c1,c5,26,?,?,surb={'id': '4d945d8c-de0d-45c3-9de3-ef2afd2dd390', 'route': ['p2', 'e1', 'i4', 'x5', 'p1', 'c1']}
1769495704.0871747,SENT,ac2474d7-7d4a-4a40-8e6e-3e52703bfea1,775d0dc6-d4c0-4989-9024-bfee29749300,c1,DROP,2015,?,p1,
1769495704.0873175,CREATED,3a6b3b26-21d4-4b97-a1aa-e3d0447aed0e,acca160f-f891-4714-b2a5-5dc4f4271984,c1,DROP,27,?,?,
1769495704.2218783,RECEIVED,c984cac3-3dff-44bd-874d-451c40dd4054,dc5a32f2-4bd9-4089-a7b2-f397e1fe4b7a,c2,c1,27,p1,?,surb={'id': 'e4b46b57-3adc-432a-80cc-73b2ed011cdb', 'route': ['p1', 'e8', 'i12', 'x11', 'p2', 'c2']}
1769495704.3860402,SENT,d30c73fe-851d-43b3-9728-e273ea9e77c8,eecb86d0-1957-4d5a-a224-3780b35ec0c6,c1,DROP,2031,?,p1,
1769495704.3862,CREATED,e1178454-5210-4eff-a3cf-ebea4367cff6,6b688f3f-eade-4ece-9827-3586ced6cda8,c1,DROP,27,?,?,
1769495704.5899477,RECEIVED,f575d46c-29ba-40ea-b70f-f410b7cfb151,c9f7e7e4-fbce-4a8d-8235-6ffeced10353,c2,c1,27,p1,?,surb={'id': 'c3c70ed3-fd49-4607-bae2-b7257d30e1b0', 'route': ['p1', 'e6', 'i12', 'x6', 'p2', 'c2']}
