timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760257.692899,CREATED,9b30c6e5-ef7a-45e5-a9d0-ef184f554c2c,75a1e818-5fae-4ebd-9b1a-da22e7a594b6,c5,c4,26,?,?,surb={'id': '557d0ae8-dd7b-482b-9909-3ff55555b5fa', 'route': ['p1', 'e5', 'i5', 'x8', 'p2', 'c5']}
1769760257.7831123,SENT,835ec87c-4719-47f9-a61b-e11d580cb3cb,6e296255-3dff-469a-bafc-3a71c527defd,c5,c4,3376,?,p2,
1769760257.783252,CREATED,7d246975-e203-42a5-998a-fdcd75ef0b79,5b270393-7837-4aba-bf8e-522949b19c2c,c5,c4,27,?,?,surb={'id': '13435938-4e27-402c-952a-86812021f8f9', 'route': ['p1', 'e7', 'i7', 'x3', 'p2', 'c5']}
1769760258.1853957,SENT,482aec3e-6cb3-4145-813b-ad059d2977f7,9d9da080-9479-4549-8e6d-ee6db23a0392,c5,c4,3384,?,p2,
1769760258.1855292,CREATED,00c03e08-4470-460a-bf45-45585ab6cfca,f2c6a02f-37a0-4824-9283-7d56ca51e9a4,c5,c4,27,?,?,surb={'id': '7e116ff2-cb0a-4224-902c-be6fe9e07e21', 'route': ['p1', 'e7', 'i6', 'x5', 'p2', 'c5']}
1769760258.3225791,SENT,e4b6e5df-e84b-459e-b571-f8e6e5938c4a,5e05a86e-9dc3-486c-8782-bdfc146c0592,c5,DROP,2018,?,p2,
1769760258.322716,CREATED,79dacaab-664a-4724-84aa-0f29a9bfed84,ab760599-8bfb-4863-ad59-49f8e968014a,c5,DROP,27,?,?,
1769760258.6066327,RECEIVED,75749b47-2b54-4318-9f64-8f6d1655160c,f15798c1-b663-4737-870c-a945b8b8b055,c1,c5,27,p2,?,surb={'id': '75270358-7a1f-4fe7-b8b7-d1c16da3bee2', 'route': ['p2', 'e4', 'i11', 'x12', 'p1', 'c1']}
1769760259.0565653,RECEIVED,4fa02a75-d037-4db4-b45c-4c1be6432e86,796cdae5-b625-4469-9eb8-d09e96760cdd,c1,c5,27,p2,?,surb={'id': 'ca2be1e4-f0e8-4a55-9265-e96a123c1b30', 'route': ['p2', 'e5', 'i12', 'x7', 'p1', 'c1']}
1769760259.2187085,SENT,85bb0117-75dc-4ef6-9b82-479b8be335b1,56ffdbac-edd8-44e3-86f8-84bc594722dd,c5,c4,3388,?,p2,
1769760259.2188394,CREATED,84c408ce-59c6-4661-96ae-ca117e51a21f,bd0a50b9-5c56-4fc0-937b-e5bd85177cd1,c5,c4,27,?,?,surb={'id': 'e45aa346-b28d-4ee4-8675-af6d7ef6b341', 'route': ['p1', 'e2', 'i11', 'x2', 'p2', 'c5']}
1769760259.3897333,RECEIVED,48fff278-f10f-4c38-8cd3-af271b480d92,52f38ef1-532b-406d-817e-a07d69e68fc6,c1,c5,27,p2,?,surb={'id': '5241cf3e-63ae-42b1-8037-55dd99827f6e', 'route': ['p2', 'e1', 'i5', 'x7', 'p1', 'c1']}
1769760259.4946516,RECEIVED,934cffb9-867b-49f5-9791-297cb1ea6f77,002261b0-599f-44a2-ab4c-add1838860d3,c1,c5,27,p2,?,surb={'id': '4e3e7f38-6ed4-40ff-867d-6619736270aa', 'route': ['p2', 'e6', 'i8', 'x1', 'p1', 'c1']}
1769760260.092389,SENT,0e1ecb48-8f3c-458a-9008-aaed566a1d3a,12245d8e-83c7-493d-a690-44566aa8f903,c5,c4,3388,?,p2,
1769760260.0925393,CREATED,8caf6a03-d5e6-4bcb-aeae-cdd21e957a11,8c1495c6-43e9-420c-b719-fb40b1f3ef08,c5,c4,27,?,?,surb={'id': '2153aa8b-fc26-42b4-8528-d25694235fa0', 'route': ['p1', 'e11', 'i9', 'x5', 'p2', 'c5']}
1769760260.1011083,RECEIVED,cfb3a630-6a5e-4ca9-92c7-e497373ca843,0f133638-fc01-49f3-ba47-5b299d7fdd34,c1,c5,27,p2,?,surb={'id': 'd8061fc4-da26-422a-872f-7394cc1e0c40', 'route': ['p2', 'e4', 'i4', 'x1', 'p1', 'c1']}
1769760260.23384,SENT,359bf2e1-434f-429a-b395-4990f13c3881,f9e5fa7b-806a-4f8f-b4fa-ddfee92ac955,c5,c4,3392,?,p2,
1769760260.2339706,CREATED,4803967c-a15a-4398-9767-e526cc26d998,762f67b0-986c-4b59-a1e0-a50696580c02,c5,c4,27,?,?,surb={'id': '3a4913b9-2926-4411-9dd9-f18652361c85', 'route': ['p1', 'e12', 'i5', 'x12', 'p2', 'c5']}
1769760260.2585125,SENT,46beeba1-5bd2-4ccb-a3e3-e5b75adc2f59,f166f3cd-9a54-4171-8353-708ba5111fe3,c5,c4,3360,?,p2,
1769760260.258643,CREATED,e2bca1c6-ed6f-4f73-83ed-56b7cf86cc15,ea1d7e1b-2290-4c54-98c8-60b9cee95d55,c5,c4,26,?,?,surb={'id': '7ad63fde-88c9-4e0d-b867-bb0b23409baf', 'route': ['p1', 'e6', 'i5', 'x12', 'p2', 'c5']}
1769760260.5885093,RECEIVED,4bbb8fc9-4b03-4da3-9871-24c74b3ad123,54107a36-0918-4a0d-8137-9d23f742cf02,c1,c5,27,p2,?,surb={'id': 'baa8aced-3eda-4749-b332-a099c62699f2', 'route': ['p2', 'e6', 'i10', 'x4', 'p1', 'c1']}
1769760260.6082506,RECEIVED,1d0bec18-94a2-4688-a6e9-9ac64e72996f,b457b1e1-251c-4617-b640-8fd092d03ebf,c1,c5,26,p2,?,surb={'id': '708dbb6d-2595-4ae5-b881-bcf554f11f58', 'route': ['p2', 'e10', 'i11', 'x4', 'p1', 'c1']}
1769760260.689356,SENT,a426566d-769e-4b54-978c-a57bd0c8205e,911a55a7-3fb0-4144-af5b-35ac7d007191,c5,c4,3366,?,p2,
1769760260.6894877,CREATED,3d7f1399-2e1f-46e8-98ac-0ecea4cf1026,2b714b4b-02d2-4aa7-8c18-7f3a2ca2eef5,c5,c4,27,?,?,surb={'id': '3af04a94-2a8d-45e6-87f2-677a0c6b3402', 'route': ['p1', 'e5', 'i4', 'x4', 'p2', 'c5']}
1769760260.6910262,RECEIVED,98c09b98-ec32-4ba4-ae02-52bdf1c616b8,603456f6-a40a-4a35-aead-a3de65c1d64f,c1,c5,26,p2,?,surb={'id': 'bf5403d1-0ad4-4977-b635-1e0d71441822', 'route': ['p2', 'e5', 'i5', 'x10', 'p1', 'c1']}
1769760260.7045102,RECEIVED,1bc39f68-e555-4a73-a4d0-e6b131e944f1,83776ee6-8fdf-4206-8932-09aa78118322,c1,c5,26,p2,?,surb={'id': '4ae65942-2089-4313-a1b5-8ded5791b947', 'route': ['p2', 'e3', 'i1', 'x10', 'p1', 'c1']}
1769760260.780887,SENT,27dcdee4-06f2-4587-b749-d3d61586ffa0,8a697a2f-5ddb-4135-b17a-a4c97d6217f4,c5,c4,3360,?,p2,
