timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760253.6458883,SENT,3c54627c-c57f-4b4d-a84d-5e6ef5e88b5b,c4cb2d1e-dd4d-4830-8580-4feecbbfdc2b,c3,c1,3388,?,p3,
1769760253.6460335,CREATED,1d42aa48-2be2-4dbb-a694-d41be7ad6755,9c5de8ab-1672-4668-be98-bfc9ec1c257f,c3,c1,27,?,?,surb={'id': '2cefa61c-1327-46de-8484-b2371f7a0a4d', 'route': ['p1', 'e11', 'i10', 'x3', 'p3', 'c3']}
1769760253.7262669,SENT,d419ff5f-f709-4b54-84c1-c4aeda6e1d00,5cad9684-503f-49fe-b47d-f8bf3a88675e,c3,c1,3370,?,p3,
1769760253.7264206,CREATED,c368ae5a-ae13-4ab4-8ac9-1e547dc3357c,9f4f043b-d1b4-4fad-9817-951fed7ddabf,c3,c1,27,?,?,surb={'id': 'cf3702a6-a1b3-458a-b3ba-51c824dc34ec', 'route': ['p1', 'e4', 'i10', 'x6', 'p3', 'c3']}
1769760253.736283,SENT,2b658294-2adc-4b4d-9a96-f4b148f4d65c,82172bd9-8bdf-4aef-a794-50fb0cab6fc3,c3,c1,3364,?,p3,
1769760253.7364416,CREATED,ac682165-1dd9-49b5-88d7-166d2cfed5a9,df7c666f-313c-401e-8478-50ce762d673a,c3,c1,27,?,?,surb={'id': 'a919e9e2-a09e-4bc2-91e2-58611b095e78', 'route': ['p1', 'e5', 'i1', 'x12', 'p3', 'c3']}
1769760253.7947955,SENT,4d2c554b-530a-4ae6-ba45-19c14eda134f,8c4a727e-38f1-4412-a92e-ea6f9f6d7386,c3,DROP,2023,?,p3,
1769760253.7949274,CREATED,68bd5552-88ca-42dc-a7bc-b5eb8bd16ac0,936d5286-983d-4015-b2bb-737442abb9cc,c3,DROP,27,?,?,
1769760253.8378873,SENT,c505ed19-789e-4f52-9e2b-0d6f35c35540,8ce082d9-0fb4-4407-8c1e-77466e358dfa,c3,DROP,2040,?,p3,
1769760253.8380277,CREATED,5e3b3d39-460e-43db-929a-fecdc94b326b,cf8846d1-1218-4d64-a51c-ee653173493c,c3,DROP,27,?,?,
1769760254.7192159,SENT,7c04dd6d-f4f4-4f66-b2b4-c8d995a73574,f74b58eb-9e18-4f3f-ba4b-a4150f3ec845,c3,c1,3376,?,p3,
1769760254.7193487,CREATED,65e4be60-f2f5-4fe4-86d4-aef8744ca1e4,5b6b1a2e-6060-4f5e-b311-988e82d882e9,c3,c1,26,?,?,surb={'id': '2c680ec5-64f8-4921-9211-a9f1c6518595', 'route': ['p1', 'e12', 'i8', 'x8', 'p3', 'c3']}
1769760254.922842,SENT,5abd3c49-1a1d-4a87-8c75-55835cdcb9af,3796d246-9c6e-44aa-b3f9-f456c8d03454,c3,DROP,2020,?,p3,
1769760254.922961,CREATED,69cbe518-a8b2-4aad-9b9b-4180c18929c9,8e28869a-f90a-45a8-916a-b14ed29256c1,c3,DROP,27,?,?,
1769760254.9981923,SENT,83e6a6ee-ced8-42cc-808c-2387b407824e,097b696e-6740-4024-a755-ca7e83fa1928,c3,c1,3368,?,p3,
1769760254.9983265,CREATED,2173a53a-b4c9-492c-a2da-00431d0a1cb1,c74e7bc6-2c87-42a4-b819-11cfbf0b3fb9,c3,c1,26,?,?,surb={'id': '8cda9533-6c9c-4416-8774-74b7cb4dc708', 'route': ['p1', 'e7', 'i11', 'x1', 'p3', 'c3']}
1769760255.0272095,SENT,d2ed4571-fc98-40a2-b66d-9f4c23010a0f,dea95103-d122-42f7-9bb4-aeb55e3515d9,c3,c1,3388,?,p3,
1769760255.0273414,CREATED,baecb115-7f48-41b0-946c-808be8a9bc50,4075830e-7dce-4b94-96cd-d4d1034caeb4,c3,c1,26,?,?,surb={'id': '4a38a386-430c-47c5-8152-5a1479d17e0f', 'route': ['p1', 'e6', 'i7', 'x9', 'p3', 'c3']}
1769760255.3325257,SENT,dba05cfc-349e-496a-8d40-c7b2189a0438,b0b16c2d-711f-4522-918a-71004c55589f,c3,c1,3383,?,p3,
1769760255.3326542,CREATED,9e7e629d-76d6-456a-8a09-a57e8f3a2cb9,cea22a0d-335d-4765-a16b-f764abafc2e3,c3,c1,27,?,?,surb={'id': 'eedd2747-d32c-427b-9914-131f3d13d227', 'route': ['p1', 'e5', 'i2', 'x6', 'p3', 'c3']}
