timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760257.0511441,RECEIVED,baecb115-7f48-41b0-946c-808be8a9bc50,4075830e-7dce-4b94-96cd-d4d1034caeb4,c3,c1,26,p1,?,surb={'id': '4a38a386-430c-47c5-8152-5a1479d17e0f', 'route': ['p1', 'e6', 'i7', 'x9', 'p3', 'c3']}
1769760257.120582,SENT,c9120504-6b0b-4699-9d29-c0f2ea2e1fa0,994d9db3-6a12-41a5-a400-b86fe0513a2f,c1,c5,3375,?,p1,
1769760257.1207159,CREATED,934cffb9-867b-49f5-9791-297cb1ea6f77,002261b0-599f-44a2-ab4c-add1838860d3,c1,c5,27,?,?,surb={'id': '4e3e7f38-6ed4-40ff-867d-6619736270aa', 'route': ['p2', 'e6', 'i8', 'x1', 'p1', 'c1']}
1769760257.2182832,RECEIVED,aba5680d-977f-4bec-9a8f-1ad48b8c3019,d9ad4803-2551-40a2-a9ac-7e1429202b3c,c3,c1,27,p1,?,surb={'id': '39eb534b-f6df-440e-852d-8cab8ae829d7', 'route': ['p1', 'e1', 'i5', 'x12', 'p3', 'c3']}
1769760257.2321627,RECEIVED,2173a53a-b4c9-492c-a2da-00431d0a1cb1,c74e7bc6-2c87-42a4-b819-11cfbf0b3fb9,c3,c1,26,p1,?,surb={'id': '8cda9533-6c9c-4416-8774-74b7cb4dc708', 'route': ['p1', 'e7', 'i11', 'x1', 'p3', 'c3']}
1769760257.263864,RECEIVED,65e4be60-f2f5-4fe4-86d4-aef8744ca1e4,5b6b1a2e-6060-4f5e-b311-988e82d882e9,c3,c1,26,p1,?,surb={'id': '2c680ec5-64f8-4921-9211-a9f1c6518595', 'route': ['p1', 'e12', 'i8', 'x8', 'p3', 'c3']}
1769760257.8162146,RECEIVED,ad0bd82f-e6fe-4af5-96c3-212c2d8237c6,828a2342-2738-4f44-9820-422e07a48962,c4,c1,25,p1,?,surb={'id': 'c1df8032-5c40-48e1-92ec-543bb47f2847', 'route': ['p1', 'e9', 'i2', 'x3', 'p1', 'c4']}
1769760258.0196898,RECEIVED,640f9a6e-abf0-47ef-b21a-bc54d36443db,464cafa9-a616-480f-8fc3-98ac1356246f,c3,c1,27,p1,?,surb={'id': '406bb7fc-d01c-4dbe-8a8a-8b008015abbc', 'route': ['p1', 'e3', 'i8', 'x12', 'p3', 'c3']}
1769760258.0575597,RECEIVED,9e7e629d-76d6-456a-8a09-a57e8f3a2cb9,cea22a0d-335d-4765-a16b-f764abafc2e3,c3,c1,27,p1,?,surb={'id': 'eedd2747-d32c-427b-9914-131f3d13d227', 'route': ['p1', 'e5', 'i2', 'x6', 'p3', 'c3']}
1769760258.7166433,SENT,3d0a5a81-6f4c-4844-a5ee-91e401715145,933f2a08-5075-4cb1-83a5-b65034d5c765,c1,c5,3392,?,p1,
1769760258.716793,CREATED,4bbb8fc9-4b03-4da3-9871-24c74b3ad123,54107a36-0918-4a0d-8137-9d23f742cf02,c1,c5,27,?,?,surb={'id': 'baa8aced-3eda-4749-b332-a099c62699f2', 'route': ['p2', 'e6', 'i10', 'x4', 'p1', 'c1']}
1769760258.7243004,SENT,b6be96c6-6e63-4f35-b717-6625515450fa,b2e87597-37e8-464e-893e-3cc75e88204a,c1,c5,3371,?,p1,
