timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769737431.8438218,SENT,f1c92f93-acb2-44f2-a7de-b4f8a77be508,42cd73aa-0c93-41cd-86c3-f83b4fc00456,c4,c1,3385,?,p1,
1769737431.8439672,CREATED,2c432aee-8178-4745-b921-52ac7e0db047,7febf27d-6d10-491b-886e-7e683ae43cca,c4,c1,26,?,?,surb={'id': 'f890fcc1-221b-4273-ba5c-32b676a3de31', 'route': ['p1', 'e9', 'i5', 'x3', 'p1', 'c4']}
1769737432.001135,SENT,1e0fa013-0051-46e4-b413-7ff40959d131,f1864c7d-e59e-4506-9f61-b5d4355c4780,c4,c1,3387,?,p1,
1769737432.001284,CREATED,2e4e6bb4-abc6-46b9-b3a0-ccc5e3298527,2a2556b7-796a-41c2-ba6f-4e114a2d5848,c4,c1,27,?,?,surb={'id': '78752f22-81a4-4267-9cda-a787a9ab92d8', 'route': ['p1', 'e6', 'i12', 'x8', 'p1', 'c4']}
1769737432.2314804,SENT,c6be38bc-cee9-43f2-8e31-549326f0f62c,230a78ea-eb1e-46de-ace6-8672e6882eb0,c4,DROP,2020,?,p1,
1769737432.2315977,CREATED,4669f8b3-5d93-43ba-80de-47ac9d2d67ce,50c7282d-5fc7-4d46-95cb-f9699e04a518,c4,DROP,27,?,?,
1769737432.759331,SENT,79b49cb4-bef5-458a-b8d1-6e5c509c4d1a,4365c04f-4c11-4adf-9292-1a916b10093d,c4,c1,3380,?,p1,
1769737432.7594643,CREATED,01bdebdf-f0fe-496b-a468-ebdc24e4ec61,8b2a0757-8334-4e06-9d9b-eac585adab5e,c4,c1,24,?,?,surb={'id': '74e0a6c6-b088-468f-b662-e4cd9c5385b6', 'route': ['p1', 'e12', 'i7', 'x11', 'p1', 'c4']}
1769737432.8499348,SENT,1d68035a-a51c-4a02-aa30-847ac8da6c15,0df5f585-ee25-478d-bc57-88db5d7c605a,c4,DROP,2039,?,p1,
1769737432.850093,CREATED,ac553824-e2d4-4f67-a643-5d46f34a7504,c3700a6b-6f90-4e1c-8da8-34eed2adf40d,c4,DROP,27,?,?,
1769737433.02016,RECEIVED,b4b3b08d-3c0b-46dc-81ce-7a574c7a1732,1b447a30-64db-45ed-9c75-b09407390a41,c2,c4,27,p1,?,surb={'id': 'c5f401ce-33c3-4bb9-a686-08c26c86b828', 'route': ['p1', 'e1', 'i12', 'x6', 'p2', 'c2']}
1769737433.025723,SENT,ea84ce12-6ad5-4597-a149-3fb61a9215a5,66ee1501-7f54-4ccb-b960-5cf313494538,c4,DROP,2040,?,p1,
1769737433.025846,CREATED,3481f1cf-f7ac-4426-a42a-f4aba763bdd3,be30bea1-d2ad-4235-ad59-80ac486322ae,c4,DROP,27,?,?,
1769737433.3736162,SENT,6fc6661d-7144-42d9-bf6b-c4ad678fe8a1,53dd8a6a-2a04-4c1b-9da6-15785e800674,c4,c1,3383,?,p1,
1769737433.3737533,CREATED,cfad8202-3a9f-4035-a827-d06cdd8542ce,b361a8f8-7589-4cc1-8051-ef8d77ee9bf8,c4,c1,26,?,?,surb={'id': 'f52dfa83-360e-48ae-ab5d-3f915c140a2b', 'route': ['p1', 'e4', 'i1', 'x2', 'p1', 'c4']}
1769737433.6244113,SENT,f1aa7c94-3097-4f42-917f-139fbabce2e7,56a514b0-937c-43a0-84b8-94aefb16464e,c4,c1,3396,?,p1,
1769737433.624543,CREATED,8d9fb424-da2d-4ea4-803c-d920fe6f19f9,e77f157c-4d45-4cbc-a04f-232ceec839a0,c4,c1,27,?,?,surb={'id': 'eb75a887-d63c-4a6e-abbf-7c017dd899e5', 'route': ['p1', 'e7', 'i3', 'x6', 'p1', 'c4']}
1769737433.9699285,RECEIVED,a464908e-a774-4341-96a4-96cd643d4273,8cdf41eb-822e-4964-9334-968aa5961384,c3,c4,26,p1,?,surb={'id': 'c8db03fb-2b70-4ff7-b07d-65118650e6fb', 'route': ['p1', 'e12', 'i6', 'x5', 'p3', 'c3']}
1769737434.414598,RECEIVED,7e053979-e320-4f98-934a-d5670d819e2f,47a6d984-7657-4294-89f7-ff7c6f0bf559,c3,c4,27,p1,?,surb={'id': '3bb0ddb7-2b06-423c-b14e-eaa687966aef', 'route': ['p1', 'e2', 'i11', 'x7', 'p3', 'c3']}
1769737434.5967958,RECEIVED,68e869b9-c47d-4f3e-92e2-2dae81b4682a,e8868c39-0a4e-4b9a-b00b-cae1faca3bae,c2,c4,27,p1,?,surb={'id': '2ae03f27-ef10-43bb-8e6a-d923590185fa', 'route': ['p1', 'e9', 'i10', 'x4', 'p2', 'c2']}
1769737434.6146235,SENT,d249a91e-fe1a-4b4f-92f6-00c2951f8385,818c5d97-b227-4733-b497-6ef852106ae0,c4,c1,3370,?,p1,
1769737434.614763,CREATED,22f3d1ab-5da2-410e-a8af-cdd859d45ad9,ee591d57-583e-402b-a55e-84a2e056ad81,c4,c1,27,?,?,surb={'id': '85c618e2-503b-4145-add1-da31c5c7d543', 'route': ['p1', 'e1', 'i7', 'x10', 'p1', 'c4']}
1769737434.616739,RECEIVED,b936a5e5-1674-4b2a-b93f-35fe2a04b34e,064959f4-f1bf-41d2-8c9d-a59f9ee48a71,c3,c4,27,p1,?,surb={'id': '443ad22d-2392-4c94-b7b6-268a20fa9d86', 'route': ['p1', 'e9', 'i9', 'x9', 'p3', 'c3']}
1769737434.6568596,SENT,88cf4b89-7b16-4a2a-9fc8-cacdd6cbcfec,66940379-14e0-4513-893d-372fa5207206,c4,c1,3355,?,p1,
1769737434.657021,CREATED,ea582bfd-bcdd-4577-91b5-b3019c4b16d3,250ee31c-933b-4425-9209-70ed292a0354,c4,c1,27,?,?,surb={'id': '94049bcb-a0d8-4263-a6b1-b4aee4bb859e', 'route': ['p1', 'e4', 'i5', 'x1', 'p1', 'c4']}
1769737434.898502,RECEIVED,65adf1ad-d2c1-48a0-a178-6c915a4de14f,0e4f8902-b2c1-49fb-baae-de62afb0503d,c2,c4,27,p1,?,surb={'id': '682636fa-3058-47ce-b0fd-068ec0138813', 'route': ['p1', 'e6', 'i10', 'x9', 'p2', 'c2']}
1769737435.0305111,RECEIVED,4eaacbe9-04d6-4caf-8c9f-8567d51ca822,07aebb09-e9d6-4cf7-88d4-67b288310425,c2,c4,27,p1,?,surb={'id': '7b2780b1-9904-4859-b4df-a7aa6276267b', 'route': ['p1', 'e5', 'i11', 'x4', 'p2', 'c2']}
1769737435.3066669,RECEIVED,a7d2efcc-2319-4005-86e3-362a3032d54b,c3f30440-0579-4d0e-be37-443af0a7be52,c2,c4,27,p1,?,surb={'id': '8f8e0819-7d71-4099-a06e-547326c68d81', 'route': ['p1', 'e2', 'i8', 'x12', 'p2', 'c2']}
1769737435.3548636,RECEIVED,f98c7219-0a9f-4911-a712-dff3466e71c5,d27d859b-608f-49ba-8499-a6d0909f025e,c3,c4,26,p1,?,surb={'id': '1cdf58f6-9ca7-4a29-b1d3-b51e9b7de09a', 'route': ['p1', 'e6', 'i9', 'x10', 'p3', 'c3']}
1769737435.419779,SENT,7b43779e-7c0e-4f32-b093-f8dce47b7613,cc769abc-8897-4bc7-973d-e3d70a72c925,c4,c1,3380,?,p1,
1769737435.4199188,CREATED,ff4bca48-c45b-4050-a996-892f5e047cb5,36cb3908-3caf-4c22-8b78-a6d6ee8b8505,c4,c1,27,?,?,surb={'id': '01f92007-b866-4523-bf52-854c263f7bf2', 'route': ['p1', 'e7', 'i8', 'x1', 'p1', 'c4']}
1769737435.8538017,RECEIVED,5b4977ef-0de2-49a4-8cdf-7282f41b0abc,a5111a0c-2eee-466f-bf7c-bfeee669b161,c2,c4,27,p1,?,surb={'id': '261c039f-862e-45f2-b9b3-dafb0fe313ba', 'route': ['p1', 'e10', 'i1', 'x11', 'p2', 'c2']}
1769737436.0870218,RECEIVED,7d559185-4988-4b35-b2c6-78d1f4e8d23c,285f1655-2b41-4021-91fe-272d0ba25617,c2,c4,26,p1,?,surb={'id': '9c4dfb5e-cc9d-4ff0-9243-b0ee0ddb6023', 'route': ['p1', 'e3', 'i3', 'x1', 'p2', 'c2']}
