timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769737440.180523,RECEIVED,e060b417-c956-4225-ab57-11100e8d92e0,68fe22a5-7695-4f0b-a703-85f7a59f1f84,c4,c1,27,p1,?,surb={'id': '5fa6cf51-5948-4347-b14a-5527b80ca726', 'route': ['p1', 'e5', 'i9', 'x2', 'p1', 'c4']}
1769737440.3826227,SENT,55ac1543-0db4-4b2c-b6c3-32eb054940de,eb3af71e-decf-47fa-80b9-f49fce3f1ac3,c1,c2,3376,?,p1,
1769737440.3827548,CREATED,2040a015-b870-46a6-a995-9dbbf8a16a36,94217dba-2b02-4a0d-b4e1-78c2a276f23c,c1,c2,27,?,?,surb={'id': '7563894e-cece-4d84-852e-b4e54d22d3a3', 'route': ['p2', 'e10', 'i3', 'x6', 'p1', 'c1']}
1769737440.5873482,SENT,4cb81099-e30d-491e-81d1-84b4e5c03b5d,cec4443f-c705-44ea-a7d9-f9b2d7102fba,c1,c2,3367,?,p1,
1769737440.5874982,CREATED,5d4cfe76-8319-453d-b7d3-40c5d007a247,92aae44f-1de7-49d7-bbb9-a81f93455155,c1,c2,26,?,?,surb={'id': '87d66bf0-43f5-40ae-bba7-dae7da19f2aa', 'route': ['p2', 'e7', 'i6', 'x6', 'p1', 'c1']}
1769737440.74513,RECEIVED,c361ccc0-46eb-4d74-8c1c-168dda0b361b,d5cc2f00-7b53-4ad4-866e-f5a2c43eff95,c4,c1,26,p1,?,surb={'id': 'ef86c435-813f-4728-9016-60609cae35f4', 'route': ['p1', 'e8', 'i10', 'x9', 'p1', 'c4']}
1769737441.0157058,RECEIVED,a52054e7-e781-45e2-9b10-d5345947f21c,24c73235-d759-4373-8fbe-726a1e54b497,c4,c1,27,p1,?,surb={'id': 'bc253ffc-02ed-4787-9e74-7def6bda7f11', 'route': ['p1', 'e3', 'i9', 'x5', 'p1', 'c4']}
1769737441.0733101,SENT,f6c19669-69de-4d4b-ac38-4b782733b81c,6d0700fb-c4ed-4bb0-b350-2cbe70eba5c7,c1,c2,3378,?,p1,
1769737441.073445,CREATED,6fffaad6-e29f-49db-b65e-cfb71c96b9fc,44b82e5b-47aa-4c6a-bf53-4d59c68dfddd,c1,c2,27,?,?,surb={'id': 'a344eaf1-1e8c-4bcf-805e-b0f6a28dbebb', 'route': ['p2', 'e5', 'i1', 'x9', 'p1', 'c1']}
1769737441.3012702,RECEIVED,1a4378d9-f34c-4c5a-845c-40e3ffbaf70c,b555034c-7398-4936-b097-809b3e5250f7,c5,c1,26,p1,?,surb={'id': '2f20444e-cc7c-4d4c-a179-2c11a1cce3fb', 'route': ['p1', 'e6', 'i6', 'x10', 'p2', 'c5']}
1769737441.3477437,RECEIVED,2adcfc00-0cd5-4d8c-8da1-476d9dfaed1d,79d30a57-df2b-47ab-ab20-83c4c28786ca,c4,c1,27,p1,?,surb={'id': '44cb1021-a9eb-456f-9c32-b3a0c220660b', 'route': ['p1', 'e10', 'i11', 'x2', 'p1', 'c4']}
1769737441.4039414,RECEIVED,c19a4fd5-8866-41fe-84f4-80fe5f55a3ed,f153cb2e-053f-42cf-af3c-54eeb2705849,c4,c1,27,p1,?,surb={'id': 'cf8526d2-214b-4473-8e1a-f361b9e66375', 'route': ['p1', 'e8', 'i4', 'x8', 'p1', 'c4']}
1769737441.5417938,RECEIVED,4e949b8b-8b83-410a-b46c-c4955a18bcb3,dc3c5b18-ee11-4735-a8a3-cdd9e8e87e8a,c5,c1,27,p1,?,surb={'id': '9171858d-2fa0-4a93-8dcc-b13c42f3aa34', 'route': ['p1', 'e12', 'i3', 'x1', 'p2', 'c5']}
