timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769751620.027995,SENT,53e5026a-4271-4a81-bed7-4ce8d8a48713,0ad7e9cd-062c-4e25-9808-2b112bb6ab4a,c4,c5,3371,?,p1,
1769751620.028293,CREATED,ad49c13e-ba81-490f-8528-be6134165e89,c0d8adf2-a84a-45c8-a950-f470277b6a7b,c4,c5,26,?,?,surb={'id': '8c2621c1-87f4-4c22-935b-acc09ddd5d40', 'route': ['p2', 'e11', 'i4', 'x5', 'p1', 'c4']}
1769751620.0680923,SENT,7a88d630-1e6d-4aab-ae61-15452ddcf980,d1a6dfb1-147c-4bea-bf9a-43318c58508d,c4,c5,3383,?,p1,
1769751620.0682485,CREATED,8897aaa5-fb60-4f60-9c8e-3e6b3dfdfdf1,646def67-b296-4fed-bee6-fc8e43545843,c4,c5,27,?,?,surb={'id': 'bc25ca8d-ca53-4a88-b510-0d137d4d9b47', 'route': ['p2', 'e4', 'i4', 'x12', 'p1', 'c4']}
1769751620.269423,SENT,583f1376-30d6-49bc-8708-fc2ef6d49ad3,7ef0a0e7-cbf8-4144-974f-44db8e60a602,c4,c5,3380,?,p1,
1769751620.2695584,CREATED,f2be039d-518c-456f-9aa5-7a32352931c2,646def67-b296-4fed-bee6-fc8e43545843,c4,c5,27,?,?,surb={'id': 'bc25ca8d-ca53-4a88-b510-0d137d4d9b47', 'route': ['p2', 'e4', 'i4', 'x12', 'p1', 'c4']}
1769751620.3005483,SENT,8e6c52c1-39d4-44c6-a72f-6013718d4738,4aa17d8c-7ed9-4eaa-ae1b-e35593c610e8,c4,c5,3359,?,p1,
1769751620.3012156,CREATED,a1286701-e25f-4972-887a-09763d7c72b5,20ff271e-4c7a-495f-965a-aaa75f9b2987,c4,c5,26,?,?,surb={'id': '2c1226b2-5fd6-49d5-933d-adfa925a3364', 'route': ['p2', 'e5', 'i3', 'x9', 'p1', 'c4']}
1769751620.3219051,RECEIVED,dcdc29f1-7fa3-4981-9b39-ea2e33c98ee0,9b00a70c-3cff-40da-b473-c8a7b0fb907f,c1,c4,27,p1,?,surb={'id': '04ffc880-6747-4bd3-8a18-dbcc3c3c30c7', 'route': ['p1', 'e12', 'i10', 'x2', 'p1', 'c1']}
1769751620.322881,SENT,5bca3253-e108-4231-9b0e-28510eb10a59,98ec044d-afb1-47b2-9f38-801e9e7df97b,c4,c5,3376,?,p1,
1769751620.323009,CREATED,86fe6f00-eca4-44ac-b5e5-2ebc4d3f564f,20ff271e-4c7a-495f-965a-aaa75f9b2987,c4,c5,26,?,?,surb={'id': '2c1226b2-5fd6-49d5-933d-adfa925a3364', 'route': ['p2', 'e5', 'i3', 'x9', 'p1', 'c4']}
1769751620.636085,RECEIVED,e67610d2-0203-4cfa-8ad5-f4031addd86a,c7acde13-bee7-4851-b593-bad271f844da,c5,c4,27,p1,?,surb={'id': '3172d3dc-33f7-4f7b-903b-3a41f098cde1', 'route': ['p1', 'e10', 'i5', 'x11', 'p2', 'c5']}
1769751620.7204385,RECEIVED,1c32bcdc-c32d-4a4b-96cc-762a3633d3e8,03f4768c-208d-45c1-9aca-c315ada802ab,c2,c4,27,p1,?,surb={'id': '50ab7428-dec6-4f73-923e-6a39cdc0bb03', 'route': ['p1', 'e2', 'i3', 'x12', 'p2', 'c2']}
1769751620.7485652,SENT,adfe4328-972c-40d3-803f-8b4f6a95aa32,c409fc27-9766-431c-b170-80c68ac6be9f,c4,c5,3376,?,p1,
1769751620.748698,CREATED,97810510-f505-4878-9d58-58e7e7ce6af0,12021637-e00c-4200-bef7-46cb6f2a3754,c4,c5,27,?,?,surb={'id': '5697ff49-346c-42c8-8af7-3769736c2741', 'route': ['p2', 'e6', 'i12', 'x7', 'p1', 'c4']}
1769751620.8374317,SENT,06e89afe-54aa-43e9-b5ad-926d350ca57a,a17640d3-c1f8-48ba-99a6-56358549d3d9,c4,c5,3374,?,p1,
1769751620.8375611,CREATED,f2c35489-23ba-4db5-9199-f4b614c9f8c5,12021637-e00c-4200-bef7-46cb6f2a3754,c4,c5,27,?,?,surb={'id': '5697ff49-346c-42c8-8af7-3769736c2741', 'route': ['p2', 'e6', 'i12', 'x7', 'p1', 'c4']}
1769751621.03789,SENT,6ec4ee18-225c-4db8-89a5-947bec81e38c,b09d5cba-8303-4a08-a702-e1d31a472342,c4,c5,3398,?,p1,
1769751621.0380983,CREATED,599498b1-e9a8-4a6b-a030-195ed679e8ea,537435a3-a30e-44a3-8799-acab8083f8da,c4,c5,27,?,?,surb={'id': '4ee89aa2-98ff-4d78-aacb-a0465953442c', 'route': ['p2', 'e4', 'i1', 'x5', 'p1', 'c4']}
1769751621.1341677,SENT,b9688a5a-897f-4358-9b41-0f405c6eaa58,4187958b-d0f6-4ab3-bc51-8b3b6c5c1cb1,c4,c5,3383,?,p1,
1769751621.134298,CREATED,1db57dac-7cff-41bf-9176-5eb29bf1fa74,537435a3-a30e-44a3-8799-acab8083f8da,c4,c5,27,?,?,surb={'id': '4ee89aa2-98ff-4d78-aacb-a0465953442c', 'route': ['p2', 'e4', 'i1', 'x5', 'p1', 'c4']}
1769751621.2616982,RECEIVED,a8ac91e0-42a7-434a-b1ea-24d6c291470e,b30ab2f0-0d63-4cad-910f-5ccbca6dda89,c1,c4,26,p1,?,surb={'id': 'c927f335-5ac8-4300-8d34-06d706dd074a', 'route': ['p1', 'e11', 'i2', 'x3', 'p1', 'c1']}
1769751621.2781744,RECEIVED,6ab63741-44a8-4fd8-a0e2-0c51f13f962f,9aaa4d6a-6ad4-4a59-a224-2070b86c58df,c2,c4,27,p1,?,surb={'id': '59b153cf-d696-4712-9755-89a1b125e40b', 'route': ['p1', 'e2', 'i5', 'x12', 'p2', 'c2']}
1769751621.299691,RECEIVED,158c0684-c069-4865-8f48-2969e3549a38,0be56749-5001-429b-a59f-4091a4e7f56f,c5,c4,27,p1,?,surb={'id': '7a0c9c64-ec9a-448d-9866-9c3b4aa477a5', 'route': ['p1', 'e5', 'i11', 'x7', 'p2', 'c5']}
1769751621.4318154,RECEIVED,da062f02-4f51-4220-88c2-2f229d9e6228,c7acde13-bee7-4851-b593-bad271f844da,c5,c4,27,p1,?,surb={'id': '3172d3dc-33f7-4f7b-903b-3a41f098cde1', 'route': ['p1', 'e10', 'i5', 'x11', 'p2', 'c5']}
1769751621.4675777,SENT,2f39532e-b3f5-40c7-a9d2-a46052b8ac18,91140811-3061-43ff-ad74-f726c96979ce,c4,c5,3380,?,p1,
1769751621.4677105,CREATED,c754901b-af34-4376-8df1-7821c1f79e9e,f4ba9901-df45-47dc-bf4e-5b2f3168e14e,c4,c5,26,?,?,surb={'id': 'f9db4f8b-41f8-4d18-a677-88e5acade41c', 'route': ['p2', 'e6', 'i2', 'x8', 'p1', 'c4']}
1769751621.516153,RECEIVED,e3cbdcae-5f14-4221-bc0d-72248b3795b9,03f4768c-208d-45c1-9aca-c315ada802ab,c2,c4,27,p1,?,surb={'id': '50ab7428-dec6-4f73-923e-6a39cdc0bb03', 'route': ['p1', 'e2', 'i3', 'x12', 'p2', 'c2']}
1769751621.549171,RECEIVED,a31552d2-4b1f-4e97-8ee8-f56d05b070f6,a314fba3-e652-4aff-b8f5-897aa15e66a9,c5,c4,27,p1,?,surb={'id': 'a4b418cf-3971-43ab-8af7-fa1039c21f19', 'route': ['p1', 'e2', 'i1', 'x7', 'p2', 'c5']}
1769751621.6112754,RECEIVED,45c6a451-079d-4483-8bab-44a22945e90d,cbc1a99e-1a88-406f-b2c9-333aa2660531,c1,c4,27,p1,?,surb={'id': '0084426d-da5d-4902-8e3d-c6c326f61442', 'route': ['p1', 'e7', 'i1', 'x9', 'p1', 'c1']}
1769751621.7355208,SENT,12c916ef-06a7-42aa-b89d-6198995a8f4c,d9e5cc4f-bbd0-46ea-b365-fc7bc3299476,c4,c5,3359,?,p1,
1769751621.7356439,CREATED,5bfd8647-7b14-42a9-b2a7-d796c3961605,f4ba9901-df45-47dc-bf4e-5b2f3168e14e,c4,c5,26,?,?,surb={'id': 'f9db4f8b-41f8-4d18-a677-88e5acade41c', 'route': ['p2', 'e6', 'i2', 'x8', 'p1', 'c4']}
1769751621.8090107,RECEIVED,9e9a8ac1-7cd2-4842-90c1-21f79f6fac94,a314fba3-e652-4aff-b8f5-897aa15e66a9,c5,c4,27,p1,?,surb={'id': 'a4b418cf-3971-43ab-8af7-fa1039c21f19', 'route': ['p1', 'e2', 'i1', 'x7', 'p2', 'c5']}
1769751622.0187237,RECEIVED,23029a79-efa4-4f6e-9231-46e52efb9bb3,29e0afc3-a571-4cce-a5c3-bd4b82cb3b47,c5,c4,27,p1,?,surb={'id': '8d232a61-d169-41d4-81eb-c3057fa05010', 'route': ['p1', 'e9', 'i10', 'x1', 'p2', 'c5']}
1769751622.1618862,RECEIVED,2b661630-f0e1-4ad1-aaaa-af043b3afe05,9a0d910c-b329-4365-bfc1-3cf0f1ef3711,c2,c4,27,p1,?,surb={'id': 'b547e145-8932-41de-9dcb-1f6ee232a16f', 'route': ['p1', 'e8', 'i4', 'x2', 'p2', 'c2']}
1769751622.2649107,RECEIVED,3a884380-a7c9-4f61-9172-4a7b69b7ec91,aa4e78eb-fdee-4b85-af30-204120116a54,c1,c4,27,p1,?,surb={'id': '8d646dca-a69c-4706-b713-dd4595c4f96d', 'route': ['p1', 'e6', 'i12', 'x12', 'p1', 'c1']}
1769751622.3584406,RECEIVED,0aa24601-f003-41e8-b08b-dcd43844f7a7,16715e96-79db-4519-aa77-2d01fe04f2fb,c5,c4,27,p1,?,surb={'id': '9abc64ae-9ae2-4789-bd4d-9fae22cb4ad9', 'route': ['p1', 'e9', 'i3', 'x4', 'p2', 'c5']}
1769751622.4207795,SENT,95fb467f-1a0f-450b-bd28-553b04f6264e,7c5ffe5b-de3f-4c12-baa8-5749e9e613e9,c4,c5,3392,?,p1,
1769751622.420911,CREATED,d3fa321e-fa37-46f3-b624-5ebbbb9472b2,1a73d2d8-083c-4306-b7e0-2ec0c01f4d7b,c4,c5,27,?,?,surb={'id': 'bfd1d035-c56d-4185-8a9a-f1cd4d7bb058', 'route': ['p2', 'e8', 'i12', 'x10', 'p1', 'c4']}
1769751622.6458752,SENT,5e51b728-5a23-4fab-a436-43d621ae1e39,abb4f0b3-c02f-4334-b19c-b5054c9e13ba,c4,c5,3396,?,p1,
1769751622.646008,CREATED,ba7f76e8-eeec-4fe5-8137-fbf1ab636e20,1a73d2d8-083c-4306-b7e0-2ec0c01f4d7b,c4,c5,27,?,?,surb={'id': 'bfd1d035-c56d-4185-8a9a-f1cd4d7bb058', 'route': ['p2', 'e8', 'i12', 'x10', 'p1', 'c4']}
1769751622.6772344,RECEIVED,1f9bdfe8-b989-4173-a1fd-5fc88c735d37,0be56749-5001-429b-a59f-4091a4e7f56f,c5,c4,27,p1,?,surb={'id': '7a0c9c64-ec9a-448d-9866-9c3b4aa477a5', 'route': ['p1', 'e5', 'i11', 'x7', 'p2', 'c5']}
