timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769751617.6639464,SENT,7c5c0b98-822b-4a60-8308-7b3828e8b99d,1268f6fc-1049-492f-ad95-3bdb47e3e73d,c5,DROP,2029,?,p2,
1769751617.6641018,CREATED,fcf8bbde-6a9a-40df-90e0-c80929fcf1b7,06857a1d-fdbb-410b-a363-a24e1e560e7c,c5,DROP,27,?,?,
1769751617.993946,SENT,496d84f3-14ef-402b-95be-558c96da4f69,930a95c3-5a5c-490c-aed9-27d36963683b,c5,c4,3388,?,p2,
1769751617.9941049,CREATED,ec5f190c-3d7c-48e4-ab79-384364fbcbd1,29e0afc3-a571-4cce-a5c3-bd4b82cb3b47,c5,c4,27,?,?,surb={'id': '8d232a61-d169-41d4-81eb-c3057fa05010', 'route': ['p1', 'e9', 'i10', 'x1', 'p2', 'c5']}
1769751618.3959591,SENT,0fa6dafc-60cb-4349-ad5d-38141774ca3e,dc19eb8f-d267-4a5c-be14-ddbefb5c763b,c5,c4,3396,?,p2,
1769751618.3962193,CREATED,23029a79-efa4-4f6e-9231-46e52efb9bb3,29e0afc3-a571-4cce-a5c3-bd4b82cb3b47,c5,c4,27,?,?,surb={'id': '8d232a61-d169-41d4-81eb-c3057fa05010', 'route': ['p1', 'e9', 'i10', 'x1', 'p2', 'c5']}
1769751618.419383,SENT,f9fdf498-f355-4088-804c-d9063e8f761b,cbb75064-cdd7-4827-8b88-b44f4be18263,c5,c4,3399,?,p2,
1769751618.4195173,CREATED,da062f02-4f51-4220-88c2-2f229d9e6228,c7acde13-bee7-4851-b593-bad271f844da,c5,c4,27,?,?,surb={'id': '3172d3dc-33f7-4f7b-903b-3a41f098cde1', 'route': ['p1', 'e10', 'i5', 'x11', 'p2', 'c5']}
1769751618.4280155,SENT,a4f24f7e-9275-41f8-be87-f6207580cd73,1edaa3f9-f6be-46cc-bad0-2a01cea169b2,c5,c4,3400,?,p2,
1769751618.4281826,CREATED,e67610d2-0203-4cfa-8ad5-f4031addd86a,c7acde13-bee7-4851-b593-bad271f844da,c5,c4,27,?,?,surb={'id': '3172d3dc-33f7-4f7b-903b-3a41f098cde1', 'route': ['p1', 'e10', 'i5', 'x11', 'p2', 'c5']}
1769751618.9515343,SENT,f1eb2b42-35e7-4b64-ac46-8728ba279a3e,f27199e4-8558-48f5-b3dc-db12b15b43a8,c5,c4,3360,?,p2,
1769751618.9516854,CREATED,a31552d2-4b1f-4e97-8ee8-f56d05b070f6,a314fba3-e652-4aff-b8f5-897aa15e66a9,c5,c4,27,?,?,surb={'id': 'a4b418cf-3971-43ab-8af7-fa1039c21f19', 'route': ['p1', 'e2', 'i1', 'x7', 'p2', 'c5']}
1769751619.0860224,RECEIVED,41722662-a07e-4fd0-ac9e-2015a39426bc,2ec7d004-5b1e-4539-ab2c-e23073097483,c4,c5,25,p2,?,surb={'id': '39c762f0-c357-4cf6-b4d6-1a35246ab961', 'route': ['p2', 'e4', 'i1', 'x7', 'p1', 'c4']}
1769751619.3949294,SENT,45110e4a-9f12-4f8a-8a72-d1e500b2827a,d2c572ff-f33c-4588-b03d-0d0962f63734,c5,c4,3368,?,p2,
