Node,Mean_Entropy,Max_Entropy,Mean_Pool
e10,7.673387070495222,9.257720659993565,120.99439171699741
e11,3.7925537549532637,4.714516557248793,6.32258064516129
e12,7.825020378769028,9.50010117427281,141.86488775942397
e1,7.423350984198349,9.11664971120735,105.03584672435105
e2,7.456173624678802,9.270374982547763,112.94213459065581
e3,7.44326455732791,9.23408028521342,114.63553431798437
e4,7.63629978406342,9.293709062937276,120.12027027027027
e5,7.571859705689005,9.306551269528992,124.21514114627887
e6,7.6465148187048655,9.278526513232334,123.34880749574106
e7,7.5663109834196005,9.335560874567081,119.77113133940182
e8,7.546304327246394,9.258419347520078,119.94660831509847
e9,7.772453106393627,9.47324377112894,137.15548780487805
i10,4.302150458488658,4.8896656328113455,8.64516129032258
i11,6.273177988909626,7.505435806412347,37.08447589562141
i12,6.5216531287088255,7.705937386633341,41.59887737478411
i1,6.095146202323784,7.434686680056266,33.01576182136603
i2,6.418423285321213,7.628662292673224,39.771126760563384
i3,6.414602375113222,7.511527698958992,39.82779198635976
i4,6.0498198247646755,7.405763586675487,33.13622426631625
i5,6.472613517248801,7.371230489999338,38.489769264257724
i6,5.982103725850223,7.301964426716873,30.280851063829786
i7,5.893505877447722,7.355303221536857,29.66568047337278
i8,6.206027343569927,7.272114746437505,33.817953020134226
i9,6.176513602952198,7.484902576803877,34.21431578947369
p1,9.996412331320006,11.721672958559658,609.2784520493434
p2,8.662031052972438,10.426609050440996,248.78238866396762
p3,8.45225585775314,10.257832391964882,212.78025725979342
x10,6.193126658655831,7.526040152512307,34.831908831908834
x11,6.269888865669331,7.6593445542579275,37.92830712303423
x12,6.395255434765682,7.782389825149481,43.63544536271809
x1,6.070915850404884,7.414348759708009,33.37944102321175
x2,6.266047664801343,7.757670396632316,38.823638042474606
x3,6.470366402203678,7.950925578640035,44.7856108160309
x4,6.304698490432585,7.679417111611288,39.936974789915965
x5,6.056078223869032,7.3681869095241685,32.856415006947664
x6,6.544024246411592,7.77980614401159,45.02280285035629
x7,6.43320005461582,7.846556205524758,45.552570634553035
x8,6.191673685973699,7.490323677237226,35.018764302059495
x9,6.3484837491922965,7.633596209056786,40.018052256532066
