link,llr,obs_count,rate
p1->c1,513.3688174414505,10698,17.602473139818976
p1->c4,477.63405933453737,22730,37.39990787699433
c4->p1,417.17822877852075,23696,38.98936282680412
c1->p1,350.9496706875514,11644,19.15902011965341
p1->e5,144.37969451427406,3065,5.043146398723608
p2->c2,130.84332674366163,5019,8.258255065316082
p1->e6,108.86508569687207,3058,5.031628609232233
x11->p1,106.89851290209295,2758,4.538009059601864
p1->e4,105.29276187372874,3018,4.965812669281517
x4->p1,99.12688064638114,2912,4.791400428412119
p1->e9,93.61413796588715,3032,4.988848248264268
p2->c5,90.86191740786255,10509,17.29149282355184
x2->p1,86.15572847192756,2919,4.802918217903495
x12->p1,81.428370194327,2849,4.687740322989742
x10->p1,78.70007245196916,2899,4.770010247928137
x6->p1,76.8232433376676,2953,4.858861766861604
x5->p1,76.54484344629036,2979,4.901642127829569
x3->p1,65.30136673171708,2882,4.742038473449083
x7->p1,60.7354462534779,2962,4.873670353350515
x9->p1,56.63356776431804,2842,4.6762225334983665
p1->e2,55.400385446171406,2894,4.761783255434298
p1->e7,51.82649538983839,2802,4.610406593547651
x1->p1,50.10425184706119,2918,4.801272819404727
p1->e12,48.01843543450128,2915,4.796336623908424
x10->p2,47.37437799453742,1491,2.453289161662936
x9->p2,45.13557946251032,1391,2.2887493117861464
p1->e11,42.35602051243864,2863,4.710775901972493
p1->e3,40.09267977768621,2828,4.653186954515617
x8->p1,39.949074157758986,1571,2.584921041564368
p2->e11,39.14727410798384,1519,2.4993603196284373
i2->x11,38.679910536056084,422,0.6943581664800531
x3->p2,37.97827395374834,1225,2.0156131609906756
x12->p2,36.066644171739796,1394,2.2936855072824502
i10->x11,35.39361514191945,487,0.8013090688999664
c2->p2,31.013062632704344,6049,9.953015519047018
e8->i1,30.787283085225333,375,0.6170244370379618
i3->x1,29.628400586515784,385,0.6334784220256409
x1->p2,28.663395973214854,1312,2.1587628303834827
e6->i10,28.195398849713985,466,0.7667557004258406
e7->i7,26.585655768189575,473,0.7782734899172159
e10->i4,26.095058311970547,411,0.6762587829936062
e5->i12,25.994787653479897,382,0.6285422265293371
i6->x10,24.918911167577846,439,0.7223299409591073
i6->x6,24.49145587269963,443,0.7289115349541789
x11->p2,24.308091850021857,1265,2.081429100941391
e4->i6,24.25340059298311,456,0.7503017154381616
i7->x12,24.179457939558297,425,0.6992943619763567
e2->i12,23.5342879994948,385,0.6334784220256409
e6->i5,23.39247401959961,443,0.7289115349541789
i5->x4,23.268598799295717,425,0.6992943619763567
e5->i10,23.093033307698075,408,0.6713225874973024
i3->x3,22.72917600124921,394,0.6482870085145519
e5->i2,22.721207383519435,477,0.7848550839122875
p3->e10,21.85664598112092,644,1.0596366332065266
i1->x9,21.745433370124672,364,0.5989250535515149
e6->i6,21.06758618543741,402,0.661450196504695
p1->e8,21.036370780757892,2964,4.87696115034805
i9->x3,20.990843156648882,387,0.6367692190231766
e8->i8,20.90932801336659,381,0.6268968280305692
e9->i7,20.508623813212697,484,0.7963728734036628
i9->x4,20.498228743982565,397,0.6532232040108557
e6->i3,20.317533958398982,364,0.5989250535515149
i7->x5,20.303139955144545,436,0.7173937454628037
i5->x10,20.067339982190862,358,0.5890526625589075
i5->x9,19.833585479823377,381,0.6268968280305692
e5->i6,19.678420470519068,438,0.7206845424603394
e4->i1,19.62079278307753,446,0.7338477304504827
i1->x10,19.47784762280415,434,0.7141029484652679
e6->i4,18.8465395563826,441,0.7256207379566432
i10->x1,18.75045670359935,441,0.7256207379566432
x1->p3,18.67828677050644,557,0.9164869638137193
e12->i2,18.659874108890875,407,0.6696771889985346
i10->x5,18.551305757936305,454,0.7470109184406258
i4->x4,18.527582037597508,445,0.7322023319517147
e8->i9,18.19005907253315,410,0.6746133844948383
p2->e6,17.81164593040408,1470,2.4187357931888105
e11->i9,17.56849490953634,376,0.6186698355367297
e11->i3,17.397230349935516,371,0.6104428430428903
e4->i4,17.158414020926838,430,0.7075213544701963
i12->x10,16.9936873997548,462,0.760174106430769
i9->x5,16.725477956449236,493,0.8111814598925738
e2->i2,16.713404030602305,413,0.679549579991142
i9->x10,16.615932925510787,444,0.7305569334529468
i9->x1,16.501537452600715,403,0.663095595003463
p1->e1,16.48835418107034,3024,4.975685060274125
e10->i5,16.308644728812897,314,0.51665512861312
i10->x3,16.27911315449257,407,0.6696771889985346
i3->x11,16.01731516746021,428,0.7042305574726605
e7->i5,15.939235298071436,409,0.6729679859960704
i2->x10,15.864722591638023,402,0.661450196504695
i8->x7,15.746176807619886,452,0.74372012144309
i11->x8,15.329515012862721,227,0.3735054592203129
i9->x6,15.192298218886545,388,0.6384146175219445
e1->i12,15.05749082675796,475,0.7815642869147517
i4->x12,14.940492649923591,362,0.5956342565539792
e9->i6,14.938789488045158,406,0.6680317904997667
i2->x12,14.771083314940096,385,0.6334784220256409
i7->x1,14.756403286687252,508,0.8358624373740923
e1->i3,14.712401024154921,443,0.7289115349541789
e12->i9,14.705777185918766,410,0.6746133844948383
i11->x12,14.648819672045791,187,0.307689519269597
e7->i4,14.646116541692244,471,0.7749826929196801
e5->i11,14.624770604908043,186,0.3060441207708291
e10->i9,14.315806358574434,427,0.7025851589738925
e11->i10,14.275280849325195,417,0.6861311739862136
i2->x9,14.211527692679539,432,0.710812151467732
e3->i12,14.05558917442549,401,0.6598047980059272
e7->i9,13.826825175006078,409,0.6729679859960704
i2->x5,13.809068897821533,496,0.8161176553888776
e12->i6,13.670941261413626,434,0.7141029484652679
e9->i11,13.654546614292514,296,0.4870379556352979
e1->i9,13.44825928234346,369,0.6071520460453544
e4->i9,13.434284360496079,436,0.7173937454628037
e4->i5,13.418546625581378,424,0.6976489634775889
e5->i3,13.256645267220918,439,0.7223299409591073
i1->x11,13.077628806493426,424,0.6976489634775889
e6->i7,13.061646375930934,404,0.6647409935022309
i12->x6,12.650247111924557,495,0.8144722568901096
i4->x5,12.617221609526641,470,0.7733372944209121
i9->x2,12.616853593169292,407,0.6696771889985346
e5->i9,12.137396969181317,463,0.7618195049295369
e4->i2,11.672387390041402,393,0.646641610015784
i8->x2,11.587823086859666,374,0.615379038539194
i7->x4,11.350433687974459,399,0.6565140010083914
p1->e10,11.11931491343298,2849,4.687740322989742
i12->x12,11.037111108666224,445,0.7322023319517147
e9->i1,11.027982225322775,391,0.6433508130182483
i9->x12,10.930090395685893,467,0.7684010989246085
i4->x7,10.884757570288837,507,0.8342170388753244
i4->x9,10.72015946763371,369,0.6071520460453544
i3->x4,10.591902800655353,409,0.6729679859960704
p2->e1,10.582084549427474,1443,2.374310033722077
i8->x10,10.57091422963116,404,0.6647409935022309
i10->x12,10.53748664722466,455,0.7486563169393937
i2->x1,10.495144110178641,339,0.5577900910823175
i5->x11,10.483478729973168,342,0.5627262865786212
i11->x7,10.437843256709263,260,0.42780360967965353
e3->i5,10.420067474528059,485,0.7980182719024307
i8->x12,9.97222243228821,449,0.7387839259467863
i3->x8,9.95474485503414,254,0.41793121868704614
i9->x8,9.873719981077254,203,0.33401589524988334
i3->x5,9.828282350315199,454,0.7470109184406258
x7->p2,9.775955365499776,1379,2.269004529800932
i4->x10,9.50636146463686,476,0.7832096854135195
i4->x2,9.343996958552726,425,0.6992943619763567
e3->i9,9.343833920254744,413,0.679549579991142
e5->i4,9.207101800351506,448,0.7371385274480184
e2->i9,9.083142740940216,489,0.8045998658975022
e2->i7,8.98793318799739,390,0.6417054145194804
i5->x3,8.941256273771735,405,0.6663863920009988
e11->i2,8.83797759075915,381,0.6268968280305692
i6->x3,8.800134193042041,477,0.7848550839122875
i8->x5,8.708377985206056,422,0.6943581664800531
i3->x9,8.64152720656649,405,0.6663863920009988
i6->x9,8.611511169740371,460,0.7568833094332332
i6->x8,8.594373269830184,220,0.36198766972893764
e12->i8,8.484912471995562,397,0.6532232040108557
e9->i2,8.476796905373645,400,0.6581593995071593
e1->i10,8.438715782966037,439,0.7223299409591073
i11->x4,8.356199308653785,200,0.32907969975357965
