timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769503099.8860898,SENT,5a0cba61-4160-43ab-941c-738d0031b6c8,c8a35f1b-faca-4969-9ad4-72bfa0a89e43,c3,DROP,2032,?,p3,
1769503099.886238,CREATED,8c80e282-a439-48fe-b17c-f045d8aea2ab,5073c097-c51b-4645-a9df-8bb71d94f015,c3,DROP,27,?,?,
1769503099.9403002,SENT,b2872fc1-796c-40b0-8e56-3dc1fe6ccb2c,b6014927-3a6e-48a6-a424-2de40edee0f8,c3,DROP,2032,?,p3,
1769503099.9404197,CREATED,344a46e5-0f69-41b5-b346-1bdba67d2c4c,cd4851aa-ddfb-41a1-b733-5a1091145c0d,c3,DROP,27,?,?,
1769503100.088396,SENT,9e4cd220-e09b-4be2-85c6-aa5dca1f83a2,cd591bcf-1e62-42b7-802f-b821fa93d6b2,c3,DROP,2017,?,p3,
1769503100.0885298,CREATED,0707db6d-4933-412d-b829-05b96573165b,6efeeb5c-c592-467b-8da7-ea22ef24fffe,c3,DROP,27,?,?,
1769503100.442379,SENT,89ebf9d1-0907-4824-a298-1c4668e8d8d2,49cdc80f-509c-4505-aa7e-2b36338eadc2,c3,c2,3405,?,p3,
1769503100.442533,CREATED,228f33bb-3cdd-4470-b00a-6858a2603f6c,acce48bf-45bf-476b-a869-860667651442,c3,c2,27,?,?,surb={'id': '286dd4fb-dc76-4024-b21f-cc26a407facf', 'route': ['p2', 'e4', 'i11', 'x10', 'p3', 'c3']}
1769503100.4554553,SENT,872ab058-141a-4341-9e19-294f560ccdd8,5baf6d69-135d-4911-8e23-d00859530492,c3,DROP,2032,?,p3,
1769503100.4556193,CREATED,0f5a4efb-09a7-49c0-b457-73d30b6aa738,66f8114e-5423-4494-a959-21e137dd2c87,c3,DROP,27,?,?,
1769503101.097899,SENT,501ac30f-a998-423f-9b69-e7d96c0f4b02,fd7a94b1-8142-471a-909f-42b4192d5fe2,c3,c2,3382,?,p3,
1769503101.0980728,CREATED,16dfffba-b940-47e2-ab57-992e221b8374,a713b563-75e4-499e-be71-9550ad4e7c0d,c3,c2,27,?,?,surb={'id': '4d559417-ec45-4f77-978f-5387ab19d99e', 'route': ['p2', 'e7', 'i1', 'x4', 'p3', 'c3']}
1769503101.1909611,RECEIVED,0f491fae-e635-4917-8c81-0b4f2c660fb5,7127b94b-86e4-4cb1-bb1e-e459e337ba75,c2,c3,27,p3,?,surb={'id': '4123b6d5-48e2-43df-82a8-8fbc5c442c24', 'route': ['p3', 'e3', 'i8', 'x10', 'p2', 'c2']}
1769503101.5681376,SENT,0937c5e4-e068-4cb5-9480-88ccd930aba9,3bbfe401-9e3f-4797-8f80-5193b3e6e0df,c3,c2,3394,?,p3,
1769503101.5682926,CREATED,a32b7f36-165f-454b-94e0-d37b09b8ef58,b18ae083-7815-43f4-a2c8-37faf172daac,c3,c2,27,?,?,surb={'id': '1926abbf-f565-42d6-b2fc-4a8b360dba4f', 'route': ['p2', 'e12', 'i3', 'x11', 'p3', 'c3']}
1769503101.579402,SENT,e80029ab-6ce5-460d-931e-a5321288d249,1d2d958b-6d20-4fbb-936c-31ae5c4258e1,c3,c2,3396,?,p3,
1769503101.5795503,CREATED,88342834-c3cd-42f3-a3ec-59b03074c98e,fc342ba3-5908-42b9-9825-193232dcad6b,c3,c2,27,?,?,surb={'id': 'd0cb622a-a63a-484d-afa7-42b5f713f768', 'route': ['p2', 'e11', 'i7', 'x12', 'p3', 'c3']}
1769503101.6984591,SENT,47819337-fa9c-4045-8d80-3c59d4d362a5,cbb70424-f0d2-4d1e-bde2-d8f708ec9401,c3,c2,3359,?,p3,
1769503101.6986086,CREATED,31f88627-0d17-4ec2-89c6-f1545842bacf,5f05ea87-48c7-4d2b-ba6c-3ec9ffd46058,c3,c2,27,?,?,surb={'id': 'aeb1cba9-35af-4bf9-ac62-121e9729eca1', 'route': ['p2', 'e9', 'i11', 'x3', 'p3', 'c3']}
1769503101.914583,SENT,23467ccd-a5a2-4525-8115-4297bb247575,b3379c30-e1e4-449e-a4b5-63bfbd9da93b,c3,DROP,2041,?,p3,
1769503101.9147205,CREATED,b892435f-f79b-4c7c-a46e-62a4925d9cd3,7c3ab1cc-57d5-4690-8e10-6d463de3c61a,c3,DROP,27,?,?,
1769503102.2668467,RECEIVED,ee95a90e-438b-4093-a8b1-c36a69a15cb7,d902e807-5dd1-4a5e-9146-97728cad0184,c4,c3,27,p3,?,surb={'id': '1c94e7b5-1e8c-4f73-b0e7-9ef7340deee6', 'route': ['p3', 'e5', 'i8', 'x11', 'p1', 'c4']}
1769503102.4715781,SENT,2d66873e-4df9-44e9-bbd4-4acc6ed51243,18fa5a46-a755-4876-9be7-3f99e74306f6,c3,c2,3399,?,p3,
1769503102.47173,CREATED,27173b4b-c685-40cf-90f3-cc5af29cf22a,27adacfb-7cd2-4ac2-93ac-384df34a58ed,c3,c2,27,?,?,surb={'id': '181c840f-e3a0-4475-a9e8-c11154fc810a', 'route': ['p2', 'e4', 'i6', 'x12', 'p3', 'c3']}
1769503102.926391,SENT,503a11b2-ba05-4a4f-a289-be6e157ff0ba,78e9d22a-8474-4c43-89d3-0fe6c79b7ece,c3,c2,3401,?,p3,
1769503102.9265428,CREATED,10edc1c2-cc01-4153-81fc-b11aca95cd95,9ffc1407-3493-4e3f-af4b-c2acc6bf4503,c3,c2,27,?,?,surb={'id': '0858386f-67cc-4efc-8eb9-7a81750353f4', 'route': ['p2', 'e10', 'i11', 'x3', 'p3', 'c3']}
1769503102.9787781,SENT,ed03d81f-703c-44b5-8c31-e2e016387bd0,302aaef5-d5c0-4173-90b2-dd9ee02837c5,c3,c2,3385,?,p3,
1769503102.9789307,CREATED,5750b17a-116d-45ee-b5f5-9072fd2a69af,865b7d89-1628-463d-933f-2876e1768cde,c3,c2,27,?,?,surb={'id': '0f52ad29-7185-41ec-8656-f406248565bd', 'route': ['p2', 'e3', 'i12', 'x7', 'p3', 'c3']}
