timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769503100.1376145,SENT,a14e3210-42c6-442c-bd46-ec9e2a492adb,cb142499-e2b4-423e-8315-0a1ca22baad2,c2,c3,3379,?,p2,
1769503100.1377976,CREATED,862cc5ee-eb7a-4057-b511-3acc11f2e375,e90ea373-975d-4158-aba7-2cc2aa05b639,c2,c3,27,?,?,surb={'id': 'a75c4bba-0bea-4260-9434-4645fc43bb2e', 'route': ['p3', 'e2', 'i9', 'x7', 'p2', 'c2']}
1769503100.157617,SENT,592d86bb-6a0a-43c5-b9f1-0dfef5a86d92,e4938ff1-f01c-4aae-b6b6-dc613cb1f540,c2,c3,3400,?,p2,
1769503100.1578205,CREATED,0f491fae-e635-4917-8c81-0b4f2c660fb5,7127b94b-86e4-4cb1-bb1e-e459e337ba75,c2,c3,27,?,?,surb={'id': '4123b6d5-48e2-43df-82a8-8fbc5c442c24', 'route': ['p3', 'e3', 'i8', 'x10', 'p2', 'c2']}
1769503101.4096012,SENT,7cf17518-71ea-4f2f-b55c-96d6383b8688,a4a1ac90-bde2-456e-a927-566d16934e71,c2,c3,3362,?,p2,
1769503101.4097307,CREATED,f7e7f4e1-e738-481c-83d9-9242188f3581,d8773a2a-c5ea-494d-806b-9fad8eaadbc9,c2,c3,26,?,?,surb={'id': '815a126c-4711-4db7-970c-36fa7363434a', 'route': ['p3', 'e1', 'i8', 'x11', 'p2', 'c2']}
1769503101.7594378,RECEIVED,228f33bb-3cdd-4470-b00a-6858a2603f6c,acce48bf-45bf-476b-a869-860667651442,c3,c2,27,p2,?,surb={'id': '286dd4fb-dc76-4024-b21f-cc26a407facf', 'route': ['p2', 'e4', 'i11', 'x10', 'p3', 'c3']}
1769503101.7696216,SENT,a5864286-1ecb-41bc-9331-de6ba39f7634,9a04b866-8f41-40a9-9be1-3bea17885b46,c2,c3,3383,?,p2,
1769503101.7697701,CREATED,f7a2b37e-53c0-445a-97e1-9f783db32c96,510ad348-78d8-4577-bb9f-d130bdd768e8,c2,c3,27,?,?,surb={'id': 'f2eb6ae2-7f43-4e6b-8b4b-8b6f708e86c1', 'route': ['p3', 'e3', 'i2', 'x11', 'p2', 'c2']}
1769503101.892837,SENT,3f4b575f-9551-439c-9c06-338592f13512,7d0bdc66-bcaf-4bac-98a8-43a1d99a33d3,c2,c3,3387,?,p2,
1769503101.8930106,CREATED,d3ad0aff-aab1-467c-a725-960263b75455,04b06a66-20d3-4d0f-89ca-09fac4b772d8,c2,c3,27,?,?,surb={'id': '7a58cdcd-9357-4eed-92bb-21306dbd5938', 'route': ['p3', 'e8', 'i1', 'x10', 'p2', 'c2']}
1769503102.453687,SENT,5bf242b5-6c1b-4abb-987d-e633920a9907,7262ec9a-3559-4bc0-b6f2-7ed735d8edbb,c2,c3,3360,?,p2,
1769503102.4538338,CREATED,01f57546-ab8e-4be0-b7dc-ba43aa587955,876cc195-7e51-436e-8d25-52f35ce8e062,c2,c3,27,?,?,surb={'id': '8251878c-3b8b-4cb8-82c4-a482ca7bf15c', 'route': ['p3', 'e3', 'i8', 'x2', 'p2', 'c2']}
1769503102.6033185,SENT,ddda1ab3-4427-42d5-8902-aaae6f76f457,e6246a6f-cdc0-4fa1-9d5e-3d55936bcb23,c2,c3,3391,?,p2,
