timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769746066.4313035,SENT,14386cc4-f4d1-4316-be26-6c7379992e71,26f07ca5-d4f2-47cd-95f7-750c11952b76,c2,DROP,2032,?,p2,
1769746066.4314291,CREATED,39c31717-654b-4d13-bccd-bb3726be3203,955e43e8-2cd6-4bc9-bf79-deffc32aa63f,c2,DROP,26,?,?,
1769746066.827753,SENT,ba9f32b4-75da-4fd6-917c-69f9fce9c3c2,c9f974e9-c0da-40ae-a685-157271b61201,c2,DROP,2020,?,p2,
1769746066.827888,CREATED,b06a394c-b793-43e8-bddf-18a37cd5b8da,359b936b-2549-4aec-badb-9db2cf2bca14,c2,DROP,27,?,?,
1769746067.2774963,SENT,ba3b19ad-3fc5-4fad-b150-4c5f0910c2cb,22093e56-32d6-44d8-901a-e626bc30f1b7,c2,c3,3378,?,p2,
1769746067.2776334,CREATED,676397ec-f006-4861-871e-764e97279479,96f7ea59-dd78-4e7a-b127-197f64abde74,c2,c3,26,?,?,surb={'id': 'ba6da172-5822-415f-80f9-91ff5088e884', 'route': ['p3', 'e4', 'i11', 'x2', 'p2', 'c2']}
1769746067.612323,SENT,908235d3-2487-45bb-8af8-31825266125a,1b6eb66e-5bc8-4e2c-8360-003c134f849f,c2,DROP,2026,?,p2,
1769746067.612442,CREATED,4d93a88a-f8ae-4a5a-90c9-ad94853ef90f,e0002d39-65fb-4b68-af55-b390a095ed2f,c2,DROP,27,?,?,
1769746067.7289581,SENT,9afd4d18-c19b-488b-8313-268f59d06615,718d5568-457e-4e72-a10e-b68e1531ce32,c2,DROP,2047,?,p2,
1769746067.7291212,CREATED,87abb42f-6abf-4419-94f7-6149717596e7,72b39d70-4169-4087-87d5-1d985271c857,c2,DROP,27,?,?,
1769746068.324423,SENT,38970f4f-8e25-45d9-ad03-91aa501c9220,1b5df53e-524d-4343-8cba-b1c975645d97,c2,c3,3348,?,p2,
1769746068.3245714,CREATED,f7437de3-b3fc-49a4-afc8-e4c236dd7ad1,467d98ab-45e3-4786-8d82-d76fcfac0a9f,c2,c3,25,?,?,surb={'id': 'b2b4195c-74b6-4774-8a8f-5a06236ab56a', 'route': ['p3', 'e9', 'i4', 'x7', 'p2', 'c2']}
1769746068.5105023,SENT,25a4500e-f846-4922-b918-ee3e051a5da2,ef9be2a9-5094-459e-95dc-1644fe384ffb,c2,c3,3380,?,p2,
1769746068.5106337,CREATED,cd5d8c14-11b4-4744-a47b-bbd978230918,9235fd7f-ed85-4936-9541-94c045ef3bf8,c2,c3,26,?,?,surb={'id': 'bd1ea434-8245-40b5-b59d-a005c1fa9f10', 'route': ['p3', 'e2', 'i5', 'x3', 'p2', 'c2']}
1769746069.319566,SENT,4e8f0dea-ff6d-41e9-9db6-060b3717aefa,f1996ed7-ad57-498c-9dac-3337fe0eeef5,c2,c3,3380,?,p2,
1769746069.3196979,CREATED,dc7b4267-8261-46c8-988f-d5137f1a18bd,4c5ca879-024d-4b03-906c-eee665c9e142,c2,c3,27,?,?,surb={'id': '19bfb578-9adf-4936-a2bd-9a305a81bd94', 'route': ['p3', 'e4', 'i1', 'x2', 'p2', 'c2']}
1769746069.661769,RECEIVED,6242c0be-4330-45f6-9164-c835550a4888,f341fd4a-f111-4dad-a74b-e803be275974,c3,c2,27,p2,?,surb={'id': '28aad288-d5be-45e7-9a43-8ae11d504885', 'route': ['p2', 'e4', 'i5', 'x10', 'p3', 'c3']}
1769746069.7156646,SENT,4b067871-fd4a-4345-bee6-040f1a35f181,bc961492-eb23-4a7b-a287-20328b824037,c2,c3,3375,?,p2,
1769746069.7158027,CREATED,653b6449-7fff-49d4-aae8-9dfac0316374,aa5bb44a-f5f4-4b8c-be31-f312be7635f3,c2,c3,27,?,?,surb={'id': '52d14d94-4b02-4aff-9950-4fb68655e0aa', 'route': ['p3', 'e5', 'i11', 'x2', 'p2', 'c2']}
1769746069.7815926,SENT,ea23cc5e-5a43-4edc-9bd1-217d27d082ab,5f3af3a7-02c9-4a9c-9a95-adb6859cb4a5,c2,c3,3395,?,p2,
1769746069.7817254,CREATED,f42fca31-01f3-4324-a7d9-d00442a43af7,324b120d-bc71-4b30-b3bf-a5dd147a35e7,c2,c3,27,?,?,surb={'id': 'b35ce5fb-8deb-48d7-904a-2ac4e551675a', 'route': ['p3', 'e11', 'i11', 'x11', 'p2', 'c2']}
1769746070.0176368,SENT,e69040d8-40c1-4462-9f2d-1770866f3543,4a997b13-5579-4953-92d6-7ae097a1d908,c2,DROP,2020,?,p2,
1769746070.0177534,CREATED,892b4e02-404a-4a76-be29-c10a1febbe8a,18638eba-82a4-471f-b35d-45db1291cb7e,c2,DROP,27,?,?,
1769746070.0560908,SENT,054efe22-a16d-4963-b8c9-edea54542da6,1e781515-fdc8-41c3-a95b-f4afcd3a9e32,c2,DROP,2015,?,p2,
1769746070.056225,CREATED,87c3a778-6f0b-4dbf-954e-a0ab8feb8d8e,d965dcc0-71d5-4878-912c-167ed982420e,c2,DROP,27,?,?,
1769746070.1629229,RECEIVED,e5de8f6e-d15a-487b-83cb-1d0dc0f84c46,e780f178-6718-481f-a3f7-75d499edb232,c3,c2,27,p2,?,surb={'id': 'c8be16cb-6318-46da-92ee-a1ab5710837a', 'route': ['p2', 'e2', 'i8', 'x4', 'p3', 'c3']}
1769746070.2269678,RECEIVED,04dc0d30-b0a8-4593-a1f8-617148c15822,94803ee6-9e5b-48a5-afa0-c2f91024b6a9,c3,c2,27,p2,?,surb={'id': 'c4ab8106-bd51-43df-936d-c0a2d0708bec', 'route': ['p2', 'e3', 'i10', 'x10', 'p3', 'c3']}
1769746070.6479864,SENT,7cc13080-a284-426c-bd42-503cd2fa00fe,240ca29b-c7db-430c-8b82-d5351cfee7ff,c2,c3,3376,?,p2,
1769746070.6482043,CREATED,7aea10d8-92bb-48a2-8896-2417762a780b,55e25623-b0df-4be0-a9a7-16ec3f02977b,c2,c3,27,?,?,surb={'id': 'd809d04d-17d8-4edf-b813-d6efc24ac3f3', 'route': ['p3', 'e2', 'i6', 'x9', 'p2', 'c2']}
1769746070.9457643,RECEIVED,672c8d6a-c1fc-404d-901c-ae75054a0fd3,84378538-192a-4081-a830-dbdfdb1c669a,c3,c2,27,p2,?,surb={'id': '37f6be95-007c-4a09-ab47-500bfe6d7c4e', 'route': ['p2', 'e5', 'i11', 'x5', 'p3', 'c3']}
1769746071.0680335,RECEIVED,f9d9b7f2-09fa-4cad-a94a-f5b379863542,fa61f950-7f01-43be-b35b-cd56f6e71e2c,c3,c2,27,p2,?,surb={'id': '289f7015-63b7-45bd-ac0b-0ad28c442fdc', 'route': ['p2', 'e9', 'i7', 'x8', 'p3', 'c3']}
1769746071.1587954,SENT,44c99b2a-3022-4315-b2b5-1d6cb94c1a25,82647279-6984-493e-b375-8bbdcb256c9c,c2,c3,3397,?,p2,
1769746071.1589289,CREATED,8a1359f6-101d-4eca-a9c8-d454705a2342,3371eea7-8ec3-4856-a7b0-22b8d9a0a1cd,c2,c3,27,?,?,surb={'id': 'd6d9f592-8aa3-4948-865b-88c6503c6f40', 'route': ['p3', 'e10', 'i6', 'x1', 'p2', 'c2']}
1769746071.1726093,RECEIVED,b027f1d3-724e-41df-a253-e07265a2c92b,70001a12-0750-485e-a150-efc585c73c50,c3,c2,26,p2,?,surb={'id': 'f32a94cd-5cbd-4b06-b8de-efac538ff761', 'route': ['p2', 'e4', 'i7', 'x6', 'p3', 'c3']}
1769746071.2548938,RECEIVED,4c7365be-3507-4c38-9582-eee0432979db,d039fe35-2f7d-42ef-a187-e60e03c6a353,c3,c2,26,p2,?,surb={'id': '5e024fb3-9ce2-4bad-bcfb-d7f2a3990c7f', 'route': ['p2', 'e7', 'i11', 'x4', 'p3', 'c3']}
1769746071.4645443,RECEIVED,2c362550-1e8e-45da-88be-0cc9e47c2e9b,2be6e523-bee7-44d9-a37a-459b630f688f,c3,c2,27,p2,?,surb={'id': '3b766444-4669-46d5-88a2-e65dd0ac512e', 'route': ['p2', 'e11', 'i11', 'x4', 'p3', 'c3']}
1769746071.6214075,RECEIVED,4053d878-9017-4e03-a74f-9b5eb50b5da2,5b1056c0-a5d3-4f49-b18f-b12c757d7a2c,c3,c2,26,p2,?,surb={'id': 'f5bed77f-cd8c-4557-9837-52e1f699391d', 'route': ['p2', 'e9', 'i1', 'x12', 'p3', 'c3']}
