timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769746066.3851843,SENT,49a5826a-764e-4a73-9b69-91f0776792fc,831f6b2a-73de-484d-b8b6-fee766e7a9cb,c4,DROP,2014,?,p1,
1769746066.3853073,CREATED,a3a1fcd6-8939-42ef-8cbf-92cfd871a653,525338eb-1bcc-481b-934f-5133ab82c6d2,c4,DROP,27,?,?,
1769746066.6913614,SENT,2c22deb0-7ab6-4321-856e-b2436132d26f,36e0494b-bf34-4692-8090-d4222b3e9c19,c4,c1,3401,?,p1,
1769746066.691519,CREATED,9ce53564-89d0-4ac0-8ab5-6e72a9aa422c,b7b2ee4f-d40a-4a4b-a0a2-14d3d2705cff,c4,c1,27,?,?,surb={'id': '36f99573-031b-405d-baa1-3c699d0195e1', 'route': ['p1', 'e6', 'i1', 'x1', 'p1', 'c4']}
1769746067.1156204,SENT,84988e19-0476-4e3a-a82c-2e48bbdd1307,bce15e0c-a794-4f01-a6dd-e987b026f94e,c4,c1,3376,?,p1,
1769746067.115753,CREATED,7da0e05a-ac54-42f7-9acc-7683382277d3,03b56323-d19b-4951-937b-091a73a18253,c4,c1,27,?,?,surb={'id': '71e2789e-51f1-466f-8551-094181909457', 'route': ['p1', 'e2', 'i5', 'x4', 'p1', 'c4']}
1769746067.577819,SENT,04100ddc-1e19-4f5a-9014-ce175f07868c,c9d50814-b8cb-4524-a405-064d1e9651e0,c4,c1,3396,?,p1,
1769746067.5779479,CREATED,e44e3efe-8fe2-4431-b1f5-e5308f379bc9,ce8af47c-2014-40b7-aec2-3e4b2708c7b0,c4,c1,26,?,?,surb={'id': 'e26bf33f-c1de-42dd-94f8-ce98845fe4b3', 'route': ['p1', 'e6', 'i10', 'x3', 'p1', 'c4']}
1769746067.6017845,SENT,edf2943d-e269-49f0-891a-32cef0af12aa,b9e5c9eb-cdd4-4b69-a7d2-eac55fbf501d,c4,c1,3384,?,p1,
1769746067.6019416,CREATED,769233f5-ae9c-4c0d-80cf-4bbf1793c757,8aa02737-9620-4b37-addd-069fed9b9cd3,c4,c1,27,?,?,surb={'id': 'd328a0c0-a692-4d62-8a0f-5083aa4e33c1', 'route': ['p1', 'e4', 'i2', 'x3', 'p1', 'c4']}
1769746067.6162121,SENT,d59b9473-d081-4222-90c0-6e82eb5b3b5b,191e1485-cb69-4fed-abce-2fabe17b4480,c4,DROP,2017,?,p1,
1769746067.6163447,CREATED,d5009329-9e07-4140-8bf0-2333707238c2,d5217bd8-1360-4cbe-b1aa-5208cfc7f375,c4,DROP,27,?,?,
1769746067.8871436,RECEIVED,efa458a4-22ee-40de-90b3-3202562d96b8,95ee0ec2-3871-45cc-a1d8-33ab7c308f04,c1,c4,26,p1,?,surb={'id': 'a41f7552-e2fc-4ba4-b0e5-0b0bb59fa2bd', 'route': ['p1', 'e6', 'i4', 'x1', 'p1', 'c1']}
1769746067.9436784,SENT,2d659c59-12c6-480c-ab52-b1b86684fcb4,baa75182-836f-432e-a38a-bbcd33175dd8,c4,DROP,2037,?,p1,
