timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769746066.252765,SENT,c3677ace-ead5-484d-9618-8cc5f51ca6c4,cb0d58c3-32e7-482a-95dc-36b783def45e,c1,DROP,2040,?,p1,
1769746066.252889,CREATED,379b0394-0978-4f5c-8f69-03d49f5367e7,1ada8e85-a8eb-4809-b5e8-118abd0fb83e,c1,DROP,27,?,?,
1769746066.3835566,SENT,efb7404e-7abe-44e8-b150-b0aaa42839e9,633071ca-0a4f-4de1-ad77-f7dbb249bcb2,c1,DROP,2027,?,p1,
1769746066.3836772,CREATED,5d10fc37-d22f-491b-8624-cedb9c207e10,f2021fea-70aa-486c-9d48-11cf16fd8bf4,c1,DROP,27,?,?,
1769746066.7250216,SENT,84671597-a30c-45d7-84c3-6a8550455648,6df6f4e1-ec04-4a31-8fb5-addcc512219c,c1,c4,3395,?,p1,
1769746066.7252076,CREATED,326eea34-f419-4ffd-985a-b36046b570f6,b0c03aa4-ee5b-4d0c-b74b-69aef49d2576,c1,c4,26,?,?,surb={'id': '395f4150-1799-4980-9e9e-51f21770e0c3', 'route': ['p1', 'e1', 'i11', 'x7', 'p1', 'c1']}
1769746066.771507,SENT,0b41290e-8eb6-4e79-b056-d0ba4965d3ce,91e9f66e-fac0-4a43-9d6e-2f3eea586df9,c1,DROP,2015,?,p1,
1769746066.7716227,CREATED,17589f34-e5c9-476e-ac16-cf8c7884b5a8,2b9e665a-bd03-4a8c-961d-0fdd6f906b09,c1,DROP,27,?,?,
1769746066.8429139,SENT,8628f14c-2f1e-4cd1-b8bd-08ebda948867,ee69a307-ee28-47cf-9434-971daa56fc61,c1,c4,3388,?,p1,
1769746066.8434703,CREATED,c3324b1a-802e-420d-91ec-837b1a46d4ca,cff653db-b6d2-4d82-8f80-ac5a2a5bf954,c1,c4,27,?,?,surb={'id': '9dee2445-d969-4ee2-8f68-396d39270fe1', 'route': ['p1', 'e3', 'i11', 'x1', 'p1', 'c1']}
1769746066.976212,SENT,32adcfbe-3f7b-4f67-b49e-fea2dbda2d64,7e5602ff-11e7-41f2-85c7-cfe899a36970,c1,c4,3391,?,p1,
1769746066.9763424,CREATED,b7f17417-a197-4f4d-a6af-9eb8b6142255,ce88bd56-29aa-431e-ae74-106062ee98ed,c1,c4,27,?,?,surb={'id': '1683757a-6110-43ca-87d7-900a88ac966e', 'route': ['p1', 'e2', 'i11', 'x3', 'p1', 'c1']}
1769746067.0808897,SENT,10f5b29f-d3d1-4e63-ab42-15d1e40dc022,7fb2e83a-c58f-4d5c-9564-e34106b498ee,c1,c4,3376,?,p1,
1769746067.0810347,CREATED,efa458a4-22ee-40de-90b3-3202562d96b8,95ee0ec2-3871-45cc-a1d8-33ab7c308f04,c1,c4,26,?,?,surb={'id': 'a41f7552-e2fc-4ba4-b0e5-0b0bb59fa2bd', 'route': ['p1', 'e6', 'i4', 'x1', 'p1', 'c1']}
1769746067.310923,SENT,17fc8473-1e98-4180-9830-e58a0632f27c,4e92508b-6730-49a2-81d0-bf5ee5ee9038,c1,DROP,2015,?,p1,
1769746067.3110774,CREATED,89402cde-c835-4f50-ad49-c6464e0d9a9e,64601e2b-b55d-45ad-b68a-a8773bf1f247,c1,DROP,26,?,?,
