timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769473489.546307,SENT,a0b5278b-7cc7-4aba-bd65-c52dfebb442c,388d7224-a68c-442d-8715-f892bd2c7ef7,c1,c2,3370,?,p1,
1769473489.5464675,CREATED,6e3c9fcc-68b8-4477-8603-38224e6084f0,3147b844-ef39-4185-a216-6d2e07586edc,c1,c2,27,?,?,surb={'id': '1e85c28a-2e60-41a3-824a-18e7f0d32d18', 'route': ['p2', 'e7', 'i6', 'x1', 'p1', 'c1']}
1769473489.6952271,SENT,3cef99f9-c63b-4acc-85c7-7d9719bd778e,25ff9ea4-5602-4e28-88f1-75ee12e205ef,c1,DROP,2020,?,p1,
1769473489.6954553,CREATED,5d136693-8374-4616-bee1-cb1818c486b1,880bdfd2-99ae-456a-943a-b49d85d9720f,c1,DROP,26,?,?,
1769473489.924869,SENT,ee73eeec-c8e5-495c-b155-b1607fc09047,df1944d2-5c85-405a-b14c-0df4b582d48d,c1,c2,3384,?,p1,
1769473489.9250178,CREATED,c24591d7-60ed-4f48-95cc-a417adb19fd1,bdb34a09-1b21-451e-97b8-daf1d6e86266,c1,c2,27,?,?,surb={'id': '3fae7d28-69f6-4fe1-8cc7-4e79f80ae003', 'route': ['p2', 'e6', 'i8', 'x6', 'p1', 'c1']}
1769473490.207601,SENT,3539bfe7-d057-4733-820f-035daaae915b,06892f81-ca7a-45bb-afc2-f61618158ca8,c1,c2,3392,?,p1,
1769473490.2077487,CREATED,ce7485be-6be2-4398-bf5a-71f4445cf0e8,7fb512d0-93af-442f-90ae-ea6371131d40,c1,c2,27,?,?,surb={'id': 'a6430bb7-d2d5-4579-8d21-ba7ff6743dcb', 'route': ['p2', 'e11', 'i11', 'x9', 'p1', 'c1']}
1769473490.2229235,SENT,03864e02-3c0e-45ac-8d84-294c021b496f,b2b13806-d386-4a01-9426-efd86f40b02f,c1,c2,3363,?,p1,
1769473490.2231002,CREATED,6bc7eb69-b3f0-4535-a6e3-565a17be0e2b,462f3ee3-5f08-48d4-ac54-c14bc441ddf2,c1,c2,27,?,?,surb={'id': '36d40241-e123-4f84-97ed-2260d6473b05', 'route': ['p2', 'e6', 'i10', 'x2', 'p1', 'c1']}
1769473490.4314137,RECEIVED,555eb313-c466-4349-b593-1c8603986ecf,d1169990-7427-4bf7-b355-4c36e28bdcdc,c4,c1,27,p1,?,surb={'id': '9314c2b2-946e-41c1-8fa8-dcee7489a945', 'route': ['p1', 'e2', 'i6', 'x9', 'p1', 'c4']}
1769473490.7298584,SENT,29336b1c-6a91-4c4f-b3de-a5b0ad69f22f,595eb56b-3dfc-4c74-94a7-b3d7c96bfcbe,c1,c2,3387,?,p1,
