timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769473492.9387703,RECEIVED,4710d076-6518-4276-91d1-a1548596c55a,1e0cdb3d-8aaf-429d-a5a0-88ed535657a1,c3,c4,27,p1,?,surb={'id': '83ff31c9-8929-47bb-b3bf-904214a79df0', 'route': ['p1', 'e5', 'i8', 'x11', 'p3', 'c3']}
1769473493.1844633,RECEIVED,83584237-0a8f-4c1e-9185-c7bcef75a585,967f8033-66a0-4f0e-a8f7-d5cb3fc5fb5b,c5,c4,27,p1,?,surb={'id': '06b38e70-2614-439c-8d7f-30e5aaa099f0', 'route': ['p1', 'e1', 'i1', 'x9', 'p2', 'c5']}
1769473493.191166,SENT,4729301c-180e-4c1c-9cbb-9fe5673671dd,e891b5ea-9043-4934-a5fa-37c451742fc6,c4,c1,3359,?,p1,
1769473493.191317,CREATED,5bf71799-5d85-4d5e-9816-7349f3673b89,67d6891f-2f2d-4b4a-a838-420b24d0b5d8,c4,c1,27,?,?,surb={'id': 'eb272106-16fc-4a1e-af6e-a837d1d4665c', 'route': ['p1', 'e5', 'i4', 'x9', 'p1', 'c4']}
1769473493.3829296,SENT,534c9d1e-0a95-421e-9dac-990b57249636,7d32ef7b-1063-4758-8632-3063e442ccda,c4,c1,3392,?,p1,
1769473493.3831408,CREATED,488da002-9290-4b44-bf90-9bc725db171c,8e2d7014-1a88-4205-8281-db229807c800,c4,c1,26,?,?,surb={'id': '9cfc4959-f02e-4c61-a1c5-0c73a0017b0c', 'route': ['p1', 'e7', 'i9', 'x10', 'p1', 'c4']}
1769473493.4364328,RECEIVED,a852637d-56e8-4451-8c8f-79031df88dbf,4a2ce8eb-024c-411e-92f4-bb806dbd8e49,c5,c4,27,p1,?,surb={'id': '1c581f81-d80d-4cb8-98c8-c4cddc0d73dd', 'route': ['p1', 'e9', 'i4', 'x9', 'p2', 'c5']}
1769473493.5089855,SENT,9621b57f-747c-4399-b93f-93a7e046835b,289220f3-62e1-4563-9afa-2e438c613628,c4,c1,3393,?,p1,
1769473493.509172,CREATED,43e3230a-4bb5-4cf7-98a9-ba6631f7ce63,a1d150b9-1b93-4b11-b6e5-670086a0875f,c4,c1,27,?,?,surb={'id': 'fcccee6d-0706-4451-90a6-da32723800c8', 'route': ['p1', 'e12', 'i3', 'x11', 'p1', 'c4']}
1769473493.5844944,SENT,84c616b7-6a3e-4633-8755-77b3d67eb336,5b7f4ce1-30e5-4080-a264-9c5852c9ef9d,c4,DROP,2015,?,p1,
1769473493.5846226,CREATED,e2c86a8e-1395-4a82-b6f3-f1c3eef2ffe9,f6c2d380-489a-481c-ba5d-6fc57cdcfd48,c4,DROP,27,?,?,
1769473493.5914338,SENT,8c0f2478-e72a-4c55-88af-aee6d3898f95,abbfcf35-de6b-4591-977d-210ae0fc724e,c4,DROP,2028,?,p1,
1769473493.5915656,CREATED,1f9b9566-eade-4e20-84e8-ed3ec8f9f122,829dd639-4b04-4401-9c7c-d34ac28d1cf0,c4,DROP,27,?,?,
1769473493.6315503,RECEIVED,8fa416f2-8e90-4c97-8496-49155eca90d5,7df25bbf-faa4-498c-bf40-18d2d8468fcb,c3,c4,27,p1,?,surb={'id': '859d4c27-eebc-4e29-9177-3083c52bb1b7', 'route': ['p1', 'e11', 'i2', 'x6', 'p3', 'c3']}
1769473493.681007,RECEIVED,6827accc-711c-4a3b-9a0f-d83922ecabd6,e4879173-87d5-48e4-8346-f316c5dabfae,c5,c4,27,p1,?,surb={'id': '93f2385c-17e0-4ddd-9d41-a51df94b4f21', 'route': ['p1', 'e8', 'i5', 'x7', 'p2', 'c5']}
1769473493.7471309,RECEIVED,96eea4fe-783f-42ba-b0f3-566b4b2999e1,684de876-bc2c-46db-a282-4678ad465443,c3,c4,27,p1,?,surb={'id': '1e2e58cf-fffa-4ae7-bbf4-b9f022d00d1e', 'route': ['p1', 'e5', 'i5', 'x3', 'p3', 'c3']}
1769473493.8169837,SENT,7f24b1d7-f0ce-4f0e-ad79-3386818cea4d,ab7d4fcf-7e0e-4d18-979c-ffdfe8d42d68,c4,c1,3376,?,p1,
1769473493.8171935,CREATED,c81eb393-1feb-447f-a16b-4ca39a04e1ed,1797bc89-f20e-4e2e-bcbb-7bbf0c3b1cb5,c4,c1,27,?,?,surb={'id': '6693041a-ebfb-4c32-912c-9eca90c58765', 'route': ['p1', 'e10', 'i3', 'x3', 'p1', 'c4']}
1769473494.3254197,RECEIVED,af8e4402-1159-4e39-b1f4-e4014e14c56a,a87f0e58-db81-465c-8d52-b287185d800e,c5,c4,27,p1,?,surb={'id': '53f505ed-6846-4ab7-8516-5a16167aa588', 'route': ['p1', 'e3', 'i12', 'x7', 'p2', 'c5']}
1769473494.404689,RECEIVED,9c4ce327-7f44-4b96-aca2-5e7aa3be0d8a,613c7f6c-d4c9-4e94-9365-474e0ef08b1e,c5,c4,27,p1,?,surb={'id': '4de0ea60-0081-43e0-aacb-d95b41fdaff8', 'route': ['p1', 'e7', 'i5', 'x2', 'p2', 'c5']}
1769473494.5111964,SENT,cfcac1f9-a7fd-4fdf-94f1-2821c894c909,38cd6bf6-944a-42ac-a16c-a01e5bce8eab,c4,c1,3380,?,p1,
1769473494.5113494,CREATED,3d87c9a0-99e3-4ccc-bedd-04a46ee6ab06,9f00de85-10f9-4ccf-8e36-3a156485cab2,c4,c1,26,?,?,surb={'id': '4b022704-8781-45d4-9dc5-b82dadec35aa', 'route': ['p1', 'e12', 'i8', 'x12', 'p1', 'c4']}
1769473494.5601528,RECEIVED,4e41cfed-93de-44f3-977d-540cf18704bd,8aa5d410-a20f-4474-91f1-abe335a3f081,c3,c4,27,p1,?,surb={'id': '334786b9-8978-4096-ad40-fd03389f8499', 'route': ['p1', 'e5', 'i1', 'x10', 'p3', 'c3']}
1769473494.7172327,RECEIVED,1c8b0465-cbd6-4030-a5b8-cfdf58c8ba9d,d19bd098-0365-4350-a848-aeade765bdc6,c5,c4,26,p1,?,surb={'id': 'f604ffad-aaab-47a6-aa91-67c2be12f835', 'route': ['p1', 'e9', 'i10', 'x9', 'p2', 'c5']}
1769473494.7423599,SENT,ccab9ad4-360d-447b-b86a-b5ce96d68153,7eddf913-7c9a-439a-9c2e-a1f34085ab3e,c4,c1,3407,?,p1,
1769473494.7425313,CREATED,699c1987-09e7-4763-afc9-307e18b49f1d,cbefaad1-2b60-4aa4-9f7e-dcf0412a5e2f,c4,c1,26,?,?,surb={'id': 'fc6850f6-a755-4c1f-95dd-2cddb6f48a89', 'route': ['p1', 'e11', 'i10', 'x1', 'p1', 'c4']}
1769473494.8127272,RECEIVED,120ba94b-9421-4812-8bee-7e834a301d60,1b2b92aa-4426-4a23-a2e1-b0e92fe307a2,c3,c4,27,p1,?,surb={'id': '988ebb63-f8b5-4dc0-b0d2-aba5d4e61100', 'route': ['p1', 'e8', 'i4', 'x10', 'p3', 'c3']}
1769473494.8435223,RECEIVED,3bc0a480-8269-4e2f-825b-af45f12ce8b2,dacd0da1-5428-42f3-ac79-081e6c64cd3d,c5,c4,25,p1,?,surb={'id': 'a7a689b2-fa8d-47a5-b156-fbf2f27babd7', 'route': ['p1', 'e8', 'i3', 'x9', 'p2', 'c5']}
1769473494.861163,SENT,c7dc58de-6b46-4c2c-b2f2-0cc9605bf450,384b05c5-b00f-4741-b2c6-1b6072de26e1,c4,c1,3359,?,p1,
1769473494.8613129,CREATED,815c7fbc-f32e-44b0-be7a-2e0d86ee798e,4fd6a1fe-5efd-458b-be23-07ea6899c177,c4,c1,26,?,?,surb={'id': '5e698301-630e-4b01-abf3-90281bb37219', 'route': ['p1', 'e8', 'i12', 'x2', 'p1', 'c4']}
1769473494.9335692,RECEIVED,c8043293-180a-4977-ac6f-6fb7b056e99a,9bde55db-11a2-468b-95e6-1f81fae48bb3,c3,c4,27,p1,?,surb={'id': '7010432c-624f-4583-97c3-3846c1e247b3', 'route': ['p1', 'e4', 'i9', 'x1', 'p3', 'c3']}
1769473495.2624922,RECEIVED,ab891696-0284-4117-8056-bd78754461cb,f3d42618-1e67-4603-bdc9-010c84860ce4,c5,c4,27,p1,?,surb={'id': 'c9ac8797-522f-453a-9052-4b8455c3dae9', 'route': ['p1', 'e10', 'i2', 'x2', 'p2', 'c5']}
1769473495.344168,RECEIVED,1927cf8a-a9f6-4257-844a-783ba4bd0c67,54b9e6fe-d205-4f2d-bc73-6ac6b7475c75,c3,c4,27,p1,?,surb={'id': 'f802f6cb-4a6e-4203-9552-5a31650f785e', 'route': ['p1', 'e3', 'i11', 'x10', 'p3', 'c3']}
1769473495.3747835,SENT,9407ba9e-8bbf-4696-9c61-95d11e0a97c4,32873d8a-975b-4cc1-8cf2-bafd734ff369,c4,c1,3375,?,p1,
1769473495.3749273,CREATED,e7f666bd-876d-4bbe-b98a-75db7b5e6f1d,ef952036-2144-4cbd-8d22-5623eee54191,c4,c1,26,?,?,surb={'id': '5b54d428-7dfd-4833-8cf3-6578d75e3fbe', 'route': ['p1', 'e8', 'i12', 'x7', 'p1', 'c4']}
1769473495.4843845,RECEIVED,71cccb63-88f6-4ddc-a114-b8abf26afb26,64714b73-850a-4727-80ec-b6045014e88b,c3,c4,26,p1,?,surb={'id': 'd6372096-1cea-4e3d-b67d-a344479ee737', 'route': ['p1', 'e3', 'i8', 'x11', 'p3', 'c3']}
1769473495.5159118,RECEIVED,f1e76b02-25c7-4f61-9337-a8d1541dacae,fe57a1bb-22da-4977-bd3c-2ccad6418a10,c5,c4,27,p1,?,surb={'id': '35dcc4a5-684e-48dc-be48-318b76c0f3f6', 'route': ['p1', 'e5', 'i6', 'x1', 'p2', 'c5']}
1769473495.54496,SENT,c352fbd3-05cf-47a4-8974-49986c5e1c81,10f07725-5666-4c3a-a4b2-874e1fd26eb7,c4,c1,3377,?,p1,
1769473495.5451474,CREATED,1fb3fc5f-a424-423d-bac0-54659d685015,887748b1-27d0-4193-8794-ea94713894f4,c4,c1,27,?,?,surb={'id': '7f312fe0-b202-4b99-8808-569a776b49a4', 'route': ['p1', 'e2', 'i1', 'x8', 'p1', 'c4']}
1769473495.7137868,SENT,73825528-b2fa-4d8f-babb-3b5afabe07b1,45a3be51-1e71-4224-8123-3115ee350396,c4,c1,3380,?,p1,
1769473495.7139237,CREATED,334a994c-1149-4630-9d98-a38f2ccfebbe,5b0b2a69-90d3-4393-bb9c-a816825d3475,c4,c1,27,?,?,surb={'id': 'cb4f256d-9a04-4f0f-9414-0ffbea57640d', 'route': ['p1', 'e10', 'i3', 'x11', 'p1', 'c4']}
1769473495.890497,SENT,b3b608d1-eb78-4662-b2ae-28e66af60b12,06deeec5-bef2-43a5-9843-951f02c77c7e,c4,c1,3383,?,p1,
1769473495.8906596,CREATED,99777780-961a-446f-8b5b-fd9b14514b81,118b70f7-cbf1-45b6-8f56-db7802faa8de,c4,c1,27,?,?,surb={'id': 'a225f0d9-ae0c-4c0f-9585-03fd6deaa071', 'route': ['p1', 'e12', 'i6', 'x11', 'p1', 'c4']}
1769473496.082196,RECEIVED,7ccf8464-8c65-4af1-86c1-2934b4a9b2d3,c74659f2-35a9-448c-9d4e-3c98c8ff6d2a,c5,c4,27,p1,?,surb={'id': '527ae0c9-6e87-4e1d-a112-ba4bbe84f033', 'route': ['p1', 'e7', 'i11', 'x12', 'p2', 'c5']}
1769473496.3108797,SENT,9c752b59-bd58-4099-b2af-840c279ee549,32c3dd1d-863f-4b48-b0b0-52a357b6471a,c4,c1,3383,?,p1,
1769473496.3110332,CREATED,d13f4330-611f-468e-bb95-c5abf0172982,15902200-69fc-4b99-aaef-bed7a8efea66,c4,c1,27,?,?,surb={'id': '071e850f-bbed-43f0-8e52-ba78b6830504', 'route': ['p1', 'e8', 'i8', 'x3', 'p1', 'c4']}
1769473496.334776,RECEIVED,b4663823-7dd4-4e2b-bf1e-78e9c64994a3,fc4b2519-4c5b-4eb5-a93c-7613eaf0e777,c3,c4,27,p1,?,surb={'id': 'd339b666-9055-4b0b-89ed-abae1fd4ccc3', 'route': ['p1', 'e4', 'i4', 'x6', 'p3', 'c3']}
1769473496.450433,RECEIVED,51f65fdd-b4cc-431a-bba2-8161212b8398,12ca7b72-40b2-48ae-b77b-503aa7fff813,c5,c4,27,p1,?,surb={'id': '5fb550e3-168b-4c9f-8e8e-580662b382e1', 'route': ['p1', 'e11', 'i9', 'x12', 'p2', 'c5']}
1769473496.5183377,RECEIVED,a7d32601-4dd3-417e-9e82-8342ec730ec7,443468e9-a40f-4a68-9536-ae8030653040,c3,c4,27,p1,?,surb={'id': 'bed8cacf-cffd-44d8-80b7-9240dbc4c93d', 'route': ['p1', 'e4', 'i11', 'x6', 'p3', 'c3']}
1769473496.5215275,RECEIVED,e6ec1b7a-2830-480e-94cb-142efecba8ef,8b900b54-c79b-4e4f-afa7-557df4ef946a,c3,c4,26,p1,?,surb={'id': 'bc07c410-2ecd-4ae5-a54c-c5d87d7b850b', 'route': ['p1', 'e3', 'i2', 'x1', 'p3', 'c3']}
1769473496.638569,RECEIVED,4204d436-d574-4d24-8a72-6dd29c6d278e,80a36402-23cc-4401-9423-72df428b4119,c3,c4,27,p1,?,surb={'id': '34651790-7e20-4348-a6ff-5ff6562b38af', 'route': ['p1', 'e6', 'i6', 'x10', 'p3', 'c3']}
1769473497.0124042,SENT,a011483d-acb7-4d8b-8bdc-55970076c551,d679f684-a5b6-4005-bae7-3c66bc89c482,c4,c1,3376,?,p1,
1769473497.0125554,CREATED,116a3453-3288-4554-853d-6a3e6045ffc1,c7a2ab52-b50d-4e0e-a1bd-1d8fb1ed1cc4,c4,c1,27,?,?,surb={'id': '115df27b-080b-43dc-a18b-56bc437a5424', 'route': ['p1', 'e4', 'i12', 'x9', 'p1', 'c4']}
1769473497.1224868,SENT,adb624c9-3d1d-4077-8220-f3695dacd748,61c9aaa7-49cf-45dc-afa7-127795576717,c4,c1,3387,?,p1,
1769473497.1226401,CREATED,bb472002-35a7-449a-9fe1-f7b3aea6a676,5c1db6e3-b72c-48cf-8b20-0351854ff30a,c4,c1,27,?,?,surb={'id': '139d7666-f7ee-4408-94fc-8d41ca7f791d', 'route': ['p1', 'e8', 'i3', 'x12', 'p1', 'c4']}
1769473497.258989,SENT,4c4e0473-7ead-4f86-9de9-d39122047546,f2f1173d-6bfe-4902-8e1f-89f42aafef14,c4,DROP,2017,?,p1,
1769473497.259176,CREATED,72ce2dce-c5b0-45f3-b258-6a77f4287f82,867cab08-bdd7-4464-a189-39ed52c4e628,c4,DROP,27,?,?,
1769473497.5564058,SENT,590b327d-4b9a-437e-bc6c-a6117a9c8dda,40860939-953a-4e73-8e5f-ebcbaba2b1fa,c4,DROP,2042,?,p1,
1769473497.5565395,CREATED,b4ebe2d8-7f27-4ff5-8b72-2833d676f158,f709711e-5fff-4e88-90ba-7150ca881440,c4,DROP,27,?,?,
1769473497.7603343,RECEIVED,6e22e5bf-9694-4ae3-80d9-9ceeb4dee1c8,7b75531c-59e4-4357-a94e-874dae638d0e,c5,c4,26,p1,?,surb={'id': 'eae2eab2-55e3-4919-8729-f13a82874d7c', 'route': ['p1', 'e12', 'i8', 'x11', 'p2', 'c5']}
1769473497.9676235,SENT,679d978b-096d-403c-b97f-7cc2779f63b2,68ff082e-e1d8-4151-8e6e-82ce5f6f3c9d,c4,DROP,2035,?,p1,
