timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443267.407152,CREATED,e661e0eb-d1ee-44ec-b9b0-7596b21eb73d,074e9bfa-6b36-4157-a5fa-6e3cead1bea3,c5,c4,27,?,?,surb={'id': '8b37bb7c-7c74-44c8-af63-2a883a774fac', 'route': ['p1', 'e4', 'i12', 'x9', 'p2', 'c5']}
1769443267.4567723,RECEIVED,52762d71-28d0-49ae-9577-4892e34a9ba2,d2dd9e78-a515-4418-8181-17e229a250d6,c4,c5,25,p2,?,surb={'id': '4e41b337-4856-4b2b-9cdd-48ad962a1307', 'route': ['p2', 'e8', 'i6', 'x8', 'p1', 'c4']}
1769443267.560252,RECEIVED,52143176-02ae-48b4-87c8-358a2c5b5eed,35b0da2c-3970-445f-a26f-995fc8b96edf,c4,c5,26,p2,?,surb={'id': '12eba22b-7e4c-4542-b32c-570ad2967b4d', 'route': ['p2', 'e8', 'i5', 'x10', 'p1', 'c4']}
1769443267.5774882,RECEIVED,dc325fea-49ac-48d1-aa81-b1e2eabb5269,7ddedd8c-9560-4082-a550-b870314ff852,c1,c5,27,p2,?,surb={'id': 'c1bbb2a5-dff6-405b-bcda-7044788a5730', 'route': ['p2', 'e11', 'i11', 'x8', 'p1', 'c1']}
1769443267.6843069,RECEIVED,bdd19831-75de-446f-a602-0f35cd13f1e3,a4c9c834-40e4-41d5-bf13-7fc5a8d89d46,c4,c5,27,p2,?,surb={'id': 'bc84c055-060c-4c06-82d1-c25389e89ad9', 'route': ['p2', 'e9', 'i12', 'x2', 'p1', 'c4']}
1769443267.8414257,RECEIVED,57c6b425-e065-489b-beec-a0d8d7179981,6f344057-57d5-4cec-89b2-384185a9b700,c2,c5,27,p2,?,surb={'id': 'b64d24f5-1d43-40e3-b002-f3b2895b13ca', 'route': ['p2', 'e7', 'i1', 'x8', 'p2', 'c2']}
1769443267.8484185,RECEIVED,25f15c8c-f3d2-45e0-b8d2-0a761db0eba0,ebebee9b-6e21-458e-a9fe-c87b9349c689,c4,c5,27,p2,?,surb={'id': '154b8379-98a1-488f-8876-bcfc58157e75', 'route': ['p2', 'e2', 'i9', 'x3', 'p1', 'c4']}
1769443267.8732173,RECEIVED,98b9a9ae-1f52-478a-9e4f-3ffff675cd85,a6e98842-f97f-4633-a2aa-a4a46dbe5e3b,c2,c5,27,p2,?,surb={'id': 'deb12a10-84d2-4341-a252-ca4e7f257fbe', 'route': ['p2', 'e7', 'i11', 'x1', 'p2', 'c2']}
1769443267.932711,RECEIVED,5edb1229-2c9b-43b3-bcdf-40f635350abc,a845366b-7883-4e66-ad30-379b879d901a,c2,c5,27,p2,?,surb={'id': '5b656137-87e3-416d-8378-aa8106bd28bd', 'route': ['p2', 'e11', 'i7', 'x10', 'p2', 'c2']}
1769443267.9467454,RECEIVED,73d456b3-85d5-472f-9247-9025b8049260,3b668efa-96cd-4501-b664-8f08ec17f31f,c1,c5,27,p2,?,surb={'id': 'e58a9691-d09f-4b42-adf5-16257fcbb035', 'route': ['p2', 'e6', 'i5', 'x11', 'p1', 'c1']}
1769443267.9617224,RECEIVED,7b073115-8071-4bbd-b8a0-8c52c4fd3bd3,8db783f4-866d-495f-ab86-eea3adec4385,c4,c5,27,p2,?,surb={'id': 'ead0efea-465b-46ef-9d52-38cd517ab8ee', 'route': ['p2', 'e12', 'i12', 'x4', 'p1', 'c4']}
1769443268.1954281,RECEIVED,08daa644-7775-4a26-8ef2-c9522c4a7e3d,eef2ddd0-706c-4ee8-9fb8-b46d96bd74cc,c2,c5,27,p2,?,surb={'id': 'b256e193-53c1-4780-ae8d-9388e5875ab6', 'route': ['p2', 'e3', 'i3', 'x8', 'p2', 'c2']}
1769443268.31096,SENT,5cad177d-8082-44a6-9c9e-1aa62a11ac97,856bac41-30d8-45c9-ab32-78a97900eae8,c5,c4,3396,?,p2,
1769443268.3112133,CREATED,6d527b95-2fbb-4ff5-8ed7-234ecc006496,8eaa9e12-3481-45e5-85c8-d7caa2f4f4bf,c5,c4,27,?,?,surb={'id': '040c19a7-e72b-4e14-aa03-98b8e5f11cab', 'route': ['p1', 'e10', 'i1', 'x5', 'p2', 'c5']}
1769443268.5161762,RECEIVED,91732eee-4a0a-493e-be0f-53e38d5fb28b,c01039b3-4263-45ab-aed5-713b25ef27e4,c4,c5,27,p2,?,surb={'id': 'f41e250a-780c-4f8b-9376-4490105e3e28', 'route': ['p2', 'e6', 'i3', 'x5', 'p1', 'c4']}
1769443268.6818194,RECEIVED,e513764e-e971-468b-ac47-33089bc9d587,ba52acfd-825b-4e68-b7ac-da3792271188,c1,c5,27,p2,?,surb={'id': '8b31e1ee-074c-4d43-8a63-73c013811374', 'route': ['p2', 'e6', 'i4', 'x5', 'p1', 'c1']}
