timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443262.0073416,SENT,61b4ea7e-5f6e-4a9d-9f3d-2b78f11c7a9f,266b084c-a62b-453a-b1f6-34a3cffee0e2,c4,DROP,2031,?,p1,
1769443262.007466,CREATED,d315fd65-6fd0-48a1-999a-1caf79033b06,3ca3737c-05c6-4d9f-b34e-f7ede4bc9a6c,c4,DROP,27,?,?,
1769443262.4010198,SENT,58c4cd39-d55f-4772-a92c-6f7cb62cc291,e759b06a-b509-4997-b33f-c2a2503a303f,c4,c5,3376,?,p1,
1769443262.4012988,CREATED,95825d92-8822-42ee-af3d-4be46404835d,962f38cb-bce9-4abe-8971-301e622081c6,c4,c5,27,?,?,surb={'id': '77b18b56-655a-4e22-bd6a-e11994d3f745', 'route': ['p2', 'e7', 'i7', 'x7', 'p1', 'c4']}
1769443262.4105542,SENT,8841f8cb-4eb4-49a5-97d9-1b3f85ecda02,a4baf95f-ad68-49f8-b395-1f38759d2219,c4,DROP,2028,?,p1,
1769443262.410686,CREATED,6e8470a4-6cf0-4496-a7a7-2723fe679bb4,e58c0fb7-a9e0-47d6-977c-4f95a0dd0ff8,c4,DROP,27,?,?,
1769443262.7268944,SENT,8b26da31-6eff-4cb7-9786-bac3d85118eb,5bdb3c21-e173-4494-a3a9-ab566580918b,c4,c5,3388,?,p1,
1769443262.727069,CREATED,c60f748a-bebd-486f-b704-d2d4fe2df190,250a2e53-8429-4254-99c8-a856d3e84434,c4,c5,27,?,?,surb={'id': 'f64e85e3-008c-490b-b819-f804bd625078', 'route': ['p2', 'e3', 'i10', 'x11', 'p1', 'c4']}
1769443263.2551873,SENT,faa444a0-1c18-4628-a6d0-be8f76ed748c,d256b64a-66f6-42d1-98bc-589b5ca9d1fb,c4,c5,3384,?,p1,
1769443263.255342,CREATED,33b9e6f1-ff6a-4218-b361-d646ff066b9f,72136b83-61f1-4665-85a9-45435dc193d3,c4,c5,26,?,?,surb={'id': '4ad9d6e6-b01b-43c0-bc2d-04dc1fcba04f', 'route': ['p2', 'e10', 'i3', 'x9', 'p1', 'c4']}
1769443263.515924,SENT,a9857e3d-3d58-4f00-9c00-d215f129c26d,50e1a0d4-28a0-4d65-814b-93334f51aee1,c4,DROP,2018,?,p1,
1769443263.5160317,CREATED,4438e996-cef7-439d-bd96-f614a8c28979,e806008d-fd21-4a29-b443-bfaa0d05c502,c4,DROP,27,?,?,
1769443263.5612922,SENT,5e0ef404-9e6f-4cc3-8488-a4b204d5601b,ebe2cd0d-8fc2-41b5-938c-6057979875cc,c4,DROP,2027,?,p1,
1769443263.5616393,CREATED,d939a71c-a0da-4d34-b79e-ecadc39b767c,af6b0cb0-d3bf-48a5-9a3e-026dc75df15b,c4,DROP,27,?,?,
1769443264.0115812,SENT,c882bc50-7eb6-4108-9a02-b1a7d098fd07,649cf208-40a3-4820-98bc-25a32cb3f47e,c4,c5,3396,?,p1,
1769443264.0120866,CREATED,cf6fa2f3-1fd3-4605-9b07-68c649afbb4a,767d4325-dae7-4f8b-a598-2e8523fc72f7,c4,c5,26,?,?,surb={'id': '0541628a-58b2-4522-9e5b-be962b5bdb29', 'route': ['p2', 'e10', 'i4', 'x1', 'p1', 'c4']}
1769443264.2109685,SENT,f6d8b69c-f872-4513-9859-79431701cefb,8de9996d-49db-40da-a558-910061268885,c4,c5,3379,?,p1,
1769443264.2111514,CREATED,348162d9-a188-4379-8737-1472d7d3afa7,c9d83051-782c-4fa6-87e9-10ca6621ec14,c4,c5,27,?,?,surb={'id': 'b9e3003e-0b67-48dd-bd0a-6cc0a4df9dfc', 'route': ['p2', 'e2', 'i6', 'x12', 'p1', 'c4']}
1769443264.4400024,RECEIVED,2a5f0ef1-0eec-479b-983d-effa3cc146d4,a5abd04b-62d2-4e34-acff-233b3e492cb7,c5,c4,27,p1,?,surb={'id': '349cef57-4756-494f-a16a-02058d24b2ee', 'route': ['p1', 'e2', 'i7', 'x5', 'p2', 'c5']}
1769443264.655642,RECEIVED,812f1164-53fb-4403-8ada-a29faf6e3526,c9943020-1a61-4b9e-99e1-7d5a64547575,c5,c4,27,p1,?,surb={'id': '810a2bbd-b44c-4964-9447-cf5b76ce31ce', 'route': ['p1', 'e6', 'i4', 'x12', 'p2', 'c5']}
1769443265.0557687,SENT,39b87563-3344-4aaf-9d48-a5f0ff08fadc,780ed019-5751-49af-8cad-d2050fac73f6,c4,c5,3389,?,p1,
1769443265.0559158,CREATED,7b073115-8071-4bbd-b8a0-8c52c4fd3bd3,8db783f4-866d-495f-ab86-eea3adec4385,c4,c5,27,?,?,surb={'id': 'ead0efea-465b-46ef-9d52-38cd517ab8ee', 'route': ['p2', 'e12', 'i12', 'x4', 'p1', 'c4']}
1769443265.3793933,SENT,b9b98fd0-d0af-489f-ba66-1f41319aaf6b,e23a553d-4c5d-4315-86db-610e06069f70,c4,c5,3379,?,p1,
1769443265.3795269,CREATED,bdd19831-75de-446f-a602-0f35cd13f1e3,a4c9c834-40e4-41d5-bf13-7fc5a8d89d46,c4,c5,27,?,?,surb={'id': 'bc84c055-060c-4c06-82d1-c25389e89ad9', 'route': ['p2', 'e9', 'i12', 'x2', 'p1', 'c4']}
1769443265.4765337,SENT,822acb26-af4e-41c8-9d31-0ce202c02489,e4d106d2-1bee-4081-8ad3-31cd7dce7c4d,c4,c5,3379,?,p1,
1769443265.4766662,CREATED,25f15c8c-f3d2-45e0-b8d2-0a761db0eba0,ebebee9b-6e21-458e-a9fe-c87b9349c689,c4,c5,27,?,?,surb={'id': '154b8379-98a1-488f-8876-bcfc58157e75', 'route': ['p2', 'e2', 'i9', 'x3', 'p1', 'c4']}
1769443265.5785692,SENT,572093df-9097-48a8-bc48-6b148f9a49ea,47013de0-a674-4852-8657-ce613014bada,c4,c5,3375,?,p1,
1769443265.5787513,CREATED,52143176-02ae-48b4-87c8-358a2c5b5eed,35b0da2c-3970-445f-a26f-995fc8b96edf,c4,c5,26,?,?,surb={'id': '12eba22b-7e4c-4542-b32c-570ad2967b4d', 'route': ['p2', 'e8', 'i5', 'x10', 'p1', 'c4']}
1769443265.919015,RECEIVED,3330fd46-36f7-453c-be1d-0d792ed04f30,7bd32c40-9ce6-4124-9530-1f08b6d6db97,c5,c4,26,p1,?,surb={'id': 'c7e4c535-5a78-4e2a-9c09-4a619f4f136e', 'route': ['p1', 'e5', 'i3', 'x2', 'p2', 'c5']}
1769443265.9640324,SENT,c44755e1-da0f-4fad-80d8-56019cf66050,cddce2a7-2be7-497b-8678-85bdca36d602,c4,c5,3360,?,p1,
1769443265.9644203,CREATED,91732eee-4a0a-493e-be0f-53e38d5fb28b,c01039b3-4263-45ab-aed5-713b25ef27e4,c4,c5,27,?,?,surb={'id': 'f41e250a-780c-4f8b-9376-4490105e3e28', 'route': ['p2', 'e6', 'i3', 'x5', 'p1', 'c4']}
1769443266.0767448,RECEIVED,f9500bfa-7d93-4b3e-9113-c22572fb8bd1,69fdb84b-522a-484a-af35-0459c9dff5c6,c5,c4,27,p1,?,surb={'id': '376c0d24-6597-43ec-a658-7a16fa9246bb', 'route': ['p1', 'e7', 'i1', 'x3', 'p2', 'c5']}
1769443266.108167,RECEIVED,4ff85d53-95a3-44cf-be41-25af92cf6d77,12add02e-8bcc-4c6f-baa5-1ad8c1decb2f,c5,c4,27,p1,?,surb={'id': 'ef8ce56b-e28f-4ee3-8ba3-1a312e6ec5dc', 'route': ['p1', 'e2', 'i1', 'x10', 'p2', 'c5']}
1769443266.2894678,SENT,3dd296df-33ee-4f79-add1-93125e80f245,c2c72de3-59c9-4920-9a4c-1e41fd02590b,c4,c5,3356,?,p1,
1769443266.2896059,CREATED,52762d71-28d0-49ae-9577-4892e34a9ba2,d2dd9e78-a515-4418-8181-17e229a250d6,c4,c5,25,?,?,surb={'id': '4e41b337-4856-4b2b-9cdd-48ad962a1307', 'route': ['p2', 'e8', 'i6', 'x8', 'p1', 'c4']}
