timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443363.667999,RECEIVED,36229a28-89e5-484d-96cb-2078fb42092a,d23087d0-b2b8-4e58-812e-d1872ca09d7b,c3,c2,27,p2,?,surb={'id': '19af00c9-ea77-4eac-930f-fcd6440ba3d7', 'route': ['p2', 'e2', 'i1', 'x2', 'p3', 'c3']}
1769443363.6865027,SENT,daef9831-ccb2-404d-8af0-71a36be1a8ef,a99d285a-fd60-4fd8-bfa7-625fd2714b72,c2,c5,3371,?,p2,
1769443363.686593,CREATED,67298a0e-14b2-4f89-9c8e-d1a64e482e57,4318ac7a-f6d4-48a5-a7ef-e129e590f210,c2,c5,27,?,?,surb={'id': '4a1963b3-9bb4-43b0-a768-ab4ee3a68a41', 'route': ['p2', 'e9', 'i8', 'x1', 'p2', 'c2']}
1769443363.693177,SENT,18dcd550-a1b5-4a8f-aa62-51bb25b6b58c,b2217cc1-16a4-4ed8-a0a6-f35414b1dd1d,c2,c5,3367,?,p2,
1769443363.6932695,CREATED,0286db48-b92b-437f-866e-9498a2e81419,ab963b60-87a4-4150-8cd6-b1f3f0a9263f,c2,c5,27,?,?,surb={'id': '95435a31-ffee-4fee-98bc-d03a3e96bcb1', 'route': ['p2', 'e6', 'i10', 'x2', 'p2', 'c2']}
1769443363.7002249,RECEIVED,8cc23b56-0371-435d-9583-3c5154c7097e,a8c9a751-5a93-4ae5-93f3-5d198f144245,c3,c2,27,p2,?,surb={'id': 'd10b8e2a-1cff-4211-9734-305765a745c8', 'route': ['p2', 'e4', 'i7', 'x11', 'p3', 'c3']}
1769443363.8526628,SENT,8282ad7a-8590-4767-a813-5e8ed90fcb6d,b8177936-93da-4d4b-900e-440a46c1f181,c2,c5,3391,?,p2,
1769443363.8527555,CREATED,3858ba9e-8830-431b-a3a9-0fb33474b3ee,3f3bf108-6467-406a-b7fb-65c4a3fbf7fd,c2,c5,27,?,?,surb={'id': 'a6430c51-7a51-45c4-bfe0-50befa16d8aa', 'route': ['p2', 'e11', 'i12', 'x6', 'p2', 'c2']}
1769443363.858356,RECEIVED,56c50ed9-c072-4179-b300-b7339a1cd59e,84a7ee3f-82fa-45b6-9490-67951fb23995,c3,c2,27,p2,?,surb={'id': '87b221ff-0736-44df-923b-862849b3180e', 'route': ['p2', 'e11', 'i4', 'x3', 'p3', 'c3']}
1769443363.9475613,SENT,945cd1e7-743e-44c4-81c9-c0b919c3d6ea,5960bde4-24a4-4595-bb69-515a66569328,c2,c5,3363,?,p2,
1769443363.9476566,CREATED,695c3ca4-bd43-4010-9986-db38c5de8ad8,c685bb44-9032-410a-b33c-d8f9cd6a0681,c2,c5,27,?,?,surb={'id': 'c44d8de5-1236-4658-844d-4694a8ea37a4', 'route': ['p2', 'e9', 'i2', 'x8', 'p2', 'c2']}
1769443363.9589005,SENT,1b94cc2f-4ad4-48d0-8031-54a7129b8796,fb9f50a4-68f1-45fa-b481-912a21908d68,c2,c5,3388,?,p2,
1769443363.9589934,CREATED,dcf9e551-5c0f-432e-a418-2bd2c96841f4,763e4abd-c460-4689-a076-589cf1296595,c2,c5,27,?,?,surb={'id': '996931cd-899f-4cad-9bd1-49fb7cdf3343', 'route': ['p2', 'e4', 'i12', 'x10', 'p2', 'c2']}
1769443364.449878,RECEIVED,814f7836-6e83-4674-a969-26b35981ec70,c139586d-cc97-4f0e-b318-5b914fee67ef,c3,c2,27,p2,?,surb={'id': '13e520a8-6c32-4353-a001-736760f95d21', 'route': ['p2', 'e4', 'i5', 'x10', 'p3', 'c3']}
1769443364.7896404,SENT,1318bd1e-32a9-4276-98bc-1950c3963514,ec105511-568c-497f-a8a2-98fa4ce989a4,c2,c5,3388,?,p2,
1769443364.7899585,CREATED,9d15be7d-0a40-45ca-a1ee-d859ecad15e1,9137f87d-7a19-463d-adb3-574c6f1c2760,c2,c5,27,?,?,surb={'id': 'ce8602b1-201d-4ebe-898b-b26148731c38', 'route': ['p2', 'e11', 'i12', 'x7', 'p2', 'c2']}
1769443364.8785334,SENT,ea1855b3-1dce-4be4-9de9-b4902c9004da,bee17993-fd8e-4a75-a396-cd7f14d2dd2a,c2,c5,3363,?,p2,
1769443364.8785832,CREATED,1f9e80bf-ed59-48df-abeb-b76750c17105,e2ebd171-d951-4db0-82b5-c12596f81507,c2,c5,27,?,?,surb={'id': '527e092f-6de0-43e9-b363-8f1984eca67b', 'route': ['p2', 'e6', 'i8', 'x7', 'p2', 'c2']}
1769443364.972645,RECEIVED,a715a777-3e04-4764-baf7-750f9c93ce58,dd48cbf6-b64d-4ef1-b695-1e83c2795807,c3,c2,27,p2,?,surb={'id': '3058a8dc-1906-464f-a2a1-e8d8d6b35f60', 'route': ['p2', 'e9', 'i11', 'x12', 'p3', 'c3']}
1769443365.3129284,SENT,469c8f50-c85c-43b3-862d-e963b37e554a,84b9080c-f5d4-495a-a5bb-2c91d09c5e25,c2,c5,3360,?,p2,
1769443365.3133352,CREATED,961a62b1-763a-4d0a-bcaf-c3a18d0873a0,35b035e6-7dda-4ad8-a64f-0d306450ffc6,c2,c5,27,?,?,surb={'id': 'e24a070d-4529-481f-a10e-94d6def83e3e', 'route': ['p2', 'e6', 'i2', 'x5', 'p2', 'c2']}
1769443365.4072714,SENT,1c059515-1fe0-4433-9d70-412e807b4e34,836c11c3-773f-4c10-b865-1e78874745bf,c2,c5,3376,?,p2,
1769443365.4073708,CREATED,7d2cc5e0-de56-4ba7-abff-91b9c893e608,e2891399-af1d-4877-8cda-7737352a965a,c2,c5,27,?,?,surb={'id': '115dded4-ca42-49ee-b9eb-f1af4f96987c', 'route': ['p2', 'e9', 'i9', 'x5', 'p2', 'c2']}
1769443365.6578865,RECEIVED,0bbbd18d-dada-4143-827a-3e25269189aa,e94218d9-d219-48de-a0c8-bea6496aabc9,c3,c2,27,p2,?,surb={'id': 'cb378b0a-d32b-4f90-a051-3ef4af07d89a', 'route': ['p2', 'e9', 'i7', 'x8', 'p3', 'c3']}
1769443365.8015249,SENT,b840290e-bab0-4e61-b57b-64b8cf04a485,fa66f3f6-eab1-467a-ada4-31afc6a656a2,c2,c5,3376,?,p2,
1769443365.8016348,CREATED,2dbb1178-da8a-47e8-8df8-f48a91687a2e,af576aec-5e84-4388-a0c7-7fd8169b6217,c2,c5,27,?,?,surb={'id': '7da345d0-f6e6-45e0-bac9-448251dadc52', 'route': ['p2', 'e9', 'i11', 'x12', 'p2', 'c2']}
1769443365.810383,SENT,a296e02c-05f2-4381-b392-dd5ab02ee4a6,ec2b6f26-860a-464a-9e44-5aa0b8093c60,c2,c5,3376,?,p2,
1769443365.8104813,CREATED,cb406ace-e1e9-4e39-ba58-1bcf39e31052,8eb3258a-685e-4223-bec4-806f4b67d413,c2,c5,26,?,?,surb={'id': 'e3fa7f63-4c99-496c-bb50-6c269ff6b14e', 'route': ['p2', 'e4', 'i6', 'x8', 'p2', 'c2']}
1769443366.015255,SENT,7abcbb55-c430-4ab6-9027-cbe99fcb13b8,7e2f364f-0a40-4bd3-a92d-f8c3e82bb093,c2,c5,3379,?,p2,
1769443366.015356,CREATED,b3ef554e-33b7-4b5a-88f4-10144eefdc6f,0b755ebd-556b-4651-9577-3d6bfc46b108,c2,c5,27,?,?,surb={'id': '13dae608-66e4-4a8f-8175-2f09095cadd9', 'route': ['p2', 'e10', 'i11', 'x7', 'p2', 'c2']}
1769443366.0796247,SENT,41f654eb-5e83-448b-ba93-21004af8cd7d,a744bd43-6621-4373-96b5-f0816e8da6f6,c2,c5,3388,?,p2,
1769443366.0797422,CREATED,a1b4c0c6-8479-4baf-b3be-a12b1fea7493,ab023695-ff88-45a5-ba3e-ac96f7b98d16,c2,c5,27,?,?,surb={'id': 'a3af0532-11de-48a7-b507-9b8a4c19ca62', 'route': ['p2', 'e3', 'i10', 'x4', 'p2', 'c2']}
1769443366.0876894,RECEIVED,232dd745-1270-44d6-8824-4734a57b45d6,a0889dce-5e79-416b-ba13-cfaba446b862,c3,c2,27,p2,?,surb={'id': '05832055-2e7c-4945-9162-53399ae4dfab', 'route': ['p2', 'e10', 'i6', 'x6', 'p3', 'c3']}
1769443366.3113334,RECEIVED,b3426853-ae23-4035-b25f-1a869ff46bcb,93326acc-b707-4b4d-ad26-462a973f2ebc,c3,c2,27,p2,?,surb={'id': 'd8a422f2-6c97-4472-8734-9860c4428869', 'route': ['p2', 'e10', 'i3', 'x2', 'p3', 'c3']}
1769443366.4013171,RECEIVED,32f1b9eb-4467-4410-9d6e-4ba0e087d8c4,fac5651c-a9bb-44df-9c0f-279b109dc079,c3,c2,27,p2,?,surb={'id': 'eb7d7dc4-39e3-4f3b-b348-9668fee29cc7', 'route': ['p2', 'e7', 'i12', 'x8', 'p3', 'c3']}
1769443366.6639445,RECEIVED,3e6445d4-bbe8-4f3c-b055-688028118bc5,f07f128c-2fc4-4867-a352-f53b068bdd64,c3,c2,27,p2,?,surb={'id': '734f9426-4775-4ecf-ae21-8a10e8b69ee1', 'route': ['p2', 'e2', 'i12', 'x2', 'p3', 'c3']}
1769443366.768357,RECEIVED,3eb9b121-23ce-4a12-974d-cdbf68bc915d,8c75735e-986d-446f-81df-ef780014b790,c3,c2,27,p2,?,surb={'id': '0f5b9d3b-3e07-45b8-9686-0116917a651a', 'route': ['p2', 'e10', 'i1', 'x3', 'p3', 'c3']}
1769443366.8130088,SENT,d6888ced-4c5a-4eb4-a8a2-de26c4fc8ee5,f9e6ffd2-48b9-4926-a771-1780085ffd21,c2,c5,3366,?,p2,
1769443366.813203,CREATED,ff87b694-3e5a-44cf-bee7-ecc42a3bdaf0,1bf7a0d6-02e0-4dc0-96e1-6bcf9449a210,c2,c5,27,?,?,surb={'id': '52343a3b-ab5c-447a-b68c-cfe3f6c22f0c', 'route': ['p2', 'e8', 'i10', 'x4', 'p2', 'c2']}
1769443366.8503346,SENT,afa58215-52bb-4500-8020-d9e66c430e5f,1dbe931f-e37e-4564-8407-f2f56d21b02d,c2,c5,3387,?,p2,
1769443366.85047,CREATED,a7f303eb-53d4-4f21-a6de-19ceb8557fa4,7a96c797-ff40-4664-b79a-2347581a681f,c2,c5,27,?,?,surb={'id': '8fea0aeb-438c-4a2e-abfd-b0369973a8c7', 'route': ['p2', 'e6', 'i1', 'x1', 'p2', 'c2']}
1769443367.0101836,SENT,b32cc073-ac96-42a2-b95b-37cb0db000c0,687f2905-9013-4799-a851-90a767a8d7d8,c2,c5,3379,?,p2,
1769443367.0104563,CREATED,6caac84f-c337-4b9c-b0e3-1c53f6c7edc1,46d00e44-3d3b-4729-b16d-054f96b18540,c2,c5,26,?,?,surb={'id': '5982542b-e120-47c7-976b-287e864fa81f', 'route': ['p2', 'e9', 'i1', 'x1', 'p2', 'c2']}
1769443367.3616,SENT,cf013502-7be8-421d-9df0-8f1f241635ce,dcaf5c44-a304-4b1e-ab0e-8bc68f134359,c2,c5,3376,?,p2,
1769443367.361661,CREATED,5ccdc491-2006-4027-9219-730a595f088e,dd7edefc-be2c-4e94-9f13-d139a20ac3bb,c2,c5,27,?,?,surb={'id': 'cb06d4e8-bebb-493c-8fc0-1fa1e4aef1df', 'route': ['p2', 'e12', 'i2', 'x8', 'p2', 'c2']}
1769443367.3756225,SENT,f8c06eb7-adf4-4198-8f08-a49022fefab4,477553bf-a7f4-4c9f-928b-7eabadbf91c0,c2,c5,3367,?,p2,
1769443367.3756812,CREATED,48819d90-ae99-426b-aea3-290c0aec9dd1,7d15fc73-43a5-4fe0-8cd5-08887cf6d764,c2,c5,27,?,?,surb={'id': '935083d3-a1b1-47fb-b707-1ba6a145cbaf', 'route': ['p2', 'e6', 'i11', 'x6', 'p2', 'c2']}
1769443367.7251935,RECEIVED,8863d785-b4ae-4c8a-a06e-75f2c2ae383b,d0c145f9-6268-481e-aaa7-255c64b5c5bd,c3,c2,27,p2,?,surb={'id': 'f4a4d227-fcf5-4138-abf0-2af21f2bb11a', 'route': ['p2', 'e11', 'i6', 'x8', 'p3', 'c3']}
1769443367.8982236,RECEIVED,34264572-30bc-4c45-bb9e-629341e2e57b,8c782a1d-f7ea-4ab1-a06d-76a2ca63bcf8,c3,c2,26,p2,?,surb={'id': '0a575f51-a3e5-48a3-95dc-ebc54c701af6', 'route': ['p2', 'e3', 'i8', 'x8', 'p3', 'c3']}
1769443368.0897841,RECEIVED,8ca62114-f271-40c1-b8a5-d5ad6f5a32bc,10c9cdf3-ff1b-44dd-89bb-dbd33a400fcb,c3,c2,26,p2,?,surb={'id': 'af663cde-afbd-4709-994a-2935199bdd75', 'route': ['p2', 'e7', 'i1', 'x3', 'p3', 'c3']}
1769443368.1725366,RECEIVED,fc8add3d-362c-4eea-9b0b-64f498559bae,ed001221-ade8-4e4c-9733-d33af0ea3270,c3,c2,27,p2,?,surb={'id': 'c67910ba-ae8a-4dbe-8cbd-b573ea183b39', 'route': ['p2', 'e10', 'i2', 'x4', 'p3', 'c3']}
1769443368.352385,RECEIVED,dbcfa512-1d54-4566-91b5-2789476092ec,49ab1cf7-71bc-4736-b3ac-6e83a0027616,c3,c2,27,p2,?,surb={'id': 'd45a4221-1e25-4c90-acb4-121dd77c9ac3', 'route': ['p2', 'e11', 'i1', 'x12', 'p3', 'c3']}
1769443368.5092638,RECEIVED,8361a2e5-6452-4906-8fe9-fbb2a26cf2ec,77acf779-8db6-44a5-8740-d7696fdcb9ce,c3,c2,26,p2,?,surb={'id': 'adb32ecc-a564-485f-b9e6-6651a6176af8', 'route': ['p2', 'e8', 'i2', 'x5', 'p3', 'c3']}
1769443368.7437842,RECEIVED,6ab35ad3-7731-431c-85e4-863d43afc31b,42faec3f-4e12-4673-b8cd-0946311d2b71,c3,c2,27,p2,?,surb={'id': '61ebff6d-14f9-4951-8268-fa7528b785ba', 'route': ['p2', 'e12', 'i12', 'x4', 'p3', 'c3']}
1769443368.7813115,SENT,24839304-752b-4ee2-ad38-4d54d89578bc,726d4392-9db1-40d1-a095-cbef3025e956,c2,c5,3387,?,p2,
1769443368.781375,CREATED,8be4ba2e-51cc-4e9a-b0b4-b5b902b63074,3f9db884-568e-438f-a680-8ee5f52c765b,c2,c5,27,?,?,surb={'id': '4464944d-60ab-4025-9baf-92d6b9afa873', 'route': ['p2', 'e6', 'i10', 'x12', 'p2', 'c2']}
1769443369.139279,SENT,1bf9b8a4-b2a7-4dbe-a7f1-707ba611d0fe,38e28712-b580-4eb4-a6b6-f6e055602bec,c2,c5,3358,?,p2,
1769443369.1398256,CREATED,6d8f6956-9395-47d8-b1fa-a236999cf27d,7d1575c3-7b8f-4f9a-bd3d-8d6716a18913,c2,c5,26,?,?,surb={'id': '4ca46fe5-e548-40da-a5ee-caf8c230054b', 'route': ['p2', 'e2', 'i6', 'x5', 'p2', 'c2']}
1769443369.998729,RECEIVED,935c5efb-f5ed-474b-bf9f-a60e2b90a319,74c16fa0-198c-438a-883d-3dd552496f8e,c3,c2,27,p2,?,surb={'id': '2880e7c4-9dee-4dcc-a66e-72a911283fc8', 'route': ['p2', 'e7', 'i7', 'x4', 'p3', 'c3']}
1769443369.9998238,SENT,53c0af77-56f6-4b21-b99c-132c2f0ae11e,0854d43d-5bf5-4b6b-8901-dec0ce3c2cbf,c2,c5,3384,?,p2,
1769443369.9999166,CREATED,a18d6768-d188-411e-b087-85946c8c3e3b,509f9a5b-5b42-4b59-ad08-5b7718408675,c2,c5,26,?,?,surb={'id': '6f9d71ae-1e1f-4a7e-b744-e188c86bbf7b', 'route': ['p2', 'e12', 'i12', 'x12', 'p2', 'c2']}
1769443370.489418,RECEIVED,88b5d146-e1ca-400d-a794-b7a8cfdd44d5,f1184fb4-dd0f-4b5e-8a7a-fc6658e673d1,c3,c2,27,p2,?,surb={'id': '7546582f-423e-43e0-ac72-cccdf1d7346d', 'route': ['p2', 'e1', 'i6', 'x6', 'p3', 'c3']}
1769443370.571736,RECEIVED,c9c2f919-ae4e-438e-bd61-4cf84830f4fd,e20e7b12-1b3a-4a53-bc2d-35b5dd983d05,c3,c2,27,p2,?,surb={'id': 'abebf9bc-61ca-4a95-acf0-b1f6a8366cb0', 'route': ['p2', 'e9', 'i7', 'x9', 'p3', 'c3']}
1769443370.6373527,RECEIVED,fa571029-7dac-4551-8051-377ce29042a5,b492e17a-0809-49cb-bc45-68a059d0486c,c3,c2,26,p2,?,surb={'id': '7eac4a03-2be2-470f-9091-0df66fb0a00d', 'route': ['p2', 'e7', 'i1', 'x5', 'p3', 'c3']}
1769443370.6583354,RECEIVED,9d76623f-79b6-46bd-ac51-c430eac55d28,bca22e15-4cae-4705-b529-ff49771f37eb,c3,c2,27,p2,?,surb={'id': '918f5287-6e65-4d99-9a2e-b65135f7e833', 'route': ['p2', 'e1', 'i10', 'x11', 'p3', 'c3']}
1769443370.8186986,RECEIVED,a0b0db92-b64e-4d4e-bfd0-4bbb87728138,b49bfe36-aa11-4ade-946f-cd62c7acc4c3,c3,c2,27,p2,?,surb={'id': '5d2f2056-6991-4016-a58d-3001231f86ff', 'route': ['p2', 'e12', 'i9', 'x8', 'p3', 'c3']}
1769443370.943359,RECEIVED,f9ff775b-d8e6-4267-866c-b61268d4d13d,762da450-f38d-4c63-b821-b9871b007d09,c3,c2,27,p2,?,surb={'id': '5ef06bc0-c8a7-4724-9892-b5107bf4efb4', 'route': ['p2', 'e3', 'i8', 'x6', 'p3', 'c3']}
1769443371.0194676,RECEIVED,ade0c8c7-f120-407f-91fd-263c5bacfcde,8d27b71a-6fc0-476f-aceb-a32b0bd104fa,c3,c2,27,p2,?,surb={'id': 'fc29c177-d794-4432-8cc1-3c8e89fb8956', 'route': ['p2', 'e7', 'i12', 'x12', 'p3', 'c3']}
1769443371.2722094,RECEIVED,3ecf28a5-c00e-46d1-8dfa-82d4f09527ab,eb9427f3-083b-460b-8eb1-be8b8b2753ce,c3,c2,27,p2,?,surb={'id': 'c7434327-6f3b-4b03-a604-41e542e8c713', 'route': ['p2', 'e5', 'i8', 'x4', 'p3', 'c3']}
1769443371.314129,SENT,438af746-fa18-4dea-8cab-f4429c97eccc,90cf401f-3950-4d50-b7da-f3c98ca0398a,c2,c5,3363,?,p2,
1769443371.3142009,CREATED,3cc62666-a1a7-4a82-b5c0-e654c336a404,4a0673cc-bd55-45da-8fbd-6906aaf7d377,c2,c5,26,?,?,surb={'id': '24d457b1-bdce-4d8b-88da-6dce243d6d43', 'route': ['p2', 'e4', 'i8', 'x2', 'p2', 'c2']}
1769443371.3824096,RECEIVED,f7b31ec3-38c3-4386-a255-8cfbdb49fe3b,22ae6e23-e059-4a40-b3f6-7bb0460785a4,c3,c2,26,p2,?,surb={'id': 'c44d975c-3dda-4ec6-9ffc-ea49637ef6d3', 'route': ['p2', 'e9', 'i4', 'x3', 'p3', 'c3']}
1769443371.6199262,RECEIVED,10cddd3a-220b-4060-b167-8acf68e14826,90afef83-30d8-4adf-9dbd-d5c43f2d73c0,c3,c2,26,p2,?,surb={'id': '5c039203-6275-499f-b147-3ede2a459c4b', 'route': ['p2', 'e12', 'i1', 'x12', 'p3', 'c3']}
1769443371.6329062,SENT,3156edc7-d6b7-4d23-8b4f-3a01a49f287c,75397013-6d48-4493-a93c-fbec00321dc5,c2,c5,3364,?,p2,
1769443371.632993,CREATED,412d8016-142e-41a3-b9be-43eb41aafdca,08bedb4b-eac4-4064-94b1-871f1f6622a7,c2,c5,27,?,?,surb={'id': '495c5d46-6a69-48c9-ab1a-84c5ec4eeb42', 'route': ['p2', 'e12', 'i8', 'x1', 'p2', 'c2']}
1769443372.1835084,RECEIVED,e7825d77-4d64-4d9c-981d-b4e2770541e5,3274e1eb-0990-4b0a-a89e-79eb5fb3cdd6,c3,c2,27,p2,?,surb={'id': '26a663a9-deab-4673-b8c0-1bfccfcb318f', 'route': ['p2', 'e7', 'i12', 'x10', 'p3', 'c3']}
1769443372.2694068,SENT,c5338df8-1ff4-46ab-9414-b541ce340612,518ed401-c581-411e-a77e-0200f13eba28,c2,c5,3354,?,p2,
1769443372.2695549,CREATED,53769c87-443f-4eac-b45c-1969b9ce2d89,40e5267b-93bf-4575-885b-cb491862a5dc,c2,c5,26,?,?,surb={'id': '3212afa5-99eb-4655-9f01-68be701d5f1d', 'route': ['p2', 'e5', 'i10', 'x8', 'p2', 'c2']}
1769443372.2969368,RECEIVED,a22dc9fd-1cea-478a-ae86-efb63b13ff90,ddffb1bb-bb35-4957-b32a-b0c0fe338e95,c3,c2,26,p2,?,surb={'id': '3f6bd967-20fa-4020-9122-1f40279c6761', 'route': ['p2', 'e5', 'i8', 'x10', 'p3', 'c3']}
1769443372.5077739,RECEIVED,3b80afc3-310d-4647-b981-3e3fe81dde74,2292f9c7-c3d7-41ba-9b76-51e1aed434c6,c3,c2,27,p2,?,surb={'id': '486c1386-0027-4520-9f88-3464a9b9b362', 'route': ['p2', 'e12', 'i4', 'x9', 'p3', 'c3']}
1769443372.5939512,SENT,c2976edb-4842-43ae-b748-d97cb2589ff2,b8e0f28c-c967-4ccd-9df0-f7c86e364060,c2,c5,3384,?,p2,
1769443372.5940287,CREATED,6a2cee57-e7a1-42e2-947b-baa827e9a82d,6e146ebe-dbc1-409f-86a5-e50b4b7c8775,c2,c5,27,?,?,surb={'id': 'c1f3922d-5078-4cf6-bbfb-995ff5c16b2a', 'route': ['p2', 'e5', 'i11', 'x2', 'p2', 'c2']}
1769443372.7622402,RECEIVED,76b2673c-9f3b-43d7-8ba0-88f94a289db8,5ce8dbb1-f9b2-4331-94e9-19d0044b0b8c,c3,c2,26,p2,?,surb={'id': '1300216c-2543-4e51-b107-512bf437707e', 'route': ['p2', 'e12', 'i1', 'x7', 'p3', 'c3']}
1769443373.3397856,SENT,7105de3c-2cbe-4bbb-a569-779e4c47a321,834843d5-9c82-4636-b57d-3e95f08cbd39,c2,c5,3359,?,p2,
1769443373.3399343,CREATED,46c4c909-7f5b-4d6e-8c6a-c606b17b21fe,06a0cd65-e35a-4757-92c0-054c076c3bae,c2,c5,27,?,?,surb={'id': '4262c0f6-0fa4-40c6-9808-999bc5efd959', 'route': ['p2', 'e4', 'i1', 'x4', 'p2', 'c2']}
1769443373.3562393,SENT,0b73e358-8e1f-4f3f-9518-ddc68d82f89d,c12aabb6-7403-41c5-be1e-bb36882db3be,c2,c5,3376,?,p2,
1769443373.356372,CREATED,84f9df4f-e5e2-4dc1-a336-21f67406ef16,15fcf4af-f7ea-4be7-af50-b0cad0298248,c2,c5,26,?,?,surb={'id': '5442e5bf-c0e3-4909-8c4b-564d459d1dea', 'route': ['p2', 'e11', 'i3', 'x1', 'p2', 'c2']}
1769443373.3646712,SENT,f6cbd4bc-5231-4c04-b34d-e04e46d8133c,097afa18-90e8-4290-8f19-ec9f8fe1415c,c2,c5,3384,?,p2,
1769443373.3648224,CREATED,2184b656-d1a7-48ab-9165-4cba0e4a4854,b78c0662-a58c-42a1-ac1f-47a092657491,c2,c5,27,?,?,surb={'id': '928da1ef-b813-4ec0-9882-44dfb4fd6a63', 'route': ['p2', 'e7', 'i5', 'x2', 'p2', 'c2']}
1769443373.4130194,RECEIVED,3c9e527b-80de-4e2c-a753-4d071fde4cad,36a20089-77ad-443f-ab65-e60c9f6b73d9,c3,c2,27,p2,?,surb={'id': '0db55508-1775-4459-aa8d-d7c0eb98b85e', 'route': ['p2', 'e6', 'i2', 'x2', 'p3', 'c3']}
1769443373.5837862,SENT,c182b229-00cc-4f12-b5c2-009280659175,99089925-0284-4594-978d-31ba1cce4eed,c2,c5,3379,?,p2,
1769443373.5838435,CREATED,6fb9fcfc-92db-4170-9e68-476830b35414,abdbaebd-f390-4d4d-aa5d-7c5af626cdc6,c2,c5,27,?,?,surb={'id': '7b5087ad-f8d6-432f-9ef7-5d7295cf460c', 'route': ['p2', 'e8', 'i12', 'x5', 'p2', 'c2']}
1769443373.6914275,RECEIVED,d92b9249-fe2b-4daf-897f-53350b07af51,66172981-b73a-432a-a41d-a5a06cc0ed27,c3,c2,27,p2,?,surb={'id': '289a8c44-b65f-4666-9890-7589ab5bcf62', 'route': ['p2', 'e12', 'i10', 'x10', 'p3', 'c3']}
1769443373.928994,RECEIVED,78776379-2b21-4255-a56a-569acc16ccbd,5ce10e9c-80ba-4402-8bff-d257e83a9ddc,c3,c2,27,p2,?,surb={'id': 'aa174b28-c8a5-48e0-b3e6-b6ec486bccaf', 'route': ['p2', 'e1', 'i6', 'x1', 'p3', 'c3']}
1769443374.3843849,SENT,3134c062-99d0-4254-9881-8ba88666203e,21dab2e6-dc63-4566-bc77-9b6f947d9860,c2,c5,3393,?,p2,
1769443374.3844726,CREATED,4357802b-b275-479e-9711-b33065e6308a,6d0bc906-8ae1-4b99-84ab-741f18f9f493,c2,c5,27,?,?,surb={'id': '54c77a34-c1df-4617-a19f-8d4d47258a00', 'route': ['p2', 'e5', 'i10', 'x11', 'p2', 'c2']}
1769443374.3930652,SENT,a632dd18-8c54-4403-8926-dc937dbb36c0,38acd37d-1ec2-4487-8e4f-6030a3c9f426,c2,c5,3391,?,p2,
1769443374.3931952,CREATED,165fc1e6-2ef9-43df-afad-e526ee366e21,c306f147-bdcb-4197-b9ac-20c5a82997ec,c2,c5,27,?,?,surb={'id': 'b3f5bb03-c52c-4dd7-a515-026c9ecb4368', 'route': ['p2', 'e12', 'i10', 'x6', 'p2', 'c2']}
1769443374.4673612,RECEIVED,1cd64a8b-4f7e-45d4-9158-92d8cb19187e,94f67eab-1557-410b-af6d-b9704f70459e,c3,c2,27,p2,?,surb={'id': 'c9909b18-3b01-462a-b585-484f711932f1', 'route': ['p2', 'e11', 'i12', 'x4', 'p3', 'c3']}
1769443374.6803472,SENT,fa59299d-7701-44e9-bc09-c417e5e48eb2,c3a7948a-2dbb-4924-ad71-214a0e1ef11d,c2,c5,3391,?,p2,
1769443374.6804395,CREATED,f2c499cc-2e39-4c07-a204-cf7517a7681a,4f3719cf-2db8-4828-aa66-de53c14d1d69,c2,c5,27,?,?,surb={'id': '6529c5fa-04f9-44bf-aa32-5232e358f2d6', 'route': ['p2', 'e10', 'i12', 'x6', 'p2', 'c2']}
1769443374.8108816,RECEIVED,48de98ee-ec52-490c-b65b-c78c2e691424,c6404f8d-e6c4-4d11-b2c5-fd3dbc80ca80,c3,c2,26,p2,?,surb={'id': 'dc9b3e03-0d4b-4e42-a8bb-b978e59111c5', 'route': ['p2', 'e2', 'i12', 'x9', 'p3', 'c3']}
1769443375.05116,RECEIVED,ee6d413a-65ee-4100-a37b-ebc184479f04,1d8327f3-48f6-4f26-bef7-ac04d26f2ff4,c3,c2,27,p2,?,surb={'id': 'd5e4b5fa-7c1a-4e3f-872d-33be0a30e492', 'route': ['p2', 'e5', 'i4', 'x6', 'p3', 'c3']}
1769443375.1427786,RECEIVED,d0885ceb-43c5-48ba-970f-62a7b1d3e502,506115ad-1bf5-42ce-ab04-35550e211cb3,c3,c2,26,p2,?,surb={'id': '97c80ec6-2849-48c4-a2b3-c5e3968481bd', 'route': ['p2', 'e6', 'i11', 'x4', 'p3', 'c3']}
1769443375.2826133,RECEIVED,afbb9b26-553a-4cea-98de-0bc65832bb50,ddedb9b7-6d3b-47c3-830e-891d2ec44beb,c3,c2,27,p2,?,surb={'id': '12d8b22d-3837-43e0-850a-e1d1e59f2bbb', 'route': ['p2', 'e3', 'i12', 'x9', 'p3', 'c3']}
1769443375.3838782,RECEIVED,920e0051-55bd-4186-b5be-155159b731d1,1309d674-753f-4958-ad20-993993e941ae,c3,c2,26,p2,?,surb={'id': 'e8a36f03-4acf-4fb2-b64c-1516857baf09', 'route': ['p2', 'e5', 'i4', 'x10', 'p3', 'c3']}
1769443375.4172494,SENT,5034f3f3-33ae-4bad-a708-dc8930fc00fe,49f7614c-915f-43aa-a039-01127c238a27,c2,c5,3359,?,p2,
