timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443267.8278494,CREATED,d58c7aac-5174-45b3-868a-ab8c4b707b14,e9f2d90c-b762-4d6e-81cc-452c0a2b6947,c2,c5,27,?,?,surb={'id': '2c255f51-7142-4e97-bc09-adaf809bedc6', 'route': ['p2', 'e10', 'i2', 'x1', 'p2', 'c2']}
1769443267.8535366,SENT,873192cd-b7ca-4a12-b646-c5fca4b5d199,004645e8-461e-40e9-876a-bddbc1663dc0,c2,c5,3388,?,p2,
1769443267.8536825,CREATED,651da73d-d7b6-4fe1-ad93-efdb76f8b4ef,4e64c2e6-28c4-434f-a3ad-e4a47b9732ae,c2,c5,27,?,?,surb={'id': '8304ab3f-14ff-4aea-85e1-d4176fddcab7', 'route': ['p2', 'e11', 'i4', 'x10', 'p2', 'c2']}
1769443267.886961,RECEIVED,783a1c00-3121-420f-bdb9-4aec604577cc,7d29d38d-cb2e-4c18-a8f4-908c6d22c3af,c3,c2,26,p2,?,surb={'id': '46c60594-1746-434a-836c-7648202ad4ec', 'route': ['p2', 'e12', 'i10', 'x11', 'p3', 'c3']}
1769443267.9521964,SENT,2f4848a1-6455-4e0a-83ba-c610d6fe3136,a080d2dc-ef37-445d-a264-3b10fd8930ce,c2,c5,3367,?,p2,
1769443267.952346,CREATED,4b1f3291-47a8-4843-98f8-19b10e038fc5,3479c636-4fae-4ef9-b6b5-1d9a491828fc,c2,c5,27,?,?,surb={'id': 'be84d377-addf-4f29-bd07-c57c8268b638', 'route': ['p2', 'e8', 'i3', 'x7', 'p2', 'c2']}
1769443268.2386744,SENT,00463101-266e-4ff7-a52c-4569e0cab602,c9fbc1b6-1b6f-4e06-9b08-6f3a5314d4b5,c2,c5,3364,?,p2,
1769443268.238823,CREATED,d0dc220a-e8c7-4dfe-8d0d-25ba03e1bad2,0c380be8-35d9-49cb-bd08-4723d849d969,c2,c5,27,?,?,surb={'id': '8dac52c0-f662-437f-9127-3b651394b9ce', 'route': ['p2', 'e7', 'i12', 'x2', 'p2', 'c2']}
1769443268.8639119,RECEIVED,1243d5ff-d645-4185-a652-ec2a757ae741,efc7a05f-0dfe-4f07-9464-7921d516e6ed,c3,c2,27,p2,?,surb={'id': '0447c233-4b4f-421c-886e-458e9da41a7c', 'route': ['p2', 'e3', 'i11', 'x12', 'p3', 'c3']}
1769443269.142479,SENT,11d0b6e7-5324-4cb3-a64b-0f7262f2df68,2d1da217-c12d-40ac-9e6f-d67270bc8a9f,c2,c5,3384,?,p2,
1769443269.1426108,CREATED,5095dc9b-18cd-4199-a0f2-a08718c539d7,8a839da2-331e-4526-8207-f69d6f4568a9,c2,c5,27,?,?,surb={'id': 'e7ed7ea8-88bf-41d7-bed8-8c29b7a8a5ff', 'route': ['p2', 'e8', 'i7', 'x10', 'p2', 'c2']}
1769443269.6840208,SENT,4aa7f0ba-bbed-4b97-8885-da6634ccc1f7,1373bf01-cb83-4c86-866f-08b4a72e1627,c2,c5,3356,?,p2,
1769443269.6842186,CREATED,e73ee09a-01bb-4eeb-b66d-569b97a4caa7,ac7b3470-e9f0-4d00-82e0-a32a020e7475,c2,c5,26,?,?,surb={'id': '04908535-2d41-4780-a83a-88f6436b356f', 'route': ['p2', 'e3', 'i4', 'x8', 'p2', 'c2']}
1769443270.056205,SENT,af6e5d8f-d535-4783-9f36-49efc328a460,8a72315e-5518-4450-bacc-492e1d43d15d,c2,c5,3371,?,p2,
1769443270.0563526,CREATED,7f4993ab-e418-42cb-acff-7ac18722a559,98952d49-63a4-4983-b776-62df35b23f6f,c2,c5,27,?,?,surb={'id': 'cfe4f946-7d8d-46d5-883a-470afe9d9c46', 'route': ['p2', 'e3', 'i2', 'x9', 'p2', 'c2']}
1769443270.1266243,RECEIVED,c8dec1b3-123f-464b-8b1f-5f24c20e98ca,f8245e42-1e73-4a43-9c0b-4f18c16e1e84,c3,c2,26,p2,?,surb={'id': '0710f447-8a24-4b39-8924-1561147b231c', 'route': ['p2', 'e5', 'i2', 'x1', 'p3', 'c3']}
1769443270.5431058,SENT,090cae9b-35f1-4fe8-85a7-cdc965520bfd,8df822c5-75e4-443a-af05-2243a832a820,c2,c5,3376,?,p2,
1769443270.543274,CREATED,2f3b62a2-c7b4-46fd-b3f7-e5e1f24cc312,15da238d-4a4e-4419-8ec4-4fd64e20ce0a,c2,c5,27,?,?,surb={'id': '9fea7e4e-3967-457e-b3e6-104204b62e8d', 'route': ['p2', 'e6', 'i7', 'x4', 'p2', 'c2']}
1769443270.9591477,SENT,b1748111-8727-4687-a89a-d99cc6200ceb,1a9b77e3-7032-452c-94dc-1f7c019075fe,c2,c5,3388,?,p2,
1769443270.9592984,CREATED,aa0b01aa-36b9-4ecf-89bc-968642b3f8ed,0e64eeb7-186a-48d6-96f1-dffee2f51628,c2,c5,26,?,?,surb={'id': 'b14d99bd-4ef1-4ac7-b3cc-6f39fa7d1b3a', 'route': ['p2', 'e8', 'i8', 'x3', 'p2', 'c2']}
