timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393807.3278408,CREATED,39d811f4-aced-422d-9d09-caa48f3f9c1b,9cc2f5e3-9988-4059-992e-17934c25580b,c5,c2,27,?,?,surb={'id': 'e117aede-9d54-4749-bee5-9b9e1ffbf5c5', 'route': ['p2', 'e1', 'i5', 'x8', 'p2', 'c5']}
1769393807.5484245,SENT,9a6fb1f0-c2bb-4922-b752-6b52c8e9bdf7,df319e0d-71cd-4061-aa00-967cbc6cbac3,c5,c2,3384,?,p2,
1769393807.548573,CREATED,0b39a148-d55b-4b86-9032-a69e89eafbdb,1199bfba-e578-4741-ba8b-aebdfef85a5d,c5,c2,27,?,?,surb={'id': 'da6212df-34fe-4ec0-a1bd-866236abed79', 'route': ['p2', 'e4', 'i7', 'x3', 'p2', 'c5']}
1769393807.6908064,RECEIVED,6db22ef9-d2f1-4d9b-b00c-4852b260535c,44c40dda-f991-4492-8e70-7e2e5f35742d,c2,c5,27,p2,?,surb={'id': '82ec97d9-a477-451b-8ce8-2b69c6376492', 'route': ['p2', 'e2', 'i3', 'x6', 'p2', 'c2']}
1769393808.0230339,SENT,9a180eda-fb4e-4d9c-8394-47066c79f003,7b9e3613-2c65-42e8-9456-9fe768c4f41b,c5,c2,3376,?,p2,
1769393808.0232313,CREATED,f376cb55-d784-4ffd-9999-6956806e5f1d,1199bfba-e578-4741-ba8b-aebdfef85a5d,c5,c2,27,?,?,surb={'id': 'da6212df-34fe-4ec0-a1bd-866236abed79', 'route': ['p2', 'e4', 'i7', 'x3', 'p2', 'c5']}
1769393808.0765662,RECEIVED,faf88f7a-be24-45a7-9474-8259e641e1aa,03221b09-6b4a-4ed7-bfa6-292226aa9610,c2,c5,27,p2,?,surb={'id': 'd72e7d31-6420-4bcb-bc7b-40c229c805c7', 'route': ['p2', 'e5', 'i4', 'x7', 'p2', 'c2']}
1769393808.1050406,SENT,b83f69d1-b86b-43ea-85cf-584775a1bf2d,b2564854-6989-48e3-b29d-76a561dfc643,c5,c2,3376,?,p2,
1769393808.105216,CREATED,107a44e9-13f9-462d-9f97-c22fbe1e8bd9,c28ca98d-1dbf-41cd-ac67-ad17a8d57a11,c5,c2,27,?,?,surb={'id': '2ad5f4c0-8b1a-443a-ab7b-bfd5f196eb53', 'route': ['p2', 'e3', 'i2', 'x9', 'p2', 'c5']}
1769393808.2583911,RECEIVED,190b7686-1c69-43a8-885f-2ab296e1415e,5e694543-a3e0-4c47-bc8a-ff2963ad4b3e,c2,c5,27,p2,?,surb={'id': '03097fb7-3b2b-4130-ac1e-e0ec2427f67d', 'route': ['p2', 'e1', 'i4', 'x7', 'p2', 'c2']}
