timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393808.510726,CREATED,04565531-a2bb-403b-a101-a07d9a2f0ee5,7338d73c-5124-45c2-81cf-a78b9edfe0cd,c3,c1,27,?,?,surb={'id': '9c421a9d-90e8-4a5d-a902-64ff3741ddcb', 'route': ['p1', 'e8', 'i4', 'x7', 'p3', 'c3']}
1769393808.6872969,SENT,e7a45428-b0eb-4a99-acf9-85e9c1996d17,5286c4df-c838-4466-85d4-9cd6d1e518da,c3,c1,3371,?,p3,
1769393808.6892214,CREATED,5b2eeca2-cdc3-4d86-900e-b7b13f93d8f6,7338d73c-5124-45c2-81cf-a78b9edfe0cd,c3,c1,27,?,?,surb={'id': '9c421a9d-90e8-4a5d-a902-64ff3741ddcb', 'route': ['p1', 'e8', 'i4', 'x7', 'p3', 'c3']}
1769393808.8374808,RECEIVED,9917c3c6-a515-403d-ace9-c58e049b5bb0,1296f376-981d-4ab2-81ba-f3624203455a,c1,c3,27,p3,?,surb={'id': 'eda1ea20-3403-4ca5-bdce-810412ddec0f', 'route': ['p3', 'e9', 'i9', 'x1', 'p1', 'c1']}
1769393808.8391657,RECEIVED,855d2ccf-6207-4b59-8375-c89856ecb99f,8af3e266-8bcc-4237-ab9e-d3df737f7c4e,c1,c3,27,p3,?,surb={'id': '9ee5f9b7-7332-4098-b686-542390bb4f31', 'route': ['p3', 'e4', 'i8', 'x4', 'p1', 'c1']}
1769393808.9044437,SENT,5d695b5e-eb95-4e25-aede-4bc7de909d1a,346fd304-615c-4446-b3fd-f55e1da9a3a3,c3,c1,3372,?,p3,
1769393808.9045985,CREATED,97b97a62-74ad-4f07-8c67-6a4a01d520d4,6d784c8f-2724-4dc5-b666-5cbc3763bca4,c3,c1,27,?,?,surb={'id': 'cc81032a-4f16-4403-90a5-112e3d9092d3', 'route': ['p1', 'e5', 'i1', 'x3', 'p3', 'c3']}
1769393809.1313167,RECEIVED,b5ea3df3-df81-480f-911c-cfd6e3109ee1,ce1a64c0-7630-48bd-9693-4dd7367d8e22,c1,c3,27,p3,?,surb={'id': '250278c7-608d-41e7-8693-4d7b89b2a654', 'route': ['p3', 'e9', 'i9', 'x9', 'p1', 'c1']}
1769393809.2002094,RECEIVED,739ff7f9-5f09-466f-aad7-1f78b1b73bdf,bbe7a8a6-3329-48ba-8fde-0a8e01e66698,c1,c3,27,p3,?,surb={'id': 'dce78700-2e1f-4ed6-8c9d-8a8359f08649', 'route': ['p3', 'e2', 'i6', 'x1', 'p1', 'c1']}
1769393809.3047385,SENT,b75be061-0a05-44d8-9b16-77928da90ead,2c663842-0593-4b96-a7fb-b6d4248c0954,c3,c1,3373,?,p3,
1769393809.3048906,CREATED,ec9c9c76-eec0-4d7a-91ec-95dc8e492a24,6d784c8f-2724-4dc5-b666-5cbc3763bca4,c3,c1,27,?,?,surb={'id': 'cc81032a-4f16-4403-90a5-112e3d9092d3', 'route': ['p1', 'e5', 'i1', 'x3', 'p3', 'c3']}
