timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393868.1487553,CREATED,ec2c67d4-2572-4527-b73e-8fc883606748,ef016137-1ba0-400d-aab5-63dde4693fe1,c2,c5,27,?,?,surb={'id': '600ef196-b6ae-4811-9841-48e503fc3409', 'route': ['p2', 'e12', 'i2', 'x12', 'p2', 'c2']}
1769393868.1903427,SENT,12a4d3ab-56d8-4a2e-bb19-7ab39705c563,578467c2-7376-49ee-9e41-626938c69105,c2,c5,3380,?,p2,
1769393868.1904202,CREATED,5df424c3-b315-4038-9b60-a60b91b776d7,d2e9cc1a-d755-456c-9005-dc631f9e590e,c2,c5,27,?,?,surb={'id': '87494b81-b180-4f1f-a9e4-a0f842454a5d', 'route': ['p2', 'e2', 'i10', 'x1', 'p2', 'c2']}
1769393868.232262,SENT,f5ec79ff-9748-47fb-bbc9-32ce4faf33ce,ff8fb762-bd2f-4ca3-b0e5-6275a0151ef1,c2,c5,3362,?,p2,
1769393868.2326295,CREATED,0660f74a-ff73-4cca-bbf9-e4944ce1d263,d2e9cc1a-d755-456c-9005-dc631f9e590e,c2,c5,27,?,?,surb={'id': '87494b81-b180-4f1f-a9e4-a0f842454a5d', 'route': ['p2', 'e2', 'i10', 'x1', 'p2', 'c2']}
1769393868.4445603,RECEIVED,670359d8-a57f-41cf-8ceb-8db0892825a0,2928921c-e3bb-4d87-a2d4-487eec54bbb0,c5,c2,27,p2,?,surb={'id': '619004c9-c298-4d10-80de-25f5edecacc5', 'route': ['p2', 'e3', 'i8', 'x10', 'p2', 'c5']}
1769393868.458071,RECEIVED,5422d0c3-0fa5-4d53-a16c-9c596ebe383c,26a8702b-2b93-4114-8c45-43f4c203b410,c4,c2,27,p2,?,surb={'id': 'eba58a83-7633-49f9-9a6b-b2b9f6e69b43', 'route': ['p2', 'e9', 'i11', 'x8', 'p1', 'c4']}
1769393868.565015,SENT,044e55ad-1adb-4feb-a7ab-d830657b83c3,1cc8c851-8933-41df-b5ac-9e154a07b199,c2,c5,3383,?,p2,
1769393868.5651236,CREATED,4a153859-5e46-4246-84d3-2abeefa03db2,246646db-c131-4cf7-a062-c46b53490809,c2,c5,27,?,?,surb={'id': '410cb6d0-b281-4030-b91c-cc7849941d39', 'route': ['p2', 'e11', 'i6', 'x1', 'p2', 'c2']}
1769393868.6302993,RECEIVED,119431a8-6eee-4cd7-8727-f6f30be2378e,78761fc0-3b32-4946-82ef-41218de7d18d,c5,c2,27,p2,?,surb={'id': 'aa0c7429-e39a-4239-b905-94d0e62b5bcc', 'route': ['p2', 'e12', 'i7', 'x4', 'p2', 'c5']}
1769393868.6456459,RECEIVED,09f5829b-5e88-4d31-909a-eda4e00f8e4a,3425f24c-695c-40b3-84a6-bba6fd1a288d,c4,c2,26,p2,?,surb={'id': '1df9115a-efc5-4f4e-8eee-78cfe40082b2', 'route': ['p2', 'e5', 'i10', 'x4', 'p1', 'c4']}
1769393868.6484509,SENT,6d97154f-82b5-4c0e-8cc4-186dcf2f0a3c,2adaa3f4-b7b4-4e0d-9688-67e2f0b6de19,c2,c5,3389,?,p2,
1769393868.6485426,CREATED,fee5cbbf-cb84-4d2a-ab2f-1480a453d148,246646db-c131-4cf7-a062-c46b53490809,c2,c5,27,?,?,surb={'id': '410cb6d0-b281-4030-b91c-cc7849941d39', 'route': ['p2', 'e11', 'i6', 'x1', 'p2', 'c2']}
1769393868.7276657,RECEIVED,ff955100-2dea-4004-9713-5b5b43c41bd0,aa818e5e-88de-4f96-a481-42305d11c808,c4,c2,25,p2,?,surb={'id': 'e0fabae9-41e6-4018-a22b-70a3de3395dd', 'route': ['p2', 'e8', 'i3', 'x8', 'p1', 'c4']}
1769393868.7317145,RECEIVED,34ced375-d28e-433a-9d87-dcaf6cf462cf,bcbfe158-b0df-444a-8961-a800fb75cda1,c4,c2,26,p2,?,surb={'id': '023696a4-ad16-48c9-9eb8-ac5943f3d86e', 'route': ['p2', 'e9', 'i8', 'x3', 'p1', 'c4']}
1769393868.8459585,RECEIVED,de6b20fe-a0f7-478f-8883-8696b1e04a66,0b11cbd0-d831-4cc7-8e45-ba91b360ce51,c4,c2,27,p2,?,surb={'id': '7321a6ca-599c-4157-829e-9918398e5da1', 'route': ['p2', 'e8', 'i9', 'x12', 'p1', 'c4']}
1769393869.0712702,RECEIVED,2b669dcb-0bd3-42c3-af0f-78d84ad42b5b,22e489f0-099c-411f-bd4f-622ff7d1b52f,c5,c2,27,p2,?,surb={'id': '5c8728a2-c8ca-419b-85e5-46a4cc09dc92', 'route': ['p2', 'e3', 'i1', 'x10', 'p2', 'c5']}
1769393869.1094046,RECEIVED,9553a641-4b96-444e-96ad-ea1aa4ade93a,3b44667f-1b56-49ab-a4a6-351c4b32c4f5,c5,c2,27,p2,?,surb={'id': '64a59e23-776f-4de1-9fb3-55f656210e4c', 'route': ['p2', 'e9', 'i3', 'x7', 'p2', 'c5']}
1769393869.1191344,RECEIVED,91c66b5e-de51-44bf-a285-4e844cefc632,78761fc0-3b32-4946-82ef-41218de7d18d,c5,c2,27,p2,?,surb={'id': 'aa0c7429-e39a-4239-b905-94d0e62b5bcc', 'route': ['p2', 'e12', 'i7', 'x4', 'p2', 'c5']}
1769393869.338335,SENT,3e8e2038-4e49-42d7-864d-e2faa308b055,69a87932-8b42-4382-80d5-f49791e742f9,c2,c5,3359,?,p2,
1769393869.3384118,CREATED,da284f1e-fe55-4651-87d2-4a03b0cb223d,c8fb350e-8f24-4a4d-a420-2804ebb9df9d,c2,c5,26,?,?,surb={'id': '29f5ae6b-57ef-4592-87df-997b1772c569', 'route': ['p2', 'e5', 'i11', 'x5', 'p2', 'c2']}
1769393869.425576,SENT,f1144468-45e1-42f5-8cbd-7a8aa6535565,df2a5524-79ab-4bee-a34a-9f0f356b97b9,c2,c5,3384,?,p2,
1769393869.426112,CREATED,9bd89ea7-5a30-445f-8198-e1c66b8e22a8,c8fb350e-8f24-4a4d-a420-2804ebb9df9d,c2,c5,26,?,?,surb={'id': '29f5ae6b-57ef-4592-87df-997b1772c569', 'route': ['p2', 'e5', 'i11', 'x5', 'p2', 'c2']}
1769393869.534652,RECEIVED,3dd8b239-9dd7-440b-b518-8155291e3b2c,3425f24c-695c-40b3-84a6-bba6fd1a288d,c4,c2,26,p2,?,surb={'id': '1df9115a-efc5-4f4e-8eee-78cfe40082b2', 'route': ['p2', 'e5', 'i10', 'x4', 'p1', 'c4']}
1769393869.5959716,RECEIVED,3cb32446-37e5-4bec-b256-335790ac958a,f3cf8ec1-11b8-4140-9d98-965efaceb5ff,c5,c2,26,p2,?,surb={'id': '3d4595b8-f3a8-4823-9af6-968c9e418cc5', 'route': ['p2', 'e3', 'i6', 'x9', 'p2', 'c5']}
1769393869.771232,RECEIVED,8d9e3b2a-f56f-40b3-86f9-324ed0dd8814,f3cf8ec1-11b8-4140-9d98-965efaceb5ff,c5,c2,26,p2,?,surb={'id': '3d4595b8-f3a8-4823-9af6-968c9e418cc5', 'route': ['p2', 'e3', 'i6', 'x9', 'p2', 'c5']}
1769393869.8857846,SENT,92b25a43-c816-4a77-85de-cfa67fd7fd37,b7a552c0-b9cf-4067-aa76-d8dbf621fe6a,c2,c5,3384,?,p2,
1769393869.8858607,CREATED,16d3920e-cfff-4cc7-a876-3b860b5b0bae,58e4dd0e-b1c5-4481-87f0-39e7a7afdbac,c2,c5,27,?,?,surb={'id': '805a7467-0f76-4fe5-bd98-370deca24dd3', 'route': ['p2', 'e8', 'i5', 'x1', 'p2', 'c2']}
1769393869.9542053,RECEIVED,62ac8b76-48d8-4cc8-b871-bbbdd9a9adc1,bcbfe158-b0df-444a-8961-a800fb75cda1,c4,c2,26,p2,?,surb={'id': '023696a4-ad16-48c9-9eb8-ac5943f3d86e', 'route': ['p2', 'e9', 'i8', 'x3', 'p1', 'c4']}
1769393870.0522878,SENT,96f33cf6-14f3-48e9-879f-990a8ccaac91,424de1a0-559f-4f08-ba68-8e24e35c6b66,c2,c5,3377,?,p2,
1769393870.0523627,CREATED,eeffc07f-6a19-4d39-a240-2e1e0af5d903,58e4dd0e-b1c5-4481-87f0-39e7a7afdbac,c2,c5,27,?,?,surb={'id': '805a7467-0f76-4fe5-bd98-370deca24dd3', 'route': ['p2', 'e8', 'i5', 'x1', 'p2', 'c2']}
1769393870.322556,RECEIVED,3bd763e2-4d9c-4697-b5a7-93f5daf767e2,8609ef01-f986-468f-bd99-d94137282c4c,c5,c2,26,p2,?,surb={'id': 'dc73971b-ae2c-4709-97d4-1b4098bbb523', 'route': ['p2', 'e2', 'i11', 'x1', 'p2', 'c5']}
1769393870.4189785,RECEIVED,d54a993d-e799-4410-b016-6d1a1bde6238,4b3ce25c-ed72-4aa9-91f8-ba2342e0ed5e,c4,c2,25,p2,?,surb={'id': '1ece9d2b-0239-43b5-b7e6-dff3b2e2f2dd', 'route': ['p2', 'e12', 'i4', 'x3', 'p1', 'c4']}
1769393870.4357884,SENT,7ff03297-a25f-43bf-8d1a-c36f293f248d,cc833beb-aff3-4ca3-a9ab-127c5d43880a,c2,c5,3376,?,p2,
1769393870.4359398,CREATED,c37e34a5-6fa5-47dd-abab-6f330bc4c136,6e799c76-4367-4cf4-8c96-7473fe42e409,c2,c5,27,?,?,surb={'id': '9b637d73-bbc7-41cc-a2ba-77b750bda822', 'route': ['p2', 'e5', 'i6', 'x4', 'p2', 'c2']}
1769393870.4468455,RECEIVED,36d83370-5edf-4f67-81c7-cb58d26d9f23,26a8702b-2b93-4114-8c45-43f4c203b410,c4,c2,27,p2,?,surb={'id': 'eba58a83-7633-49f9-9a6b-b2b9f6e69b43', 'route': ['p2', 'e9', 'i11', 'x8', 'p1', 'c4']}
1769393870.4603233,RECEIVED,a9cbf64e-ff7d-4325-9015-301951dfd5b0,698328de-7219-4ffd-8507-f019242ff096,c5,c2,27,p2,?,surb={'id': '0f2381e0-c8cf-4252-80fa-43a3068d8124', 'route': ['p2', 'e11', 'i11', 'x8', 'p2', 'c5']}
1769393870.6516626,RECEIVED,17b6da3d-a1ff-4ed2-a8ed-5fc265745ef4,3b44667f-1b56-49ab-a4a6-351c4b32c4f5,c5,c2,27,p2,?,surb={'id': '64a59e23-776f-4de1-9fb3-55f656210e4c', 'route': ['p2', 'e9', 'i3', 'x7', 'p2', 'c5']}
1769393871.055431,RECEIVED,da681152-19ec-4ce4-90af-04c95271fdcf,29b39b39-7707-4123-90de-7b161cc358d1,c5,c2,27,p2,?,surb={'id': 'f4e3e6d2-9e23-474e-967f-d7e661ddcd17', 'route': ['p2', 'e12', 'i9', 'x6', 'p2', 'c5']}
1769393871.1284995,SENT,426ee3a6-f1d7-4fad-b24f-d4602363669b,8cd38ae1-8b23-4868-9a8d-398d6f8b0530,c2,c5,3376,?,p2,
1769393871.128579,CREATED,e3122ae7-4de3-4873-b508-eb11ca478562,6e799c76-4367-4cf4-8c96-7473fe42e409,c2,c5,27,?,?,surb={'id': '9b637d73-bbc7-41cc-a2ba-77b750bda822', 'route': ['p2', 'e5', 'i6', 'x4', 'p2', 'c2']}
1769393871.376734,SENT,cf270203-28fa-4113-b8da-185f647cc1af,78f12e47-0e80-49a1-b736-8d7eee0c5048,c2,c5,3392,?,p2,
1769393871.3768744,CREATED,e8fd5d63-fe4b-481f-8e84-f8a6ae6030d3,3da8b104-d514-4321-8817-8ed019eaa6b4,c2,c5,27,?,?,surb={'id': '363da131-078f-4123-8f22-0e767c70e6bb', 'route': ['p2', 'e11', 'i10', 'x12', 'p2', 'c2']}
1769393871.4835439,SENT,af3cea80-a587-46d9-b701-2e855b9f5d13,436c031b-8ab6-429f-84cc-064d85469ceb,c2,c5,3388,?,p2,
1769393871.4836917,CREATED,4ffdb6d8-8327-4835-8368-49dd06ef27a0,3da8b104-d514-4321-8817-8ed019eaa6b4,c2,c5,27,?,?,surb={'id': '363da131-078f-4123-8f22-0e767c70e6bb', 'route': ['p2', 'e11', 'i10', 'x12', 'p2', 'c2']}
1769393871.6495562,SENT,ef0d3383-2e1f-4b57-845a-a2e679165009,33f3aabd-86af-44fe-a734-47761bd5e441,c2,c5,3377,?,p2,
1769393871.6496174,CREATED,616bf416-52d6-48be-bc6c-966e34ac39fd,3c8f236d-c1a7-4ff1-abcc-823daa513c6d,c2,c5,27,?,?,surb={'id': '85aee6a0-d58c-4f0e-896c-e446688446cb', 'route': ['p2', 'e6', 'i8', 'x11', 'p2', 'c2']}
1769393871.6609547,SENT,b417b924-8695-41de-a334-3aeb28de9799,66d3d2e4-d618-4070-9889-e63f0d9cade5,c2,c5,3367,?,p2,
1769393871.6610146,CREATED,95e03ed4-eda9-4d2e-b64c-fa494e53bdd0,3c8f236d-c1a7-4ff1-abcc-823daa513c6d,c2,c5,27,?,?,surb={'id': '85aee6a0-d58c-4f0e-896c-e446688446cb', 'route': ['p2', 'e6', 'i8', 'x11', 'p2', 'c2']}
1769393871.786657,RECEIVED,1a1f82ff-d901-4ee9-b80e-b50bfcae6f12,aa818e5e-88de-4f96-a481-42305d11c808,c4,c2,25,p2,?,surb={'id': 'e0fabae9-41e6-4018-a22b-70a3de3395dd', 'route': ['p2', 'e8', 'i3', 'x8', 'p1', 'c4']}
1769393871.8420827,RECEIVED,54cab829-52db-491e-8ba7-85626b9320a3,4cdfeee6-08a6-442c-8da9-169004187a71,c5,c2,27,p2,?,surb={'id': 'fcc1263f-7b50-4bd3-868b-70086b9e8fe8', 'route': ['p2', 'e7', 'i12', 'x12', 'p2', 'c5']}
1769393871.9123807,SENT,69cc2dcd-23b6-4bb3-8a92-fed40a37120d,a8002bd4-7785-47ff-b056-9f96982ce164,c2,c5,3368,?,p2,
1769393871.912442,CREATED,249dfbd1-e740-4ee2-9480-4a7106d69b5b,3ef480a3-60dd-40db-ad11-7f4950c00c87,c2,c5,26,?,?,surb={'id': '5b34cf19-c036-49c0-bc8e-841556d2f070', 'route': ['p2', 'e8', 'i5', 'x8', 'p2', 'c2']}
1769393871.9730816,RECEIVED,f2c3d766-bc8c-4170-8dd7-8182bed5cc82,4547ab36-7dc4-4d20-aca8-bec35b0b830f,c5,c2,27,p2,?,surb={'id': '52cc05ca-479e-4cdc-8bcc-0cde0c53f11e', 'route': ['p2', 'e1', 'i12', 'x10', 'p2', 'c5']}
1769393872.0679915,RECEIVED,0cf89cef-38da-44e5-9a91-e06be18278a5,4cdfeee6-08a6-442c-8da9-169004187a71,c5,c2,27,p2,?,surb={'id': 'fcc1263f-7b50-4bd3-868b-70086b9e8fe8', 'route': ['p2', 'e7', 'i12', 'x12', 'p2', 'c5']}
1769393872.0725834,SENT,44aa8612-5391-437a-9d99-40b9d73fb6d5,225b1a94-3f21-4181-9fe7-0670c4078ba9,c2,c5,3384,?,p2,
1769393872.072646,CREATED,b76378c6-26a3-4c3e-a398-89f32d89a6ec,3ef480a3-60dd-40db-ad11-7f4950c00c87,c2,c5,26,?,?,surb={'id': '5b34cf19-c036-49c0-bc8e-841556d2f070', 'route': ['p2', 'e8', 'i5', 'x8', 'p2', 'c2']}
1769393872.0981665,RECEIVED,257228f7-3f6f-43e9-a1fe-7b89a251d704,91ee0c61-6bb1-48b7-8594-292889c172ff,c5,c2,26,p2,?,surb={'id': '8b9e86a9-1cee-4a7b-8ab5-de32236e54f8', 'route': ['p2', 'e2', 'i12', 'x1', 'p2', 'c5']}
1769393872.3195844,RECEIVED,710ec7da-2ee6-4f54-8b5c-6a00f2a1f868,4547ab36-7dc4-4d20-aca8-bec35b0b830f,c5,c2,27,p2,?,surb={'id': '52cc05ca-479e-4cdc-8bcc-0cde0c53f11e', 'route': ['p2', 'e1', 'i12', 'x10', 'p2', 'c5']}
1769393872.35247,SENT,e0cd1196-ec0e-4ae1-b277-b7f669a105ef,625d9b37-07f5-4273-95e2-f23206d68bac,c2,c5,3367,?,p2,
1769393872.3525317,CREATED,9f0650cf-3e0c-47fd-9c76-5d380e564a88,6b6662b6-84c0-4252-b08c-0827a5bf2261,c2,c5,27,?,?,surb={'id': '0cc6e183-7339-4875-a3ba-afd0de466254', 'route': ['p2', 'e6', 'i6', 'x7', 'p2', 'c2']}
1769393872.4326208,RECEIVED,823f7c1b-3bb8-426f-9008-6dc9e0ebc8b7,29b39b39-7707-4123-90de-7b161cc358d1,c5,c2,27,p2,?,surb={'id': 'f4e3e6d2-9e23-474e-967f-d7e661ddcd17', 'route': ['p2', 'e12', 'i9', 'x6', 'p2', 'c5']}
1769393872.4583647,RECEIVED,e04d2fab-3343-41aa-87c4-32311163ff0f,032c4862-7be8-425c-96b8-db50bd1a48a2,c5,c2,27,p2,?,surb={'id': 'd2505670-f9b4-48c2-8166-24009392566d', 'route': ['p2', 'e5', 'i2', 'x10', 'p2', 'c5']}
1769393872.496803,RECEIVED,9b2169ce-28f0-431d-b02e-c89e4a2b7ba1,e8296232-de05-4c54-aec1-61508094227a,c4,c2,27,p2,?,surb={'id': 'f9fdfd78-568b-43bb-bea1-f090e4aa620e', 'route': ['p2', 'e1', 'i7', 'x7', 'p1', 'c4']}
1769393872.8102756,RECEIVED,dbcd6431-62b2-45ea-8aee-b19c90a3a5bd,4c609f53-e8a4-4a43-9e34-c6b22df440e7,c5,c2,27,p2,?,surb={'id': '56f9c569-4d1a-4a2e-8e4e-1d85cba70fc2', 'route': ['p2', 'e11', 'i2', 'x9', 'p2', 'c5']}
1769393872.8250203,RECEIVED,f8c5d5c2-324c-4e39-852e-b4e94c1c1074,e8296232-de05-4c54-aec1-61508094227a,c4,c2,27,p2,?,surb={'id': 'f9fdfd78-568b-43bb-bea1-f090e4aa620e', 'route': ['p2', 'e1', 'i7', 'x7', 'p1', 'c4']}
1769393872.8295486,RECEIVED,1741ed7d-87f5-46d5-98d6-63d0f1c20d17,c538de19-ee7a-4af9-8004-63c15e47d1cd,c4,c2,27,p2,?,surb={'id': '3bb9689e-1f98-43cd-8390-b9893d0f5581', 'route': ['p2', 'e7', 'i2', 'x9', 'p1', 'c4']}
1769393873.2210152,SENT,1e6ef08b-4b3e-4e1d-8ead-2fb8f4ce8f03,ee13ab1c-380e-494e-99a3-26606b6a8a92,c2,c5,3400,?,p2,
1769393873.221084,CREATED,88f424c5-5618-46cc-b6b9-fb233aa4f8de,6b6662b6-84c0-4252-b08c-0827a5bf2261,c2,c5,27,?,?,surb={'id': '0cc6e183-7339-4875-a3ba-afd0de466254', 'route': ['p2', 'e6', 'i6', 'x7', 'p2', 'c2']}
1769393873.250117,RECEIVED,0aa7584c-16c4-4146-aeef-e731f27663e5,c538de19-ee7a-4af9-8004-63c15e47d1cd,c4,c2,27,p2,?,surb={'id': '3bb9689e-1f98-43cd-8390-b9893d0f5581', 'route': ['p2', 'e7', 'i2', 'x9', 'p1', 'c4']}
1769393873.3954911,RECEIVED,9a2020db-17fa-447b-9d66-f8593802b8a4,4b3ce25c-ed72-4aa9-91f8-ba2342e0ed5e,c4,c2,25,p2,?,surb={'id': '1ece9d2b-0239-43b5-b7e6-dff3b2e2f2dd', 'route': ['p2', 'e12', 'i4', 'x3', 'p1', 'c4']}
1769393873.5646086,RECEIVED,2a62998e-2c72-4796-bbdd-28a61b4e55be,e16f8a99-f212-4ce7-8e6a-5297ff6a52f1,c4,c2,27,p2,?,surb={'id': '537524c9-bef1-4359-9aa1-7e069d0340e2', 'route': ['p2', 'e11', 'i12', 'x4', 'p1', 'c4']}
1769393873.6580167,RECEIVED,91658d6e-130c-42a6-8a88-23630a333666,84f75b90-f232-4ef3-9226-79442d9303e4,c5,c2,27,p2,?,surb={'id': '83320705-8419-4cbd-8ab9-99e43561e368', 'route': ['p2', 'e3', 'i12', 'x10', 'p2', 'c5']}
1769393873.6818888,RECEIVED,6079cdaa-d794-4dc5-aecd-91c41dcf1687,51cd4d91-279f-4369-9d6d-2f7c6c115eba,c4,c2,27,p2,?,surb={'id': '436aca18-7086-42a8-aa0a-42e28389ff6e', 'route': ['p2', 'e5', 'i2', 'x2', 'p1', 'c4']}
1769393873.7030978,SENT,8ded89f8-5490-4631-b85d-d762d421c166,73543c3f-ba3e-4ef9-b292-8233bc3c5ebc,c2,c5,3379,?,p2,
1769393873.703248,CREATED,3b5fe588-3c5a-49a9-8dd5-a07f39dc5139,e7af60c0-f0d3-4e3d-855f-16a7b6e0345f,c2,c5,27,?,?,surb={'id': 'c7425a15-54ef-48ec-b5e8-b329f122f73b', 'route': ['p2', 'e5', 'i8', 'x10', 'p2', 'c2']}
1769393873.759569,SENT,a5d4f7d1-4799-4a08-9760-cafc5310b78e,ae6e2237-fb81-4954-b76c-7d2b1b513493,c2,c5,3384,?,p2,
1769393873.7599134,CREATED,18644ee7-3f92-45f4-91ee-0ef9f5c9fa84,e7af60c0-f0d3-4e3d-855f-16a7b6e0345f,c2,c5,27,?,?,surb={'id': 'c7425a15-54ef-48ec-b5e8-b329f122f73b', 'route': ['p2', 'e5', 'i8', 'x10', 'p2', 'c2']}
1769393873.8183472,SENT,bc72e52c-de43-4605-b850-27beaa2301a8,6e3ca834-e2e3-4e29-91c9-8c7613999d39,c2,c5,3377,?,p2,
1769393873.818395,CREATED,27816699-aa27-4d19-bb5d-dbb520a69c59,fc8b976f-a7c5-4ab6-a0b8-84eb651d8624,c2,c5,27,?,?,surb={'id': '1a0081bf-332d-4fd8-ae63-e41c2e74268d', 'route': ['p2', 'e7', 'i10', 'x11', 'p2', 'c2']}
1769393873.863235,RECEIVED,5ffb325b-19ab-4514-bbc7-3b07499f49b8,84f75b90-f232-4ef3-9226-79442d9303e4,c5,c2,27,p2,?,surb={'id': '83320705-8419-4cbd-8ab9-99e43561e368', 'route': ['p2', 'e3', 'i12', 'x10', 'p2', 'c5']}
1769393873.9863067,RECEIVED,3a67432c-ab22-4aa9-ad30-55eac2bf3898,cb515ae5-8490-4458-99f4-bd9732253a98,c5,c2,27,p2,?,surb={'id': 'ac14daf0-ce61-42b7-acd5-ac211cde0303', 'route': ['p2', 'e2', 'i6', 'x4', 'p2', 'c5']}
1769393874.1313438,RECEIVED,6580be3a-f221-4ebb-a3d0-d0c737aeb44b,1b6944f1-a995-46c4-8a94-73e134d57bec,c5,c2,27,p2,?,surb={'id': '6b3bd41d-0011-4795-a7ad-8882c9e24e8b', 'route': ['p2', 'e7', 'i11', 'x7', 'p2', 'c5']}
1769393874.185785,RECEIVED,18ceed55-ae60-4d35-81ae-cb3c9aa82ef4,080fcb35-8be6-4a3a-b091-c96eca6d64c0,c4,c2,27,p2,?,surb={'id': '72011105-93ad-407c-bb35-ea7bb400de17', 'route': ['p2', 'e6', 'i7', 'x4', 'p1', 'c4']}
1769393874.214473,RECEIVED,6e0d501e-8757-4c06-a54e-cff1df711bf1,91ee0c61-6bb1-48b7-8594-292889c172ff,c5,c2,26,p2,?,surb={'id': '8b9e86a9-1cee-4a7b-8ab5-de32236e54f8', 'route': ['p2', 'e2', 'i12', 'x1', 'p2', 'c5']}
1769393874.4482872,RECEIVED,17c28754-6b69-450c-b6b9-80563b1721c8,6f0747c8-7530-47af-af2b-f986d511f056,c5,c2,27,p2,?,surb={'id': '96b674a0-88ce-40fa-b42b-340640ecd0d1', 'route': ['p2', 'e4', 'i10', 'x4', 'p2', 'c5']}
1769393874.7887573,RECEIVED,1f66818a-dfeb-47e9-8784-fb295484e88e,630079e1-02b2-46c9-a9a1-a4d1dbddaf44,c4,c2,27,p2,?,surb={'id': '71ea7d4b-c2a1-4c90-9d2f-cbbffd32149c', 'route': ['p2', 'e12', 'i2', 'x12', 'p1', 'c4']}
1769393875.0478776,RECEIVED,0c5fbe12-b1c0-45db-bb22-0638d82f6824,cb515ae5-8490-4458-99f4-bd9732253a98,c5,c2,27,p2,?,surb={'id': 'ac14daf0-ce61-42b7-acd5-ac211cde0303', 'route': ['p2', 'e2', 'i6', 'x4', 'p2', 'c5']}
1769393875.1318386,SENT,9e69113f-3ee4-42e2-94a6-740cf5f234d9,a41c8bb6-d88a-473b-90b5-1da17f374994,c2,c5,3388,?,p2,
1769393875.131908,CREATED,22181aa0-b411-434b-ba6f-3d0d61a7b9f3,fc8b976f-a7c5-4ab6-a0b8-84eb651d8624,c2,c5,27,?,?,surb={'id': '1a0081bf-332d-4fd8-ae63-e41c2e74268d', 'route': ['p2', 'e7', 'i10', 'x11', 'p2', 'c2']}
1769393875.156697,SENT,da6446b6-3966-4333-be9e-f247598e8ceb,8b49cdd8-b781-4398-88c2-426f0d883414,c2,c5,3387,?,p2,
1769393875.156758,CREATED,3ac08ff4-593d-4c0a-b8c0-c27107b8e70c,6a8f1fd0-e70e-4e6b-8798-7def97a9b553,c2,c5,27,?,?,surb={'id': '03c4c96c-3c23-4026-84fc-935d63b05db9', 'route': ['p2', 'e4', 'i11', 'x2', 'p2', 'c2']}
1769393875.1632154,RECEIVED,e68c11da-9446-444a-aeed-382947291a03,6f0747c8-7530-47af-af2b-f986d511f056,c5,c2,27,p2,?,surb={'id': '96b674a0-88ce-40fa-b42b-340640ecd0d1', 'route': ['p2', 'e4', 'i10', 'x4', 'p2', 'c5']}
1769393875.4054902,RECEIVED,1785ab54-54c9-4243-9192-85a7c525b12a,1b6944f1-a995-46c4-8a94-73e134d57bec,c5,c2,27,p2,?,surb={'id': '6b3bd41d-0011-4795-a7ad-8882c9e24e8b', 'route': ['p2', 'e7', 'i11', 'x7', 'p2', 'c5']}
1769393875.438656,SENT,a33650bb-ada1-4267-9c79-0f65d8aa9fd0,b1d37c6b-ae34-487a-ad6c-8a1c40ef4730,c2,c5,3392,?,p2,
1769393875.438803,CREATED,7b37800c-5454-4bb9-908b-ccd0330a2f7c,6a8f1fd0-e70e-4e6b-8798-7def97a9b553,c2,c5,27,?,?,surb={'id': '03c4c96c-3c23-4026-84fc-935d63b05db9', 'route': ['p2', 'e4', 'i11', 'x2', 'p2', 'c2']}
1769393875.461372,RECEIVED,7a5335d4-c900-4e70-9210-1615bd98f7b8,91473ec0-54c1-4ff7-8c21-2bf360b45aa9,c4,c2,27,p2,?,surb={'id': '5438f04c-5794-422e-9cbd-50531144ebbc', 'route': ['p2', 'e11', 'i7', 'x2', 'p1', 'c4']}
1769393875.491187,RECEIVED,51b104d2-a290-449c-ac92-e530e4a92254,032c4862-7be8-425c-96b8-db50bd1a48a2,c5,c2,27,p2,?,surb={'id': 'd2505670-f9b4-48c2-8166-24009392566d', 'route': ['p2', 'e5', 'i2', 'x10', 'p2', 'c5']}
1769393875.5234284,SENT,daee3da6-10d6-47ca-a6dd-818328fa9223,a79c33f0-96cf-406d-9867-ea6f3443860e,c2,c5,3376,?,p2,
1769393875.5235758,CREATED,a7be37f4-1fee-4821-b2ea-ce2341353126,7dbca15e-63a0-44a5-ad4b-2122832730fd,c2,c5,24,?,?,surb={'id': '19ce656d-53bd-4d51-87cb-c30ad1f9130f', 'route': ['p2', 'e10', 'i9', 'x8', 'p2', 'c2']}
1769393875.5716963,RECEIVED,cfaa7c38-d8e3-4901-b2ca-1f4f86716c53,630079e1-02b2-46c9-a9a1-a4d1dbddaf44,c4,c2,27,p2,?,surb={'id': '71ea7d4b-c2a1-4c90-9d2f-cbbffd32149c', 'route': ['p2', 'e12', 'i2', 'x12', 'p1', 'c4']}
1769393875.6012323,RECEIVED,f7f4b8ed-c923-4908-943f-c4c65ed19a00,839db09a-a5b1-4dcd-b06a-19baa1ea1aa6,c5,c2,26,p2,?,surb={'id': 'f6e68c2c-930a-453a-ab9d-181b4516d8eb', 'route': ['p2', 'e3', 'i10', 'x9', 'p2', 'c5']}
1769393875.6431801,SENT,673253b2-11e8-479d-ae10-fcc23a6772fb,81a80f46-9fa5-4a39-8926-b73a4461ce62,c2,c5,3360,?,p2,
