timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393810.7140903,RECEIVED,39d811f4-aced-422d-9d09-caa48f3f9c1b,9cc2f5e3-9988-4059-992e-17934c25580b,c5,c2,27,p2,?,surb={'id': 'e117aede-9d54-4749-bee5-9b9e1ffbf5c5', 'route': ['p2', 'e1', 'i5', 'x8', 'p2', 'c5']}
1769393811.0699522,RECEIVED,107a44e9-13f9-462d-9f97-c22fbe1e8bd9,c28ca98d-1dbf-41cd-ac67-ad17a8d57a11,c5,c2,27,p2,?,surb={'id': '2ad5f4c0-8b1a-443a-ab7b-bfd5f196eb53', 'route': ['p2', 'e3', 'i2', 'x9', 'p2', 'c5']}
1769393811.083564,RECEIVED,c7efc300-f37a-45e6-9eb5-89c0516b1e8f,1e624d18-4a42-4e06-8ca7-5ebada82e4b9,c5,c2,27,p2,?,surb={'id': 'a49c3dae-b0d1-4c7a-940c-fd19b05f41e9', 'route': ['p2', 'e11', 'i1', 'x4', 'p2', 'c5']}
1769393811.0861266,SENT,f9f34fdc-6667-4be0-8d84-1cafd2fe515a,fc0c5f92-5fcb-4082-b42b-c859e5851b77,c2,c5,3397,?,p2,
1769393811.0862713,CREATED,79f2a3ba-c375-4b04-bf94-3ccda2fa6830,dd81d68f-9019-42d0-a36d-626a63cc1f09,c2,c5,26,?,?,surb={'id': 'c0bc2661-fbd5-4aea-b2ae-4119868a5ab8', 'route': ['p2', 'e7', 'i11', 'x11', 'p2', 'c2']}
1769393811.2461448,SENT,4f0e2c38-9e62-4ccb-a14d-5bb855341c9a,c50b640f-c402-4bb8-8d96-f75ab90c4ab0,c2,c5,3391,?,p2,
1769393811.2462916,CREATED,6dc8611e-a77f-4838-bfb2-c2211bcece67,dd81d68f-9019-42d0-a36d-626a63cc1f09,c2,c5,26,?,?,surb={'id': 'c0bc2661-fbd5-4aea-b2ae-4119868a5ab8', 'route': ['p2', 'e7', 'i11', 'x11', 'p2', 'c2']}
1769393811.481836,SENT,2281372d-f15f-45d9-8205-74f07258df37,28f6fb16-7121-4550-a80d-6dba2f288f80,c2,c5,3367,?,p2,
1769393811.4819832,CREATED,b1316988-168f-4bd3-83fa-781863ac9393,34d4ac35-617a-4300-b19b-fa337e9bf749,c2,c5,27,?,?,surb={'id': 'b106b073-af91-45b4-89db-4d06f620a0fa', 'route': ['p2', 'e12', 'i9', 'x5', 'p2', 'c2']}
1769393811.5384645,RECEIVED,fce216df-f023-47d4-b6ce-f42fb673da3d,53010a1b-1f76-459c-9a91-835ac16a2b7d,c4,c2,27,p2,?,surb={'id': 'd5aeb0e1-07d0-4269-8d10-1f525d3d5861', 'route': ['p2', 'e12', 'i1', 'x4', 'p1', 'c4']}
1769393811.714078,RECEIVED,c76abc67-2a4e-45b3-a6de-3ea0ee617bb5,c28ca98d-1dbf-41cd-ac67-ad17a8d57a11,c5,c2,27,p2,?,surb={'id': '2ad5f4c0-8b1a-443a-ab7b-bfd5f196eb53', 'route': ['p2', 'e3', 'i2', 'x9', 'p2', 'c5']}
1769393811.892898,RECEIVED,90670bf0-cd22-4e05-9e74-ffcc470fc35c,9bee32ba-dbbe-4b16-899a-1935756bd862,c5,c2,26,p2,?,surb={'id': '0b485ab7-d444-4e01-86bd-003d77c38ef9', 'route': ['p2', 'e10', 'i11', 'x5', 'p2', 'c5']}
