timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393803.0926929,SENT,3669aa58-5b21-4e8a-a9ca-829dda1f866a,55651fd5-915c-4186-9321-cf01b34feb13,c1,DROP,2019,?,p1,
1769393803.0928183,CREATED,b10f7e6d-56e6-44d6-ac10-94ab689a1631,44ab5a78-ca1e-4fd6-9c30-bf30be4ed343,c1,DROP,27,?,?,
1769393803.174561,SENT,8908829d-e87f-4e61-8390-3979c22dbe6b,26c62046-099f-4264-aa83-67469150451e,c1,c3,3384,?,p1,
1769393803.1746993,CREATED,48191beb-310e-49d7-9007-8a9ee54d4979,26baa3ae-e3c4-4bf3-be98-5518acc1e806,c1,c3,27,?,?,surb={'id': '869b5a73-5a8e-4c09-8640-658f654e80f4', 'route': ['p3', 'e5', 'i1', 'x5', 'p1', 'c1']}
1769393803.3268409,SENT,bcd56888-a99f-4a1f-887d-fecf9ef24368,f6593f65-8fc4-4372-804a-27f99af599e6,c1,c3,3384,?,p1,
1769393803.3269897,CREATED,b2e7990c-db7a-4c53-8e92-a6f33ac98615,26baa3ae-e3c4-4bf3-be98-5518acc1e806,c1,c3,27,?,?,surb={'id': '869b5a73-5a8e-4c09-8640-658f654e80f4', 'route': ['p3', 'e5', 'i1', 'x5', 'p1', 'c1']}
1769393803.7764652,SENT,2fdfdae2-9b5b-4c69-856f-43cefa20b7c4,1ed9cd51-5d20-4a05-aa46-27de2fd01222,c1,c3,3388,?,p1,
1769393803.7766116,CREATED,cbdcd7ef-6ba3-4be3-a889-8a2a8d84809c,7abb56d4-c4cf-45f9-8ee4-2f7ee8338e6f,c1,c3,27,?,?,surb={'id': '85215e97-4644-44c7-aaa9-a91acd9d37db', 'route': ['p3', 'e11', 'i2', 'x11', 'p1', 'c1']}
1769393803.875871,SENT,00fcdd90-b473-49f1-aaa1-8926c137f8cd,dd693535-dda2-4722-bbf8-ad2e8869ac69,c1,c3,3391,?,p1,
1769393803.8760061,CREATED,c21b599d-c7a5-418d-a1ff-c0cf9822dd23,7abb56d4-c4cf-45f9-8ee4-2f7ee8338e6f,c1,c3,27,?,?,surb={'id': '85215e97-4644-44c7-aaa9-a91acd9d37db', 'route': ['p3', 'e11', 'i2', 'x11', 'p1', 'c1']}
1769393804.0098832,SENT,f634ea07-cec4-4bcf-a234-5b870fd2ee33,26107a7c-7056-44f6-a52e-0e6a95126089,c1,c3,3365,?,p1,
1769393804.010031,CREATED,4e3e2172-8e67-4990-b9c2-6dc0cc195b6c,8af3e266-8bcc-4237-ab9e-d3df737f7c4e,c1,c3,27,?,?,surb={'id': '9ee5f9b7-7332-4098-b686-542390bb4f31', 'route': ['p3', 'e4', 'i8', 'x4', 'p1', 'c1']}
1769393804.1818998,SENT,3c2cffa1-3f6e-4314-b86e-599be2c0aaa6,ca704ef0-b54e-4ab1-965e-e79baaba150c,c1,c3,3367,?,p1,
1769393804.1820955,CREATED,855d2ccf-6207-4b59-8375-c89856ecb99f,8af3e266-8bcc-4237-ab9e-d3df737f7c4e,c1,c3,27,?,?,surb={'id': '9ee5f9b7-7332-4098-b686-542390bb4f31', 'route': ['p3', 'e4', 'i8', 'x4', 'p1', 'c1']}
1769393804.4160361,SENT,b0a9ab15-dd43-4fb2-b428-9c2234e59c99,e1ae1629-899b-485a-89c1-dc317f36990d,c1,c3,3379,?,p1,
1769393804.4162183,CREATED,ec58d78a-9347-4f1c-b580-b586e645c9e3,2f3b8cb8-c629-445c-9b43-634f5e9dd706,c1,c3,27,?,?,surb={'id': 'e0112670-2290-49c4-b39e-733662e2626c', 'route': ['p3', 'e7', 'i1', 'x6', 'p1', 'c1']}
1769393804.7436526,SENT,29746143-4f71-4fd6-a12e-85acab303e3e,4deb4de7-32a0-4d21-8681-32fc6fa1baa1,c1,c3,3367,?,p1,
1769393804.7438133,CREATED,2a032462-b64d-46aa-bd94-3f947b6e60cd,2f3b8cb8-c629-445c-9b43-634f5e9dd706,c1,c3,27,?,?,surb={'id': 'e0112670-2290-49c4-b39e-733662e2626c', 'route': ['p3', 'e7', 'i1', 'x6', 'p1', 'c1']}
1769393805.125618,SENT,5a43285a-19b6-44dd-92f3-edf4ee976970,b119d492-da76-42f2-9fec-b932c268144a,c1,c3,3384,?,p1,
1769393805.1257644,CREATED,4361dbe8-445d-48f8-9874-27d6d765d46b,3898c2e6-33f3-4c26-95ac-2e0750406b6f,c1,c3,26,?,?,surb={'id': '3c85bd16-dc80-41eb-a2df-36532d203885', 'route': ['p3', 'e6', 'i11', 'x9', 'p1', 'c1']}
