timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769480891.5530965,SENT,766edbda-ebe9-4469-a258-733f347a1333,fac1ab66-1bb0-44b3-bdff-bb092f86a7d7,c3,DROP,2015,?,p3,
1769480891.5532393,CREATED,e60a0c3e-6578-42b7-8838-63332b3c73d8,3cfe71a5-67f5-445b-94b6-6055366c3897,c3,DROP,27,?,?,
1769480892.223469,SENT,0cb4bf37-ef58-443e-a446-9c579ccaa3e7,58ecda16-c33a-4d6e-908a-e0db07a10a43,c3,c2,3395,?,p3,
1769480892.2236214,CREATED,6edf91b3-7552-4aba-aea3-ce4d0956803d,5ad70ec9-d3ad-4562-a1f4-79ab27642b4e,c3,c2,27,?,?,surb={'id': '190bc3da-4253-4777-8634-10a001358446', 'route': ['p2', 'e3', 'i11', 'x2', 'p3', 'c3']}
1769480892.8614762,SENT,6cc3eebd-c8ce-4e7d-86d4-bd59a82a01f7,4292a42a-6f1a-4902-9aa4-57da41e0e616,c3,c2,3364,?,p3,
1769480892.8616538,CREATED,82725af1-1fa8-4000-917b-ac78d5fcbee4,822b3bff-6f17-48d0-90ff-fe53d651f7c3,c3,c2,27,?,?,surb={'id': 'dc30d859-6498-4b05-b431-3579251db2e7', 'route': ['p2', 'e1', 'i12', 'x4', 'p3', 'c3']}
1769480892.9047637,SENT,e858cf6e-afb0-4036-8e60-bf781fe21bc2,409c67ca-9e1b-4fef-99f4-c5cb4a5b8906,c3,c2,3384,?,p3,
1769480892.9051082,CREATED,d1758b0d-bbb6-4fa7-b683-7a9b5af0d79e,52d4c86c-0899-40e9-ac6a-fa87d37fdf86,c3,c2,27,?,?,surb={'id': '0b33de2d-feb7-4b15-ad5d-99290bf4aa62', 'route': ['p2', 'e3', 'i12', 'x9', 'p3', 'c3']}
1769480893.078943,SENT,44f95c1b-c60f-4bdc-a1ca-75e7757a18e1,5b8040f8-4f9a-4a07-9b40-ad738b7e9259,c3,c2,3379,?,p3,
1769480893.0791311,CREATED,da065388-3f7a-4e73-b9db-2fbaa6b4e191,ad18224f-abe6-40c7-b133-b17bb0753c44,c3,c2,27,?,?,surb={'id': '03874167-32a4-4833-a57d-0e35d4dd9442', 'route': ['p2', 'e12', 'i12', 'x7', 'p3', 'c3']}
1769480893.0895066,SENT,00b5fdeb-080b-420b-8541-3deabeb94bd3,d001df5e-8231-41b4-a7c7-c4876ddae2c0,c3,c2,3375,?,p3,
1769480893.0896533,CREATED,2fd67236-fef2-4cf9-aea2-aa49ab86590a,7aab0c37-bd23-4c12-ac6e-52fc6b2ea40f,c3,c2,27,?,?,surb={'id': 'c9bd4ce8-9023-4aca-9556-850422ffcb64', 'route': ['p2', 'e9', 'i6', 'x2', 'p3', 'c3']}
1769480893.8651881,SENT,9a40698b-e30e-4a56-b0f5-c61ec32143bd,20913bff-f406-4156-9cb0-0713b48fb3d8,c3,c2,3379,?,p3,
1769480893.8653357,CREATED,ffb907ef-ee5a-4e5a-acfb-d66a3a3e575b,dfa79e33-d003-43cc-a888-52c36101a451,c3,c2,27,?,?,surb={'id': 'a97bf8b4-83a3-4a5f-9495-f843f55c2189', 'route': ['p2', 'e1', 'i7', 'x1', 'p3', 'c3']}
1769480893.9827385,SENT,768cb8fd-8e3b-4b81-8702-b73c232388cc,56d62297-e8df-4581-bd9f-9179b2f5ddf7,c3,c2,3376,?,p3,
1769480893.9828722,CREATED,bbf8edd8-0633-4f10-aba8-0f2e810a4d05,178df1e4-af72-46df-9264-28bed0e6967d,c3,c2,27,?,?,surb={'id': '84ea3b26-0bb5-47f3-a2df-43e4e8048ebd', 'route': ['p2', 'e11', 'i9', 'x9', 'p3', 'c3']}
1769480894.029952,SENT,b92228db-9200-488f-9450-ceffef2e9f32,56f6bc29-f8df-4f91-8308-c95c39c00f88,c3,c2,3392,?,p3,
1769480894.030123,CREATED,f3697753-7ec6-4440-a241-1c54b668ef1c,c80c5a1e-3c08-4459-98b8-d1efb197377a,c3,c2,27,?,?,surb={'id': '928bd8a3-0993-4c78-b77b-f1563446a6ce', 'route': ['p2', 'e10', 'i4', 'x5', 'p3', 'c3']}
1769480894.1869173,SENT,71ff56ec-721b-452c-8878-85d3f401aa6e,050ae29c-be77-49fe-9e75-1c961bab571e,c3,c2,3371,?,p3,
