timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769740518.8317015,SENT,50d32186-6842-4537-a341-485f920fe939,fcdc8643-ea03-4c76-a537-b7a3e934f5fd,c2,c1,3400,?,p2,
1769740518.8318448,CREATED,35b81b43-0cd8-4244-b414-9b4a1654f3eb,71623f6a-2dd7-4b66-ae9c-133e325bf387,c2,c1,27,?,?,surb={'id': 'c9b3c799-03a7-468d-bde1-fd062c1e5852', 'route': ['p1', 'e11', 'i6', 'x11', 'p2', 'c2']}
1769740518.847622,RECEIVED,5c69b49f-0717-41fd-b9ae-a853b92f2d22,f944cd47-98bf-48ba-ae8b-169b85dbde86,c3,c2,27,p2,?,surb={'id': '2e8a1fb5-5757-4784-a105-88c402381098', 'route': ['p2', 'e1', 'i6', 'x9', 'p3', 'c3']}
1769740518.8877835,SENT,c37e4c10-5c4f-4e11-8283-dc057bb1242e,53521187-ecae-4613-90a8-b24cd386b4e6,c2,c1,3395,?,p2,
1769740518.887919,CREATED,90edd07e-6dd7-4de8-a8ba-98a00155f18d,71623f6a-2dd7-4b66-ae9c-133e325bf387,c2,c1,27,?,?,surb={'id': 'c9b3c799-03a7-468d-bde1-fd062c1e5852', 'route': ['p1', 'e11', 'i6', 'x11', 'p2', 'c2']}
1769740518.9194574,SENT,ad2bdd3b-91d7-4cb9-9453-8a438f5a5cb4,a7ee4a5e-d733-47c7-982f-a6dad26b4f64,c2,c1,3369,?,p2,
1769740518.9195907,CREATED,74003d7a-547f-4932-93b7-9a355bcaef1c,06202255-7ff7-4348-a483-85279ee8eec7,c2,c1,26,?,?,surb={'id': '7fd55184-339d-4dcc-be47-eb3c880983cb', 'route': ['p1', 'e8', 'i5', 'x3', 'p2', 'c2']}
1769740518.957904,SENT,abb89e7b-d86d-4a11-93e3-c9ce0e05ac95,14067e12-2433-4a7c-b724-f946b93420ed,c2,c1,3365,?,p2,
1769740518.9580612,CREATED,c9548ed1-2046-4ef0-a0a9-ceb5267e26b2,06202255-7ff7-4348-a483-85279ee8eec7,c2,c1,26,?,?,surb={'id': '7fd55184-339d-4dcc-be47-eb3c880983cb', 'route': ['p1', 'e8', 'i5', 'x3', 'p2', 'c2']}
1769740519.0475142,RECEIVED,8ae55280-8b96-4dad-9faa-a4186ec30dd6,145f9926-33d3-40fe-958a-d4b8aba23007,c4,c2,26,p2,?,surb={'id': '57fdfc5a-a8c7-4c62-a072-d69567382422', 'route': ['p2', 'e12', 'i9', 'x8', 'p1', 'c4']}
1769740519.3293226,SENT,9aa8ad19-92a6-4e1f-abb9-34971e5ba60d,4a74387d-a395-4b1c-8f9f-632f9fc6afb2,c2,c1,3397,?,p2,
1769740519.3294587,CREATED,49385a67-606b-47f9-aaff-922e98244e72,a5a5b21b-a3cb-454d-9b56-69cc0f1105d6,c2,c1,26,?,?,surb={'id': 'fe735231-1dc9-41d5-9043-bf0d5b996d67', 'route': ['p1', 'e1', 'i10', 'x2', 'p2', 'c2']}
1769740519.3305035,RECEIVED,98790956-fa8e-4de0-b1b0-c267128e6361,b1270fc5-a373-4b74-9ce9-9db10fa10174,c4,c2,27,p2,?,surb={'id': '4f7a09f3-3212-476c-9ad3-38be0757a85f', 'route': ['p2', 'e10', 'i3', 'x2', 'p1', 'c4']}
1769740519.3769264,RECEIVED,9fcf91ed-50e2-4c8e-b77d-25cfb884daf2,a6639bbb-4c81-425a-b23c-b8f697e59deb,c1,c2,27,p2,?,surb={'id': 'fee372f9-9ec2-4b74-89f2-63ea4a355578', 'route': ['p2', 'e6', 'i11', 'x6', 'p1', 'c1']}
1769740519.389294,RECEIVED,2d50545c-024c-448a-8467-0a5b579d77cc,2f561542-6cab-44f7-a549-570a993a9915,c5,c2,27,p2,?,surb={'id': '1d637a80-ad99-49e0-87f8-5e401a75e20e', 'route': ['p2', 'e4', 'i6', 'x12', 'p2', 'c5']}
1769740519.435974,RECEIVED,1137024e-6a58-49a0-af52-115c6891796d,a6276aa4-7e90-46ed-badf-2553143ace5e,c5,c2,27,p2,?,surb={'id': 'a26de176-cdd7-4ef3-ab7e-c40280cf8d7e', 'route': ['p2', 'e3', 'i1', 'x6', 'p2', 'c5']}
1769740519.4691825,SENT,c83a39b9-ea00-452c-80f1-e7c013c6086b,0ea31fea-b18f-4095-896f-f01b86f2bb92,c2,c1,3367,?,p2,
1769740519.4693153,CREATED,9d63cc31-9b25-4e7e-95db-361eac91904c,a5a5b21b-a3cb-454d-9b56-69cc0f1105d6,c2,c1,26,?,?,surb={'id': 'fe735231-1dc9-41d5-9043-bf0d5b996d67', 'route': ['p1', 'e1', 'i10', 'x2', 'p2', 'c2']}
1769740519.489224,RECEIVED,cec38503-15d7-49ee-a268-14d69c4874ed,63835ca2-8ef9-41f5-84ec-35ea4fdead3b,c5,c2,27,p2,?,surb={'id': '34b47ab0-eb33-4056-9884-7d8e10a60ce5', 'route': ['p2', 'e10', 'i2', 'x8', 'p2', 'c5']}
