timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453134.330682,CREATED,fc2b3595-b8da-4734-872c-6881683aa555,606177de-ae20-48be-8d63-3c9fde669cce,c4,c2,27,?,?,surb={'id': '79fed4ce-e0e4-4494-b2e5-64488b03f795', 'route': ['p2', 'e10', 'i4', 'x9', 'p1', 'c4']}
1769453134.5065565,RECEIVED,8360ee6e-c5da-4350-b47a-b4187439d363,24aea91b-a28d-4871-b555-b9a34353fabf,c5,c4,26,p1,?,surb={'id': '1429b95b-6c37-455b-9e4a-6e282eb862f9', 'route': ['p1', 'e7', 'i6', 'x3', 'p2', 'c5']}
1769453135.2298462,SENT,ee7b255d-0ae3-4570-9e50-93d7acd73668,c868cd5f-3e9c-44fe-9a1b-0c9ffe5262ec,c4,c2,3363,?,p1,
1769453135.229992,CREATED,759afb40-80b7-4493-ab44-9ff184707453,606177de-ae20-48be-8d63-3c9fde669cce,c4,c2,27,?,?,surb={'id': '79fed4ce-e0e4-4494-b2e5-64488b03f795', 'route': ['p2', 'e10', 'i4', 'x9', 'p1', 'c4']}
1769453135.4659944,SENT,4e0ed426-538d-4b76-97e5-7abc57be92c7,2fbe9151-2d4f-4943-b35a-e829dce96144,c4,c2,3384,?,p1,
1769453135.4662,CREATED,b96c0646-d853-4d68-938f-ed7f34c9b5e5,ff6ae895-5ac5-458c-bd85-1aae1f02586a,c4,c2,26,?,?,surb={'id': 'a73a947d-e651-4f77-b41d-e5ac1265a26e', 'route': ['p2', 'e7', 'i2', 'x1', 'p1', 'c4']}
1769453136.50971,SENT,d2bf887c-0468-4a3a-9fb6-34cec2f8770c,e5ac7d36-06e1-43bc-9b39-15ec65e0fbff,c4,c2,3379,?,p1,
1769453136.5098534,CREATED,9bad2dc6-88d5-4b66-b130-bf07caeecd06,ff6ae895-5ac5-458c-bd85-1aae1f02586a,c4,c2,26,?,?,surb={'id': 'a73a947d-e651-4f77-b41d-e5ac1265a26e', 'route': ['p2', 'e7', 'i2', 'x1', 'p1', 'c4']}
1769453137.1696901,RECEIVED,5c391390-073d-4565-872a-570d605a6dbc,24aea91b-a28d-4871-b555-b9a34353fabf,c5,c4,26,p1,?,surb={'id': '1429b95b-6c37-455b-9e4a-6e282eb862f9', 'route': ['p1', 'e7', 'i6', 'x3', 'p2', 'c5']}
1769453137.390436,RECEIVED,39bdf691-21de-46db-b85c-65e50ec2a12a,2ea8b5e8-b93e-4e96-aa1d-35ed37261ebd,c5,c4,26,p1,?,surb={'id': '47fd1b5d-5e11-40da-ac94-73b8b996817b', 'route': ['p1', 'e1', 'i2', 'x4', 'p2', 'c5']}
1769453137.8376727,SENT,fc895d72-9f29-48ca-a5df-05a199060b9c,efc66186-e840-4854-a88c-bbb2b2d68bd4,c4,c2,3360,?,p1,
1769453137.8378217,CREATED,6c4fb22e-44bc-499a-853f-6979d57f4fd4,76e31916-9a28-4bb4-aca2-da9c1e5466b3,c4,c2,26,?,?,surb={'id': 'd5e7ab68-cc60-4b50-a97f-9d6f0c90fad3', 'route': ['p2', 'e5', 'i4', 'x9', 'p1', 'c4']}
1769453137.9436078,RECEIVED,2f573ef7-4abb-464a-85b1-ca060231809b,cbbd5747-a7d9-41fc-9682-d1709ad9871c,c5,c4,26,p1,?,surb={'id': 'aae555dd-246f-44bd-895b-265a3a11dbf5', 'route': ['p1', 'e12', 'i3', 'x4', 'p2', 'c5']}
1769453138.226533,SENT,60dc605d-1858-4898-8665-769cb89d4f10,7b10c4b5-4347-4313-8851-161f3d3b3b32,c4,c2,3384,?,p1,
1769453138.2266839,CREATED,03f6d7c2-ec3d-43ff-974d-e467a47fa04d,76e31916-9a28-4bb4-aca2-da9c1e5466b3,c4,c2,26,?,?,surb={'id': 'd5e7ab68-cc60-4b50-a97f-9d6f0c90fad3', 'route': ['p2', 'e5', 'i4', 'x9', 'p1', 'c4']}
1769453138.294797,RECEIVED,f13cdd05-bcd3-4313-96ce-111679c56b2f,2ea8b5e8-b93e-4e96-aa1d-35ed37261ebd,c5,c4,26,p1,?,surb={'id': '47fd1b5d-5e11-40da-ac94-73b8b996817b', 'route': ['p1', 'e1', 'i2', 'x4', 'p2', 'c5']}
1769453138.5394537,SENT,9749238c-91a2-489e-950d-d2e493c105f4,d11a9149-bd7d-4b2e-83f1-bcf3210e7e77,c4,c2,3392,?,p1,
1769453138.539603,CREATED,68e51ba2-275f-4737-82f6-67c0723d32d4,c51e0396-5432-4368-84b9-d7843993e062,c4,c2,27,?,?,surb={'id': '45dbfb2b-96e3-4dfb-9337-3c63130119cb', 'route': ['p2', 'e11', 'i3', 'x7', 'p1', 'c4']}
1769453138.609019,RECEIVED,dbec4e86-ef0c-4563-8ff9-eb58806d9350,2e1591f8-10f1-4f44-aae7-3129a0e0e35e,c5,c4,26,p1,?,surb={'id': '28b4c0ff-8647-456c-97af-1359c368d1f9', 'route': ['p1', 'e2', 'i9', 'x6', 'p2', 'c5']}
1769453138.9997513,RECEIVED,775b4d3c-d46f-4dde-89f7-89285f439a8c,cbbd5747-a7d9-41fc-9682-d1709ad9871c,c5,c4,26,p1,?,surb={'id': 'aae555dd-246f-44bd-895b-265a3a11dbf5', 'route': ['p1', 'e12', 'i3', 'x4', 'p2', 'c5']}
1769453139.0628705,SENT,4199c98d-d8b1-49e4-85cc-c2022e8ffd50,da4e1a66-39d7-4688-8efa-8bce2ab7a83e,c4,c2,3378,?,p1,
1769453139.0630224,CREATED,307280ff-315c-47c3-b7c7-f7be28fb6848,c51e0396-5432-4368-84b9-d7843993e062,c4,c2,27,?,?,surb={'id': '45dbfb2b-96e3-4dfb-9337-3c63130119cb', 'route': ['p2', 'e11', 'i3', 'x7', 'p1', 'c4']}
1769453139.5339234,RECEIVED,6899b025-dd41-4590-8a0c-82f015c9798b,552b3d85-8b71-4c7e-8e26-83dd9bd390ec,c5,c4,27,p1,?,surb={'id': 'dc7e2177-cb62-41cc-ab72-0952f65944ba', 'route': ['p1', 'e1', 'i4', 'x2', 'p2', 'c5']}
1769453139.869975,SENT,0a9af529-7dc0-4a0d-ad57-e34ece492f34,8fc1c0f4-6b08-4228-83e0-3d6a48c3c848,c4,c2,3363,?,p1,
1769453139.8701549,CREATED,3552fe51-d65c-4891-a301-8ef04cd15785,4dd4712e-7545-4b5a-8782-8bf96f005337,c4,c2,27,?,?,surb={'id': 'ac7d7d84-66be-4a30-9cec-51b5f72f0486', 'route': ['p2', 'e2', 'i11', 'x3', 'p1', 'c4']}
1769453140.1713357,RECEIVED,9efc816b-0fa8-4222-ab81-f48f24b3fe62,58a3629a-9440-4e0c-95aa-c4ef881db8f3,c5,c4,27,p1,?,surb={'id': 'a0af0910-cf16-4603-bc1e-e969293805b1', 'route': ['p1', 'e11', 'i6', 'x1', 'p2', 'c5']}
1769453140.2736661,SENT,a9c93289-2aee-434d-acfe-e365fa4419e7,e8d46591-69e2-489c-82b0-2ca2a49cf097,c4,c2,3383,?,p1,
1769453140.2738178,CREATED,b1bb43ea-ca67-4703-82f8-5b14ff41b0eb,4dd4712e-7545-4b5a-8782-8bf96f005337,c4,c2,27,?,?,surb={'id': 'ac7d7d84-66be-4a30-9cec-51b5f72f0486', 'route': ['p2', 'e2', 'i11', 'x3', 'p1', 'c4']}
1769453140.3251946,SENT,58d814bd-3703-4d41-bbae-40b656e1a917,2ed42f74-c990-49ac-9202-80184d526c6f,c4,c2,3384,?,p1,
1769453140.3253465,CREATED,18d99aaa-9db0-4a38-95b3-55a7dfea4bb0,7f135d9f-dba9-4bf3-86d6-4033fc7775d6,c4,c2,27,?,?,surb={'id': '70d7c585-153a-4e11-a74b-f55d28944efa', 'route': ['p2', 'e1', 'i8', 'x12', 'p1', 'c4']}
1769453140.501405,RECEIVED,5e338014-92d9-4061-81c4-ba628d53db6c,2e1591f8-10f1-4f44-aae7-3129a0e0e35e,c5,c4,26,p1,?,surb={'id': '28b4c0ff-8647-456c-97af-1359c368d1f9', 'route': ['p1', 'e2', 'i9', 'x6', 'p2', 'c5']}
1769453140.5069227,SENT,3ea67e68-b2a5-4eb0-aec6-c308d0276eb9,a6d73f62-d5fd-4651-a2a8-177f5c1daafa,c4,c2,3383,?,p1,
1769453140.5071049,CREATED,afd5a2bb-d6fb-4fbf-a89c-7556781c90e9,7f135d9f-dba9-4bf3-86d6-4033fc7775d6,c4,c2,27,?,?,surb={'id': '70d7c585-153a-4e11-a74b-f55d28944efa', 'route': ['p2', 'e1', 'i8', 'x12', 'p1', 'c4']}
1769453140.731888,SENT,7e550a33-842b-49cd-aff6-fa3423f3d5da,d617a439-2e0a-4f30-ac9a-0f9fb7ae3788,c4,c2,3384,?,p1,
1769453140.7320366,CREATED,dda83240-4ba3-45e5-a94e-e5e294967c70,24a1eea9-c45e-42b9-9db8-bdfa19fd2a64,c4,c2,27,?,?,surb={'id': '683fc6c6-4ddd-453b-aa77-ea9fb83233f8', 'route': ['p2', 'e6', 'i6', 'x1', 'p1', 'c4']}
1769453140.945683,SENT,e73b1811-7342-4bfc-b6b0-65a77d5d6662,24d34a82-32af-4b10-af18-401530542264,c4,c2,3375,?,p1,
