timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453131.9586544,SENT,bbfc8c03-bc83-4e88-b0ab-1837619c029e,6e32d0fd-19c1-4dab-bc48-127af70bd725,c2,DROP,2027,?,p2,
1769453131.9587817,CREATED,92fa1fd9-3287-4cb8-ad30-15440e3cf37f,fee4490b-a509-48db-9afc-068148c30299,c2,DROP,26,?,?,
1769453132.2628706,SENT,39baa510-c4c6-41a4-a3e5-44c876fb1647,0c9a8e78-9f85-4a1e-8cdb-5a283852eb21,c2,c3,3365,?,p2,
1769453132.2630243,CREATED,cc5cdd68-48e0-4ce4-9044-cd025776a804,fb3d6c42-1aad-466e-874e-85e648c49bf8,c2,c3,26,?,?,surb={'id': 'b144f7b6-4d8b-452c-a4ef-9d39ec9aece5', 'route': ['p3', 'e11', 'i7', 'x3', 'p2', 'c2']}
1769453132.7709258,SENT,17f8b141-454c-4f4f-a6da-86c451771495,2827aa46-c072-4a71-ad4d-ee2b31ae022c,c2,c3,3371,?,p2,
1769453132.7712674,CREATED,209c3585-ea2d-4918-bddb-8b32c6321f16,fb3d6c42-1aad-466e-874e-85e648c49bf8,c2,c3,26,?,?,surb={'id': 'b144f7b6-4d8b-452c-a4ef-9d39ec9aece5', 'route': ['p3', 'e11', 'i7', 'x3', 'p2', 'c2']}
1769453132.8306751,SENT,70c5deb9-b762-4a04-90e9-feab8705bb13,9edb3a81-d6ea-4923-b5d6-638bd3b2433d,c2,c3,3388,?,p2,
1769453132.8308213,CREATED,26705ed7-2357-4168-ac38-03c9759b4a04,07c5b706-205a-4537-b72b-6b568383d9ee,c2,c3,27,?,?,surb={'id': '55500495-df86-4861-ae17-ba59f7870c96', 'route': ['p3', 'e10', 'i11', 'x6', 'p2', 'c2']}
1769453133.3445454,SENT,63b8a8ab-1856-4a3c-96a1-bb78a3c34000,402b1c85-4f32-4e42-9924-43983bdfe47e,c2,c3,3391,?,p2,
1769453133.344698,CREATED,22d5f99b-2998-4202-9508-a3fb02eb04ae,07c5b706-205a-4537-b72b-6b568383d9ee,c2,c3,27,?,?,surb={'id': '55500495-df86-4861-ae17-ba59f7870c96', 'route': ['p3', 'e10', 'i11', 'x6', 'p2', 'c2']}
1769453133.3888538,SENT,fd37eb3e-c70e-4a0e-9cad-33f56ba5681e,07bf4902-015f-4684-a0d7-909cae241af9,c2,c3,3388,?,p2,
1769453133.3889832,CREATED,4f822551-f739-4416-ae04-87cde8cf683b,dff9f876-621f-4fe1-bbc5-fda3d8adc6d1,c2,c3,27,?,?,surb={'id': '79c8a1d1-9cd0-4ebc-b4a1-824a0ebf6782', 'route': ['p3', 'e8', 'i7', 'x1', 'p2', 'c2']}
1769453133.700768,SENT,c4d4bc87-e6c4-485f-ab12-c53e00eea8cf,5ed91577-448c-40f6-bd94-fb1d4c37288b,c2,c3,3359,?,p2,
1769453133.7008986,CREATED,3cf64452-e952-415f-910e-4a584cc494ec,dff9f876-621f-4fe1-bbc5-fda3d8adc6d1,c2,c3,27,?,?,surb={'id': '79c8a1d1-9cd0-4ebc-b4a1-824a0ebf6782', 'route': ['p3', 'e8', 'i7', 'x1', 'p2', 'c2']}
