timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453143.6760166,CREATED,56ee912b-1215-47b9-9279-6575e11e6bd3,fd33ff6e-83e8-45a6-a533-159ad3c22b5d,c1,c3,26,?,?,surb={'id': '3b2c7fbc-0d1f-4d8e-80cd-1251264bcc6e', 'route': ['p3', 'e2', 'i4', 'x2', 'p1', 'c1']}
1769453143.7039351,SENT,ab7df0e4-1ff2-4dc7-b5b0-4a065e98fe6a,de36eff1-0227-420f-a7b3-cc043309f8b7,c1,c3,3383,?,p1,
1769453143.7047539,CREATED,c5592446-6c2d-4b26-9fb5-b3c38a0fa5d2,2415c7df-e44a-46da-91ca-deaae183ce8d,c1,c3,27,?,?,surb={'id': 'b2472f1f-dd43-46f6-b78f-c3300ba33d8e', 'route': ['p3', 'e4', 'i2', 'x7', 'p1', 'c1']}
1769453143.7901232,SENT,fbe8d9c5-023e-42c6-af25-2f0488d6aebd,8c775bff-5e37-4dfd-b004-db28f0aff288,c1,c3,3385,?,p1,
1769453143.7902582,CREATED,2fc54913-2cea-4015-b20b-e9ccb626e48d,2415c7df-e44a-46da-91ca-deaae183ce8d,c1,c3,27,?,?,surb={'id': 'b2472f1f-dd43-46f6-b78f-c3300ba33d8e', 'route': ['p3', 'e4', 'i2', 'x7', 'p1', 'c1']}
1769453143.8044722,RECEIVED,1af840de-8dab-4cdf-aca1-4553e228d07a,4fc1e207-b1f0-47db-a659-5a3ea63ea8b8,c3,c1,27,p1,?,surb={'id': '5faf9b64-4139-40af-85fd-141228a94414', 'route': ['p1', 'e12', 'i8', 'x8', 'p3', 'c3']}
1769453144.1943405,RECEIVED,2db02727-f8db-432f-869c-a59d5d444a66,b9b69a21-b096-4aa6-b218-6aed3353da03,c3,c1,27,p1,?,surb={'id': '53fa62ab-0d16-43fb-8fb8-a02f55fd6ebf', 'route': ['p1', 'e2', 'i9', 'x6', 'p3', 'c3']}
1769453144.290399,RECEIVED,974576ce-461f-4353-9e07-cebc2a5eb25e,b9b69a21-b096-4aa6-b218-6aed3353da03,c3,c1,27,p1,?,surb={'id': '53fa62ab-0d16-43fb-8fb8-a02f55fd6ebf', 'route': ['p1', 'e2', 'i9', 'x6', 'p3', 'c3']}
1769453144.4017718,RECEIVED,37b85e8c-4356-4c0f-8577-908aafdc1098,d98cbdae-4390-448b-be5a-3140fb33cb27,c3,c1,27,p1,?,surb={'id': '47dcdd1b-7b9a-42f9-8f99-f751f02b4bf9', 'route': ['p1', 'e2', 'i7', 'x12', 'p3', 'c3']}
1769453144.4800084,SENT,f2587f65-1d75-47fd-a2a2-f040a80e9778,c235ee44-cf59-4fbd-9028-308a42608fee,c1,c3,3384,?,p1,
1769453144.4802115,CREATED,78f95fe3-4500-4551-a45d-27ea621de207,f4c69ce2-e580-4474-a4e3-d0773cab7709,c1,c3,27,?,?,surb={'id': 'c928e68a-73ca-4422-8aa1-816fd84b5a11', 'route': ['p3', 'e2', 'i8', 'x4', 'p1', 'c1']}
1769453144.7717574,SENT,413eeaa0-9334-4843-91cc-ca5b5f692386,56436a33-111c-4200-b38e-8c67c7189d00,c1,c3,3387,?,p1,
1769453144.7719147,CREATED,0f16672f-9351-4646-a26a-460c4dccf43e,f4c69ce2-e580-4474-a4e3-d0773cab7709,c1,c3,27,?,?,surb={'id': 'c928e68a-73ca-4422-8aa1-816fd84b5a11', 'route': ['p3', 'e2', 'i8', 'x4', 'p1', 'c1']}
1769453144.926818,RECEIVED,9977e727-a95a-4ee7-bb7b-502d59a90536,1adfb337-c5b6-41d5-b913-360caa9b1967,c3,c1,26,p1,?,surb={'id': 'cbed4b8c-dc59-4280-bccf-92dc46993fee', 'route': ['p1', 'e4', 'i1', 'x8', 'p3', 'c3']}
1769453145.1446106,SENT,bf689610-93b3-457a-bca1-a53ca26d7c38,ac121ae6-c4b1-4a2c-a204-72d5aa7f53c6,c1,c3,3389,?,p1,
