timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453139.3879354,CREATED,6e5d39f0-2761-42da-8f36-7c205a5b85f8,e9fc1c7c-3065-4f94-9efb-637f27a2de37,c3,c1,26,?,?,surb={'id': 'cd313fae-92f4-4fef-928b-bef21a56724a', 'route': ['p1', 'e10', 'i6', 'x2', 'p3', 'c3']}
1769453139.4220965,RECEIVED,fc970f5e-7f9e-462d-99a4-4b8b5f5b61f1,76482dcc-60e6-4c25-b66e-59b5e1ebf675,c2,c3,27,p3,?,surb={'id': '1a2c065c-7982-40fa-ad45-9bb68bdb15ad', 'route': ['p3', 'e4', 'i12', 'x10', 'p2', 'c2']}
1769453139.4811609,RECEIVED,e09469fa-c509-4c75-a953-f0a11708e17e,6fb30034-63cf-4042-af51-448c8bb243db,c1,c3,27,p3,?,surb={'id': '45530759-8432-4da9-99f7-e501e008eee6', 'route': ['p3', 'e10', 'i8', 'x12', 'p1', 'c1']}
1769453139.4840374,SENT,a6a35e3f-98ec-49eb-be5a-867531e82b47,625daccc-1da6-47a0-b88c-1f192d2790a8,c3,c1,3400,?,p3,
1769453139.484243,CREATED,bf8c7706-2539-4d5e-bc36-35cef94a38bc,e9fc1c7c-3065-4f94-9efb-637f27a2de37,c3,c1,26,?,?,surb={'id': 'cd313fae-92f4-4fef-928b-bef21a56724a', 'route': ['p1', 'e10', 'i6', 'x2', 'p3', 'c3']}
1769453139.5344546,RECEIVED,204a6546-846e-4515-8d9a-cfeabf79eb5e,ed84a7f5-4627-418d-aa43-38ede20e61c3,c2,c3,27,p3,?,surb={'id': '049ff6a3-eddf-48d1-b9a7-9d6380a425fa', 'route': ['p3', 'e4', 'i12', 'x7', 'p2', 'c2']}
1769453139.6234105,RECEIVED,c9829bae-4a21-478f-a484-0020815a82db,0642faa0-5134-4f34-94a0-7c100b833092,c1,c3,27,p3,?,surb={'id': '04d39c86-e382-40d7-9cb7-9fcadfba150e', 'route': ['p3', 'e5', 'i4', 'x3', 'p1', 'c1']}
1769453139.7493486,SENT,1e08a3d6-a154-44e3-8243-cd941789754c,ac0dd7b7-9c5d-4240-a8a8-8edce41d010e,c3,c1,3376,?,p3,
1769453139.7495298,CREATED,1dcb4c34-6039-4d81-8997-8d925a75df1d,d39be2aa-cda7-45b3-ae9d-4fc9d0525fbc,c3,c1,27,?,?,surb={'id': 'f5c96f92-1e3e-4c4e-b521-5a67423faae7', 'route': ['p1', 'e7', 'i8', 'x4', 'p3', 'c3']}
1769453140.0619545,SENT,c40292a0-b5e5-44e3-b6e0-bc52dcca9474,2cf35562-601f-4cdf-bbdb-20d9a42da54a,c3,c1,3384,?,p3,
1769453140.0621297,CREATED,db6f085a-35ad-48c5-80b6-d7242c4c30a9,d39be2aa-cda7-45b3-ae9d-4fc9d0525fbc,c3,c1,27,?,?,surb={'id': 'f5c96f92-1e3e-4c4e-b521-5a67423faae7', 'route': ['p1', 'e7', 'i8', 'x4', 'p3', 'c3']}
1769453140.1412456,SENT,1ce73930-0798-43d7-b7d0-18fe2920c8a8,3b48d1b6-85f6-4c7e-8002-9ac4ad15c246,c3,c1,3392,?,p3,
1769453140.1414235,CREATED,4541ae09-d820-4101-95c8-17172b3f0552,5fc943a9-c116-4cae-87ea-ded805afede3,c3,c1,27,?,?,surb={'id': '7de43aa1-e2c1-4000-a72f-013ee1d3aaf6', 'route': ['p1', 'e12', 'i2', 'x6', 'p3', 'c3']}
1769453140.164246,RECEIVED,a230b406-0518-440a-b686-39b6e786eb9d,94c6c81f-8547-4738-9589-1f63549bd8b9,c2,c3,27,p3,?,surb={'id': '5b67efc4-b08f-4afe-aa87-2ce79ec3da75', 'route': ['p3', 'e9', 'i7', 'x3', 'p2', 'c2']}
1769453140.2315662,SENT,cb43c41b-d9ec-4650-8153-876aa84c3b43,18a3c5f5-2146-468d-826d-52b05dcc07ec,c3,c1,3407,?,p3,
1769453140.231717,CREATED,90408bbc-9c8f-419c-802d-03c9e0544104,5fc943a9-c116-4cae-87ea-ded805afede3,c3,c1,27,?,?,surb={'id': '7de43aa1-e2c1-4000-a72f-013ee1d3aaf6', 'route': ['p1', 'e12', 'i2', 'x6', 'p3', 'c3']}
1769453140.2771232,SENT,b08eb0e6-f9ee-4073-9c9e-86edd75c92ee,50c8139f-453f-43a0-9072-2c19a56a97d8,c3,c1,3376,?,p3,
1769453140.2772646,CREATED,d15662c4-9ae8-498e-8194-d4fea9a3f65e,fb733d3e-f337-4fd1-aca1-2bc334bdcb78,c3,c1,26,?,?,surb={'id': '2c596571-cd95-4bf6-9ac6-facbf9506342', 'route': ['p1', 'e1', 'i7', 'x10', 'p3', 'c3']}
1769453140.3888376,SENT,5ef9fa68-d6a6-41b8-98aa-d959a4661e67,3b2d00de-dc90-43d7-9121-9596a3c4ba7e,c3,c1,3375,?,p3,
1769453140.388983,CREATED,bec23004-f180-4d24-97b5-0834e07fcd0a,fb733d3e-f337-4fd1-aca1-2bc334bdcb78,c3,c1,26,?,?,surb={'id': '2c596571-cd95-4bf6-9ac6-facbf9506342', 'route': ['p1', 'e1', 'i7', 'x10', 'p3', 'c3']}
1769453140.527872,SENT,58b39d48-a857-42b7-bb82-9bad34881cb8,1f2a6dc4-d4c8-4eb2-92b6-e5af876ab391,c3,c1,3384,?,p3,
1769453140.5280142,CREATED,3299e9ca-3663-4edb-b5c0-40fc02e384c4,4fc1e207-b1f0-47db-a659-5a3ea63ea8b8,c3,c1,27,?,?,surb={'id': '5faf9b64-4139-40af-85fd-141228a94414', 'route': ['p1', 'e12', 'i8', 'x8', 'p3', 'c3']}
1769453140.5398738,RECEIVED,144b3013-8287-4594-87bb-e9ae552199e4,1ba4a372-db16-4a8f-ba7c-d0e5c6626ba2,c2,c3,27,p3,?,surb={'id': '06c9ee58-555a-44d6-a92e-27ee9b9243cb', 'route': ['p3', 'e2', 'i3', 'x11', 'p2', 'c2']}
1769453140.623079,RECEIVED,f93cd76a-d744-42bc-bdeb-02c2c56973b0,0642faa0-5134-4f34-94a0-7c100b833092,c1,c3,27,p3,?,surb={'id': '04d39c86-e382-40d7-9cb7-9fcadfba150e', 'route': ['p3', 'e5', 'i4', 'x3', 'p1', 'c1']}
1769453140.6825836,SENT,fb4a098c-8613-4920-a4c1-98cd6b9a9e74,d7cc9037-4df7-4e33-9d28-6f3116dbbe87,c3,c1,3377,?,p3,
