scenario,metric,mean,median,std_dev,min,max,count
backup_mixes_high_noise,loss_rate,0.023659988365547634,0.0012388782520553754,0.0502298173093939,0.0009951348960637318,0.11351288868338916,5
backup_mixes_high_noise,message_loss_rate,0.023659988365547634,0.0012388782520553754,0.0502298173093939,0.0009951348960637318,0.11351288868338916,5
backup_mixes_high_noise,avg_latency,2.5413230675539635,2.540403743943392,0.007597661165013056,2.5330972718763483,2.553438746638808,5
backup_mixes_high_noise,throughput,8713.0,8995.0,587.025127230513,7669.0,9035.0,5
backup_mixes_high_noise,diaz_anonymity,0.25335356213216426,0.23964460563480183,0.20147233923855487,0.0220639450842483,0.5374183593677168,5
backup_mixes_high_noise,shannon_entropy,2.4362768091021976,2.307186560980174,1.9388830688239105,0.21185294338696725,5.1730326541910285,5
backup_mixes_high_noise,attacker_confidence,22.359475681105327,10.666501673856821,24.638190677066145,7.901339629982276,65.91393987772705,5
backup_mixes_no_noise,loss_rate,0.03464237168480319,0.001739937362254973,0.057263220630377296,0.0006918819188191927,0.13459090383057515,9
backup_mixes_no_noise,message_loss_rate,0.03464237168480319,0.001739937362254973,0.057263220630377296,0.0006918819188191927,0.13459090383057515,9
backup_mixes_no_noise,avg_latency,2.547205026150171,2.549230391276096,0.014850195173757668,2.523123242838104,2.5688018434325746,9
backup_mixes_no_noise,throughput,8369.777777777777,8571.0,494.1517423266303,7478.0,8699.0,9
backup_mixes_no_noise,diaz_anonymity,1.1560349955401936e-06,1.5053955020375797e-10,3.302457875455586e-06,2.316966273452126e-15,9.955780993392542e-06,9
backup_mixes_no_noise,shannon_entropy,1.0110629455907188e-05,1.3164433525037842e-09,2.8866883780038814e-05,2.0552335888494376e-14,8.702813087758092e-05,9
backup_mixes_no_noise,attacker_confidence,35.841997147611316,34.31775336300286,12.631833802928218,20.43291979179679,62.79049163503886,9
baseline_errors_high_noise,loss_rate,0.12786303848309233,0.1909553295002211,0.08701339876072724,0.032250889679715344,0.1919964028776978,5
baseline_errors_high_noise,message_loss_rate,0.12786303848309233,0.1909553295002211,0.08701339876072724,0.032250889679715344,0.1919964028776978,5
baseline_errors_high_noise,avg_latency,2.5393519168867,2.5404034015796686,0.01288317874264344,2.5177527094917873,2.550122525891727,5
baseline_errors_high_noise,throughput,7879.8,7357.0,815.0261958980215,7188.0,8835.0,5
baseline_errors_high_noise,diaz_anonymity,0.21460797046553629,0.1441540228955345,0.23682821698619785,0.00011165440112788723,0.6058259046325746,5
baseline_errors_high_noise,shannon_entropy,2.0627499482880425,1.3873212326553106,2.278344942317344,0.0010720799671469045,5.829288247943669,5
baseline_errors_high_noise,attacker_confidence,13.060708342551688,11.519732912842606,5.783907309713246,7.026489361146886,21.85414053284788,5
baseline_errors_no_noise,loss_rate,0.07550692902536377,0.07523939808481528,0.004061843048457923,0.06788362806617232,0.08072886633606269,9
baseline_errors_no_noise,message_loss_rate,0.07550692902536377,0.07523939808481528,0.004061843048457923,0.06788362806617232,0.08072886633606269,9
baseline_errors_no_noise,avg_latency,2.5360999210842126,2.5348459503786733,0.013532110040969452,2.5119569429361372,2.562593803826364,9
baseline_errors_no_noise,throughput,8071.222222222223,8060.0,79.10875074506261,7971.0,8208.0,9
baseline_errors_no_noise,diaz_anonymity,0.0002009876938631617,1.9364743597336938e-09,0.000602697663322758,5.558877467604657e-16,0.0018081813483734476,9
baseline_errors_no_noise,shannon_entropy,0.0017949632256797393,1.7011220138045297e-08,0.005382536423297291,5.0427147725439725e-15,0.016148392681003553,9
baseline_errors_no_noise,attacker_confidence,33.57984893733708,31.6084203834828,11.668004192814127,14.878918319336446,53.45298930822408,9
baseline_no_errors_high_noise,loss_rate,0.0,0.0,0.0,0.0,0.0,5
baseline_no_errors_high_noise,message_loss_rate,0.0,0.0,0.0,0.0,0.0,5
baseline_no_errors_high_noise,avg_latency,2.535333228440523,2.5369612668272024,0.005469673631632455,2.5284722069356005,2.541486286425165,5
baseline_no_errors_high_noise,throughput,8958.2,8960.0,38.04208196195366,8918.0,9008.0,5
baseline_no_errors_high_noise,diaz_anonymity,0.4138903042306197,0.4484197762743632,0.18342616862696443,0.12999343468694574,0.624541255967525,5
baseline_no_errors_high_noise,shannon_entropy,3.9778636626794226,4.31553878464282,1.7596659168064648,1.2510414099069704,5.995541623638321,5
baseline_no_errors_high_noise,attacker_confidence,9.191633452894985,8.348949935304507,2.1369487291346987,7.331797052432219,12.842205622140636,5
baseline_no_errors_no_noise,loss_rate,0.0,0.0,0.0,0.0,0.0,9
baseline_no_errors_no_noise,message_loss_rate,0.0,0.0,0.0,0.0,0.0,9
baseline_no_errors_no_noise,avg_latency,2.544823623269039,2.5478443651618283,0.015384794572512283,2.515054113620622,2.564654493282824,9
baseline_no_errors_no_noise,throughput,8661.0,8667.0,102.09064599658483,8444.0,8796.0,9
baseline_no_errors_no_noise,diaz_anonymity,4.8214775397625613e-05,1.797400502492613e-14,0.00011444048344818655,2.1173732183806952e-23,0.00034255722152572344,9
baseline_no_errors_no_noise,shannon_entropy,0.00043459312666340133,1.608904364463608e-13,0.001031036872265239,1.921900625337561e-22,0.003085902279089299,9
baseline_no_errors_no_noise,attacker_confidence,43.59780581192519,46.77501913615142,16.339899972480016,18.595072913815443,68.1379882299494,9
parallel_paths_high_noise,loss_rate,0.056673878865146674,0.035058615350586186,0.05117367080598173,0.0316891705704051,0.14817714157906514,5
parallel_paths_high_noise,message_loss_rate,0.008872609989115344,0.0056453398273189626,0.00787748548478526,0.004408685109666077,0.022925520017893053,5
