name,scenario,loss_rate,message_loss_rate,avg_latency,throughput,diaz_anonymity,shannon_entropy,attacker_confidence,attack_success,attack_success_top2,true_recipient_rank
Testrun_20260130_005043_01_baseline_no_errors_no_noise,baseline_no_errors_no_noise,0.0,0.0,2.534744284674653,8743,1.797400502492613e-14,1.608904364463608e-13,41.26878031845908,True,False,1.0
Testrun_20260130_010100_02_baseline_errors_no_noise,baseline_errors_no_noise,0.06788362806617232,0.06788362806617232,2.5307553397252187,8170,1.1726581239413249e-08,1.02781978761792e-07,28.300378559100498,True,False,1.0
Testrun_20260130_011117_03_retransmission_no_noise,retransmission_no_noise,0.08458961474036852,0.04204470015490158,2.5771578516682583,22953,2.429207204948348e-81,2.1835377604115832e-80,428.5031175411456,False,False,4.0
Testrun_20260130_012133_04_path_reestablishment_no_noise,path_reestablishment_no_noise,0.06946112744895006,0.002558967512238497,2.610065871515335,22466,5.54096809343379e-24,5.026468351171176e-23,657.7562095916863,False,True,2.0
Testrun_20260130_012706_01_baseline_no_errors_high_noise,baseline_no_errors_high_noise,0.0,0.0,2.541486286425165,8960,0.624541255967525,5.995541623638321,7.331797052432219,False,False,
Testrun_20260130_013150_05_parallel_paths_no_noise,parallel_paths_no_noise,0.0792772444946358,0.015353352901332107,2.540738382383927,8153,1.808493120783161e-09,1.532830560349459e-08,31.553568840142486,True,False,1.0
Testrun_20260130_013723_02_baseline_errors_high_noise,baseline_errors_high_noise,0.1919964028776978,0.1919964028776978,2.5404034015796686,7188,0.6058259046325746,5.829288247943669,7.026489361146886,False,False,
Testrun_20260130_014207_06_backup_mixes_no_noise,backup_mixes_no_noise,0.0006918819188191927,0.0006918819188191927,2.5529295564000445,8666,3.6238588940758373e-11,3.2288195296884854e-10,32.84362114661161,True,False,1.0
Testrun_20260130_014739_03_retransmission_high_noise,retransmission_high_noise,0.2759580389638193,0.12576448348715663,2.539882743996604,13528,0.01429769107767783,0.1376254114418074,19.612602622184145,False,True,2.0
Testrun_20260130_015224_01_baseline_no_errors_no_noise,baseline_no_errors_no_noise,0.0,0.0,2.5363705466925293,8604,0.00034255722152572344,0.003085902279089299,18.595072913815443,True,False,1.0
Testrun_20260130_015756_04_path_reestablishment_high_noise,path_reestablishment_high_noise,0.03648099796924864,0.00033605914640977286,2.5557897226766486,13285,7.881754431750935e-06,7.586747333256753e-05,51.93512710064629,False,True,2.0
Testrun_20260130_020241_02_baseline_errors_no_noise,baseline_errors_no_noise,0.07626629745009805,0.07626629745009805,2.5119569429361372,8006,0.0018081813483734476,0.016148392681003553,14.878918319336446,True,False,1.0
Testrun_20260130_020813_05_parallel_paths_high_noise,parallel_paths_high_noise,0.03534544651239857,0.00541137493097732,2.540186637471767,17467,0.005002060742262345,0.048148380320340266,21.26517651057235,False,False,4.0
Testrun_20260130_021258_03_retransmission_no_noise,retransmission_no_noise,0.09017082049845981,0.04605190502484813,2.60732048812831,22743,1.3994676972396277e-69,1.253110849112869e-68,513.7305854347771,False,True,2.0
Testrun_20260130_021830_06_backup_mixes_high_noise,backup_mixes_high_noise,0.11351288868338916,0.11351288868338916,2.5330972718763483,7669,0.11714633677974927,1.124594622867093,65.91393987772705,False,False,
Testrun_20260130_022315_04_path_reestablishment_no_noise,path_reestablishment_no_noise,0.10492565428239353,0.00335532938150096,2.7597385553467864,22333,9.768909286428263e-13,8.744428837750422e-12,298.32803786571736,True,True,1.0
Testrun_20260130_022847_01_baseline_no_errors_high_noise,baseline_no_errors_high_noise,0.0,0.0,2.530894384526447,8981,0.3713307779668822,3.5736434007477746,9.118240475035128,False,False,
Testrun_20260130_023331_05_parallel_paths_no_noise,parallel_paths_no_noise,0.07354107648725217,0.008382419574082478,2.5333941923837138,8176,1.1146376543299121e-05,9.543797811537835e-05,19.681994291335517,True,False,1.0
Testrun_20260130_023904_02_baseline_errors_high_noise,baseline_errors_high_noise,0.19127184786193252,0.19127184786193252,2.5177527094917873,7357,0.24714825088157563,2.366577776103034,9.539422755271904,False,False,
Testrun_20260130_024348_06_backup_mixes_no_noise,backup_mixes_no_noise,0.0010516475812105686,0.0010516475812105686,2.5688018434325746,8549,5.121111967904174e-08,4.555135770000294e-07,27.651368922982257,True,False,1.0
Testrun_20260130_024921_03_retransmission_high_noise,retransmission_high_noise,0.31773629512879875,0.16262748108345215,2.535949702831558,13852,5.182078424467856e-10,4.988117811585382e-09,49.95419430421617,False,False,
Testrun_20260130_025405_01_baseline_no_errors_no_noise,baseline_no_errors_no_noise,0.0,0.0,2.558234440434678,8796,2.6596800306718646e-14,2.339896467692341e-13,46.77501913615142,True,False,1.0
Testrun_20260130_025938_04_path_reestablishment_high_noise,path_reestablishment_high_noise,0.0342199856218548,0.00033348154735435287,2.5576054637091703,13434,6.527816101281104e-07,6.283485717200012e-06,73.63768731237272,True,False,1.0
Testrun_20260130_030422_02_baseline_errors_no_noise,baseline_errors_no_noise,0.07508374725655542,0.07508374725655542,2.543141938542194,8007,5.558877467604657e-16,5.0427147725439725e-15,53.45298930822408,True,False,1.0
Testrun_20260130_030955_05_parallel_paths_high_noise,parallel_paths_high_noise,0.03309902031327838,0.0056453398273189626,2.539717750780242,17469,5.75398341916301e-09,5.523773931935477e-08,37.29740499863953,False,False,5.0
Testrun_20260130_031439_03_retransmission_no_noise,retransmission_no_noise,0.2558862559241706,0.20929466051417267,2.677826565704245,19626,2.399857145897034e-69,2.1105341760850556e-68,494.4918899566954,False,True,2.0
Testrun_20260130_032012_06_backup_mixes_high_noise,backup_mixes_high_noise,0.0012388782520553754,0.0012388782520553754,2.553438746638808,8868,0.0220639450842483,0.21185294338696725,17.779006023978873,False,False,
Testrun_20260130_032455_04_path_reestablishment_no_noise,path_reestablishment_no_noise,0.06706567188652945,0.0024295969077857693,2.6339608493096844,22758,2.0708239491611295e-41,1.8746274721016123e-40,260.35519278399374,False,True,2.0
Testrun_20260130_033029_01_baseline_no_errors_high_noise,baseline_no_errors_high_noise,0.0,0.0,2.5284722069356005,8924,0.4484197762743632,4.31553878464282,8.316974179562436,False,False,
Testrun_20260130_033512_05_parallel_paths_no_noise,parallel_paths_no_noise,0.0778531073446328,0.011520216851140685,2.5382114303066747,8161,1.1833270625960111e-05,0.00010072187265326356,25.42636053211659,True,False,1.0
Testrun_20260130_034046_02_baseline_errors_high_noise,baseline_errors_high_noise,0.03284072249589487,0.03284072249589487,2.548269853554139,8835,0.07580001951686882,0.7294904047710528,15.363756150649166,False,False,10.0
Testrun_20260130_034529_06_backup_mixes_no_noise,backup_mixes_no_noise,0.0018359150889271092,0.0018359150889271092,2.54765923309085,8699,7.060564611846393e-13,6.326267256363521e-12,40.918201607333664,True,False,1.0
Testrun_20260130_035103_03_retransmission_high_noise,retransmission_high_noise,0.048965419501133756,0.0015473032714411472,2.549491811301383,13421,0.04014048346607699,0.38638060666430024,28.171155615082647,False,False,
Testrun_20260130_035546_01_baseline_no_errors_no_noise,baseline_no_errors_no_noise,0.0,0.0,2.5522257522740577,8667,1.3504041455933398e-19,1.186722004727251e-18,54.508750134082845,True,False,1.0
Testrun_20260130_040120_04_path_reestablishment_high_noise,path_reestablishment_high_noise,0.03689567430025442,0.00044018928139100133,2.5480452279206083,13626,0.10507855504180141,1.011455576482304,26.685228842533874,False,True,2.0
Testrun_20260130_040603_02_baseline_errors_no_noise,baseline_errors_no_noise,0.07863501483679525,0.07863501483679525,2.541702285126566,8073,6.899218335823397e-07,6.117729206986187e-06,22.7539984911446,True,False,1.0
Testrun_20260130_041137_05_parallel_paths_high_noise,parallel_paths_high_noise,0.14817714157906514,0.022925520017893053,2.5211073785562506,15234,0.33034356150848454,3.170654846448797,9.330620450124902,False,False,
Testrun_20260130_041620_03_retransmission_no_noise,retransmission_no_noise,0.0845477538239191,0.04555555555555557,2.562817404556877,22803,1.7798083769721396e-15,1.591073797224331e-14,513.3688174414505,False,True,2.0
Testrun_20260130_042153_06_backup_mixes_high_noise,backup_mixes_high_noise,0.0015534842432312068,0.0015534842432312068,2.537472712831991,8998,0.35049456379430516,3.3647172640857255,9.53659119998163,False,False,
Testrun_20260130_042636_04_path_reestablishment_no_noise,path_reestablishment_no_noise,0.06299022565463974,0.00299135829824948,2.662854922936486,23295,0.10725475686504025,0.9510578252821003,243.34043215003572,False,True,2.0
Testrun_20260130_043210_01_baseline_no_errors_high_noise,baseline_no_errors_high_noise,0.0,0.0,2.5369612668272024,9008,0.12999343468694574,1.2510414099069704,12.842205622140636,False,False,
Testrun_20260130_043653_05_parallel_paths_no_noise,parallel_paths_no_noise,0.07454954954954951,0.014861517676199032,2.553230327827619,8218,1.969137795455429e-16,1.683001291473336e-15,51.91527997317343,True,False,1.0
Testrun_20260130_044227_02_baseline_errors_high_noise,baseline_errors_high_noise,0.1909553295002211,0.1909553295002211,2.550122525891727,7317,0.1441540228955345,1.3873212326553106,11.519732912842606,False,False,
Testrun_20260130_044710_06_backup_mixes_no_noise,backup_mixes_no_noise,0.001630751310425116,0.001630751310425116,2.523123242838104,8571,4.668009081857889e-14,4.2603539366665033e-13,41.8311110997984,True,False,1.0
Testrun_20260130_045244_03_retransmission_high_noise,retransmission_high_noise,0.05042979942693415,0.0025621031525008275,2.5395534644842006,13256,6.539556105677776e-07,6.294786303613879e-06,70.96661317740289,False,False,5.0
Testrun_20260130_045726_01_baseline_no_errors_no_noise,baseline_no_errors_no_noise,0.0,0.0,2.537486180232521,8444,9.137573581211053e-05,0.0008254356736675286,20.1830739249021,True,False,1.0
Testrun_20260130_050301_04_path_reestablishment_high_noise,path_reestablishment_high_noise,0.03865702627246048,0.00033791394458215773,2.555422290969884,13429,6.392621645855097e-06,6.153351470687273e-05,86.36479235308836,False,False,3.0
Testrun_20260130_050743_02_baseline_errors_no_noise,baseline_errors_no_noise,0.07128309572301428,0.07128309572301428,2.562593803826364,8208,1.9364743597336938e-09,1.7011220138045297e-08,28.774173790984957,True,False,1.0
Testrun_20260130_051318_05_parallel_paths_high_noise,parallel_paths_high_noise,0.035058615350586186,0.005972130059721303,2.5389456590472115,17450,0.12930967225870194,1.241361583335321,24.886843341047683,False,False,
Testrun_20260130_051800_03_retransmission_no_noise,retransmission_no_noise,0.08143576924579154,0.038512035010940915,2.6574700856677165,23518,1.5137059103397688e-27,1.344107764629288e-26,429.5098009253029,False,True,2.0
Testrun_20260130_052335_06_backup_mixes_high_noise,backup_mixes_high_noise,0.0009995557529987042,0.0009995557529987042,2.5422028624792774,8995,0.23964460563480183,2.307186560980174,10.666501673856821,False,False,
Testrun_20260130_052817_04_path_reestablishment_no_noise,path_reestablishment_no_noise,0.06724430993739894,0.0022621875353466825,2.6146196439664875,22499,4.215258118315473e-45,3.719277038948368e-44,593.618924193782,False,False,3.0
Testrun_20260130_053352_01_baseline_no_errors_high_noise,baseline_no_errors_high_noise,0.0,0.0,2.538851997488201,8918,0.4951662762573823,4.753553094461223,8.348949935304507,False,False,
Testrun_20260130_053834_05_parallel_paths_no_noise,parallel_paths_no_noise,0.23507420414636915,0.07657453556864524,2.545371497199999,6752,8.282240920953801e-22,7.094612328604217e-21,71.5017485675645,True,False,1.0
Testrun_20260130_054409_02_baseline_errors_high_noise,baseline_errors_high_noise,0.032250889679715344,0.032250889679715344,2.5402110939161773,8702,0.00011165440112788723,0.0010720799671469045,21.85414053284788,False,False,
Testrun_20260130_054850_06_backup_mixes_no_noise,backup_mixes_no_noise,0.13260368663594468,0.13260368663594468,2.5601344628865412,7529,2.316966273452126e-15,2.0552335888494376e-14,62.79049163503886,True,False,1.0
Testrun_20260130_055426_03_retransmission_high_noise,retransmission_high_noise,0.31989875389408096,0.1631688825403802,2.551900521820881,13972,0.004683728370168147,0.04508420559123945,27.434575047168337,False,False,
Testrun_20260130_055907_01_baseline_no_errors_no_noise,baseline_no_errors_no_noise,0.0,0.0,2.5478443651618283,8673,3.356553412183107e-17,3.043081260738742e-16,50.11113064169513,True,False,1.0
Testrun_20260130_060443_04_path_reestablishment_high_noise,path_reestablishment_high_noise,0.03754954954954959,0.000555679039786594,2.5432140327096255,13354,2.482414138380985e-10,2.3894995723962103e-09,61.08243483989142,True,True,1.0
