timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391336.3126204,SENT,f39abda1-3eed-4dc5-b67c-f14542666279,b49ecc81-917f-47f3-a7d5-be047509c30a,c5,DROP,2015,?,p2,
1769391336.312747,CREATED,a399d6ca-a2eb-4b94-858d-287068795caf,8a9fd1f9-46c1-48c5-a258-3487e65a0e24,c5,DROP,26,?,?,
1769391336.6883175,SENT,d9a00fa6-5ffb-476b-891c-42796a762065,42d59e90-23d4-4de4-bd27-820600e64c09,c5,c4,3359,?,p2,
1769391336.6884902,CREATED,e902639d-af16-420d-9f31-266d91e41bb4,b9a3c598-b267-4dd3-9131-eece246bc1fe,c5,c4,26,?,?,surb={'id': '0eb50027-0dd5-4c77-83f1-162010eabdad', 'route': ['p1', 'e4', 'i12', 'x5', 'p2', 'c5']}
1769391336.7650373,SENT,67bc0754-7dc6-42c8-bc41-5772672ca8f4,7fbb4c21-46ab-4492-8ca9-745ab66d6e2e,c5,DROP,2028,?,p2,
1769391336.7651834,CREATED,469affb0-d4c5-4051-993f-b542efce46d4,2f2711d1-5c01-4381-bd8a-75c15e71aec7,c5,DROP,27,?,?,
1769391336.856037,SENT,9353ccbf-3eae-4f59-9782-7ac4204daf8a,54d2ffd6-1889-4a5f-a35e-ac892662a43c,c5,DROP,2018,?,p2,
1769391336.8562121,CREATED,91491dda-0c97-44a0-94ed-a0323ded92da,225a128a-be21-4bb5-bcd2-fd3c066c9ad7,c5,DROP,26,?,?,
1769391337.1475368,SENT,8e44f64b-d46b-4288-9c42-a43746339358,719234da-3735-4d06-b3b1-a1df08ca42ae,c5,c4,3379,?,p2,
1769391337.1476912,CREATED,e7ab11a1-28bc-4339-819a-08ef8299a599,e6aec4ab-bbce-4733-9eaf-c763c54615c8,c5,c4,26,?,?,surb={'id': '2717229f-a7a5-4f83-90bc-fdabcaa55589', 'route': ['p1', 'e11', 'i6', 'x3', 'p2', 'c5']}
1769391337.7173388,RECEIVED,a6f8aa40-5d4e-4065-bf31-346a73d74dcc,b530b411-96d2-45eb-b759-bfb8030ce762,c1,c5,27,p2,?,surb={'id': '9c3a5af2-22c1-478e-8ee2-8baaea8c041c', 'route': ['p2', 'e12', 'i10', 'x5', 'p1', 'c1']}
1769391337.8157854,SENT,63882de9-1ef9-4e7b-9006-2192394a5df3,f2f81684-7173-4f08-b9df-d19b71b9e4f8,c5,c4,3375,?,p2,
1769391337.8159173,CREATED,8745074c-64c6-48b2-b9ee-176214d4caee,fe7b9177-f383-44e1-a0a9-a6f49a9e66d1,c5,c4,27,?,?,surb={'id': '0d6eb433-2e92-4c6b-aecf-8a306d598d67', 'route': ['p1', 'e10', 'i3', 'x1', 'p2', 'c5']}
1769391337.890497,RECEIVED,c2550892-b77e-4f28-adcf-ba6556118bcc,d07716bb-620b-4356-876e-02154cc07d5e,c3,c5,27,p2,?,surb={'id': 'd6cd4b35-6bd9-4fa5-87be-9a228764f6a0', 'route': ['p2', 'e7', 'i7', 'x7', 'p3', 'c3']}
