timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391340.4682567,RECEIVED,705f6b5a-dc40-4b77-9fb4-bb1de9cf20aa,76690f4c-5c39-4d8f-ac35-ee179f032104,c2,c4,27,p1,?,surb={'id': 'fd0377f5-c59d-4370-a0b1-1aadca2266c2', 'route': ['p1', 'e4', 'i3', 'x10', 'p2', 'c2']}
1769391340.5250952,RECEIVED,236b70d1-2adb-4473-9834-db92ce1f7d24,99e00b28-bc46-4277-b4d7-e4c26983067a,c5,c4,26,p1,?,surb={'id': '5848d8aa-1cd5-4b03-b92f-70dee4032a25', 'route': ['p1', 'e2', 'i3', 'x10', 'p2', 'c5']}
1769391340.6276903,RECEIVED,fb81c666-b4fd-4b20-afe7-3eb458776be2,d259693f-50b1-468d-ad4a-8abf27f59daa,c2,c4,26,p1,?,surb={'id': 'e9e448da-c174-45ce-831f-b6170a6a64eb', 'route': ['p1', 'e2', 'i8', 'x12', 'p2', 'c2']}
1769391340.7253482,RECEIVED,b5f12a09-a7df-4d22-b095-38ee0bfc60ed,2512e109-1dc4-45d4-b7e4-4f5657f91e40,c5,c4,27,p1,?,surb={'id': '704a0567-cf33-4d0c-9eee-651486d906d1', 'route': ['p1', 'e2', 'i1', 'x8', 'p2', 'c5']}
1769391340.7558146,RECEIVED,3a9d7151-394a-4501-9c20-d0ce7356779e,ba2f043b-170a-4135-8661-8dce89a69dc0,c2,c4,26,p1,?,surb={'id': 'cf8fe269-ffab-4b85-baed-ecd8cb76aee2', 'route': ['p1', 'e12', 'i12', 'x2', 'p2', 'c2']}
1769391341.2194967,RECEIVED,e3b8a413-2182-44d4-96ab-592482a790f3,5ad6a887-bbb8-4ac6-8257-970e7626f7d3,c5,c4,26,p1,?,surb={'id': '02aff2e2-1e61-418c-81fd-f8954f79a262', 'route': ['p1', 'e4', 'i8', 'x1', 'p2', 'c5']}
1769391341.2427495,SENT,03aaeae8-1a03-4bea-98d5-bac3b33b2e4e,b64ac316-cf29-4c9d-9700-9332534c8232,c4,c5,3355,?,p1,
1769391341.2428956,CREATED,3cad7fc3-d4d6-4380-97be-f14a2d6fcd3c,d9690f41-a2b3-4e62-8c69-4d73091712f3,c4,c5,26,?,?,surb={'id': '233e272d-d7a8-4906-a038-f506ec444372', 'route': ['p2', 'e6', 'i9', 'x4', 'p1', 'c4']}
1769391341.5063174,SENT,ea618e9e-3d0a-4ce4-afee-6a25db3b8b98,403f65cc-2f9c-42ac-89d9-38801d7bafde,c4,c5,3355,?,p1,
1769391341.50645,CREATED,6bf55e15-0500-4595-92ce-f306fb0073d1,64ae68fc-a702-47ec-9a8b-ac14540b9168,c4,c5,26,?,?,surb={'id': '921a3502-d87f-4a79-9d4c-f86f009f6ecd', 'route': ['p2', 'e9', 'i5', 'x3', 'p1', 'c4']}
1769391341.8466792,SENT,672fc448-e98b-485a-9d35-34b3b5f785ae,967c27d5-ffdc-49e5-ab58-b7f045c0b140,c4,c5,3387,?,p1,
1769391341.8468735,CREATED,8ddf593e-1c4d-46bd-a9a2-7e076ba57016,461a8f12-8e81-4333-ad40-f7cb262a027a,c4,c5,26,?,?,surb={'id': '4b32f24a-6c1c-4de5-892a-b143c286db3e', 'route': ['p2', 'e12', 'i12', 'x11', 'p1', 'c4']}
1769391342.1086829,RECEIVED,8745074c-64c6-48b2-b9ee-176214d4caee,fe7b9177-f383-44e1-a0a9-a6f49a9e66d1,c5,c4,27,p1,?,surb={'id': '0d6eb433-2e92-4c6b-aecf-8a306d598d67', 'route': ['p1', 'e10', 'i3', 'x1', 'p2', 'c5']}
1769391342.5546777,SENT,aa051578-1852-413d-8630-1e47e42ef5ea,86e6d403-8b2a-49a2-a282-a85663a61387,c4,c5,3356,?,p1,
1769391342.5548215,CREATED,3ebad8d0-3331-459f-8498-d2ef75248d44,5e3fb77a-906b-4b2c-80b8-145778de7c6a,c4,c5,27,?,?,surb={'id': '522a7ba7-224c-42fc-bdf1-beec1a849bea', 'route': ['p2', 'e3', 'i3', 'x1', 'p1', 'c4']}
1769391342.7176433,SENT,5bb293a7-5fee-414a-bb1c-a8a80ab03175,49068dd9-10db-4e6f-9865-013409a28d55,c4,c5,3400,?,p1,
1769391342.7177842,CREATED,928ec774-8efa-4fdd-8c15-327bb7da86c1,08132b85-aed6-4a6e-9873-d9802f7ad7fa,c4,c5,26,?,?,surb={'id': '44a9fced-d7ac-4db7-9b6e-b1767b9bab9b', 'route': ['p2', 'e1', 'i8', 'x12', 'p1', 'c4']}
1769391342.7883272,RECEIVED,d93edc99-bf78-4617-943e-c48392e2b74b,44934a50-5c62-423e-8647-2252ed6460c7,c2,c4,27,p1,?,surb={'id': '5f9631d0-f027-40c9-91db-84aea57a4f65', 'route': ['p1', 'e7', 'i10', 'x12', 'p2', 'c2']}
