timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391374.5419014,RECEIVED,81927417-12e8-4186-a3d2-20cae785b13c,b3ca9263-a61a-4ff8-b825-3f41833739c0,c5,c4,27,p1,?,surb={'id': '5907939b-3739-4b7b-9d2c-0be859f2c4c2', 'route': ['p1', 'e4', 'i11', 'x12', 'p2', 'c5']}
1769391374.5793934,RECEIVED,89c7d9e3-7100-4677-a69a-1fb99fc02b3b,f058c0e1-6be7-4a1c-b021-3a74c7d26604,c2,c4,27,p1,?,surb={'id': 'bc1f67dd-d795-49e1-b921-edd78f4a02d9', 'route': ['p1', 'e6', 'i7', 'x5', 'p2', 'c2']}
1769391374.7975242,SENT,1dc36964-b74d-4169-ad3c-e81189807650,a4c6632f-4962-4912-861e-0b769c41ee5d,c4,c5,3376,?,p1,
1769391374.7976742,CREATED,5aef2765-71ee-4bdf-ace7-d2ca897bfc2c,6b1271ad-6cc0-4458-8823-db94975285a4,c4,c5,27,?,?,surb={'id': 'c313cdfa-cb8f-481f-9bbe-ffd0b811c799', 'route': ['p2', 'e6', 'i12', 'x7', 'p1', 'c4']}
1769391374.9160957,SENT,ff173d7d-07af-4065-b880-d6e50dbc216b,6ab76603-207f-42bb-9353-4f8e9445d51d,c4,c5,3372,?,p1,
1769391374.9162433,CREATED,7ffb3215-ded6-4e24-bad1-961caad0fb35,e6bff898-a37f-4fe4-bc13-6192bf6287a9,c4,c5,27,?,?,surb={'id': '3427eae7-cb11-4db3-a9ed-4b2fb3923f70', 'route': ['p2', 'e8', 'i3', 'x7', 'p1', 'c4']}
1769391375.0576375,SENT,ee4fad4b-b149-4a35-91f0-c252769fec92,d5a43a9a-9dd4-4ae3-a205-82cd4c50507f,c4,c5,3380,?,p1,
1769391375.0577848,CREATED,665ff046-6007-40e0-8695-9efdecd322d1,57a08489-ba97-4638-919c-8a7976e96a55,c4,c5,27,?,?,surb={'id': 'c4754837-8d6f-4412-bc3f-c9a5c31311f3', 'route': ['p2', 'e1', 'i7', 'x2', 'p1', 'c4']}
1769391375.1352708,SENT,16782c7c-b4cf-4497-9a6e-26f557f94ef3,bcf71641-b714-4905-99bb-0f33a8388af5,c4,c5,3377,?,p1,
1769391375.1354265,CREATED,3cdfb30c-2e93-43cd-aa3b-ab2ffeb3c76a,a5d4d190-5be8-45f3-9f41-6dd2d9db9e5d,c4,c5,27,?,?,surb={'id': '7b0d07f7-66d3-4d61-bbb4-e5fe83fa3cb6', 'route': ['p2', 'e2', 'i3', 'x1', 'p1', 'c4']}
1769391375.3141184,RECEIVED,9576a8fe-613e-4355-9df4-1b38fa4f584b,8730cdd1-eeb4-4505-a28c-7a10f73e0d37,c2,c4,27,p1,?,surb={'id': '6d75c538-589d-4219-a06c-061b2067ac8e', 'route': ['p1', 'e9', 'i6', 'x8', 'p2', 'c2']}
1769391375.3836482,RECEIVED,36ca2b6c-a7a0-4df4-aa72-2b977bf61aca,71bb07f4-24ac-40bc-8882-2a4135cd7df8,c5,c4,27,p1,?,surb={'id': '9f743a92-1c57-4eee-8107-0b606c09cbed', 'route': ['p1', 'e8', 'i10', 'x8', 'p2', 'c5']}
1769391375.4164767,RECEIVED,aaf346e6-55c6-4e34-9e97-b11c5cb45c53,96b337f6-aa21-4bdd-9539-6f728c974f18,c2,c4,27,p1,?,surb={'id': 'f69ce70b-f862-4d22-83fa-3b746c013398', 'route': ['p1', 'e3', 'i11', 'x11', 'p2', 'c2']}
1769391375.5059283,SENT,d70d4502-c236-41d6-a7dc-2188c3fbd361,2efecdb8-7e7c-4618-b8bc-8e72ad384a04,c4,c5,3361,?,p1,
1769391375.5061033,CREATED,37253386-c8a6-4e87-b058-19e0b7964d7a,b3081b07-a06f-4e3d-8ab2-9e45f930639a,c4,c5,26,?,?,surb={'id': 'a388747c-74e1-483f-b7c3-a65a78eec691', 'route': ['p2', 'e1', 'i4', 'x10', 'p1', 'c4']}
1769391375.9755437,SENT,9d75fb0e-dbd9-4417-bc63-ced3da1f7606,80c6f579-31d7-4173-bb85-9d7ef1be49a4,c4,c5,3392,?,p1,
1769391375.9756956,CREATED,85cc6bdd-c64c-4e3f-bd73-8980d086fb0c,e9631f97-0ad8-43b7-b26b-8add5a1d256f,c4,c5,27,?,?,surb={'id': 'db1c5b64-13c9-44fe-a8fa-20e53408759f', 'route': ['p2', 'e2', 'i1', 'x10', 'p1', 'c4']}
1769391376.0467641,RECEIVED,f123cb8f-4831-4383-b266-6f1f09610d3c,37927a9d-216b-4e43-a206-8518d0e64e7a,c5,c4,27,p1,?,surb={'id': '45d5594b-8cdf-43df-a3bc-264aad4c3a44', 'route': ['p1', 'e5', 'i11', 'x9', 'p2', 'c5']}
1769391376.3291423,SENT,32c829b3-982b-4a5d-b875-5d14cacfcb37,d4932c5d-99fe-4268-960d-4cb24835ffb5,c4,c5,3376,?,p1,
1769391376.3292983,CREATED,f1337ef9-f1ad-47a7-9871-bb0d305b9879,1b530b87-c60a-4b90-84cf-2c100efe2479,c4,c5,26,?,?,surb={'id': '2935a612-aac2-4f46-b27f-437fb43d6b46', 'route': ['p2', 'e9', 'i7', 'x1', 'p1', 'c4']}
1769391376.4909759,RECEIVED,1da45d9b-549d-45b5-b60a-f046a5b778dc,b26e0a8c-f163-4c7e-b9bb-35448e675351,c2,c4,27,p1,?,surb={'id': '6d1c1066-4aca-4e55-a3ed-73e29b410a7f', 'route': ['p1', 'e1', 'i9', 'x12', 'p2', 'c2']}
1769391376.7453675,SENT,226629fa-9ec7-402e-a876-3e431f5dd812,4861cd9b-f487-473d-a427-68ba85a7fcff,c4,c5,3391,?,p1,
1769391376.7455194,CREATED,06c7fedf-420c-48e7-84a8-5a4a1a327e70,932d2a54-f9d6-41e2-b3ed-efd2730eda3f,c4,c5,27,?,?,surb={'id': 'e2b6fa61-b763-4d90-aeb6-d1f23258db04', 'route': ['p2', 'e11', 'i5', 'x12', 'p1', 'c4']}
1769391376.8676972,SENT,5c30e9c2-49fe-4b2c-b851-e29c872f0276,ef5f9396-6b9a-4a18-b6f3-0a305027fbce,c4,c5,3385,?,p1,
1769391376.8678465,CREATED,387a9fd1-f75d-410a-8865-d1306d69caae,e232cda5-2076-4959-bfe4-7f6d1531ec89,c4,c5,26,?,?,surb={'id': '9e0fc7ca-b671-4dd3-a524-e5724f7d0ef5', 'route': ['p2', 'e3', 'i10', 'x6', 'p1', 'c4']}
1769391376.885818,SENT,a1d0dcde-e792-46cc-8eda-817565f6623d,eb62ac2a-c435-4521-af48-2d864a96fcfc,c4,c5,3363,?,p1,
1769391376.8859587,CREATED,2d12780d-0b72-49cf-b232-31fc33d51bd3,17267346-6011-4940-bebd-da4d62d7f2e3,c4,c5,27,?,?,surb={'id': '83c4271d-b603-458b-9f6b-6d5e7554d5c1', 'route': ['p2', 'e2', 'i7', 'x8', 'p1', 'c4']}
1769391377.0549536,SENT,3c56f268-0367-4c38-9ae4-fe3971b326a7,8b04b44d-283c-4085-b86f-a9585cc50add,c4,c5,3383,?,p1,
1769391377.0551279,CREATED,57cdcbf7-7a6b-469e-92a1-6a3ef6348621,0abb4d31-1281-44f4-a1f8-dffe65688a5d,c4,c5,27,?,?,surb={'id': '01b7f93c-7e10-4da1-b39d-0fde44d2c842', 'route': ['p2', 'e9', 'i1', 'x12', 'p1', 'c4']}
1769391377.0783768,RECEIVED,c9ffbd31-6057-465f-b7ba-84ddf8393814,afb3db55-5039-4d4c-bfc5-686108fb68c3,c5,c4,27,p1,?,surb={'id': 'f83e8db0-3960-48e8-a144-e7afd1b5b167', 'route': ['p1', 'e7', 'i12', 'x5', 'p2', 'c5']}
1769391377.415551,RECEIVED,6e3c470c-f42c-490b-a1a6-2d40b5f4a86b,c2aaaf42-b785-4912-a072-9098eb1a2cbd,c2,c4,26,p1,?,surb={'id': 'e88560d3-54ee-4ad8-a44c-4697110629ff', 'route': ['p1', 'e11', 'i8', 'x7', 'p2', 'c2']}
1769391377.5204446,RECEIVED,513fd14d-4f6d-409f-b6fe-07bdfa5949d2,211f62ff-1c82-4953-8dd7-f7b11c204ee9,c2,c4,27,p1,?,surb={'id': '0c1bbe80-b190-43b8-a575-0d5d1a6874d6', 'route': ['p1', 'e3', 'i4', 'x4', 'p2', 'c2']}
1769391377.6524572,RECEIVED,a10ae916-b917-480f-8dd6-17c22b3b408c,b3926170-9659-4553-8ad9-34f74258c4e0,c5,c4,27,p1,?,surb={'id': '712e498e-4a6b-4508-a0a2-6ff81055f5ac', 'route': ['p1', 'e1', 'i7', 'x10', 'p2', 'c5']}
1769391377.8403587,RECEIVED,49286bb0-4571-43ab-8243-de278c05d7cc,95b877a4-2570-43a0-aac1-51e9dfd14a77,c5,c4,27,p1,?,surb={'id': 'cf3b4ef1-efd8-4b0f-ab08-e422f0ab0e3b', 'route': ['p1', 'e1', 'i1', 'x10', 'p2', 'c5']}
1769391377.88163,RECEIVED,3a41e989-1ed0-4c62-a4ad-ec980038898c,b60306f3-49fc-4d73-a817-eeeac980517b,c2,c4,27,p1,?,surb={'id': '63f9d93e-4f3a-4cfd-a814-26d11f901468', 'route': ['p1', 'e4', 'i10', 'x4', 'p2', 'c2']}
1769391377.8979511,RECEIVED,9dd6b991-140d-4769-b9c3-2895ff5cd2d8,bc515255-6253-40d2-a2b6-6b04d0ac0337,c5,c4,27,p1,?,surb={'id': '5d3b9d5e-0733-4a0d-a810-ac35e782b154', 'route': ['p1', 'e9', 'i4', 'x1', 'p2', 'c5']}
1769391378.2982562,RECEIVED,2dec0d68-bbce-4585-a8d2-5614e7f6e4fd,f8a3665a-73db-41fc-8dc9-73c2e7f80b88,c2,c4,26,p1,?,surb={'id': 'c072b4f2-f053-4220-a5a5-8cf818b04b16', 'route': ['p1', 'e3', 'i9', 'x12', 'p2', 'c2']}
1769391378.4262283,SENT,748e6c2f-a5b7-4e3e-b985-9bba7164716b,b084b3dc-28e2-4b5f-ae74-e1464b5d73f9,c4,c5,3360,?,p1,
1769391378.4263828,CREATED,28fb72fd-13fa-4699-b693-a9d1962eaf19,6c044662-fd1c-4719-bf0e-176fbe5f71e1,c4,c5,27,?,?,surb={'id': '725f7e66-c2bc-4817-b8bb-d024c2d9da56', 'route': ['p2', 'e5', 'i4', 'x7', 'p1', 'c4']}
1769391378.6094313,RECEIVED,823d622b-84d7-440c-8b2b-15498b43c53e,fe357f98-40be-4394-b0f8-02909ce30642,c5,c4,27,p1,?,surb={'id': '80302a67-89db-429f-9bde-b525cb47f580', 'route': ['p1', 'e4', 'i8', 'x5', 'p2', 'c5']}
1769391378.7314234,RECEIVED,6af2231f-ecc8-487d-a416-9643be395bef,f72cb5b5-8a4b-4490-a541-ff859af6394a,c2,c4,27,p1,?,surb={'id': '41cd77f6-2030-4dec-b71a-41a19ff6bda7', 'route': ['p1', 'e11', 'i3', 'x12', 'p2', 'c2']}
1769391378.7395062,RECEIVED,b5c7bba9-55a0-4da6-930d-195687385070,d274486a-fa2d-4961-9f28-76ffc4dbd2d3,c5,c4,27,p1,?,surb={'id': '46fc6548-12c9-422c-87e6-13b6c53b94ac', 'route': ['p1', 'e12', 'i2', 'x10', 'p2', 'c5']}
1769391378.7778015,RECEIVED,817921a7-2624-4bbe-9711-88d513bb8162,552170e0-0f36-4fe8-8ed4-cc124085936a,c5,c4,27,p1,?,surb={'id': '7a5e02c6-0037-44d6-b6fb-37b3c884fa50', 'route': ['p1', 'e5', 'i12', 'x9', 'p2', 'c5']}
1769391378.8192916,SENT,af59ac45-0578-4b9b-b3a0-1d14cc109496,55126b73-83ef-48f9-812e-d96b73120d88,c4,c5,3368,?,p1,
1769391378.819367,CREATED,9dfa5917-11ff-4048-8f2e-287ba7466b21,f47ed161-6132-4115-85ee-030e6e661034,c4,c5,27,?,?,surb={'id': 'de76a4b0-c5be-4b40-b9b1-aa5e1c9a35cb', 'route': ['p2', 'e3', 'i9', 'x2', 'p1', 'c4']}
1769391378.9540958,RECEIVED,ffa143f1-aced-4ca8-9064-ec334e792bf8,50df680b-28c3-42b3-9520-170d93879412,c2,c4,27,p1,?,surb={'id': '976b1ec2-29ec-44ee-bfc4-03b166d7d510', 'route': ['p1', 'e5', 'i11', 'x11', 'p2', 'c2']}
1769391378.983811,RECEIVED,559c6c39-d34e-4fec-a6be-72eb25d745fe,75a3157c-138e-4f84-8596-02426cdb6f75,c5,c4,27,p1,?,surb={'id': '6a6a7fc2-3fbb-4d4c-b1f9-ec0daa4f6ea3', 'route': ['p1', 'e3', 'i1', 'x10', 'p2', 'c5']}
1769391379.0403063,RECEIVED,a2bcd9f3-c79c-4e2c-842b-005bb3d2c85f,1868e6c0-72dc-467b-90ed-da0ccac47b56,c2,c4,27,p1,?,surb={'id': 'b09d58b7-9939-4cf0-b3ab-beecaadbd216', 'route': ['p1', 'e9', 'i4', 'x7', 'p2', 'c2']}
1769391379.0447752,RECEIVED,f1c5c78e-bd3e-4b30-b950-6d9531b70389,4b8f12fd-38d0-4782-b7e3-a5e2c26ae99a,c2,c4,27,p1,?,surb={'id': '10bc4194-dd97-49ca-967d-c0b068e7d371', 'route': ['p1', 'e10', 'i9', 'x10', 'p2', 'c2']}
1769391379.0775113,SENT,ebee6f54-f76f-46a9-a7be-94620d3ab78a,b5976798-6159-4c4f-8caf-262da6a50837,c4,c5,3392,?,p1,
1769391379.077797,CREATED,80557fd6-ba75-4082-9bcc-4300d822b2a0,16740eb8-a43a-4269-9b38-202a11c81351,c4,c5,26,?,?,surb={'id': '429dafc1-c830-4f75-8fb0-972115cb7aa6', 'route': ['p2', 'e2', 'i12', 'x11', 'p1', 'c4']}
1769391379.1462774,RECEIVED,9bda28fa-1ffe-46ee-93fb-37b6d4b741b9,6ad23fc1-483f-4a03-acb5-11729a169dab,c5,c4,27,p1,?,surb={'id': '76e88e10-52c6-44e0-ac57-fb86ee5369fc', 'route': ['p1', 'e10', 'i7', 'x5', 'p2', 'c5']}
1769391379.3502188,SENT,a1f1f50d-eefb-46c0-8a89-5a4328b743c2,83aeb8e8-3500-4dfc-89fb-58a9562d1ec6,c4,c5,3370,?,p1,
1769391379.350362,CREATED,11a5364f-2222-4da5-bb07-23a7f401a90f,4cc5cf29-c3ed-4a02-bdb3-0b2242cd25af,c4,c5,27,?,?,surb={'id': '1497fe27-97ad-4d2a-9a27-d425a895b7e3', 'route': ['p2', 'e11', 'i11', 'x7', 'p1', 'c4']}
1769391379.3634748,RECEIVED,fd2382f1-3e25-480b-b0ee-f80e2e2d933d,5240fc64-79dc-4bc5-a143-24332bc1abb0,c2,c4,27,p1,?,surb={'id': 'edb736bc-5bd0-48b0-9725-0edb4770fd16', 'route': ['p1', 'e3', 'i8', 'x9', 'p2', 'c2']}
1769391379.410534,RECEIVED,4097d521-dc9c-4f0b-9832-35c1d3b964ab,b389d5a8-9106-4e2f-bc0f-91b1be29093b,c5,c4,27,p1,?,surb={'id': 'f4de729d-7137-46c3-8bd5-340ce5b9ac40', 'route': ['p1', 'e8', 'i9', 'x6', 'p2', 'c5']}
1769391379.5632288,RECEIVED,98cdee1b-1026-4f0f-ba3a-49e84a470ed6,04bfdbf9-61aa-4d24-a6c0-da38027f444d,c5,c4,27,p1,?,surb={'id': '414f8d32-1ccf-47ac-ac97-baedaa6c9c79', 'route': ['p1', 'e8', 'i8', 'x9', 'p2', 'c5']}
1769391379.5935159,RECEIVED,0f9039de-7cb0-4dad-b8c3-771be184e3bc,956e3981-43e0-4255-945a-5d55b19aad8b,c5,c4,27,p1,?,surb={'id': '9f2f1042-f54d-4708-8268-a53e2532d307', 'route': ['p1', 'e12', 'i9', 'x4', 'p2', 'c5']}
1769391379.6601586,RECEIVED,c4a0bcaf-932d-48a5-ae43-10ac995fca02,4cda56fe-410e-4cf2-819b-8dc035d2e7af,c2,c4,27,p1,?,surb={'id': '345a6205-fe7a-49e5-a566-04d5dc2665d5', 'route': ['p1', 'e5', 'i7', 'x7', 'p2', 'c2']}
1769391379.6808808,RECEIVED,b8788220-7629-4c7a-aa91-8b254435b2cd,ed0c9287-e598-49a9-8765-714663e1b503,c5,c4,27,p1,?,surb={'id': '8f085443-4d53-451b-919c-081e7a733e31', 'route': ['p1', 'e3', 'i5', 'x1', 'p2', 'c5']}
1769391379.9670415,RECEIVED,dce4b744-7713-4f5b-94a0-5cf0ebd9d925,350356e7-0aa0-4511-84d3-ec80849ca3e4,c5,c4,27,p1,?,surb={'id': '5de14636-c554-4dfb-a2d6-717ffb776def', 'route': ['p1', 'e9', 'i10', 'x10', 'p2', 'c5']}
1769391380.0644429,RECEIVED,ec4441bc-1e13-49eb-8201-ae9d07c25599,b78860f0-c928-4e4e-89f0-30790eee23f0,c5,c4,27,p1,?,surb={'id': 'cb3a0e98-d062-46db-95ae-c5789b5b93de', 'route': ['p1', 'e10', 'i7', 'x3', 'p2', 'c5']}
1769391380.207464,RECEIVED,90c841df-b663-485c-9928-3fe96e4d9e03,0e79c0a9-4d72-429e-9592-c108016758f7,c5,c4,27,p1,?,surb={'id': 'deba7f62-9787-4144-9c6e-1efadbf8b9c7', 'route': ['p1', 'e5', 'i6', 'x9', 'p2', 'c5']}
1769391380.2973044,RECEIVED,0fb12374-df81-495a-8385-a20ce6d373c3,5ae6adbf-b629-4f12-9b7d-9e822c5aeb8b,c2,c4,27,p1,?,surb={'id': 'bde368b3-bd43-47d6-a99c-1b2834388b20', 'route': ['p1', 'e6', 'i6', 'x12', 'p2', 'c2']}
1769391380.458485,RECEIVED,db470b71-481d-43b0-a8b6-03039ac71201,eb6fc6e5-3038-433d-92e3-d7a8b155b66b,c5,c4,27,p1,?,surb={'id': 'ccb5e67c-aa9c-4ddd-9f2f-97dc2cd45d0b', 'route': ['p1', 'e10', 'i8', 'x9', 'p2', 'c5']}
1769391380.6933744,SENT,f119a2bd-bdca-40e1-b74e-fd5a0457a8c6,c54a85ab-9342-41e3-8e57-64505d27d40c,c4,c5,3407,?,p1,
1769391380.6935222,CREATED,c168c91e-0a66-4f8a-b9a8-65a8d051ff0a,d13c33ad-b1a0-403a-b8bf-bde2d5864268,c4,c5,27,?,?,surb={'id': 'eb49d07f-1200-487c-b10c-f963525ad43e', 'route': ['p2', 'e6', 'i3', 'x12', 'p1', 'c4']}
1769391380.7308025,SENT,31893ac5-c883-4429-a671-69ed194d12d9,22877bb9-a52a-440e-a8eb-181393d4e091,c4,c5,3390,?,p1,
1769391380.7309487,CREATED,805054f8-b053-4a63-8b7b-8de0cdb29f85,1a72e6de-7c1a-4808-bdcc-34b1334bad6f,c4,c5,27,?,?,surb={'id': '40747680-10eb-4a74-82c1-6a141bcae907', 'route': ['p2', 'e10', 'i12', 'x2', 'p1', 'c4']}
1769391380.7442584,SENT,64e825ea-eb69-4a24-881a-0e9a9b746a14,07b79833-0c76-41b3-a3ea-3d1e8f59e1dc,c4,c5,3389,?,p1,
1769391380.7444162,CREATED,9512165e-1600-49b1-811e-ba99cc362563,37d18054-f27c-4baf-9fd4-8023d1b2ff2a,c4,c5,27,?,?,surb={'id': 'b82dad03-a010-472e-9b0a-591f1bd9b55a', 'route': ['p2', 'e5', 'i12', 'x12', 'p1', 'c4']}
1769391380.767866,RECEIVED,45eaa45b-751d-4ecf-a8f7-d9893ccac9fe,db795dc4-34ba-4111-9521-7a422c389274,c5,c4,27,p1,?,surb={'id': 'd7bbb985-1ef2-4cf0-bde0-da8a29d566ef', 'route': ['p1', 'e3', 'i3', 'x11', 'p2', 'c5']}
1769391380.9284544,RECEIVED,b52050c4-96e0-4711-bc16-2f5f9cd369d8,bb1b1fdc-6f36-4e51-96e8-17366b5d23f3,c5,c4,27,p1,?,surb={'id': 'e7a12b5a-56fd-4a13-86f5-8437209eac20', 'route': ['p1', 'e11', 'i6', 'x12', 'p2', 'c5']}
1769391381.0075748,RECEIVED,223df093-6680-4768-b81f-9405974bf525,37a917cc-6998-4b21-a3d4-93fc614fe265,c2,c4,26,p1,?,surb={'id': '866b9492-5a63-43c2-9b0d-9356f772960c', 'route': ['p1', 'e1', 'i8', 'x6', 'p2', 'c2']}
1769391381.0930786,SENT,3d72d7c3-8319-4388-bb75-6517e1338c1f,e4af98ad-b298-4c54-b584-a0a04d056da3,c4,c5,3376,?,p1,
1769391381.0932305,CREATED,7d5574a6-61ee-448d-b9ce-742bdbd86a8e,4fbe5431-98d8-4abf-86d6-3ee6a638ee73,c4,c5,27,?,?,surb={'id': 'f8a18e7f-7b12-49a5-8127-068b6f02f05c', 'route': ['p2', 'e4', 'i6', 'x2', 'p1', 'c4']}
1769391381.2136502,RECEIVED,d9d0b291-0c28-426d-886e-a4b376283cb2,c506e20d-a60d-4bb3-9f35-61a7d22951a5,c2,c4,27,p1,?,surb={'id': '4f04ab9f-9bdd-4ffd-8c33-c71320eb821f', 'route': ['p1', 'e6', 'i4', 'x3', 'p2', 'c2']}
1769391381.3172286,RECEIVED,75aee7f0-06c2-4680-97b6-b458e49887e6,f1c371c5-e280-4af0-8edf-95610256c7ff,c2,c4,27,p1,?,surb={'id': 'da9fd995-e902-49ea-a22f-1d4cb0a21970', 'route': ['p1', 'e1', 'i7', 'x6', 'p2', 'c2']}
1769391381.36056,RECEIVED,4eded1e1-cb6a-4de1-a57d-994e2e076a4c,d4c9ee39-ea2f-4679-9d9c-468db566abf2,c5,c4,27,p1,?,surb={'id': 'f82bd5f1-6452-4a2f-9933-b3126fadfdc7', 'route': ['p1', 'e7', 'i5', 'x8', 'p2', 'c5']}
1769391381.6918943,SENT,4f3723a2-8f3a-4d35-aab5-bef395bd1703,fabf471f-ea91-4599-bc2e-e06fe30fad57,c4,c5,3391,?,p1,
1769391381.692029,CREATED,641a9a92-92b2-40ca-8f8f-827f220b2445,e899c5ab-8c7b-4d06-9ced-cd3c90fec970,c4,c5,27,?,?,surb={'id': '476a5e0a-418d-41ae-8cc1-0582c8aae2f9', 'route': ['p2', 'e10', 'i5', 'x6', 'p1', 'c4']}
1769391382.2413783,RECEIVED,829be505-d7bd-4030-8d42-0d4feca80251,7a873ecc-5e3f-4675-83d6-b388a2ea06c6,c2,c4,27,p1,?,surb={'id': 'f7866596-c252-4fa6-9680-c0b0af931f57', 'route': ['p1', 'e5', 'i11', 'x7', 'p2', 'c2']}
1769391382.3808615,RECEIVED,39dad6a1-346f-467e-8740-5edc5c3ad8f3,8d9a560a-e7b2-4169-8029-608fcef45eaa,c5,c4,27,p1,?,surb={'id': '9f8eac61-c482-4d6c-9a2a-cae4d87f71c1', 'route': ['p1', 'e12', 'i10', 'x8', 'p2', 'c5']}
1769391382.454762,RECEIVED,8f1f7fbf-1dc5-4449-b9f9-c4b0269f2b6d,f09dc184-3a70-43a8-8f93-3938a595cf32,c5,c4,27,p1,?,surb={'id': '27ceed0d-fbf3-4a73-8796-bf709767d4dc', 'route': ['p1', 'e4', 'i5', 'x5', 'p2', 'c5']}
1769391382.4650018,RECEIVED,7f22c68e-9588-422e-b684-9b4e5a3961a5,3e9cac62-1247-4b61-8b53-b13db3503a33,c5,c4,27,p1,?,surb={'id': '35c9f380-2211-4132-8b92-d95226c8af8b', 'route': ['p1', 'e2', 'i7', 'x6', 'p2', 'c5']}
1769391382.5012472,RECEIVED,ffa3e526-1748-4034-8633-d8521d8aa95c,0774eb4b-f4d0-4466-83a0-c3aa0f7930e0,c5,c4,26,p1,?,surb={'id': '1877f27a-a2bd-4799-a108-99b97bf46809', 'route': ['p1', 'e8', 'i7', 'x6', 'p2', 'c5']}
1769391382.5182924,RECEIVED,2f0b7160-3c04-4164-a59c-6750651584b9,8d45e3ae-f33e-4d0f-bacb-505c8996a5f3,c2,c4,27,p1,?,surb={'id': 'fef0d161-a6a7-4bfc-86f1-2910039a6dda', 'route': ['p1', 'e3', 'i2', 'x9', 'p2', 'c2']}
1769391382.53427,RECEIVED,044d4652-f3f2-4ca3-ad03-159b0e227496,9de0391f-4b9d-43f6-b35b-7d6d804842bb,c5,c4,27,p1,?,surb={'id': 'bfca401b-681d-44a6-a818-b61f144d0f88', 'route': ['p1', 'e9', 'i11', 'x6', 'p2', 'c5']}
1769391382.6238613,SENT,894c96f6-bac0-4ca4-860e-2745c89acafd,fcc82390-057a-4ed0-84b0-dfd813ff98f6,c4,c5,3361,?,p1,
1769391382.624013,CREATED,113f9387-d5e0-45ca-bd5a-8dbeb65e8f75,c415e830-7dcb-4756-9b68-68ec03648f72,c4,c5,27,?,?,surb={'id': '447f61c4-989d-4214-80bf-9507594faaae', 'route': ['p2', 'e2', 'i8', 'x5', 'p1', 'c4']}
1769391382.6826217,RECEIVED,46bdf430-2e5b-434d-9035-f71e1b1e0c9d,792d9d80-9b26-4520-9087-14211e5a5f11,c2,c4,27,p1,?,surb={'id': 'b86b151d-5d03-4958-9c0e-30efa55193cb', 'route': ['p1', 'e4', 'i6', 'x9', 'p2', 'c2']}
1769391382.7577477,SENT,7fee52ee-4284-4cd7-9156-b4b91483d072,775284be-a8eb-4af3-9f56-87cb0fc9b53b,c4,c5,3383,?,p1,
1769391382.7579072,CREATED,dbd004cb-a4d0-4e32-8ade-2fdaa8cc7497,c24cd0d4-ee59-49b8-a9be-134b11243c39,c4,c5,27,?,?,surb={'id': '330f691b-598d-4fc0-86ed-c7b9cf5913cd', 'route': ['p2', 'e3', 'i8', 'x5', 'p1', 'c4']}
1769391382.9063606,SENT,73271c7c-2a94-4bd8-966b-5630694f2b4e,54533676-643e-4a95-ad4c-a08d1a2e752b,c4,c5,3355,?,p1,
1769391382.906716,CREATED,3c7f6445-feec-4b70-a6a7-a45c0c4d9942,aa68df18-c861-4a07-a94f-2d4832754030,c4,c5,27,?,?,surb={'id': '7bd1a596-5740-4cfc-abb7-0d328be287e0', 'route': ['p2', 'e10', 'i1', 'x3', 'p1', 'c4']}
1769391382.980875,SENT,c1a26de3-2154-4920-945f-2bf721fb7de9,78dd08b2-db27-4288-908e-322b4872eded,c4,c5,3377,?,p1,
1769391382.981019,CREATED,2a9194d7-f0a5-4a55-8f60-0411d9c3899e,d031c433-988d-4270-ad75-b7be0f9d3080,c4,c5,27,?,?,surb={'id': '73102fe7-8a12-4907-8ebb-823d4705ab69', 'route': ['p2', 'e7', 'i10', 'x10', 'p1', 'c4']}
1769391383.0263638,SENT,d99aa10e-f8fa-47a4-a0df-a64ac1be3a17,065b0cea-f9ae-413e-8272-de11db9646ba,c4,c5,3399,?,p1,
1769391383.0265076,CREATED,fc369402-7ae9-45c0-9808-078b1bf53792,0ef9f407-51c6-48b9-9966-d3f56b5c03dc,c4,c5,27,?,?,surb={'id': '3e461384-7735-4039-81ef-742231853637', 'route': ['p2', 'e7', 'i11', 'x7', 'p1', 'c4']}
1769391383.5713031,RECEIVED,0f6b61ad-86f7-424e-bbee-c32694cc27df,f688f10c-f186-4362-a11f-fa47ddd9a602,c2,c4,27,p1,?,surb={'id': '752b2325-38b8-406a-b8fa-8f6dd591e173', 'route': ['p1', 'e2', 'i4', 'x12', 'p2', 'c2']}
1769391383.5822802,RECEIVED,33b089af-1e12-4242-9b8d-cd94efc3c270,f0ff352c-69da-444a-95ec-846404b7dacc,c5,c4,27,p1,?,surb={'id': 'c0d25bbc-b80c-4276-ad58-66feabdba690', 'route': ['p1', 'e8', 'i7', 'x11', 'p2', 'c5']}
1769391383.9406457,SENT,cd8ff89d-50ad-41ba-b083-94f585fcc299,aa40bba1-ae58-4787-a68d-690e1b2dc5b8,c4,c5,3376,?,p1,
1769391383.9408188,CREATED,54e203e1-caae-4b76-a88d-7c78d2a64c54,f260980b-f876-4dab-aac6-8844f51ff400,c4,c5,27,?,?,surb={'id': 'c5effab1-3937-428e-8a59-f55d5cfdaca8', 'route': ['p2', 'e10', 'i3', 'x6', 'p1', 'c4']}
