timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741748.8216293,SENT,d3a8f162-6cde-42a6-b273-8c65b5cac35c,8418aabd-cf6b-4dd4-8a8a-52494bce095d,c1,DROP,2012,?,p1,
1769741748.8217554,CREATED,04da5b25-c5e4-4ce5-a90f-efb25218bf2b,7ea172be-46c4-4632-aa05-c7b1c13779b1,c1,DROP,27,?,?,
1769741749.8557415,SENT,19293c41-87ac-4903-bdd1-4f8da765ef8f,608df9c5-9f24-4067-884c-dfefeaa71418,c1,c2,3405,?,p1,
1769741749.8561485,CREATED,66a1df90-c847-45d4-a119-87f1a8e0861d,2c12d6ff-6074-456c-8fc7-3d80378f74b7,c1,c2,27,?,?,surb={'id': '5b3ff4ac-8319-40d7-91d2-a70061fa0e35', 'route': ['p2', 'e4', 'i7', 'x9', 'p1', 'c1']}
1769741750.7447762,SENT,498f43b9-2194-4256-a22d-a965a99b9289,1807ce7c-956e-4150-a982-0d86d2abadf7,c1,c2,3382,?,p1,
1769741750.7449105,CREATED,dc6d3815-768b-4eac-a736-41fc256149de,064c8263-813e-4bb6-9c67-02db33b2e7cf,c1,c2,27,?,?,surb={'id': 'd89dc0ec-064e-4def-9263-2104ea08dba5', 'route': ['p2', 'e4', 'i7', 'x5', 'p1', 'c1']}
1769741750.8033876,SENT,ce67939a-0582-4ee9-b22d-25737fa02798,78cd2a6a-24cf-4c21-8a75-faac8e78acc6,c1,c2,3384,?,p1,
1769741750.8035202,CREATED,e0fc7f87-5e27-46ae-aecf-08a24a641936,d545b696-f273-4ce7-8882-6b22dce1591a,c1,c2,27,?,?,surb={'id': 'c1e7b940-675f-4770-acce-8437b77e2eae', 'route': ['p2', 'e12', 'i7', 'x11', 'p1', 'c1']}
1769741750.9557104,SENT,0a36f5f8-2e97-4a10-8d63-56fb6833981d,754eda8b-2ec8-48ef-b5cb-357527e95184,c1,c2,3388,?,p1,
1769741750.955843,CREATED,e1e241ba-9fbf-4338-a25e-1be315304f64,62b0af17-e140-4893-99f8-d53dfed9d431,c1,c2,27,?,?,surb={'id': 'f19ae01b-501c-40ca-ab26-7ff5f98efd2b', 'route': ['p2', 'e1', 'i9', 'x7', 'p1', 'c1']}
1769741751.1745052,RECEIVED,b9e29afa-9a8a-4868-962d-008fba21dd15,ccc3ee76-2c29-42ff-aeb5-67a647935f73,c3,c1,27,p1,?,surb={'id': '6e888895-b9d6-466d-af57-bb3a0c750975', 'route': ['p1', 'e1', 'i7', 'x5', 'p3', 'c3']}
1769741751.458774,RECEIVED,91f5da07-eb82-4ee5-8887-9d602c98a508,3257f10b-0684-4ab3-86a0-8efb51e5a41b,c5,c1,27,p1,?,surb={'id': '3c1f6bd1-fc9f-49e4-bd1b-fac64dc4df62', 'route': ['p1', 'e11', 'i4', 'x12', 'p2', 'c5']}
1769741752.0281403,SENT,a3ae26da-fe43-4a88-95e5-3fcaf8a75c01,57be2f7e-dc3b-49f6-95a3-7faa4bd3462b,c1,c2,3391,?,p1,
1769741752.028285,CREATED,d3242bf9-1007-46b7-8138-7b4a76d662f5,34e05108-0297-4f67-86db-3c49ff140b87,c1,c2,27,?,?,surb={'id': '1215a379-2948-4664-bea8-b7abfec84e51', 'route': ['p2', 'e6', 'i8', 'x5', 'p1', 'c1']}
