timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741748.6634455,SENT,2121f219-761a-479d-9947-aacf76d0a135,cb1a3395-9f80-4239-9ee6-327685bf2900,c4,c5,3397,?,p1,
1769741748.6635988,CREATED,76a14c21-85df-4dc2-b2e6-ec8a0fa882a5,b24de779-f5c6-4664-904e-fa81fd8479f5,c4,c5,27,?,?,surb={'id': '6c69a9ee-f20a-4770-8b59-ee03ddacdac8', 'route': ['p2', 'e9', 'i12', 'x6', 'p1', 'c4']}
1769741749.2039654,SENT,de7a7943-70c0-498b-997e-375d354fd2d5,2be40fdc-a90a-4a31-ad59-784df3c1cba1,c4,c5,3357,?,p1,
1769741749.2041419,CREATED,45aa734f-580c-454c-aea9-f114d8cb6ffd,14128308-4431-4b57-a9b1-588563eb92e1,c4,c5,25,?,?,surb={'id': '76efb19a-691e-40ee-8689-5164a9291570', 'route': ['p2', 'e3', 'i7', 'x8', 'p1', 'c4']}
1769741749.347411,SENT,90878bae-c599-4343-9d9b-ca862ae1b695,e4160d85-d1dc-460d-95ec-25805ea81d8b,c4,c5,3354,?,p1,
1769741749.3475423,CREATED,5e1efda1-7a00-4122-9b3c-7803e376f705,b6088430-8540-46c4-9e17-ae073cf9c26a,c4,c5,27,?,?,surb={'id': '40bb7e85-3e08-4a2d-aa12-bcf45726228b', 'route': ['p2', 'e3', 'i5', 'x6', 'p1', 'c4']}
1769741749.4100072,SENT,a41bbd84-6625-42a2-9c8b-4baf44306458,b9e93bba-8e8e-407b-a479-0fdd2b5029be,c4,c5,3375,?,p1,
1769741749.4101825,CREATED,6c2a3441-35ef-44df-85aa-e0eab7d4b55e,a0d00ca8-d49e-4876-82e2-0e7530b41bc1,c4,c5,27,?,?,surb={'id': '912811ee-1d55-4490-8972-2c62dacdabbf', 'route': ['p2', 'e3', 'i2', 'x5', 'p1', 'c4']}
1769741750.0079012,SENT,7182731a-692e-4173-bba2-d2576197c3e4,609434f5-f297-4dcc-b152-be02d89f65c5,c4,c5,3400,?,p1,
1769741750.0080283,CREATED,4fdc2514-ac61-4ac3-8d71-da8f162c3448,a03572d6-fa5c-416a-af33-ef5f7932feb5,c4,c5,27,?,?,surb={'id': '17d9897d-533e-454d-b42a-dd6a0311f744', 'route': ['p2', 'e1', 'i4', 'x12', 'p1', 'c4']}
1769741750.2610855,SENT,26c72373-a8ac-4854-b38c-1a9e977300ae,3e1fcd63-ced3-43ad-a13b-0c371faa5737,c4,c5,3379,?,p1,
1769741750.2612402,CREATED,bdbd2ab2-78bc-4180-ac23-9a357f29c1da,e3af9425-aeef-47a3-bd6c-b40466ad48de,c4,c5,27,?,?,surb={'id': '0c8aef47-9e13-4d69-b9c3-644ee3df2fdb', 'route': ['p2', 'e10', 'i9', 'x1', 'p1', 'c4']}
1769741751.090035,SENT,4fcf829f-8172-46a2-b732-2cbc0913ef11,2ddb2470-4b08-4683-8d77-e6ccd5f388ab,c4,c5,3354,?,p1,
